taxon_id	species_name	study_role	lineage	stage	proteins	source_sha256	input_path	reason
F1004511	Amanita polypyramis	ingroup	Basidiomycota;Agaricomycetes;Agaricales;Amanitaceae;Amanita	additional	7962	d1575d3537bc4535d4c97a8fe6fb59aa51d5d6a658bc215ebec6cd3883c4b619	data/orthology_inputs/v1/additional/F1004511.faa	Included in full-cohort species assignment and gene-tree analysis
F1005962	Ogataea parapolymorpha	ingroup	Ascomycota;Pichiomycetes;Pichiales;Pichiaceae;Ogataea	additional	5325	11fa5988c95ad21db76287f2f76baaa5a84785a5ebe898ef2f870f69e76fb735	data/orthology_inputs/v1/additional/F1005962.faa	Included in full-cohort species assignment and gene-tree analysis
F1006475	Circinaria calcarea	ingroup	Ascomycota;Lecanoromycetes;Pertusariales;Megasporaceae;Circinaria	additional	9689	e5ed8b7a2aaa5bf3357970b270ac94849dbf7485de7d0a9c5492ba332d5cd25c	data/orthology_inputs/v1/additional/F1006475.faa	Included in full-cohort species assignment and gene-tree analysis
F100910	Rhodosporidiobolus nylandii	ingroup	Basidiomycota;Microbotryomycetes;Sporidiobolales;Sporidiobolaceae;Rhodosporidiobolus	additional	9040	1f90ae81b098077351f66ee9acc2c0040927396858f47d340993d9d77c052c83	data/orthology_inputs/v1/additional/F100910.faa	Included in full-cohort species assignment and gene-tree analysis
F101028	Fusarium pseudograminearum	ingroup	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium	additional	12445	069e063918ea4aae61c83c801511a018abf6aa347848da614b1ee53abb00a2b1	data/orthology_inputs/v1/additional/F101028.faa	Included in full-cohort species assignment and gene-tree analysis
F101097	Entomortierella chlamydospora	ingroup	Mortierellomycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Entomortierella	additional	11098	096700f30033816b79f0c1a3591b86bde7b26c985ac93cc0b33a90aaf1908cb5	data/orthology_inputs/v1/additional/F101097.faa	Included in full-cohort species assignment and gene-tree analysis
F101098	Gamsiella multidivaricata	ingroup	Mortierellomycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Gamsiella	additional	12215	b9621bb5b60ddd32f47a917104ff67e6854851e7c4709cca9b2b5968861b0605	data/orthology_inputs/v1/additional/F101098.faa	Included in full-cohort species assignment and gene-tree analysis
F101201	Trichoderma asperellum	ingroup	Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma	additional	11857	4aaefc1b576646fd69df1c022ad71b7e0edd88a5900a735d329192300014a856	data/orthology_inputs/v1/additional/F101201.faa	Included in full-cohort species assignment and gene-tree analysis
F1031713	Tilletia maclaganii	ingroup	Basidiomycota;Exobasidiomycetes;Tilletiales;Tilletiaceae;Tilletia	additional	9992	8c55200ad3892ef1b8d6bb4b868fd8a5d7d03265bdc36c283e4b1f61319d1ae4	data/orthology_inputs/v1/additional/F1031713.faa	Included in full-cohort species assignment and gene-tree analysis
F103449	Vavraia culicis	ingroup	Microsporidia;Pleistophoridae;Vavraia	additional	2773	189f60a3fafce400227a7269bdb2e3ed0fb76539cc06cd1a222c864546141842	data/orthology_inputs/v1/additional/F103449.faa	Included in full-cohort species assignment and gene-tree analysis
F1042133	Fusarium musae	ingroup	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium	additional	13672	5b38cba33f4d94bdf1e4ea3eed4a84a460a1a893ee2f019c703060d8281996ab	data/orthology_inputs/v1/additional/F1042133.faa	Included in full-cohort species assignment and gene-tree analysis
F1042397	Schaereria dolodes	ingroup	Ascomycota;Lecanoromycetes;Sarrameanales;Schaereria	additional	6891	90c9b7ce80238791a424a97962e3c82354a6d4d4825ed3481a1bc78b3e53d77b	data/orthology_inputs/v1/additional/F1042397.faa	Included in full-cohort species assignment and gene-tree analysis
F104341	Rhodonia placenta	ingroup	Basidiomycota;Agaricomycetes;Polyporales;Adustoporiaceae;Rhodonia	additional	12537	69ec45e30dd31ecb7ae931fe6a09e175dce97e0b973ec0fb40d7d6f88d5ac1b5	data/orthology_inputs/v1/additional/F104341.faa	Included in full-cohort species assignment and gene-tree analysis
F104355	Gloeophyllum trabeum	ingroup	Basidiomycota;Agaricomycetes;Gloeophyllales;Gloeophyllaceae;Gloeophyllum	additional	11753	91917bd2111ab046757971827c72408966db8032f6b6016962456e87bcc39dfe	data/orthology_inputs/v1/additional/F104355.faa	Included in full-cohort species assignment and gene-tree analysis
F104408	Naganishia liquefaciens	ingroup	Basidiomycota;Tremellomycetes;Filobasidiales;Filobasidiaceae;Naganishia	additional	6883	7894574ffb563f28e3f26388e2835227d56de7f423516a840ba5efd80596bc7e	data/orthology_inputs/v1/additional/F104408.faa	Included in full-cohort species assignment and gene-tree analysis
F104669	Cryptococcus amylolentus	ingroup	Basidiomycota;Tremellomycetes;Tremellales;Cryptococcaceae;Cryptococcus	additional	8249	b712a4e998f2a54f9223c534cec8c36230aa0d4557f9063e31ce762d890d99aa	data/orthology_inputs/v1/additional/F104669.faa	Included in full-cohort species assignment and gene-tree analysis
F1048519	Viridothelium virens	ingroup	Ascomycota;Dothideomycetes;Trypetheliales;Trypetheliaceae;Viridothelium	additional	11845	5b9e6a384585474dfd042097b48d2ece28c9b6f88c16104cb779ff7708d9b4ca	data/orthology_inputs/v1/additional/F1048519.faa	Included in full-cohort species assignment and gene-tree analysis
F1048829	Paracoccidioides lutzii	ingroup	Ascomycota;Eurotiomycetes;Onygenales;Ajellomycetaceae;Paracoccidioides	additional	8826	f2317bdf76201de955d352c84658fec5eb814b20c9164010aa65d3cf07043ec6	data/orthology_inputs/v1/additional/F1048829.faa	Included in full-cohort species assignment and gene-tree analysis
F1048955	Tothia fuscella	ingroup	Ascomycota;Dothideomycetes;Venturiales;Cylindrosympodiaceae;Tothia	additional	13684	287aabeed5cea31a2711615eb58cb8c4637a953d6add1a91e54d15a8ff34a340	data/orthology_inputs/v1/additional/F1048955.faa	Included in full-cohort species assignment and gene-tree analysis
F1052096	Cladosporium halotolerans	ingroup	Ascomycota;Dothideomycetes;Cladosporiales;Cladosporiaceae;Cladosporium	additional	9704	200df3a8c4448fa748e4a9e1ccbf45ce53419ae4e841df88cffed24bb58c2b84	data/orthology_inputs/v1/additional/F1052096.faa	Included in full-cohort species assignment and gene-tree analysis
F1055551	Tritirachium sp. CBS 265.96	ingroup	Basidiomycota;Tritirachiomycetes;Tritirachiales;Tritirachiaceae;Tritirachium	core	7254	903af17cb8cb61556fbaabda6c1e7d40b34e5bd3cfc28ea3449b3148ab979d37	data/orthology_inputs/v1/core/F1055551.faa	Additional core taxonomic-prefix diversity; QC tie-break
F105984	Apiotrichum porosum	ingroup	Basidiomycota;Tremellomycetes;Trichosporonales;Trichosporonaceae;Apiotrichum	additional	9143	f1edd205aae45d03918857f2c1a5eee402e2009687601abdd3bedc06e2de41e6	data/orthology_inputs/v1/additional/F105984.faa	Included in full-cohort species assignment and gene-tree analysis
F106004	Leucosporidium creatinivorum	ingroup	Basidiomycota;Microbotryomycetes;Leucosporidiales;Leucosporidiaceae;Leucosporidium	additional	9854	cf037574d016640699d96ae8898dd2ce82cf602d76c18c7bf2af30dd41f2c31c	data/orthology_inputs/v1/additional/F106004.faa	Included in full-cohort species assignment and gene-tree analysis
F1069201	Aspergillus luchuensis	ingroup	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus	additional	12662	6f337287e1750ec9381633b9b167c74781681fe767f94e32e5b96fa7049c254c	data/orthology_inputs/v1/additional/F1069201.faa	Included in full-cohort species assignment and gene-tree analysis
F1080349	Saccharomyces eubayanus	ingroup	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces	additional	5379	64931f791b8429ea133bb0414ba9e49272819275d70da37aac80b3bb7def6793	data/orthology_inputs/v1/additional/F1080349.faa	Included in full-cohort species assignment and gene-tree analysis
F1081669	Hepatospora eriocheir	ingroup	Microsporidia;Hepatosporidae;Hepatospora	additional	2691	eaf5e21e80449b642c802721c3531fea82563cf3888e67817df8570d396f36f2	data/orthology_inputs/v1/additional/F1081669.faa	Included in full-cohort species assignment and gene-tree analysis
F1093897	Phialemonium atrogriseum	ingroup	Ascomycota;Sordariomycetes;Cephalothecales;Cephalothecaceae;Phialemonium	additional	11400	994fe07f1cb1bbea3c45f804fa3a9fc6a9259fa12cb94c27597bbc6c01f3b0c4	data/orthology_inputs/v1/additional/F1093897.faa	Included in full-cohort species assignment and gene-tree analysis
F1093900	Thyridium curvatum	ingroup	Ascomycota;Sordariomycetes;Thyridiales;Thyridiaceae;Thyridium	additional	12451	10fde784a935193d62fe3505cc52ce161fd1be86469ce54953eafe499b2cef58	data/orthology_inputs/v1/additional/F1093900.faa	Included in full-cohort species assignment and gene-tree analysis
F1095194	Colletotrichum karsti	ingroup	Ascomycota;Sordariomycetes;Glomerellales;Glomerellaceae;Colletotrichum	additional	13328	a4d3d8136dd744becf0c4483bffcae8ec537f17c2fce1a948739e365f03befa9	data/orthology_inputs/v1/additional/F1095194.faa	Included in full-cohort species assignment and gene-tree analysis
F109760	Spizellomyces punctatus	ingroup	Chytridiomycota;Chytridiomycetes;Spizellomycetales;Spizellomycetaceae;Spizellomyces	additional	8950	7e41637cf8d66840afe74d6eb9fded22fb55c1a5ec1af87c6b1bcd2e4a9d317d	data/orthology_inputs/v1/additional/F109760.faa	Included in full-cohort species assignment and gene-tree analysis
