taxon_id	species_name	species_taxid	study_role	lineage	assembly_accession	annotation_source_version	proteome_url	cds_url	genome_url	assembly_level	busco_complete_pct	contamination_status	ecology	ecology_source	structure_coverage	inclusion_reason	status
O691883	Fonticula alba	691883	outgroup	Nucleariida	GCF_000388065.1	Annotation submitted by NCBI RefSeq | 2014-10-06	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/388/065/GCF_000388065.1_Font_alba_ATCC_38817_V2/GCF_000388065.1_Font_alba_ATCC_38817_V2_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/388/065/GCF_000388065.1_Font_alba_ATCC_38817_V2/GCF_000388065.1_Font_alba_ATCC_38817_V2_cds_from_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/388/065/GCF_000388065.1_Font_alba_ATCC_38817_V2/GCF_000388065.1_Font_alba_ATCC_38817_V2_genomic.fna.gz	Scaffold		not_assessed	unknown		not_assessed	Close non-fungal holomycotan rooting anchor	provisional_selected_for_QC
O81824	Monosiga brevicollis	81824	outgroup	Choanoflagellatea	GCF_000002865.3	Annotation submitted by DOE Joint Genome Institute | 2022-11-29	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/865/GCF_000002865.3_V1.0/GCF_000002865.3_V1.0_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/865/GCF_000002865.3_V1.0/GCF_000002865.3_V1.0_cds_from_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/865/GCF_000002865.3_V1.0/GCF_000002865.3_V1.0_genomic.fna.gz	Scaffold		not_assessed	unknown		not_assessed	Unicellular holozoan comparison	provisional_selected_for_QC
O946362	Salpingoeca rosetta	946362	outgroup	Choanoflagellatea	GCF_000188695.1	Annotation submitted by Broad Institute | 2020-05-01	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/188/695/GCF_000188695.1_Proterospongia_sp_ATCC50818/GCF_000188695.1_Proterospongia_sp_ATCC50818_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/188/695/GCF_000188695.1_Proterospongia_sp_ATCC50818/GCF_000188695.1_Proterospongia_sp_ATCC50818_cds_from_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/188/695/GCF_000188695.1_Proterospongia_sp_ATCC50818/GCF_000188695.1_Proterospongia_sp_ATCC50818_genomic.fna.gz	Scaffold		not_assessed	unknown		not_assessed	Unicellular holozoan comparison	provisional_selected_for_QC
O192875	Capsaspora owczarzaki	192875	outgroup	Filasterea	GCF_000151315.2	Annotation submitted by NCBI RefSeq | 2015-02-06	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/151/315/GCF_000151315.2_C_owczarzaki_V2/GCF_000151315.2_C_owczarzaki_V2_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/151/315/GCF_000151315.2_C_owczarzaki_V2/GCF_000151315.2_C_owczarzaki_V2_cds_from_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/151/315/GCF_000151315.2_C_owczarzaki_V2/GCF_000151315.2_C_owczarzaki_V2_genomic.fna.gz	Scaffold		not_assessed	unknown		not_assessed	Unicellular holozoan comparison	provisional_selected_for_QC
O72019	Sphaeroforma arctica	72019	outgroup	Ichthyosporea	GCF_001186125.1	Annotation submitted by NCBI RefSeq | 2015-09-22	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/186/125/GCF_001186125.1_Spha_arctica_JP610_V1/GCF_001186125.1_Spha_arctica_JP610_V1_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/186/125/GCF_001186125.1_Spha_arctica_JP610_V1/GCF_001186125.1_Spha_arctica_JP610_V1_cds_from_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/186/125/GCF_001186125.1_Spha_arctica_JP610_V1/GCF_001186125.1_Spha_arctica_JP610_V1_genomic.fna.gz	Scaffold		not_assessed	unknown		not_assessed	Unicellular holozoan comparison	provisional_selected_for_QC
O529818	Thecamonas trahens	529818	outgroup	Apusomonadida	GCF_000142905.1	Annotation submitted by Broad Institute | 2024-02-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/142/905/GCF_000142905.1_TheTra_May2010/GCF_000142905.1_TheTra_May2010_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/142/905/GCF_000142905.1_TheTra_May2010/GCF_000142905.1_TheTra_May2010_cds_from_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/142/905/GCF_000142905.1_TheTra_May2010/GCF_000142905.1_TheTra_May2010_genomic.fna.gz	Scaffold		not_assessed	unknown		not_assessed	Broader rooting sensitivity	provisional_selected_for_QC
O5755	Acanthamoeba castellanii	5755	outgroup	Amoebozoa	GCF_000313135.1	Annotation submitted by JCVI | 2021-10-07	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/313/135/GCF_000313135.1_Acastellanii.strNEFF_v1/GCF_000313135.1_Acastellanii.strNEFF_v1_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/313/135/GCF_000313135.1_Acastellanii.strNEFF_v1/GCF_000313135.1_Acastellanii.strNEFF_v1_cds_from_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/313/135/GCF_000313135.1_Acastellanii.strNEFF_v1/GCF_000313135.1_Acastellanii.strNEFF_v1_genomic.fna.gz	Scaffold		not_assessed	unknown		not_assessed	Broader rooting sensitivity	provisional_selected_for_QC
O44689	Dictyostelium discoideum	44689	outgroup	Amoebozoa	GCF_000004695.1	Annotation submitted by NCBI RefSeq | 2023-04-03	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/004/695/GCF_000004695.1_dicty_2.7/GCF_000004695.1_dicty_2.7_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/004/695/GCF_000004695.1_dicty_2.7/GCF_000004695.1_dicty_2.7_cds_from_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/004/695/GCF_000004695.1_dicty_2.7/GCF_000004695.1_dicty_2.7_genomic.fna.gz	Chromosome		not_assessed	unknown		not_assessed	Broader rooting sensitivity	provisional_selected_for_QC
O5786	Dictyostelium purpureum	5786	outgroup	Amoebozoa	GCF_000190715.1	Annotation submitted by NCBI RefSeq | 2012-09-13	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/190/715/GCF_000190715.1_v1.0/GCF_000190715.1_v1.0_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/190/715/GCF_000190715.1_v1.0/GCF_000190715.1_v1.0_cds_from_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/190/715/GCF_000190715.1_v1.0/GCF_000190715.1_v1.0_genomic.fna.gz	Scaffold		not_assessed	unknown		not_assessed	Broader rooting sensitivity	provisional_selected_for_QC
O133409	Polysphondylium violaceum	133409	outgroup	Amoebozoa	GCA_000277445.1	Annotation submitted by BCM-HGSC | 2020-02-11	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/277/445/GCA_000277445.1_ASM27744v1/GCA_000277445.1_ASM27744v1_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/277/445/GCA_000277445.1_ASM27744v1/GCA_000277445.1_ASM27744v1_cds_from_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/277/445/GCA_000277445.1_ASM27744v1/GCA_000277445.1_ASM27744v1_genomic.fna.gz	Contig		not_assessed	unknown		not_assessed	Broader rooting sensitivity	provisional_selected_for_QC
