marker	fit	warning
115730at2759	3di_af	WARNING: 3 near-zero internal branches (<0.0043) should be treated with caution
115730at2759	3di_af	WARNING: States(s) E, T, Y rarely appear in alignment and may cause numerical problems
115730at2759	3di_af_empirical	WARNING: 2 near-zero internal branches (<0.0043) should be treated with caution
115730at2759	3di_af_empirical	WARNING: States(s) E, T, Y rarely appear in alignment and may cause numerical problems
115730at2759	3di_llm	WARNING: 3 near-zero internal branches (<0.0043) should be treated with caution
115730at2759	3di_llm	WARNING: States(s) E, T, Y rarely appear in alignment and may cause numerical problems
207567at2759	aa	WARNING: 2 near-zero internal branches (<0.0058) should be treated with caution
207567at2759	3di_af	WARNING: 2 near-zero internal branches (<0.0058) should be treated with caution
207567at2759	3di_af	WARNING: States(s) M rarely appear in alignment and may cause numerical problems
207567at2759	3di_af_empirical	WARNING: 2 near-zero internal branches (<0.0058) should be treated with caution
207567at2759	3di_af_empirical	WARNING: States(s) M rarely appear in alignment and may cause numerical problems
207567at2759	3di_llm	WARNING: 2 near-zero internal branches (<0.0058) should be treated with caution
207567at2759	3di_llm	WARNING: States(s) M rarely appear in alignment and may cause numerical problems
319730at2759	aa	WARNING: Too low -mem, automatically increased to 0.656 MB
319730at2759	3di_af	WARNING: Too low -mem, automatically increased to 0.408 MB
319730at2759	3di_af_empirical	WARNING: Too low -mem, automatically increased to 0.408 MB
319730at2759	3di_llm	WARNING: Too low -mem, automatically increased to 0.408 MB
340246at2759	aa	WARNING: Too low -mem, automatically increased to 0.829 MB
340246at2759	3di_af	WARNING: States(s) I, K, M, T, W rarely appear in alignment and may cause numerical problems
340246at2759	3di_af	WARNING: Too low -mem, automatically increased to 0.569 MB
340246at2759	3di_af_empirical	WARNING: States(s) I, K, M, T, W rarely appear in alignment and may cause numerical problems
340246at2759	3di_af_empirical	WARNING: Too low -mem, automatically increased to 0.569 MB
340246at2759	3di_llm	WARNING: States(s) I, K, M, T, W rarely appear in alignment and may cause numerical problems
340246at2759	3di_llm	WARNING: Too low -mem, automatically increased to 0.569 MB
4747214at2759	aa	WARNING: States(s) W rarely appear in alignment and may cause numerical problems
4747214at2759	aa	WARNING: Too low -mem, automatically increased to 0.285 MB
4747214at2759	3di_af	WARNING: States(s) E, Y rarely appear in alignment and may cause numerical problems
4747214at2759	3di_af	WARNING: Too low -mem, automatically increased to 0.211 MB
4747214at2759	3di_af_empirical	WARNING: States(s) E, Y rarely appear in alignment and may cause numerical problems
4747214at2759	3di_af_empirical	WARNING: Too low -mem, automatically increased to 0.211 MB
4747214at2759	3di_llm	WARNING: States(s) E, Y rarely appear in alignment and may cause numerical problems
4747214at2759	3di_llm	WARNING: Too low -mem, automatically increased to 0.211 MB
4843824at2759	3di_af	WARNING: States(s) N, L rarely appear in alignment and may cause numerical problems
4843824at2759	3di_af_empirical	WARNING: States(s) N, L rarely appear in alignment and may cause numerical problems
4843824at2759	3di_llm	WARNING: States(s) N, L rarely appear in alignment and may cause numerical problems
4867008at2759	aa	WARNING: Too low -mem, automatically increased to 0.421 MB
4867008at2759	3di_af	WARNING: Too low -mem, automatically increased to 0.384 MB
4867008at2759	3di_af_empirical	WARNING: Too low -mem, automatically increased to 0.384 MB
4867008at2759	3di_llm	WARNING: Too low -mem, automatically increased to 0.384 MB
4900375at2759	aa	WARNING: Too low -mem, automatically increased to 0.532 MB
4900375at2759	3di_af	WARNING: States(s) E, W, Y rarely appear in alignment and may cause numerical problems
4900375at2759	3di_af	WARNING: Too low -mem, automatically increased to 0.347 MB
4900375at2759	3di_af_empirical	WARNING: States(s) E, W, Y rarely appear in alignment and may cause numerical problems
4900375at2759	3di_af_empirical	WARNING: Too low -mem, automatically increased to 0.347 MB
4900375at2759	3di_llm	WARNING: States(s) E, W, Y rarely appear in alignment and may cause numerical problems
4900375at2759	3di_llm	WARNING: Too low -mem, automatically increased to 0.347 MB
4911644at2759	3di_af	WARNING: States(s) M, Y rarely appear in alignment and may cause numerical problems
