marker	block_length	draws	valid_draws	unestimable_draws	branches
115730at2759	1	200	200	0	13
115730at2759	10	200	200	0	13
115730at2759	30	200	200	0	13
207567at2759	1	200	200	0	9
207567at2759	10	200	200	0	9
207567at2759	30	200	200	0	9
319730at2759	1	200	200	0	5
319730at2759	10	200	200	0	5
319730at2759	30	200	200	0	5
340246at2759	1	200	200	0	5
340246at2759	10	200	200	0	5
340246at2759	30	200	200	0	5
4747214at2759	1	200	200	0	5
4747214at2759	10	200	200	0	5
4747214at2759	30	200	200	0	5
4823929at2759	1	200	200	0	7
4823929at2759	10	200	200	0	7
4823929at2759	30	200	200	0	7
4843824at2759	1	200	200	0	13
4843824at2759	10	200	200	0	13
4843824at2759	30	200	200	0	13
4867008at2759	1	200	200	0	5
4867008at2759	10	200	200	0	5
4867008at2759	30	200	200	0	5
4900375at2759	1	200	200	0	5
4900375at2759	10	200	200	0	5
4900375at2759	30	200	200	0	5
4911644at2759	1	200	200	0	9
4911644at2759	10	200	200	0	9
4911644at2759	30	200	200	0	9
4976279at2759	1	200	200	0	7
4976279at2759	10	200	200	0	7
4976279at2759	30	200	200	0	7
4977163at2759	1	200	200	0	7
4977163at2759	10	200	200	0	7
4977163at2759	30	200	199	1	7
4985971at2759	1	200	200	0	11
4985971at2759	10	200	200	0	11
4985971at2759	30	200	200	0	11
4988239at2759	1	200	200	0	7
4988239at2759	10	200	200	0	7
4988239at2759	30	200	200	0	7
5000152at2759	1	200	200	0	9
5000152at2759	10	200	200	0	9
5000152at2759	30	200	200	0	9
5000476at2759	1	200	200	0	11
5000476at2759	10	200	200	0	11
5000476at2759	30	200	200	0	11
5000743at2759	1	200	200	0	11
5000743at2759	10	200	200	0	11
5000743at2759	30	200	200	0	11
5000823at2759	1	200	200	0	7
5000823at2759	10	200	200	0	7
5000823at2759	30	200	200	0	7
5001273at2759	1	200	200	0	9
5001273at2759	10	200	200	0	9
5001273at2759	30	200	200	0	9
5001734at2759	1	200	200	0	7
5001734at2759	10	200	200	0	7
5001734at2759	30	200	199	1	7
5001941at2759	1	200	200	0	7
5001941at2759	10	200	200	0	7
5001941at2759	30	200	200	0	7
5002334at2759	1	200	200	0	9
5002334at2759	10	200	200	0	9
5002334at2759	30	200	200	0	9
5002573at2759	1	200	200	0	19
5002573at2759	10	200	200	0	19
5002573at2759	30	200	200	0	19
5003192at2759	1	200	200	0	5
5003192at2759	10	200	200	0	5
5003192at2759	30	200	200	0	5
5003972at2759	1	200	200	0	5
5003972at2759	10	200	200	0	5
5003972at2759	30	200	200	0	5
5004118at2759	1	200	200	0	7
5004118at2759	10	200	200	0	7
5004118at2759	30	200	200	0	7
5004327at2759	1	200	200	0	7
5004327at2759	10	200	200	0	7
5004327at2759	30	200	200	0	7
5005174at2759	1	200	200	0	5
5005174at2759	10	200	200	0	5
5005174at2759	30	200	200	0	5
5005196at2759	1	200	200	0	17
5005196at2759	10	200	200	0	17
5005196at2759	30	200	200	0	17
5005215at2759	1	200	200	0	7
5005215at2759	10	200	200	0	7
5005215at2759	30	200	200	0	7
5005697at2759	1	200	200	0	7
5005697at2759	10	200	200	0	7
5005697at2759	30	200	200	0	7
5005750at2759	1	200	200	0	5
5005750at2759	10	200	200	0	5
5005750at2759	30	200	200	0	5
5005892at2759	1	200	200	0	7
5005892at2759	10	200	200	0	7
5005892at2759	30	200	200	0	7
5013067at2759	1	200	200	0	9
5013067at2759	10	200	200	0	9
5013067at2759	30	200	200	0	9
5013259at2759	1	200	200	0	7
5013259at2759	10	200	200	0	7
5013259at2759	30	200	200	0	7
5013539at2759	1	200	200	0	7
5013539at2759	10	200	200	0	7
5013539at2759	30	200	200	0	7
5013738at2759	1	200	200	0	9
5013738at2759	10	200	200	0	9
5013738at2759	30	200	200	0	9
5014007at2759	1	200	200	0	5
5014007at2759	10	200	200	0	5
5014007at2759	30	200	200	0	5
5015403at2759	1	200	200	0	5
5015403at2759	10	200	200	0	5
5015403at2759	30	200	200	0	5
5015647at2759	1	200	200	0	9
5015647at2759	10	200	200	0	9
5015647at2759	30	200	200	0	9
5017019at2759	1	200	200	0	5
5017019at2759	10	200	200	0	5
5017019at2759	30	200	200	0	5
529759at2759	1	200	200	0	5
529759at2759	10	200	200	0	5
529759at2759	30	200	200	0	5
530014at2759	1	200	200	0	5
530014at2759	10	200	200	0	5
530014at2759	30	200	200	0	5
538728at2759	1	200	200	0	5
538728at2759	10	200	200	0	5
538728at2759	30	200	200	0	5
539632at2759	1	200	200	0	21
539632at2759	10	200	200	0	21
539632at2759	30	200	200	0	21
649304at2759	1	200	200	0	7
649304at2759	10	200	200	0	7
649304at2759	30	200	200	0	7
707076at2759	1	200	200	0	15
707076at2759	10	200	200	0	15
707076at2759	30	200	200	0	15
727964at2759	1	200	200	0	5
727964at2759	10	200	200	0	5
727964at2759	30	200	200	0	5
730114at2759	1	200	200	0	7
730114at2759	10	200	200	0	7
730114at2759	30	200	200	0	7
760428at2759	1	200	200	0	5
760428at2759	10	200	200	0	5
760428at2759	30	200	200	0	5
776280at2759	1	200	200	0	5
776280at2759	10	200	200	0	5
776280at2759	30	200	200	0	5
801816at2759	1	200	200	0	11
801816at2759	10	200	200	0	11
801816at2759	30	200	200	0	11
