taxon_id	species_name	study_role	lineage_group	reference_only	local_only	both	neither	reference_usable	local_usable	union_usable
F1498855	Amoeboaphelidium occidentale	ingroup	Aphelidiomycota	0	26	0	99	0	26	26
F1243177	Amoeboaphelidium protococcarum	ingroup	Aphelidiomycota	0	0	0	125	0	0	0
F2871812	Acarospora aff. strigata	ingroup	Ascomycota	0	25	0	100	0	25	25
F318763	Pleopsidium flavum	ingroup	Ascomycota	0	25	0	100	0	25	25
F470096	Pseudovirgaria hyperparasitica	ingroup	Ascomycota	122	0	0	3	122	0	122
F4918	Pachysolen tannophilus	ingroup	Ascomycota	116	0	0	9	116	0	116
F1658444	Neoarthrinium moseri	ingroup	Ascomycota	52	24	0	49	52	24	76
F393283	Pestalotiopsis fici	ingroup	Ascomycota	118	0	0	7	118	0	118
F1141098	Pseudomassariella vexata	ingroup	Ascomycota	121	0	0	4	121	0	121
F91480	Alyxoria varia	ingroup	Ascomycota	0	26	0	99	0	26	26
F2939400	Chrysothrix sp. TS-e1954	ingroup	Ascomycota	0	27	0	98	0	27	27
F1542792	Coniocarpon cinnabarinum	ingroup	Ascomycota	0	26	0	99	0	26	26
F54195	Ascoidea rubescens	ingroup	Ascomycota	116	0	0	9	116	0	116
F43959	Saccharomycopsis crataegensis	ingroup	Ascomycota	118	0	0	7	118	0	118
F1176130	Aulographum hederae	ingroup	Ascomycota	123	0	0	2	123	0	123
F1504668	Rhizodiscina lignyota	ingroup	Ascomycota	122	0	0	3	122	0	122
F1397036	Lambiella insularis	ingroup	Ascomycota	0	23	0	102	0	23	23
F223409	Ptychographa xylographoides	ingroup	Ascomycota	0	25	0	100	0	25	25
F1590129	Xylographa bjoerkii	ingroup	Ascomycota	0	23	0	102	0	23	23
F462254	Aplosporella prunicola	ingroup	Ascomycota	121	0	0	4	121	0	121
F236234	Diplodia corticola	ingroup	Ascomycota	120	0	0	5	120	0	120
F121624	Phyllosticta capitalensis	ingroup	Ascomycota	0	28	0	97	0	28	28
F3058885	Dirinaria sp. TL-2023a	ingroup	Ascomycota	0	24	0	101	0	24	24
F116794	Heterodermia speciosa	ingroup	Ascomycota	118	0	0	7	118	0	118
F116821	Physcia stellaris	ingroup	Ascomycota	0	23	0	102	0	23	23
F41990	Pleurostoma richardsiae	ingroup	Ascomycota	121	0	0	4	121	0	121
F460848	Candelaria pacifica	ingroup	Ascomycota	0	24	0	101	0	24	24
F460854	Candelina submexicana	ingroup	Ascomycota	0	24	0	101	0	24	24
F1453791	Pycnora praestabilis	ingroup	Ascomycota	0	23	0	102	0	23	23
F147573	Piedraia hortae	ingroup	Ascomycota	120	0	0	5	120	0	120
F705562	Polychaeton citri	ingroup	Ascomycota	123	0	0	2	123	0	123
F1093897	Phialemonium atrogriseum	ingroup	Ascomycota	115	0	0	10	115	0	115
F223376	Phialemonium thermophilum	ingroup	Ascomycota	0	26	0	99	0	26	26
F1506992	Thozetella sp. PMI_491	ingroup	Ascomycota	0	25	0	100	0	25	25
F293227	Cyphellophora europaea	ingroup	Ascomycota	122	0	0	3	122	0	122
F2486360	Exophiala viscosa	ingroup	Ascomycota	62	23	0	40	62	23	85
F1690604	Lithohypha guttulata	ingroup	Ascomycota	27	24	0	74	27	24	51
F1052096	Cladosporium halotolerans	ingroup	Ascomycota	123	0	0	2	123	0	123
F1507870	Cryoendolithus antarcticus	ingroup	Ascomycota	15	0	0	110	15	0	15
F1507873	Rachicladosporium monterosium	ingroup	Ascomycota	0	25	0	100	0	25	25
F91930	Coniochaeta hoffmannii	ingroup	Ascomycota	1	26	0	98	1	26	27
F177197	Coniochaeta ligniaria	ingroup	Ascomycota	120	0	0	5	120	0	120
F177199	Coniochaeta pulveracea	ingroup	Ascomycota	117	0	0	8	117	0	117
F164576	Chaenotheca gracillima	ingroup	Ascomycota	0	24	0	101	0	24	24
F2939403	Sclerophora amabilis	ingroup	Ascomycota	0	24	0	101	0	24	24
F5116	Cryphonectria parasitica	ingroup	Ascomycota	109	0	0	16	109	0	109
F1214568	Diaporthe amygdali	ingroup	Ascomycota	19	23	0	83	19	23	42
F148313	Discula destructiva	ingroup	Ascomycota	0	26	0	99	0	26	26
F2268995	Blastobotrys vanleenenianus	ingroup	Ascomycota	0	27	0	98	0	27	27
F2606893	Magnusiomyces paraingens	ingroup	Ascomycota	120	0	0	5	120	0	120
F796027	Sugiyamaella lignohabitans	ingroup	Ascomycota	112	0	0	13	112	0	112
F5580	Aureobasidium pullulans	ingroup	Ascomycota	122	0	0	3	122	0	122
F2781224	Neodothiora populina	ingroup	Ascomycota	0	25	0	100	0	25	25
F2024903	Zalaria obscura	ingroup	Ascomycota	0	23	0	102	0	23	23
F1341166	Eremomyces bilateralis	ingroup	Ascomycota	118	0	0	7	118	0	118
F182096	Aspergillus chevalieri	ingroup	Ascomycota	121	0	0	4	121	0	121
F5059	Aspergillus flavus	ingroup	Ascomycota	123	0	0	2	123	0	123
F746128	Aspergillus fumigatus	ingroup	Ascomycota	90	19	0	16	90	19	109
F1069201	Aspergillus luchuensis	ingroup	Ascomycota	122	0	0	3	122	0	122
F41759	Aspergillus multicolor	ingroup	Ascomycota	0	28	0	97	0	28	28
F162425	Aspergillus nidulans	ingroup	Ascomycota	117	1	0	7	117	1	118
F5062	Aspergillus oryzae	ingroup	Ascomycota	114	2	0	9	114	2	116
F1220207	Aspergillus puulaauensis	ingroup	Ascomycota	123	0	0	2	123	0	123
F1810926	Aspergillus stella-maris	ingroup	Ascomycota	0	28	0	97	0	28	28
F1810928	Aspergillus undulatus	ingroup	Ascomycota	0	28	0	97	0	28	28
F315204	Geoglossum umbratile	ingroup	Ascomycota	0	24	0	101	0	24	24
F1670608	Glutinoglossum americanum	ingroup	Ascomycota	117	0	0	8	117	0	117
F265104	Trichoglossum hirsutum	ingroup	Ascomycota	0	25	0	100	0	25	25
F1671311	Colletotrichum abscissum	ingroup	Ascomycota	104	6	0	15	104	6	110
F1209916	Colletotrichum costaricense	ingroup	Ascomycota	122	0	0	3	122	0	122
F34406	Colletotrichum destructivum	ingroup	Ascomycota	121	0	0	4	121	0	121
F710243	Colletotrichum fioriniae	ingroup	Ascomycota	32	23	0	70	32	23	55
F474922	Colletotrichum gloeosporioides	ingroup	Ascomycota	116	0	0	9	116	0	116
F80884	Colletotrichum higginsianum	ingroup	Ascomycota	118	0	0	7	118	0	118
F2283408	Colletotrichum jinshuiense	ingroup	Ascomycota	2	26	0	97	2	26	28
F1095194	Colletotrichum karsti	ingroup	Ascomycota	118	0	0	7	118	0	118
F145971	Colletotrichum lupini	ingroup	Ascomycota	114	0	0	11	114	0	114
F1209934	Colletotrichum tamarilloi	ingroup	Ascomycota	62	20	0	43	62	20	82
F5570	Cenococcum geophilum	ingroup	Ascomycota	1	28	0	96	1	28	29
F574774	Glonium stellatum	ingroup	Ascomycota	118	0	0	7	118	0	118
F5101	Amorphotheca resinae	ingroup	Ascomycota	122	0	0	3	122	0	122
F40559	Botrytis cinerea	ingroup	Ascomycota	115	0	0	10	115	0	115
F2656787	Venustampulla echinocandica	ingroup	Ascomycota	120	0	0	5	120	0	120
F195108	Fusarium falciforme	ingroup	Ascomycota	60	21	0	44	60	21	81
F5127	Fusarium fujikuroi	ingroup	Ascomycota	119	0	0	6	119	0	119
F5518	Fusarium graminearum	ingroup	Ascomycota	101	7	0	17	101	7	108
F1328300	Fusarium keratoplasticum	ingroup	Ascomycota	22	25	0	78	22	25	47
F1042133	Fusarium musae	ingroup	Ascomycota	120	0	0	5	120	0	120
F5507	Fusarium oxysporum	ingroup	Ascomycota	40	25	0	60	40	25	65
F36050	Fusarium poae	ingroup	Ascomycota	75	19	0	31	75	19	94
F101028	Fusarium pseudograminearum	ingroup	Ascomycota	120	0	0	5	120	0	120
F5128	Fusarium sambucinum	ingroup	Ascomycota	6	26	0	93	6	26	32
F117187	Fusarium verticillioides	ingroup	Ascomycota	100	0	0	25	100	0	100
F173216	Trichoderma aggressivum	ingroup	Ascomycota	119	0	0	6	119	0	119
F101201	Trichoderma asperellum	ingroup	Ascomycota	81	19	0	25	81	19	100
F63577	Trichoderma atroviride	ingroup	Ascomycota	65	19	0	41	65	19	84
F2034170	Trichoderma breve	ingroup	Ascomycota	122	0	0	3	122	0	122
F1738374	Trichoderma camerunense	ingroup	Ascomycota	32	24	0	69	32	24	56
F58853	Trichoderma citrinoviride	ingroup	Ascomycota	120	0	0	5	120	0	120
F549676	Trichoderma evansii	ingroup	Ascomycota	7	27	0	91	7	27	34
F398673	Trichoderma gamsii	ingroup	Ascomycota	113	0	0	12	113	0	113
F65468	Trichoderma ghanense	ingroup	Ascomycota	5	25	0	95	5	25	30
F5544	Trichoderma harzianum	ingroup	Ascomycota	119	0	0	6	119	0	119
F2732470	Bacidia gigantensis	ingroup	Ascomycota	0	23	0	102	0	23	23
F209136	Lepraria neglecta	ingroup	Ascomycota	120	0	0	5	120	0	120
F560253	Letharia lupina	ingroup	Ascomycota	118	0	0	7	118	0	118
F2939399	Claussenomyces sp. TS43310	ingroup	Ascomycota	0	26	0	99	0	26	26
F3384825	Phaeococcomyces sp. EXF-18165	ingroup	Ascomycota	0	26	0	99	0	26	26
F174425	Lichina confinis	ingroup	Ascomycota	0	23	0	102	0	23	23
F318774	Phylliscum demangeonii	ingroup	Ascomycota	0	25	0	100	0	25	25
F2796175	Watsoniomyces obsoletus	ingroup	Ascomycota	0	27	0	98	0	27	27
F578093	Lineolata rhizophorae	ingroup	Ascomycota	120	0	0	5	120	0	120
F1125753	Limtongia smithiae	ingroup	Ascomycota	0	25	0	100	0	25	25
F383834	Lipomyces doorenjongii	ingroup	Ascomycota	0	25	0	100	0	25	25
F44089	Neoaidaea tothii	ingroup	Ascomycota	0	26	0	99	0	26	26
F339359	Zalerion maritima	ingroup	Ascomycota	117	0	0	8	117	0	117
F36779	Gaeumannomyces tritici	ingroup	Ascomycota	120	0	0	5	120	0	120
F148304	Magnaporthiopsis poae	ingroup	Ascomycota	95	0	0	30	95	0	95
F148305	Pyricularia grisea	ingroup	Ascomycota	118	0	0	7	118	0	118
F2035830	Berkeleyomyces rouxiae	ingroup	Ascomycota	0	28	0	97	0	28	28
F2019550	Ceratocystis lukuohia	ingroup	Ascomycota	0	25	0	100	0	25	25
F563466	Scedosporium apiospermum	ingroup	Ascomycota	93	0	0	32	93	0	93
F703497	Microthyrium microscopicum	ingroup	Ascomycota	123	0	0	2	123	0	123
F122368	Cercospora beticola	ingroup	Ascomycota	114	4	0	7	114	4	118
F574656	Recurvomyces mirabilis	ingroup	Ascomycota	108	4	0	13	108	4	112
F1690608	Saxophila tyrrhenica	ingroup	Ascomycota	120	0	0	5	120	0	120
F2601811	Elsinoe batatas	ingroup	Ascomycota	119	0	0	6	119	0	119
F147570	Myriangium duriaei	ingroup	Ascomycota	122	0	0	3	122	0	122
F2082308	Sphaceloma murrayae	ingroup	Ascomycota	122	0	0	3	122	0	122
F741139	Lepidopterella palustris	ingroup	Ascomycota	122	0	0	3	122	0	122
F390894	Lophium mytilinum	ingroup	Ascomycota	122	0	0	3	122	0	122
F574789	Mytilinidion resinicola	ingroup	Ascomycota	122	0	0	3	122	0	122
F48691	Neolecta irregularis	ingroup	Ascomycota	108	0	0	17	108	0	108
F92988	Neophaeotheca triangularis	ingroup	Ascomycota	0	25	0	100	0	25	25
F199306	Coccidioides posadasii	ingroup	Ascomycota	0	27	0	98	0	27	27
F63402	Nannizzia gypsea	ingroup	Ascomycota	121	0	0	4	121	0	121
F1048829	Paracoccidioides lutzii	ingroup	Ascomycota	124	0	0	1	124	0	124
F226899	Leptographium clavigerum	ingroup	Ascomycota	114	0	0	11	114	0	114
F61273	Ophiostoma piceae	ingroup	Ascomycota	120	0	0	5	120	0	120
F29908	Sporothrix schenckii	ingroup	Ascomycota	33	24	0	68	33	24	57
F97331	Arthrobotrys flagrans	ingroup	Ascomycota	122	0	0	3	122	0	122
F1814901	Dactylella cylindrospora	ingroup	Ascomycota	0	21	0	104	0	21	21
F2813651	Orbilia oligospora	ingroup	Ascomycota	120	0	0	5	120	0	120
F1940652	Gomphillus americanus	ingroup	Ascomycota	118	0	0	7	118	0	118
F2704026	Stictis urceolata	ingroup	Ascomycota	0	25	0	100	0	25	25
F209281	Thelotrema lepadinum	ingroup	Ascomycota	0	25	0	100	0	25	25
F703506	Patellaria atrata	ingroup	Ascomycota	118	0	0	7	118	0	118
F669869	Lobaria immixta	ingroup	Ascomycota	0	24	0	101	0	24	24
F52883	Peltigera leucophlebia	ingroup	Ascomycota	0	25	0	100	0	25	25
F169141	Pseudocyphellaria aurata	ingroup	Ascomycota	0	25	0	100	0	25	25
F443868	Agyrium rufum	ingroup	Ascomycota	0	24	0	101	0	24	24
F1006475	Circinaria calcarea	ingroup	Ascomycota	0	23	0	102	0	23	23
F90408	Icmadophila ericetorum	ingroup	Ascomycota	0	26	0	99	0	26	26
F1174673	Morchella importuna	ingroup	Ascomycota	0	27	0	98	0	27	27
F43433	Tricharina praecox	ingroup	Ascomycota	0	27	0	98	0	27	27
F39416	Tuber melanosporum	ingroup	Ascomycota	115	0	0	10	115	0	115
F158046	Phaeomoniella chlamydospora	ingroup	Ascomycota	111	0	0	14	111	0	111
F703511	Trichodelitschia bisporula	ingroup	Ascomycota	122	0	0	3	122	0	122
F4927	Hansenula anomala	ingroup	Ascomycota	114	0	0	11	114	0	114
F599730	Waltiozyma pijperi	ingroup	Ascomycota	116	0	0	9	116	0	116
F4903	Williopsis jadinii	ingroup	Ascomycota	118	0	0	7	118	0	118
F1825666	Phyllachora maydis	ingroup	Ascomycota	102	0	0	23	102	0	102
F1276059	Polystigma amygdalinum	ingroup	Ascomycota	0	27	0	98	0	27	27
F13502	Brettanomyces nanus	ingroup	Ascomycota	116	0	0	9	116	0	116
F1005962	Ogataea parapolymorpha	ingroup	Ascomycota	116	0	0	9	116	0	116
F4909	Pichia kudriavzevii	ingroup	Ascomycota	116	0	0	9	116	0	116
F48095	Alternaria dauci	ingroup	Ascomycota	0	27	0	98	0	27	27
F5454	Ascochyta rabiei	ingroup	Ascomycota	85	12	0	28	85	12	97
F5022	Plenodomus lingam	ingroup	Ascomycota	61	25	0	39	61	25	86
F4754	Pneumocystis carinii	ingroup	Ascomycota	118	0	0	7	118	0	118
F42068	Pneumocystis jirovecii	ingroup	Ascomycota	118	0	0	7	118	0	118
F263815	Pneumocystis murina	ingroup	Ascomycota	120	0	0	5	120	0	120
F2977754	Pyrenula ochraceoflavens	ingroup	Ascomycota	0	23	0	102	0	23	23
F3060298	Pyrenula sp. 1 TL-2023	ingroup	Ascomycota	0	23	0	102	0	23	23
F1453789	Toensbergia leucococca	ingroup	Ascomycota	0	25	0	100	0	25	25
F706196	Saccharomyces arboricola	ingroup	Ascomycota	99	0	0	26	99	0	99
F4932	Saccharomyces cerevisiae	ingroup	Ascomycota	121	0	0	4	121	0	121
F332112	Saccharomyces cerevisiae x Saccharomyces kudriavzevii	ingroup	Ascomycota	41	0	0	84	41	0	41
F1080349	Saccharomyces eubayanus	ingroup	Ascomycota	6	23	0	96	6	23	29
F114524	Saccharomyces kudriavzevii	ingroup	Ascomycota	117	0	0	8	117	0	117
F114525	Saccharomyces mikatae	ingroup	Ascomycota	10	0	0	115	10	0	10
F27291	Saccharomyces paradoxus	ingroup	Ascomycota	6	25	0	94	6	25	31
F27292	Saccharomyces pastorianus	ingroup	Ascomycota	14	0	0	111	14	0	14
F230603	Saccharomyces uvarum	ingroup	Ascomycota	9	25	0	91	9	25	34
F29833	Hanseniaspora uvarum	ingroup	Ascomycota	8	27	0	90	8	27	35
F56409	Hanseniaspora vineae	ingroup	Ascomycota	0	27	0	98	0	27	27
F36035	Saccharomycodes ludwigii	ingroup	Ascomycota	7	23	0	95	7	23	30
F1099800	Saitoella coloradoensis	ingroup	Ascomycota	0	27	0	98	0	27	27
F5606	Saitoella complicata	ingroup	Ascomycota	6	27	0	92	6	27	33
F273283	Sarea resinae	ingroup	Ascomycota	0	27	0	98	0	27	27
F400354	Loxospora ochrophaea	ingroup	Ascomycota	0	25	0	100	0	25	25
F1042397	Schaereria dolodes	ingroup	Ascomycota	0	23	0	102	0	23	23
F4897	Schizosaccharomyces japonicus	ingroup	Ascomycota	6	0	0	119	6	0	6
F2545709	Schizosaccharomyces osmophilus	ingroup	Ascomycota	8	0	0	117	8	0	8
F4896	Schizosaccharomyces pombe	ingroup	Ascomycota	7	0	0	118	7	0	7
F241526	Candida africana	ingroup	Ascomycota	0	26	0	99	0	26	26
F5476	Candida albicans	ingroup	Ascomycota	7	0	0	118	7	0	7
F42374	Candida dubliniensis	ingroup	Ascomycota	6	0	0	119	6	0	6
F5479	Candida maltosa	ingroup	Ascomycota	6	25	0	94	6	25	31
F5482	Candida tropicalis	ingroup	Ascomycota	5	0	0	120	5	0	5
F5486	Candida viswanathii	ingroup	Ascomycota	6	0	0	119	6	0	6
F2609844	Podospora pseudoanserina	ingroup	Ascomycota	0	26	0	99	0	26	26
F72144	Remersonia thermophila	ingroup	Ascomycota	1	26	0	98	1	26	27
F5147	Sordaria macrospora	ingroup	Ascomycota	7	11	0	107	7	11	18
F2754530	Protomyces lactucae-debilis	ingroup	Ascomycota	8	0	0	117	8	0	8
F5011	Taphrina deformans	ingroup	Ascomycota	7	0	0	118	7	0	7
F1145299	Brigantiaea leucoxantha	ingroup	Ascomycota	0	25	0	100	0	25	25
F1145321	Letrouitia subvulpina	ingroup	Ascomycota	0	20	0	105	0	20	20
F116982	Xanthoria calcicola	ingroup	Ascomycota	0	23	0	102	0	23	23
F3342545	Pseudogymnoascus australis	ingroup	Ascomycota	1	24	0	100	1	24	25
F655981	Pseudogymnoascus destructans	ingroup	Ascomycota	6	10	0	109	6	10	16
F342668	Pseudogymnoascus verrucosus	ingroup	Ascomycota	8	0	0	117	8	0	8
F1116844	Thelocarpon impressellum	ingroup	Ascomycota	0	25	0	100	0	25	25
F2939404	Thelocarpon superellum	ingroup	Ascomycota	0	26	0	99	0	26	26
F1093900	Thyridium curvatum	ingroup	Ascomycota	8	0	0	117	8	0	8
F223192	Phaeoacremonium minimum	ingroup	Ascomycota	8	0	0	117	8	0	8
F2918522	Lignoscripta atroalba	ingroup	Ascomycota	0	23	0	102	0	23	23
F129515	Trapelia coarctata	ingroup	Ascomycota	0	24	0	101	0	24	24
F51930	Tortispora caseinolytica	ingroup	Ascomycota	7	0	0	118	7	0	7
F2939406	Bogoriella megaspora	ingroup	Ascomycota	0	25	0	100	0	25	25
F364730	Trypethelium subeluteriae	ingroup	Ascomycota	0	22	0	103	0	22	22
F1048519	Viridothelium virens	ingroup	Ascomycota	8	0	0	117	8	0	8
F318760	Hypocenomyce scalaris	ingroup	Ascomycota	0	26	0	99	0	26	26
F136370	Lasallia pustulata	ingroup	Ascomycota	8	26	0	91	8	26	34
F87287	Umbilicaria vellea	ingroup	Ascomycota	0	25	0	100	0	25	25
F1048955	Tothia fuscella	ingroup	Ascomycota	8	0	0	117	8	0	8
F50376	Venturia effusa	ingroup	Ascomycota	7	0	0	118	7	0	7
F253628	Verruconis gallopava	ingroup	Ascomycota	8	0	0	117	8	0	8
F364733	Endocarpon pusillum	ingroup	Ascomycota	7	0	0	118	7	0	7
F2939408	Vezdaea acicularis	ingroup	Ascomycota	0	23	0	102	0	23	23
F2939405	Vezdaea aestivalis	ingroup	Ascomycota	0	24	0	101	0	24	24
F326681	Hypoxylon trugodes	ingroup	Ascomycota	0	26	0	99	0	26	26
F1682393	Microdochium trichocladiopsis	ingroup	Ascomycota	8	0	0	117	8	0	8
F326684	Xylaria bambusicola	ingroup	Ascomycota	0	23	0	102	0	23	23
F1130053	Cirrosporium novae-zelandiae	ingroup	Ascomycota	0	25	0	100	0	25	25
F1217826	Xylona heveae	ingroup	Ascomycota	8	0	0	117	8	0	8
F423460	Basidiobolus meristosporus	ingroup	Basidiobolomycota	7	0	0	118	7	0	7
F34480	Basidiobolus ranarum	ingroup	Basidiobolomycota	0	25	0	100	0	25	25
F87326	Amanita brunnescens	ingroup	Basidiomycota	0	24	0	101	0	24	24
F933333	Amanita inopinata	ingroup	Basidiomycota	0	26	0	99	0	26	26
F41956	Amanita muscaria	ingroup	Basidiomycota	7	26	0	92	7	26	33
F67723	Amanita phalloides	ingroup	Basidiomycota	0	27	0	98	0	27	27
F1004511	Amanita polypyramis	ingroup	Basidiomycota	0	28	0	97	0	28	28
F71933	Amanita rubescens	ingroup	Basidiomycota	0	26	0	99	0	26	26
F235537	Amanita thiersii	ingroup	Basidiomycota	8	0	0	117	8	0	8
F89243	Laccaria amethystina	ingroup	Basidiomycota	6	5	0	114	6	5	11
F29883	Laccaria bicolor	ingroup	Basidiomycota	8	0	0	117	8	0	8
F44565	Sterigmatomyces hyphaenes	ingroup	Basidiomycota	0	26	0	99	0	26	26
F2831993	Plicatura crispa	ingroup	Basidiomycota	8	26	0	91	8	26	34
F1759441	Athelia psychrophila	ingroup	Basidiomycota	8	4	0	113	8	4	12
F2748771	Athelia sp. TMB	ingroup	Basidiomycota	0	21	0	104	0	21	21
F80663	Piloderma croceum	ingroup	Basidiomycota	6	0	0	119	6	0	6
F1938712	Atractiella rhizophila	ingroup	Basidiomycota	0	26	0	99	0	26	26
F1331295	Auricularia subglabra	ingroup	Basidiomycota	3	27	0	95	3	27	30
F2829486	Auriculariales sp. MPI-PUGE-AT-0066	ingroup	Basidiomycota	0	25	0	100	0	25	25
F5219	Exidia glandulosa	ingroup	Basidiomycota	7	0	0	118	7	0	7
F48563	Suillus bovinus	ingroup	Basidiomycota	0	27	0	98	0	27	27
F48565	Suillus brevipes	ingroup	Basidiomycota	0	28	0	97	0	28	28
F1904413	Suillus clintonianus	ingroup	Basidiomycota	0	26	0	99	0	26	26
F1912936	Suillus discolor	ingroup	Basidiomycota	8	0	0	117	8	0	8
F1912939	Suillus fuscotomentosus	ingroup	Basidiomycota	8	0	0	117	8	0	8
F48578	Suillus paluster	ingroup	Basidiomycota	0	26	0	99	0	26	26
F116603	Suillus plorans	ingroup	Basidiomycota	8	0	0	117	8	0	8
F48586	Suillus subalutaceus	ingroup	Basidiomycota	0	27	0	98	0	27	27
F48587	Suillus subaureus	ingroup	Basidiomycota	7	0	0	118	7	0	7
F48593	Suillus weaverae	ingroup	Basidiomycota	0	28	0	97	0	28	28
F264124	Botryobasidium botryosum	ingroup	Basidiomycota	8	0	0	117	8	0	8
F1750568	Cantharellus anzutake	ingroup	Basidiomycota	0	27	0	98	0	27	27
F170446	Ceratobasidium sp. AG-Ba	ingroup	Basidiomycota	0	10	0	115	0	10	10
F139363	Hydnum rufescens	ingroup	Basidiomycota	8	0	0	117	8	0	8
F456999	Rhizoctonia solani	ingroup	Basidiomycota	0	26	0	99	0	26	26
F156515	Tulasnella calospora	ingroup	Basidiomycota	8	0	0	117	8	0	8
F401625	Ceraceosorus bombacis	ingroup	Basidiomycota	6	0	0	119	6	0	6
F1522189	Ceraceosorus guamensis	ingroup	Basidiomycota	8	0	0	117	8	0	8
F203533	Classicula fluitans	ingroup	Basidiomycota	0	26	0	99	0	26	26
F202698	Punctularia strigosozonata	ingroup	Basidiomycota	7	26	0	92	7	26	33
F2778381	Cyphobasidiales sp. Tagirdzhanova-0007	ingroup	Basidiomycota	0	25	0	100	0	25	25
F29899	Cystobasidium minutum	ingroup	Basidiomycota	0	26	0	99	0	26	26
F29902	Mrakia frigida	ingroup	Basidiomycota	0	26	0	99	0	26	26
F264483	Phaffia rhodozyma	ingroup	Basidiomycota	0	26	0	99	0	26	26
F29889	Calocera cornea	ingroup	Basidiomycota	8	0	0	117	8	0	8
F63146	Calocera viscosa	ingroup	Basidiomycota	6	0	0	119	6	0	6
F1858805	Dacryopinax primogenitus	ingroup	Basidiomycota	8	0	0	117	8	0	8
F58919	Tilletiopsis washingtonensis	ingroup	Basidiomycota	6	0	0	119	6	0	6
F5414	Erythrobasidium hasegawianum	ingroup	Basidiomycota	0	24	0	101	0	24	24
F215250	Acaromyces ingoldii	ingroup	Basidiomycota	8	0	0	117	8	0	8
F63378	Exobasidium rhododendri	ingroup	Basidiomycota	0	26	0	99	0	26	26
F1280837	Meira miltonrushii	ingroup	Basidiomycota	8	0	0	117	8	0	8
F5210	Filobasidium floriforme	ingroup	Basidiomycota	7	24	0	94	7	24	31
F610337	Naganishia cerealis	ingroup	Basidiomycota	0	27	0	98	0	27	27
F89922	Naganishia friedmannii	ingroup	Basidiomycota	0	28	0	97	0	28	28
F104408	Naganishia liquefaciens	ingroup	Basidiomycota	8	0	0	117	8	0	8
F1424756	Naganishia vaughanmartiniae	ingroup	Basidiomycota	0	21	0	104	0	21	21
