taxon_id	species_name	study_role	lineage_group	marker_slots	markers_with_model	eligible_markers	usable_markers	matrix_columns	observed	noncanonical_or_missing_sequence	no_structural_mapping	invalid_native_feature	low_feature_plddt	high_feature_pae	observed_fraction_of_matrix
F1498855	Amoeboaphelidium occidentale	ingroup	Aphelidiomycota	125	0	0	0	49027	0	3088	45939	0	0	0	0.0
F1243177	Amoeboaphelidium protococcarum	ingroup	Aphelidiomycota	125	0	0	0	49027	0	48863	164	0	0	0	0.0
F2871812	Acarospora aff. strigata	ingroup	Ascomycota	125	0	0	0	49027	0	1888	47139	0	0	0	0.0
F318763	Pleopsidium flavum	ingroup	Ascomycota	125	0	0	0	49027	0	9006	40021	0	0	0	0.0
F470096	Pseudovirgaria hyperparasitica	ingroup	Ascomycota	125	48	48	30	49027	17395	1578	26759	9	3274	12	0.3548044954820813
F4918	Pachysolen tannophilus	ingroup	Ascomycota	125	118	116	50	49027	35330	3160	3286	21	7204	26	0.7206233300018358
F1658444	Neoarthrinium moseri	ingroup	Ascomycota	125	3	3	3	49027	809	4227	43889	0	102	0	0.01650111163236584
F393283	Pestalotiopsis fici	ingroup	Ascomycota	125	2	2	2	49027	874	2884	45125	0	141	3	0.01782691170171538
F1141098	Pseudomassariella vexata	ingroup	Ascomycota	125	3	3	2	49027	849	923	47205	0	50	0	0.017316988598119403
F91480	Alyxoria varia	ingroup	Ascomycota	125	0	0	0	49027	0	2876	46151	0	0	0	0.0
F2939400	Chrysothrix sp. TS-e1954	ingroup	Ascomycota	125	0	0	0	49027	0	2245	46782	0	0	0	0.0
F1542792	Coniocarpon cinnabarinum	ingroup	Ascomycota	125	0	0	0	49027	0	3690	45337	0	0	0	0.0
F54195	Ascoidea rubescens	ingroup	Ascomycota	125	2	2	2	49027	490	3635	44880	0	22	0	0.009994492830481164
F43959	Saccharomycopsis crataegensis	ingroup	Ascomycota	125	2	2	0	49027	464	2824	45623	0	116	0	0.009464172802741347
F1176130	Aulographum hederae	ingroup	Ascomycota	125	3	3	2	49027	1188	916	46783	0	140	0	0.024231545882880862
F1504668	Rhizodiscina lignyota	ingroup	Ascomycota	125	3	3	3	49027	586	764	47598	1	78	0	0.011952597548289718
F1397036	Lambiella insularis	ingroup	Ascomycota	125	0	0	0	49027	0	6083	42944	0	0	0	0.0
F223409	Ptychographa xylographoides	ingroup	Ascomycota	125	0	0	0	49027	0	2100	46927	0	0	0	0.0
F1590129	Xylographa bjoerkii	ingroup	Ascomycota	125	0	0	0	49027	0	4282	44745	0	0	0	0.0
F462254	Aplosporella prunicola	ingroup	Ascomycota	125	2	2	1	49027	884	1157	46789	0	197	0	0.018030880943153773
F236234	Diplodia corticola	ingroup	Ascomycota	125	2	2	1	49027	593	934	47211	0	289	0	0.012095376017296591
F121624	Phyllosticta capitalensis	ingroup	Ascomycota	125	0	0	0	49027	0	568	48459	0	0	0	0.0
F3058885	Dirinaria sp. TL-2023a	ingroup	Ascomycota	125	0	0	0	49027	0	11099	37928	0	0	0	0.0
F116794	Heterodermia speciosa	ingroup	Ascomycota	125	3	3	3	49027	1154	1504	46188	0	179	2	0.023538050461990333
F116821	Physcia stellaris	ingroup	Ascomycota	125	0	0	0	49027	0	3705	45322	0	0	0	0.0
F41990	Pleurostoma richardsiae	ingroup	Ascomycota	125	2	2	2	49027	700	1197	46993	1	132	4	0.014277846900687376
F460848	Candelaria pacifica	ingroup	Ascomycota	125	0	0	0	49027	0	3160	45867	0	0	0	0.0
F460854	Candelina submexicana	ingroup	Ascomycota	125	0	0	0	49027	0	3009	46018	0	0	0	0.0
F1453791	Pycnora praestabilis	ingroup	Ascomycota	125	0	0	0	49027	0	2598	46429	0	0	0	0.0
F147573	Piedraia hortae	ingroup	Ascomycota	125	3	3	2	49027	376	1634	46888	1	128	0	0.007669243478083505
F705562	Polychaeton citri	ingroup	Ascomycota	125	2	2	1	49027	689	1294	46950	0	93	1	0.014053480735105145
F1093897	Phialemonium atrogriseum	ingroup	Ascomycota	125	3	3	2	49027	1096	1077	46688	1	163	2	0.022355028861647662
F223376	Phialemonium thermophilum	ingroup	Ascomycota	125	0	0	0	49027	0	10134	38893	0	0	0	0.0
F1506992	Thozetella sp. PMI_491	ingroup	Ascomycota	125	0	0	0	49027	0	1937	47090	0	0	0	0.0
F293227	Cyphellophora europaea	ingroup	Ascomycota	125	2	2	2	49027	835	842	47307	1	42	0	0.017031431660105657
F2486360	Exophiala viscosa	ingroup	Ascomycota	125	2	2	1	49027	527	674	47778	1	47	0	0.01074917902380321
F1690604	Lithohypha guttulata	ingroup	Ascomycota	125	3	3	2	49027	767	2187	45993	0	80	0	0.015644440818324598
F1052096	Cladosporium halotolerans	ingroup	Ascomycota	125	3	3	1	49027	1190	784	46825	1	225	2	0.02427233973116854
F1507870	Cryoendolithus antarcticus	ingroup	Ascomycota	125	3	3	1	49027	621	44824	3506	0	76	0	0.012666489893324086
F1507873	Rachicladosporium monterosium	ingroup	Ascomycota	125	0	0	0	49027	0	18151	30876	0	0	0	0.0
F91930	Coniochaeta hoffmannii	ingroup	Ascomycota	125	1	1	1	49027	219	722	48080	0	6	0	0.0044669263875007645
F177197	Coniochaeta ligniaria	ingroup	Ascomycota	125	2	2	2	49027	794	1106	46897	0	230	0	0.016195157770208253
F177199	Coniochaeta pulveracea	ingroup	Ascomycota	125	2	2	2	49027	302	2317	46377	0	31	0	0.006159871091439411
F164576	Chaenotheca gracillima	ingroup	Ascomycota	125	0	0	0	49027	0	1465	47562	0	0	0	0.0
F2939403	Sclerophora amabilis	ingroup	Ascomycota	125	0	0	0	49027	0	3820	45207	0	0	0	0.0
F5116	Cryphonectria parasitica	ingroup	Ascomycota	125	2	2	0	49027	519	6483	41924	0	101	0	0.010586003630652497
F1214568	Diaporthe amygdali	ingroup	Ascomycota	125	3	3	3	49027	523	972	47426	1	105	0	0.010667591327227855
F148313	Discula destructiva	ingroup	Ascomycota	125	0	0	0	49027	0	2090	46937	0	0	0	0.0
F2268995	Blastobotrys vanleenenianus	ingroup	Ascomycota	125	0	0	0	49027	0	717	48310	0	0	0	0.0
F2606893	Magnusiomyces paraingens	ingroup	Ascomycota	125	2	2	1	49027	647	1695	46420	0	265	0	0.013196809921063904
F796027	Sugiyamaella lignohabitans	ingroup	Ascomycota	125	2	2	1	49027	712	5483	42732	2	98	0	0.014522609990413446
F5580	Aureobasidium pullulans	ingroup	Ascomycota	125	2	2	2	49027	1262	714	46990	0	59	2	0.025740918269524956
F2781224	Neodothiora populina	ingroup	Ascomycota	125	0	0	0	49027	0	3401	45626	0	0	0	0.0
