plddt_cutoff	pae_cutoff	proteins	compared	coverage_excluded	median_state_mismatch_fraction	median_partner_change_fraction
0	unfiltered	266	266	0	0.2510700570133144	0.3017904057604359
0	5	266	220	46	0.15047169811320754	0.21209658695147432
0	10	266	266	0	0.22709745762711864	0.28490499232857314
0	15	266	266	0	0.2393490767188317	0.2937552213868003
70	unfiltered	266	187	79	0.14423076923076922	0.18149466192170818
70	5	266	181	85	0.13157894736842105	0.17210682492581603
70	10	266	187	79	0.14328358208955225	0.18181818181818182
70	15	266	187	79	0.14410480349344978	0.18149466192170818
90	unfiltered	266	45	221	0.0990990990990991	0.15894039735099338
90	5	266	45	221	0.0990990990990991	0.15894039735099338
90	10	266	45	221	0.0990990990990991	0.15894039735099338
90	15	266	45	221	0.0990990990990991	0.15894039735099338
