taxon_id	columns	canonical_before	canonical_after	masked_marker_observations
F1004511	49027	39547	39547	0
F1005962	49027	46314	46314	0
F1006475	49027	40905	40905	0
F100910	49027	47166	47166	0
F101028	49027	47942	47942	0
F101097	49027	46422	46422	0
F101098	49027	46508	46508	0
F101201	49027	46528	46528	0
F1031713	49027	46428	46428	0
F103449	49027	14818	14818	0
F1042133	49027	47678	47678	0
F1042397	49027	45305	45305	0
F104341	49027	46160	46160	0
F104355	49027	47799	47799	0
F104408	49027	47904	47904	0
F104669	49027	41786	41786	0
F1048519	49027	48161	48161	0
F1048829	49027	48120	48120	0
F1048955	49027	48293	48293	0
F1052096	49027	48243	48243	0
F1055551	49027	47096	47096	0
F105984	49027	47946	47946	0
F106004	49027	46590	46590	0
F1069201	49027	47980	47980	0
F1080349	49027	45766	45766	0
F1081669	49027	10800	10800	0
F1093897	49027	47950	47950	0
F1093900	49027	47809	47809	0
F1095194	49027	47789	47789	0
F109760	49027	47017	47017	0
F109876	49027	42237	42237	0
F109889	49027	45475	45475	0
F109899	49027	44579	44579	0
F109932	49027	41197	41197	0
F1099800	49027	48061	48061	0
F110093	49027	47698	47698	0
F1116844	49027	47538	47538	0
F1117311	49027	45263	45263	0
F112072	49027	47605	47605	0
F1123529	49027	45926	45926	0
F112417	49027	47241	47241	0
F1125753	49027	46748	46748	0
F1130053	49027	46220	46220	0
F113071	49027	43832	43832	0
F1141098	49027	48104	48104	0
F114524	49027	46245	46245	0
F114525	49027	46300	46300	0
F1145299	49027	40618	40618	0
F1145321	49027	42634	42634	0
F116603	49027	47582	47582	0
F116794	49027	47523	47523	0
F116821	49027	45322	45322	0
F116982	49027	42004	42004	0
F117179	49027	45833	45833	0
F117187	49027	37734	37734	0
F1174673	49027	48082	48082	0
F1176130	49027	48111	48111	0
F1176355	49027	14131	14131	0
F120017	49027	47035	47035	0
F1209916	49027	48406	48406	0
F1209934	49027	48369	48369	0
F1213189	49027	17308	17308	0
F1214568	49027	48055	48055	0
F121624	49027	48459	48459	0
F1217826	49027	48319	48319	0
F1220207	49027	48491	48491	0
F122368	49027	48239	48239	0
F1230402	49027	48334	48334	0
F1243177	49027	164	164	0
F1246581	49027	38031	38031	0
F1269715	49027	43974	43974	0
F1276059	49027	44713	44713	0
F1280837	49027	47141	47141	0
F1286916	49027	43149	43149	0
F129515	49027	46640	46640	0
F1300064	49027	15860	15860	0
F1314805	49027	47628	47628	0
F1323573	49027	47777	47777	0
F1328300	49027	48178	48178	0
F13290	49027	44072	44072	0
F13291	49027	43359	43359	0
F1331295	49027	45214	45214	0
F133377	49027	32781	32781	0
F133385	49027	35895	35895	0
F1341166	49027	47741	47741	0
F1343610	49027	48170	48170	0
F1343614	49027	47546	47546	0
F1348612	49027	46063	46063	0
F13502	49027	46266	46266	0
F135208	49027	37254	37254	0
F135589	49027	46439	46439	0
F136370	49027	46174	46174	0
F139363	49027	44249	44249	0
F1396493	49027	45641	45641	0
F1397036	49027	42944	42944	0
F1419009	49027	43607	43607	0
F1424756	49027	38335	38335	0
F143232	49027	46050	46050	0
F1440133	49027	37835	37835	0
F144530	49027	46733	46733	0
F144538	49027	46024	46024	0
F144539	49027	40200	40200	0
F144679	49027	45346	45346	0
F1453789	49027	46681	46681	0
F1453791	49027	46429	46429	0
F145971	49027	47769	47769	0
F1463510	49027	46848	46848	0
F147570	49027	48072	48072	0
F147573	49027	47393	47393	0
F148304	49027	38480	38480	0
F148305	49027	47763	47763	0
F148313	49027	46937	46937	0
F1498855	49027	45939	45939	0
F1500003	49027	45610	45610	0
F1504668	49027	48263	48263	0
F1506992	49027	47090	47090	0
F1507870	49027	4203	4203	0
F1507873	49027	30876	30876	0
F150792	49027	48277	48277	0
F1520584	49027	33747	33747	0
F1522189	49027	46529	46529	0
F152956	49027	46978	46978	0
F1540922	49027	46593	46593	0
F1542792	49027	45337	45337	0
F1555241	49027	45086	45086	0
F156515	49027	36199	36199	0
F1569628	49027	46701	46701	0
F157183	49027	43916	43916	0
F158046	49027	45655	45655	0
F1590129	49027	44745	44745	0
F1604274	49027	22858	22858	0
F162425	49027	47028	47028	0
F164576	49027	47562	47562	0
F164912	49027	21242	21242	0
F1658444	49027	44800	44800	0
F1670608	49027	45948	45948	0
F1671311	49027	48371	48371	0
F1673888	49027	43716	43716	0
F1682393	49027	47900	47900	0
F1684307	49027	46874	46874	0
F1690604	49027	46840	46840	0
F1690608	49027	47949	47949	0
F169141	49027	45004	45004	0
F170000	49027	37627	37627	0
F170446	49027	7111	7111	0
F1708541	49027	47800	47800	0
F1708542	49027	47814	47814	0
F1712513	49027	27123	27123	0
F173216	49027	47186	47186	0
F1738374	49027	47857	47857	0
F174425	49027	46249	46249	0
F174680	49027	15915	15915	0
F174688	49027	13081	13081	0
F1750568	49027	40468	40468	0
F1754190	49027	25139	25139	0
F1754191	49027	46547	46547	0
F1754192	49027	43720	43720	0
F1759441	49027	45625	45625	0
F177197	49027	47921	47921	0
F177199	49027	46710	46710	0
F1774096	49027	40710	40710	0
F1806994	49027	47226	47226	0
F1810926	49027	47648	47648	0
F1810928	49027	48321	48321	0
F181123	49027	46640	46640	0
F1814901	49027	43776	43776	0
F182096	49027	47341	47341	0
F1825666	49027	39376	39376	0
F183962	49027	47242	47242	0
F1851185	49027	44723	44723	0
F1851187	49027	46952	46952	0
F1858805	49027	46348	46348	0
F1859096	49027	47241	47241	0
F1859121	49027	47807	47807	0
F1859122	49027	48023	48023	0
F1882483	49027	47221	47221	0
F1890679	49027	47986	47986	0
F1897645	49027	38399	38399	0
F1904413	49027	47698	47698	0
F1907219	49027	22219	22219	0
