taxon_id	species_name	study_role	gap_ambiguity_percent_reported	nominal_composition_status	composition_pvalue_percent_reported
F1498855	Amoeboaphelidium occidentale	ingroup	6.30	failed	0.00
F1243177	Amoeboaphelidium protococcarum	ingroup	99.67	failed	0.13
F2871812	Acarospora aff. strigata	ingroup	3.85	failed	0.00
F318763	Pleopsidium flavum	ingroup	18.37	failed	0.03
F470096	Pseudovirgaria hyperparasitica	ingroup	3.22	failed	1.24
F4918	Pachysolen tannophilus	ingroup	6.45	failed	0.00
F1658444	Neoarthrinium moseri	ingroup	8.62	failed	0.00
F393283	Pestalotiopsis fici	ingroup	5.88	failed	0.01
F1141098	Pseudomassariella vexata	ingroup	1.88	failed	0.01
F91480	Alyxoria varia	ingroup	5.87	failed	0.00
F2939400	Chrysothrix sp. TS-e1954	ingroup	4.58	failed	0.00
F1542792	Coniocarpon cinnabarinum	ingroup	7.53	failed	0.00
F54195	Ascoidea rubescens	ingroup	7.41	failed	0.00
F43959	Saccharomycopsis crataegensis	ingroup	5.76	failed	0.00
F1176130	Aulographum hederae	ingroup	1.87	failed	0.01
F1504668	Rhizodiscina lignyota	ingroup	1.56	failed	0.01
F1397036	Lambiella insularis	ingroup	12.41	failed	0.00
F223409	Ptychographa xylographoides	ingroup	4.28	failed	0.06
F1590129	Xylographa bjoerkii	ingroup	8.73	failed	0.00
F462254	Aplosporella prunicola	ingroup	2.36	failed	0.00
F236234	Diplodia corticola	ingroup	1.91	failed	0.00
F121624	Phyllosticta capitalensis	ingroup	1.16	failed	0.00
F3058885	Dirinaria sp. TL-2023a	ingroup	22.64	failed	0.76
F116794	Heterodermia speciosa	ingroup	3.07	failed	0.00
F116821	Physcia stellaris	ingroup	7.56	failed	0.14
F41990	Pleurostoma richardsiae	ingroup	2.44	failed	0.00
F460848	Candelaria pacifica	ingroup	6.45	failed	0.00
F460854	Candelina submexicana	ingroup	6.14	failed	0.01
F1453791	Pycnora praestabilis	ingroup	5.30	failed	0.01
F147573	Piedraia hortae	ingroup	3.33	failed	0.00
F705562	Polychaeton citri	ingroup	2.64	failed	0.00
F1093897	Phialemonium atrogriseum	ingroup	2.20	failed	0.00
F223376	Phialemonium thermophilum	ingroup	20.67	failed	0.00
F1506992	Thozetella sp. PMI_491	ingroup	3.95	failed	0.00
F293227	Cyphellophora europaea	ingroup	1.72	failed	0.00
F2486360	Exophiala viscosa	ingroup	1.37	failed	0.62
F1690604	Lithohypha guttulata	ingroup	4.46	failed	0.58
F1052096	Cladosporium halotolerans	ingroup	1.60	failed	0.00
F1507870	Cryoendolithus antarcticus	ingroup	91.43	failed	0.01
F1507873	Rachicladosporium monterosium	ingroup	37.02	failed	0.00
F91930	Coniochaeta hoffmannii	ingroup	1.47	failed	0.00
F177197	Coniochaeta ligniaria	ingroup	2.26	failed	0.00
F177199	Coniochaeta pulveracea	ingroup	4.73	failed	0.00
F164576	Chaenotheca gracillima	ingroup	2.99	failed	0.00
F2939403	Sclerophora amabilis	ingroup	7.79	failed	0.00
F5116	Cryphonectria parasitica	ingroup	13.22	failed	0.00
F1214568	Diaporthe amygdali	ingroup	1.98	failed	0.00
F148313	Discula destructiva	ingroup	4.26	failed	0.00
F2268995	Blastobotrys vanleenenianus	ingroup	1.46	failed	0.00
F2606893	Magnusiomyces paraingens	ingroup	3.46	failed	0.00
F796027	Sugiyamaella lignohabitans	ingroup	11.18	failed	0.00
F5580	Aureobasidium pullulans	ingroup	1.46	failed	0.01
F2781224	Neodothiora populina	ingroup	6.94	failed	0.18
F2024903	Zalaria obscura	ingroup	10.97	failed	0.00
F1341166	Eremomyces bilateralis	ingroup	2.62	failed	0.00
F182096	Aspergillus chevalieri	ingroup	3.44	failed	0.01
F5059	Aspergillus flavus	ingroup	1.42	failed	0.22
F746128	Aspergillus fumigatus	ingroup	1.41	failed	0.00
F1069201	Aspergillus luchuensis	ingroup	2.14	failed	0.00
F41759	Aspergillus multicolor	ingroup	1.49	failed	0.55
F162425	Aspergillus nidulans	ingroup	4.08	failed	0.05
F5062	Aspergillus oryzae	ingroup	4.12	failed	0.49
F1220207	Aspergillus puulaauensis	ingroup	1.09	failed	0.01
F1810926	Aspergillus stella-maris	ingroup	2.81	failed	0.04
F1810928	Aspergillus undulatus	ingroup	1.44	failed	0.04
F315204	Geoglossum umbratile	ingroup	4.18	failed	0.02
F1670608	Glutinoglossum americanum	ingroup	6.28	failed	0.02
F265104	Trichoglossum hirsutum	ingroup	6.96	failed	0.01
F1671311	Colletotrichum abscissum	ingroup	1.34	failed	0.00
F1209916	Colletotrichum costaricense	ingroup	1.27	failed	0.00
F34406	Colletotrichum destructivum	ingroup	2.99	failed	0.01
F710243	Colletotrichum fioriniae	ingroup	4.12	failed	0.00
F474922	Colletotrichum gloeosporioides	ingroup	3.61	failed	0.00
F80884	Colletotrichum higginsianum	ingroup	3.59	failed	0.02
F2283408	Colletotrichum jinshuiense	ingroup	2.55	failed	0.00
F1095194	Colletotrichum karsti	ingroup	2.53	failed	0.00
F145971	Colletotrichum lupini	ingroup	2.57	failed	0.00
F1209934	Colletotrichum tamarilloi	ingroup	1.34	failed	0.00
F5570	Cenococcum geophilum	ingroup	5.73	failed	0.00
F574774	Glonium stellatum	ingroup	4.60	failed	0.76
F5101	Amorphotheca resinae	ingroup	1.44	failed	0.14
F40559	Botrytis cinerea	ingroup	7.54	failed	0.28
F2656787	Venustampulla echinocandica	ingroup	1.45	failed	0.18
F195108	Fusarium falciforme	ingroup	4.32	failed	0.01
F5127	Fusarium fujikuroi	ingroup	4.33	failed	0.02
F5518	Fusarium graminearum	ingroup	1.53	failed	0.14
F1328300	Fusarium keratoplasticum	ingroup	1.73	failed	0.00
F1042133	Fusarium musae	ingroup	2.75	failed	0.09
F5507	Fusarium oxysporum	ingroup	1.44	failed	0.18
F36050	Fusarium poae	ingroup	1.41	failed	0.07
F101028	Fusarium pseudograminearum	ingroup	2.21	failed	0.11
F5128	Fusarium sambucinum	ingroup	1.80	failed	0.18
F117187	Fusarium verticillioides	ingroup	23.03	failed	0.01
F173216	Trichoderma aggressivum	ingroup	3.76	failed	0.00
F101201	Trichoderma asperellum	ingroup	5.10	failed	0.05
F63577	Trichoderma atroviride	ingroup	8.68	failed	3.16
F2034170	Trichoderma breve	ingroup	2.29	failed	0.25
F1738374	Trichoderma camerunense	ingroup	2.39	failed	0.11
F58853	Trichoderma citrinoviride	ingroup	1.51	failed	0.00
F549676	Trichoderma evansii	ingroup	3.19	failed	1.82
F398673	Trichoderma gamsii	ingroup	6.31	failed	0.28
F65468	Trichoderma ghanense	ingroup	2.81	failed	0.00
F5544	Trichoderma harzianum	ingroup	1.34	failed	0.02
F2732470	Bacidia gigantensis	ingroup	8.11	failed	0.00
F209136	Lepraria neglecta	ingroup	2.58	failed	0.17
F560253	Letharia lupina	ingroup	1.54	failed	0.06
F2939399	Claussenomyces sp. TS43310	ingroup	4.99	failed	0.06
F3384825	Phaeococcomyces sp. EXF-18165	ingroup	2.35	failed	0.00
F174425	Lichina confinis	ingroup	5.67	failed	0.00
F318774	Phylliscum demangeonii	ingroup	8.44	failed	0.00
F2796175	Watsoniomyces obsoletus	ingroup	8.58	failed	0.00
F578093	Lineolata rhizophorae	ingroup	4.12	failed	0.00
F1125753	Limtongia smithiae	ingroup	4.65	failed	0.00
F383834	Lipomyces doorenjongii	ingroup	4.80	failed	0.00
F44089	Neoaidaea tothii	ingroup	3.26	failed	0.00
F339359	Zalerion maritima	ingroup	4.81	failed	0.00
F36779	Gaeumannomyces tritici	ingroup	4.34	failed	0.00
F148304	Magnaporthiopsis poae	ingroup	21.51	failed	0.00
F148305	Pyricularia grisea	ingroup	2.58	failed	0.00
F2035830	Berkeleyomyces rouxiae	ingroup	3.39	failed	0.00
F2019550	Ceratocystis lukuohia	ingroup	3.52	failed	0.01
F563466	Scedosporium apiospermum	ingroup	23.15	failed	0.03
F703497	Microthyrium microscopicum	ingroup	1.25	failed	0.00
F122368	Cercospora beticola	ingroup	1.61	failed	0.00
F574656	Recurvomyces mirabilis	ingroup	2.65	failed	0.00
F1690608	Saxophila tyrrhenica	ingroup	2.20	failed	0.00
F2601811	Elsinoe batatas	ingroup	4.44	failed	0.00
F147570	Myriangium duriaei	ingroup	1.95	failed	0.00
F2082308	Sphaceloma murrayae	ingroup	1.81	failed	0.00
F741139	Lepidopterella palustris	ingroup	1.55	passed	10.44
F390894	Lophium mytilinum	ingroup	2.41	failed	0.19
F574789	Mytilinidion resinicola	ingroup	1.69	failed	0.05
F48691	Neolecta irregularis	ingroup	19.97	failed	0.00
F92988	Neophaeotheca triangularis	ingroup	5.42	failed	0.00
F199306	Coccidioides posadasii	ingroup	7.93	failed	0.70
F63402	Nannizzia gypsea	ingroup	3.71	passed	30.76
F1048829	Paracoccidioides lutzii	ingroup	1.85	failed	1.59
F226899	Leptographium clavigerum	ingroup	6.28	failed	0.00
F61273	Ophiostoma piceae	ingroup	3.97	failed	0.00
F29908	Sporothrix schenckii	ingroup	5.14	failed	0.00
F97331	Arthrobotrys flagrans	ingroup	2.07	failed	0.16
F1814901	Dactylella cylindrospora	ingroup	10.71	failed	0.05
F2813651	Orbilia oligospora	ingroup	1.91	failed	0.21
F1940652	Gomphillus americanus	ingroup	2.12	failed	0.67
F2704026	Stictis urceolata	ingroup	4.05	failed	0.20
F209281	Thelotrema lepadinum	ingroup	9.54	failed	0.00
F703506	Patellaria atrata	ingroup	4.58	failed	2.88
F669869	Lobaria immixta	ingroup	4.17	failed	0.00
F52883	Peltigera leucophlebia	ingroup	20.77	failed	3.05
F169141	Pseudocyphellaria aurata	ingroup	8.21	failed	0.51
F443868	Agyrium rufum	ingroup	3.44	failed	3.91
F1006475	Circinaria calcarea	ingroup	16.57	passed	5.87
F90408	Icmadophila ericetorum	ingroup	3.28	failed	4.12
F1174673	Morchella importuna	ingroup	1.93	failed	0.00
F43433	Tricharina praecox	ingroup	5.54	failed	0.00
F39416	Tuber melanosporum	ingroup	8.88	failed	0.18
F158046	Phaeomoniella chlamydospora	ingroup	6.88	failed	0.00
F703511	Trichodelitschia bisporula	ingroup	1.65	failed	0.00
F4927	Hansenula anomala	ingroup	8.90	failed	0.00
F599730	Waltiozyma pijperi	ingroup	6.79	failed	0.00
F4903	Williopsis jadinii	ingroup	7.86	failed	0.00
F1825666	Phyllachora maydis	ingroup	19.69	failed	0.00
F1276059	Polystigma amygdalinum	ingroup	8.80	failed	0.00
F13502	Brettanomyces nanus	ingroup	5.63	failed	0.00
F1005962	Ogataea parapolymorpha	ingroup	5.53	failed	0.00
F4909	Pichia kudriavzevii	ingroup	7.49	failed	0.00
F48095	Alternaria dauci	ingroup	3.70	failed	0.00
F5454	Ascochyta rabiei	ingroup	1.42	failed	0.00
F5022	Plenodomus lingam	ingroup	2.46	failed	0.13
F4754	Pneumocystis carinii	ingroup	4.08	failed	0.00
F42068	Pneumocystis jirovecii	ingroup	3.21	failed	0.00
F263815	Pneumocystis murina	ingroup	3.50	failed	0.00
F2977754	Pyrenula ochraceoflavens	ingroup	8.51	failed	0.00
F3060298	Pyrenula sp. 1 TL-2023	ingroup	11.84	failed	0.00
F1453789	Toensbergia leucococca	ingroup	4.79	failed	0.00
F706196	Saccharomyces arboricola	ingroup	22.57	failed	0.00
F4932	Saccharomyces cerevisiae	ingroup	4.40	failed	0.00
F332112	Saccharomyces cerevisiae x Saccharomyces kudriavzevii	ingroup	59.23	failed	0.00
F1080349	Saccharomyces eubayanus	ingroup	6.65	failed	0.00
F114524	Saccharomyces kudriavzevii	ingroup	5.67	failed	0.00
F114525	Saccharomyces mikatae	ingroup	5.56	failed	0.00
F27291	Saccharomyces paradoxus	ingroup	5.25	failed	0.00
F27292	Saccharomyces pastorianus	ingroup	87.33	failed	0.00
F230603	Saccharomyces uvarum	ingroup	6.60	failed	0.00
F29833	Hanseniaspora uvarum	ingroup	24.39	failed	0.00
F56409	Hanseniaspora vineae	ingroup	9.69	failed	0.00
F36035	Saccharomycodes ludwigii	ingroup	8.35	failed	0.00
F1099800	Saitoella coloradoensis	ingroup	1.97	failed	0.00
F5606	Saitoella complicata	ingroup	4.32	failed	0.00
F273283	Sarea resinae	ingroup	2.12	failed	0.00
F400354	Loxospora ochrophaea	ingroup	5.20	failed	0.00
F1042397	Schaereria dolodes	ingroup	7.59	failed	0.00
F4897	Schizosaccharomyces japonicus	ingroup	4.39	failed	0.00
F2545709	Schizosaccharomyces osmophilus	ingroup	3.44	failed	0.00
F4896	Schizosaccharomyces pombe	ingroup	4.48	failed	0.00
F241526	Candida africana	ingroup	48.25	failed	0.00
F5476	Candida albicans	ingroup	8.76	failed	0.00
F42374	Candida dubliniensis	ingroup	8.60	failed	0.00
F5479	Candida maltosa	ingroup	13.93	failed	0.00
F5482	Candida tropicalis	ingroup	11.40	failed	0.00
F5486	Candida viswanathii	ingroup	75.51	failed	0.00
F2609844	Podospora pseudoanserina	ingroup	2.41	failed	0.00
F72144	Remersonia thermophila	ingroup	2.71	failed	0.00
F5147	Sordaria macrospora	ingroup	3.08	failed	0.02
F2754530	Protomyces lactucae-debilis	ingroup	3.62	failed	0.00
F5011	Taphrina deformans	ingroup	12.35	failed	0.00
F1145299	Brigantiaea leucoxantha	ingroup	17.15	failed	0.00
F1145321	Letrouitia subvulpina	ingroup	13.04	failed	0.03
F116982	Xanthoria calcicola	ingroup	14.32	failed	0.00
F3342545	Pseudogymnoascus australis	ingroup	9.43	failed	0.00
F655981	Pseudogymnoascus destructans	ingroup	3.78	failed	0.14
F342668	Pseudogymnoascus verrucosus	ingroup	1.30	failed	0.00
F1116844	Thelocarpon impressellum	ingroup	3.04	failed	0.00
F2939404	Thelocarpon superellum	ingroup	4.65	failed	0.00
F1093900	Thyridium curvatum	ingroup	2.48	failed	0.00
F223192	Phaeoacremonium minimum	ingroup	7.57	failed	0.01
F2918522	Lignoscripta atroalba	ingroup	2.73	failed	0.00
F129515	Trapelia coarctata	ingroup	4.87	failed	0.02
F51930	Tortispora caseinolytica	ingroup	5.52	failed	0.00
F2939406	Bogoriella megaspora	ingroup	4.42	failed	0.00
F364730	Trypethelium subeluteriae	ingroup	18.32	failed	0.00
F1048519	Viridothelium virens	ingroup	1.77	failed	0.00
F318760	Hypocenomyce scalaris	ingroup	3.25	failed	0.00
F136370	Lasallia pustulata	ingroup	5.82	failed	0.00
F87287	Umbilicaria vellea	ingroup	10.56	failed	0.00
F1048955	Tothia fuscella	ingroup	1.50	failed	3.49
F50376	Venturia effusa	ingroup	2.66	failed	0.18
F253628	Verruconis gallopava	ingroup	17.99	failed	0.14
F364733	Endocarpon pusillum	ingroup	6.70	failed	0.01
F2939408	Vezdaea acicularis	ingroup	3.69	failed	0.15
F2939405	Vezdaea aestivalis	ingroup	3.95	failed	0.02
F326681	Hypoxylon trugodes	ingroup	1.72	failed	1.53
F1682393	Microdochium trichocladiopsis	ingroup	2.30	failed	0.00
F326684	Xylaria bambusicola	ingroup	2.12	failed	0.85
F1130053	Cirrosporium novae-zelandiae	ingroup	5.73	passed	5.23
F1217826	Xylona heveae	ingroup	1.44	failed	0.16
F423460	Basidiobolus meristosporus	ingroup	13.34	failed	0.00
F34480	Basidiobolus ranarum	ingroup	26.59	failed	0.00
F87326	Amanita brunnescens	ingroup	24.74	failed	0.00
F933333	Amanita inopinata	ingroup	4.68	failed	0.00
F41956	Amanita muscaria	ingroup	5.11	failed	0.00
F67723	Amanita phalloides	ingroup	1.38	failed	0.00
F1004511	Amanita polypyramis	ingroup	19.34	failed	0.00
F71933	Amanita rubescens	ingroup	11.43	failed	1.17
F235537	Amanita thiersii	ingroup	1.77	failed	0.00
F89243	Laccaria amethystina	ingroup	4.29	failed	0.06
F29883	Laccaria bicolor	ingroup	14.02	failed	0.00
