node	descendant_taxa	hogs	source_families	gene_assignments	bytes	sha256
N0	526	183956	158070	5274605	171741815	83e4a5aac59c374ddfef4839794afa90c105308414ea06bcf76d4f57ab386532
N1	501	169737	142078	4962187	159492122	f161811a1e51c7464a428345a8d655ff6e9be9d8b50b618af49038138195f4e9
N2	25	39073	22092	310791	25945781	ca69c96ed691ed36d19aaf3646a1f0fd5f882f635d5a5efd9aaf2f8575477c0a
N3	483	171732	136783	4891986	159227856	19fce891bd79ab25e560cd792ce02b0ae8d44b9cb50fad9fcef02e526a645273
N4	18	16728	9392	68148	10429167	de9e878c870556fdfb48573bca0bcba031421df03e124872f29521436ad5e1c7
N5	24	40043	22006	306248	26412277	23289d3a3b031352f85e6dea8dcd1e635ae4b067280a0945a833b406827e4110
N6	462	159471	126609	4649287	149414220	4d2701482217b6f05db84242244debd7dc08685852cf2cdda1d11ec89daad6c1
N7	21	32360	16327	241967	20943973	9f9692431218cfea55db69012105994ed94dab78da03f0ddfcc17ce83331fedc
N8	16	12538	7319	48931	7861706	38137a8ca16066c1de9ffeead92aba9149f13577e91b73b407714b5a9797ca41
N9	2	7665	4786	19200	4497371	07f9eacc40c1224a5c14af9feddda185fd671b5dd100dfeeead5d5a4b2e6d16f
N10	18	33785	17744	239416	22100714	d1c3adcf75517aa2e7f3bca96bb50a98ad6f70fc4beff17ba90fe4f810e5552d
N11	6	17528	8889	66225	10601162	c6dc2d0e81fb6a2d153eb22df15f745132e1bc6f00c665f5c7dcea3aac5d5f6f
N12	453	157317	122776	4562389	147292925	33f06d41865904bcca969ad58fe2358f61bc045c2da9b6dccf8b9ed57df60ea8
N13	9	14310	8076	86250	8983729	0bf9cd7b82c0ad6b325480232f5717eafbac6c238e29e66be398b0714d3bd4e5
N14	12	21861	10265	104557	13498140	fe680f9cc153e1908959ff2679423f814b7af1dfb8273cee0165ea5ec9c1bcaa
N15	9	19335	10772	137224	12387262	035ca80ccd79a9e5faa970723059a23078b9593d838948fa67837e70ea807d94
N16	15	10482	6660	44005	6681592	fb620133ec5a9825cdf2fd8234dce2b9be1ce6ea5a5fd4a812292073baafb8e6
N17	11	24126	12829	175798	15837502	fcddfd523977f564a548cd668f9aef83423746e91d03a528cd205af61183fc90
N18	7	19711	9512	63201	11842586	c81e4b3fc91c08271162b9e8bedd0bf72c5e12371e3e9723e19108e67dbb4cfa
N19	5	15450	8362	58306	9331071	2b5c5132504e0b998d3b2a8b226b9ed673f4ff8ef21a60ea8899448dafcc676b
N20	431	151939	114745	4380916	141983085	03c81f5188dd73d1ecaa0ded0e6438c2ef153da6a092c3cd858aafaf49f8f8e2
N21	22	23894	12590	180273	15492926	8c3b275550a835141eed52f9669cb003fbdd8aa55be7c535543c38ec14470a63
