taxon_id	root_missing_nonsingleton_genes
F1004511	11
F1005962	14
F1006475	160
F100910	26
F101028	16
F101097	58
F101098	29
F101201	26
F1031713	41
F103449	19
F1042133	42
F1042397	19
F104341	63
F104355	47
F104408	9
F104669	4
F1048519	83
F1048829	28
F1048955	97
F1052096	56
F1055551	57
F105984	36
F106004	66
F1069201	108
F1080349	2
F1081669	9
F1093897	98
F1093900	107
F1095194	50
F109760	62
F109876	43
F109889	98
F109899	51
F109932	123
F1099800	16
F110093	83
F1116844	20
F1117311	97
F112072	56
F1123529	155
F112417	252
F1125753	24
F1130053	45
F113071	186
F1141098	81
F114524	1
F114525	0
F1145299	80
F1145321	65
F116603	38
F116794	84
F116821	70
F116982	89
F117179	22
F117187	36
F1174673	69
F1176130	57
F1176355	15
F120017	8
F1209916	11
F1209934	9
F1213189	83
F1214568	208
F121624	31
F1217826	28
F1220207	150
F122368	122
F1230402	127
F1243177	45
F1246581	104
F1269715	26
F1276059	21
F1280837	35
F1286916	37
F129515	72
F1300064	5
F1314805	81
F1323573	75
F1328300	59
F13290	7
F13291	14
F1331295	151
F133377	21
F133385	50
F1341166	46
F1343610	69
F1343614	26
F1348612	328
F13502	8
F135208	137
F135589	41
F136370	53
F139363	256
F1396493	62
F1397036	58
F1419009	57
F1424756	33
F143232	31
F1440133	118
F144530	57
F144538	52
F144539	72
F144679	168
F1453789	58
F1453791	24
F145971	14
F1463510	6
F147570	46
F147573	27
F148304	63
F148305	55
F148313	54
F1498855	108
F1500003	118
F1504668	144
F1506992	588
F1507870	89
F1507873	47
F150792	91
F1520584	82
F1522189	12
F152956	222
F1540922	2
F1542792	35
F1555241	108
F156515	135
F1569628	17
F157183	25
F158046	24
F1590129	64
F1604274	275
F162425	37
F164576	56
F164912	18
F1658444	114
F1670608	51
F1671311	11
F1673888	44
F1682393	135
F1684307	13
F1690604	38
F1690608	96
F169141	52
F170000	208
F170446	134
F1708541	5
F1708542	9
F1712513	56
F173216	19
