assembly_accession	species_taxid	url	checked_at_utc	http_status	content_length	content_type	status	error
GCF_001477545.1	4754	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/477/545/GCF_001477545.1_Pneu_cari_B80_V3/GCF_001477545.1_Pneu_cari_B80_V3_protein.faa.gz	2026-09-13T02:25:51.358718+00:00	200	1047278	application/x-gzip	head_available	
GCA_025594325.1	4808	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/594/325/GCA_025594325.1_blem_2022/GCA_025594325.1_blem_2022_protein.faa.gz	2026-09-13T02:25:51.359806+00:00	200	3297789	application/x-gzip	head_available	
GCA_027604105.1	4814	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/604/105/GCA_027604105.1_ASM2760410v1/GCA_027604105.1_ASM2760410v1_protein.faa.gz	2026-09-13T02:25:51.655932+00:00	200	3756315	application/x-gzip	head_available	
GCA_900079185.1	4829	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/079/185/GCA_900079185.1_AG_v1/GCA_900079185.1_AG_v1_protein.faa.gz	2026-09-13T02:25:51.670712+00:00	200	4011448	application/x-gzip	head_available	
GCF_001638985.1	4837	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/638/985/GCF_001638985.1_Phybl2/GCF_001638985.1_Phybl2_protein.faa.gz	2026-09-13T02:25:51.945878+00:00	200	3651203	application/x-gzip	head_available	
GCF_041956525.1	4840	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/956/525/GCF_041956525.1_Rhipu1/GCF_041956525.1_Rhipu1_protein.faa.gz	2026-09-13T02:25:51.953059+00:00	200	2944469	application/x-gzip	head_available	
GCA_003325415.1	4846	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/325/415/GCA_003325415.1_Rstol_CA/GCA_003325415.1_Rstol_CA_protein.faa.gz	2026-09-13T02:25:52.224059+00:00	200	3759449	application/x-gzip	head_available	
GCA_025331445.1	4850	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/331/445/GCA_025331445.1_Blatri1/GCA_025331445.1_Blatri1_protein.faa.gz	2026-09-13T02:25:52.235779+00:00	200	2909798	application/x-gzip	head_available	
GCA_025766245.1	4864	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/766/245/GCA_025766245.1_Coemoj1/GCA_025766245.1_Coemoj1_protein.faa.gz	2026-09-13T02:25:52.505457+00:00	200	2000601	application/x-gzip	head_available	
GCA_027576915.1	4866	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/576/915/GCA_027576915.1_UCR_DiacNRRL2925_1.0/GCA_027576915.1_UCR_DiacNRRL2925_1.0_protein.faa.gz	2026-09-13T02:25:52.518842+00:00	200	1805156	application/x-gzip	head_available	
GCA_027575855.1	4868	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/575/855/GCA_027575855.1_UCR_LimaNRRL5244_1.0/GCA_027575855.1_UCR_LimaNRRL5244_1.0_protein.faa.gz	2026-09-13T02:25:52.783767+00:00	200	1552852	application/x-gzip	head_available	
GCA_009809945.1	4874	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/809/945/GCA_009809945.1_UNITO_GmarBEG34_1.0/GCA_009809945.1_UNITO_GmarBEG34_1.0_protein.faa.gz	2026-09-13T02:25:52.806572+00:00	200	5550688	application/x-gzip	head_available	
GCF_000002945.2	4896	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/945/GCF_000002945.2_ASM294v3/GCF_000002945.2_ASM294v3_protein.faa.gz	2026-09-13T02:25:53.064500+00:00	200	1562816	application/x-gzip	head_available	
GCF_000149845.2	4897	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/149/845/GCF_000149845.2_SJ5/GCF_000149845.2_SJ5_protein.faa.gz	2026-09-13T02:25:53.081763+00:00	200	1487973	application/x-gzip	head_available	
GCF_000150505.1	4899	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/150/505/GCF_000150505.1_SO6/GCF_000150505.1_SO6_protein.faa.gz	2026-09-13T02:25:53.346081+00:00	200	1507554	application/x-gzip	head_available	
GCF_001661405.1	4903	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/661/405/GCF_001661405.1_Cybja1/GCF_001661405.1_Cybja1_protein.faa.gz	2026-09-13T02:25:53.354600+00:00	200	1706220	application/x-gzip	head_available	
GCF_003054445.1	4909	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/054/445/GCF_003054445.1_ASM305444v1/GCF_003054445.1_ASM305444v1_protein.faa.gz	2026-09-13T02:25:53.628982+00:00	200	1628765	application/x-gzip	head_available	
GCF_001417885.1	4911	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/417/885/GCF_001417885.1_Kmar_1.0/GCF_001417885.1_Kmar_1.0_protein.faa.gz	2026-09-13T02:25:53.646947+00:00	200	1598902	application/x-gzip	head_available	
GCA_001661245.1	4918	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/661/245/GCA_001661245.1_Pacta1_2/GCA_001661245.1_Pacta1_2_protein.faa.gz	2026-09-13T02:25:53.914645+00:00	200	1677751	application/x-gzip	head_available	
GCA_000315895.1	4920	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/315/895/GCA_000315895.1_ASM31589v1/GCA_000315895.1_ASM31589v1_protein.faa.gz	2026-09-13T02:25:53.933500+00:00	200	3388451	application/x-gzip	head_available	
