scenario	published_tip	published_name	present_in_chronogram	project_taxon_ids	project_roles	status
Default	Abis	Agaricus_bisporus	True			no_exact_name_match
Default	Abom	Anomoporia_bombycina	True			no_exact_name_match
Default	Acas	Acanthamoeba_castellanii	True	O5755	outgroup	exact_name_candidate_requires_identity_review
Default	Adel	Auricularia_delicata	True			no_exact_name_match
Default	Afil	Azolla_filiculoides	False			name_map_entry_not_in_chronogram
Default	Afum	Aspergillus_fumigatus	True	F746128	ingroup	exact_name_candidate_requires_identity_review
Default	Agre	Anthoceros_agrestis	False			name_map_entry_not_in_chronogram
Default	Agro	Amoeboradix_gromovi	True	F2109901	ingroup	exact_name_candidate_requires_identity_review
Default	Aker	Aplanochytrium_kerguelense	False			name_map_entry_not_in_chronogram
Default	Amac	Allomyces_macrogynus	True	F28583	ingroup	exact_name_candidate_requires_identity_review
Default	Amus	Amanita_muscaria	True	F41956	ingroup	exact_name_candidate_requires_identity_review
Default	Anig	Aspergillus_niger	True			no_exact_name_match
Default	Aoli	Arthrobotrys_oligospora	True			no_exact_name_match
Default	Apul	Aureobasidium_pullulans	True	F5580	ingroup	exact_name_candidate_requires_identity_review
Default	Apun	Anthoceros_punctatus	True			no_exact_name_match
Default	Aque	Amphimedon_queenslandica	True	O400682	outgroup	exact_name_candidate_requires_identity_review
Default	Arob	Anaeromyces_robustus	True	F1754192	ingroup	exact_name_candidate_requires_identity_review
Default	Atha	Arabidopsis_thaliana	True			no_exact_name_match
Default	Bbot	Botryobasidium_botryosum	True	F264124	ingroup	exact_name_candidate_requires_identity_review
Default	Bcin	Botrytis_cinerea	True	F40559	ingroup	exact_name_candidate_requires_identity_review
Default	Bden	Batrachochytrium_dendrobatidis	True			no_exact_name_match
Default	Bdis	Brachypodium_distrachyon	False			name_map_entry_not_in_chronogram
Default	Beme	Blastocladiella_emersonii	True	F4808	ingroup	exact_name_candidate_requires_identity_review
Default	Bhel	Blyttiomyces_helicus	True			no_exact_name_match
Default	Bhet	#Basidiobolus_heterosporus	False			name_map_entry_not_in_chronogram
Default	Bmer	Basidiobolus_meristosporus	True	F423460	ingroup	exact_name_candidate_requires_identity_review
Default	Bnat	Bigelowiella_natans	True			no_exact_name_match
Default	Bsal	Bodo_saltans	False			name_map_entry_not_in_chronogram
Default	Bund	Basidioascus_undulatus	True	F1230402	ingroup	exact_name_candidate_requires_identity_review
Default	Cang	Catenaria_anguillulae	True	F109876	ingroup	exact_name_candidate_requires_identity_review
Default	Catm	Chlorokybus_atmophyticus	True			no_exact_name_match
Default	Ccor	Conidiobolus_coronatus	True	F34488	ingroup	exact_name_candidate_requires_identity_review
Default	Ccri	Chondrus_crispus	True			no_exact_name_match
Default	Cdem	Ceratophyllum_demersum	False			name_map_entry_not_in_chronogram
Default	Cgra	Colletotrichum_graminicola	True			no_exact_name_match
Default	Chet	Cochliobolus_heterostrophus	True			no_exact_name_match
Default	Cimm	Coccidioides_immitis	True			no_exact_name_match
