taxon_id	species_name	state	eligible_markers	qualified_observations
F87326	Amanita brunnescens	ectomycorrhizal	69	16124
F1004511	Amanita polypyramis	ectomycorrhizal	95	25849
F41956	Amanita muscaria	ectomycorrhizal	103	30586
F933333	Amanita inopinata	asymbiotic	98	27939
F235537	Amanita thiersii	asymbiotic	68	14321
F29883	Laccaria bicolor	ectomycorrhizal	64	13393
F48563	Suillus bovinus	ectomycorrhizal	107	31049
F48565	Suillus brevipes	ectomycorrhizal	109	33028
F1904413	Suillus clintonianus	ectomycorrhizal	108	32205
F1912939	Suillus fuscotomentosus	ectomycorrhizal	63	13162
F48578	Suillus paluster	ectomycorrhizal	105	30847
F116603	Suillus plorans	ectomycorrhizal	62	12993
F48586	Suillus subalutaceus	ectomycorrhizal	105	30381
F48587	Suillus subaureus	ectomycorrhizal	62	12814
F48593	Suillus weaverae	ectomycorrhizal	107	30750
F89243	Laccaria amethystina	ectomycorrhizal	68	14387
F80663	Piloderma croceum	ectomycorrhizal	63	13434
F5570	Cenococcum geophilum	ectomycorrhizal	105	29201
F39416	Tuber melanosporum	ectomycorrhizal	62	12673
F574774	Glonium stellatum	saprotrophic	63	12863
F741139	Lepidopterella palustris	saprotrophic	65	13853
F1750568	Cantharellus anzutake	ectomycorrhizal	92	25493
F139363	Hydnum rufescens	ectomycorrhizal	0	0
F264124	Botryobasidium botryosum	saprotrophic	0	0
F156515	Tulasnella calospora	orchid_mycorrhizal	0	0
F68786	Sphaerobolus stellatus	saprotrophic	39	10979
F71933	Amanita rubescens	ectomycorrhizal	96	28859
F112417	Gautieria morchelliformis	ectomycorrhizal	105	29911
F150792	Hysterangium stoloniferum	ectomycorrhizal	109	31736
F113071	Ramaria rubella	saprotrophic	104	30167
F370292	Thelephora ganbajun	ectomycorrhizal	109	32129
F56493	Thelephora terrestris	ectomycorrhizal	0	0
