study_role	major_lineage	input_models	retained_models	deferred_models	retained_representatives	retained_nonself_members	retained_fraction	nonself_retained_fraction	input_markers	retained_markers	input_taxa	retained_taxa
ingroup	Aphelidiomycota	29	28	1	12	16	0.9655172413793104	0.9411764705882353	28	27	2	2
ingroup	Ascomycota	15118	14082	1036	1583	12499	0.9314724169863738	0.9234577022534171	125	125	234	234
ingroup	Basidiobolomycota	35	33	2	7	26	0.9428571428571428	0.9285714285714286	34	32	2	2
ingroup	Basidiomycota	2591	2386	205	500	1886	0.9208799691238904	0.9019607843137255	123	123	149	149
ingroup	Blastocladiomycota	16	15	1	6	9	0.9375	0.9	16	15	2	2
ingroup	Chytridiomycota	24	24	0	5	19	1.0	1.0	19	19	3	3
ingroup	Entomophthoromycota	7	7	0	3	4	1.0	1.0	7	7	1	1
ingroup	Glomeromycota	67	65	2	13	52	0.9701492537313433	0.9629629629629629	51	49	9	9
ingroup	Kickxellomycota	65	63	2	18	45	0.9692307692307692	0.9574468085106383	51	50	9	9
ingroup	Microsporidia	50	50	0	22	28	1.0	1.0	32	32	7	7
ingroup	Monoblepharomycota	8	8	0	2	6	1.0	1.0	8	8	1	1
ingroup	Mortierellomycota	48	48	0	12	36	1.0	1.0	42	42	7	7
ingroup	Mucoromycota	46	45	1	15	30	0.9782608695652174	0.967741935483871	40	39	7	7
ingroup	Neocallimastigomycota	16	16	0	2	14	1.0	1.0	16	16	2	2
ingroup	Olpidiomycota	8	8	0	6	2	1.0	1.0	8	8	1	1
ingroup	Rozellomycota	16	16	0	8	8	1.0	1.0	14	14	2	2
ingroup	Zoopagomycota	22	21	1	8	13	0.9545454545454546	0.9285714285714286	21	20	3	3
outgroup	Amoebozoa	30	29	1	8	21	0.9666666666666667	0.9545454545454546	28	27	5	5
outgroup	Apusomonadida	6	6	0	0	6	1.0	1.0	6	6	1	1
outgroup	Choanoflagellatea	12	11	1	6	5	0.9166666666666666	0.8333333333333334	12	11	2	2
outgroup	Filasterea	6	5	1	1	4	0.8333333333333334	0.8	6	5	1	1
outgroup	Ichthyosporea	6	6	0	1	5	1.0	1.0	6	6	1	1
outgroup	Metazoa	42	40	2	9	31	0.9523809523809523	0.9393939393939394	37	35	7	7
outgroup	Nucleariida	6	6	0	2	4	1.0	1.0	6	6	1	1
