source	length_bin	mean_plddt_bin	input_models	retained_models	deferred_models	retained_representatives	retained_nonself_members	retained_fraction	nonself_retained_fraction	input_markers	retained_markers	input_taxa	retained_taxa
AlphaFold	1-128	70-<90	53	49	4	34	15	0.9245283018867925	0.7894736842105263	9	9	50	46
AlphaFold	1-128	<70	9	9	0	5	4	1.0	1.0	3	3	10	10
AlphaFold	1-128	>=90	130	111	19	64	47	0.8538461538461538	0.7121212121212122	7	7	110	100
AlphaFold	129-256	70-<90	1546	1422	124	218	1204	0.9197930142302717	0.9066265060240963	36	36	239	232
AlphaFold	129-256	<70	129	97	32	39	58	0.751937984496124	0.6444444444444445	11	9	117	84
AlphaFold	129-256	>=90	685	626	59	34	592	0.9138686131386862	0.9093701996927803	25	24	196	189
AlphaFold	257-512	70-<90	3638	3474	164	188	3286	0.9549202858713579	0.952463768115942	80	80	295	292
AlphaFold	257-512	<70	368	321	47	122	199	0.8722826086956522	0.8089430894308943	33	33	152	147
AlphaFold	257-512	>=90	914	850	64	23	827	0.9299781181619255	0.9281705948372615	31	31	198	193
AlphaFold	513-1024	70-<90	3247	3161	86	199	2962	0.9735140129350169	0.9717847769028871	91	91	273	272
AlphaFold	513-1024	<70	1164	1082	82	219	863	0.929553264604811	0.9132275132275133	58	58	194	190
AlphaFold	513-1024	>=90	296	295	1	6	289	0.9966216216216216	0.996551724137931	12	12	125	125
AlphaFold	>1024	70-<90	462	457	5	28	429	0.9891774891774892	0.988479262672811	28	28	152	150
AlphaFold	>1024	<70	424	399	25	56	343	0.9410377358490566	0.9320652173913043	22	22	142	140
AlphaFold	>1024	>=90	88	88	0	0	88	1.0	1.0	2	2	88	88
ESMFold	1-128	70-<90	148	137	11	70	67	0.9256756756756757	0.8589743589743589	7	6	111	105
ESMFold	1-128	<70	51	50	1	36	14	0.9803921568627451	0.9333333333333333	5	5	46	46
ESMFold	1-128	>=90	32	30	2	13	17	0.9375	0.8947368421052632	1	1	32	30
ESMFold	129-256	70-<90	2016	1736	280	303	1433	0.8611111111111112	0.8365440747227088	41	41	194	193
ESMFold	129-256	<70	603	515	88	252	263	0.8540630182421227	0.7492877492877493	29	29	181	180
ESMFold	129-256	>=90	638	559	79	39	520	0.8761755485893417	0.8681135225375626	25	25	177	177
ESMFold	257-512	70-<90	899	855	44	114	741	0.9510567296996663	0.9439490445859873	69	69	189	187
ESMFold	257-512	<70	297	270	27	172	98	0.9090909090909091	0.784	24	23	163	152
ESMFold	257-512	>=90	437	425	12	15	410	0.9725400457665904	0.9715639810426541	33	33	170	169
