taxon_id	species_name	species_taxid	study_role	lineage	assembly_accession	annotation_source_version	proteome_url	cds_url	genome_url	assembly_level	busco_complete_pct	contamination_status	ecology	ecology_source	structure_coverage	inclusion_reason	status
F1498855	Amoeboaphelidium occidentale	1498855	ingroup	Aphelidiomycota;Aphelidea;Amoeboaphelidium	GCA_023515795.1	A.N. Belozersky Institute of Physico-Chemical Biology, Lomonosov Moscow State University | Annotation submitted by A.N. Belozersky Institute of Physico-Chemical Biology, Lomonosov Moscow State University | 2022-05-20	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/515/795/GCA_023515795.1_ASM2351579v1/GCA_023515795.1_ASM2351579v1_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/515/795/GCA_023515795.1_ASM2351579v1/GCA_023515795.1_ASM2351579v1_cds_from_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/515/795/GCA_023515795.1_ASM2351579v1/GCA_023515795.1_ASM2351579v1_genomic.fna.gz	Scaffold		not_assessed	unknown		not_assessed	Broad coverage of sparsely sampled phylum; quality exceptions subject to QC	provisional_file_QC_passed
F1243177	Amoeboaphelidium protococcarum	1243177	ingroup	Aphelidiomycota;Aphelidea;Amoeboaphelidium	GCA_023515745.1	A.N. Belozersky Institute of Physico-Chemical Biology, Lomonosov Moscow State University | Annotation submitted by A.N. Belozersky Institute of Physico-Chemical Biology, Lomonosov Moscow State University | 2022-05-20	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/515/745/GCA_023515745.1_ASM2351574v1/GCA_023515745.1_ASM2351574v1_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/515/745/GCA_023515745.1_ASM2351574v1/GCA_023515745.1_ASM2351574v1_cds_from_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/515/745/GCA_023515745.1_ASM2351574v1/GCA_023515745.1_ASM2351574v1_genomic.fna.gz	Scaffold		not_assessed	unknown		not_assessed	Broad coverage of sparsely sampled phylum; quality exceptions subject to QC	provisional_file_QC_passed
F2871812	Acarospora aff. strigata	2871812	ingroup	Ascomycota;Lecanoromycetes;Acarosporales;Acarosporaceae;Acarospora	GCA_022814355.1	University of Graz | Annotation submitted by University of Graz | 2022-04-04	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/814/355/GCA_022814355.1_ASM2281435v1/GCA_022814355.1_ASM2281435v1_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/814/355/GCA_022814355.1_ASM2281435v1/GCA_022814355.1_ASM2281435v1_cds_from_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/814/355/GCA_022814355.1_ASM2281435v1/GCA_022814355.1_ASM2281435v1_genomic.fna.gz	Scaffold		not_assessed	unknown		not_assessed	Broad order/family/genus coverage within Dikarya	provisional_file_QC_passed
F318763	Pleopsidium flavum	318763	ingroup	Ascomycota;Lecanoromycetes;Acarosporales;Acarosporaceae;Pleopsidium	GCA_026027315.1	University of Alberta | Annotation submitted by University of Alberta | 2022-11-07	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/027/315/GCA_026027315.1_ASM2602731v1/GCA_026027315.1_ASM2602731v1_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/027/315/GCA_026027315.1_ASM2602731v1/GCA_026027315.1_ASM2602731v1_cds_from_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/027/315/GCA_026027315.1_ASM2602731v1/GCA_026027315.1_ASM2602731v1_genomic.fna.gz	Contig		not_assessed	unknown		not_assessed	Broad order/family/genus coverage within Dikarya	provisional_file_QC_passed
F470096	Pseudovirgaria hyperparasitica	470096	ingroup	Ascomycota;Dothideomycetes;Acrospermales;Acrospermaceae;Pseudovirgaria	GCF_010093815.1	DOE Joint Genome Institute | Annotation submitted by DOE Joint Genome Institute | 2020-04-21	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/093/815/GCF_010093815.1_Psehy1/GCF_010093815.1_Psehy1_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/093/815/GCF_010093815.1_Psehy1/GCF_010093815.1_Psehy1_cds_from_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/093/815/GCF_010093815.1_Psehy1/GCF_010093815.1_Psehy1_genomic.fna.gz	Scaffold		not_assessed	unknown		not_assessed	Broad order/family/genus coverage within Dikarya	provisional_file_QC_passed
F4918	Pachysolen tannophilus	4918	ingroup	Ascomycota;Pichiomycetes;Alaninales;Pachysolenaceae;Pachysolen	GCA_001661245.1	JGI | Annotation submitted by JGI | 2016-09-15	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/661/245/GCA_001661245.1_Pacta1_2/GCA_001661245.1_Pacta1_2_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/661/245/GCA_001661245.1_Pacta1_2/GCA_001661245.1_Pacta1_2_cds_from_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/661/245/GCA_001661245.1_Pacta1_2/GCA_001661245.1_Pacta1_2_genomic.fna.gz	Scaffold		not_assessed	unknown		not_assessed	Broad order/family/genus coverage within Dikarya	provisional_file_QC_passed
F1658444	Neoarthrinium moseri	1658444	ingroup	Ascomycota;Sordariomycetes;Amphisphaeriales;Apiosporaceae;Neoarthrinium	GCF_022829205.1	TU Wien | Annotation submitted by TU Wien | 2022-07-15	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/829/205/GCF_022829205.1_ASM2282920v1/GCF_022829205.1_ASM2282920v1_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/829/205/GCF_022829205.1_ASM2282920v1/GCF_022829205.1_ASM2282920v1_cds_from_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/829/205/GCF_022829205.1_ASM2282920v1/GCF_022829205.1_ASM2282920v1_genomic.fna.gz	Scaffold		not_assessed	unknown		not_assessed	Broad order/family/genus coverage within Dikarya	provisional_file_QC_passed
F393283	Pestalotiopsis fici	393283	ingroup	Ascomycota;Sordariomycetes;Amphisphaeriales;Sporocadaceae;Pestalotiopsis	GCF_000516985.1	Institute of microbiology, chinese academy of sciences | Annotation submitted by Institute of microbiology, chinese academy of sciences | 2024-01-05	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/516/985/GCF_000516985.1_PFICI/GCF_000516985.1_PFICI_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/516/985/GCF_000516985.1_PFICI/GCF_000516985.1_PFICI_cds_from_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/516/985/GCF_000516985.1_PFICI/GCF_000516985.1_PFICI_genomic.fna.gz	Scaffold		not_assessed	unknown		not_assessed	Broad order/family/genus coverage within Dikarya	provisional_file_QC_passed
F1141098	Pseudomassariella vexata	1141098	ingroup	Ascomycota;Sordariomycetes;Amphisphaeriales;Pseudomassariaceae;Pseudomassariella	GCF_002105095.1	DOE Joint Genome Institute | Annotation submitted by DOE Joint Genome Institute | 2021-04-20	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/105/095/GCF_002105095.1_Pseve2/GCF_002105095.1_Pseve2_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/105/095/GCF_002105095.1_Pseve2/GCF_002105095.1_Pseve2_cds_from_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/105/095/GCF_002105095.1_Pseve2/GCF_002105095.1_Pseve2_genomic.fna.gz	Contig		not_assessed	unknown		not_assessed	Broad order/family/genus coverage within Dikarya	provisional_file_QC_passed
F91480	Alyxoria varia	91480	ingroup	Ascomycota;Arthoniomycetes;Arthoniales;Lecanographaceae;Alyxoria	GCA_026054675.1	University of Alberta | Annotation submitted by University of Alberta | 2022-11-07	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/054/675/GCA_026054675.1_ASM2605467v1/GCA_026054675.1_ASM2605467v1_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/054/675/GCA_026054675.1_ASM2605467v1/GCA_026054675.1_ASM2605467v1_cds_from_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/054/675/GCA_026054675.1_ASM2605467v1/GCA_026054675.1_ASM2605467v1_genomic.fna.gz	Contig		not_assessed	unknown		not_assessed	Broad order/family/genus coverage within Dikarya	provisional_file_QC_passed
