model_id	point_coefficient_max_difference	verified_omission	omission_max_difference	verified_bootstrap_index_zero_based	bootstrap_max_difference	maximum_bootstrap_normal_equation_residual
3di_af__gamma__tien2013__coverage_confidence	1.7763568394002505e-15	5003856at2759	3.3306690738754696e-16	392	4.649058915617843e-16	1.1368683772161603e-13
3di_af__gamma__tien2013__composition_adjusted	3.858025010572419e-15	5001734at2759	1.304512053934559e-15	629	9.992007221626409e-16	3.979039320256561e-13
3di_af__gamma__miller1987__coverage_confidence	3.552713678800501e-15	707202at2759	6.661338147750939e-16	1251	6.661338147750939e-16	1.1368683772161603e-13
3di_af__gamma__miller1987__composition_adjusted	3.969047313034935e-15	5017019at2759	1.27675647831893e-15	771	7.216449660063518e-16	3.410605131648481e-13
3di_af__freerate__tien2013__coverage_confidence	3.3584246494910985e-15	260326at2759	5.238864897449957e-16	1108	6.245004513516506e-16	1.7053025658242404e-13
3di_af__freerate__tien2013__composition_adjusted	4.524158825347513e-15	776280at2759	7.771561172376096e-16	262	1.4432899320127035e-15	5.684341886080801e-13
3di_af__freerate__miller1987__coverage_confidence	3.4416913763379853e-15	5013067at2759	7.771561172376096e-16	123	3.535366444040733e-15	1.1368683772161603e-13
3di_af__freerate__miller1987__composition_adjusted	2.1788126858268697e-15	5004118at2759	8.604228440844963e-16	1058	1.0824674490095276e-15	4.547473508864641e-13
3di_af_empirical__gamma__tien2013__coverage_confidence	1.1657341758564144e-15	4974767at2759	9.992007221626409e-16	111	1.5543122344752192e-15	1.1368683772161603e-13
3di_af_empirical__gamma__tien2013__composition_adjusted	4.1494585545365226e-15	554735at2759	1.5404344466674047e-15	640	1.2628786905111156e-15	5.684341886080801e-13
3di_af_empirical__gamma__miller1987__coverage_confidence	2.4424906541753444e-15	4985971at2759	1.6653345369377348e-15	1682	1.1102230246251565e-15	1.1368683772161603e-13
3di_af_empirical__gamma__miller1987__composition_adjusted	4.3021142204224816e-15	5003972at2759	1.0824674490095276e-15	1561	1.6930901125533637e-15	5.684341886080801e-13
3di_af_empirical__freerate__tien2013__coverage_confidence	3.552713678800501e-15	5001473at2759	8.881784197001252e-16	1588	4.423544863740858e-16	1.7053025658242404e-13
3di_af_empirical__freerate__tien2013__composition_adjusted	5.079270337660091e-15	4985971at2759	2.6645352591003757e-15	1450	1.2490009027033011e-15	4.547473508864641e-13
3di_af_empirical__freerate__miller1987__coverage_confidence	3.9968028886505635e-15	4985971at2759	2.220446049250313e-16	1138	1.1102230246251565e-15	2.2737367544323206e-13
3di_af_empirical__freerate__miller1987__composition_adjusted	2.4424906541753444e-15	5005892at2759	1.7763568394002505e-15	1249	7.684824998577255e-16	4.547473508864641e-13
3di_llm__gamma__tien2013__coverage_confidence	1.3877787807814457e-15	260326at2759	8.187894806610529e-16	196	6.661338147750939e-16	1.7053025658242404e-13
3di_llm__gamma__tien2013__composition_adjusted	3.927413949611491e-15	5001734at2759	1.887379141862766e-15	397	5.898059818321144e-16	5.684341886080801e-13
3di_llm__gamma__miller1987__coverage_confidence	3.219646771412954e-15	4977163at2759	3.400058012914542e-16	1889	7.771561172376096e-16	1.1368683772161603e-13
3di_llm__gamma__miller1987__composition_adjusted	4.052314039881821e-15	4867008at2759	1.9984014443252818e-15	182	1.3322676295501878e-15	3.410605131648481e-13
3di_llm__freerate__tien2013__coverage_confidence	3.3029134982598407e-15	260326at2759	8.881784197001252e-16	1780	8.881784197001252e-16	1.7053025658242404e-13
3di_llm__freerate__tien2013__composition_adjusted	4.440892098500626e-15	5003972at2759	2.55351295663786e-15	1921	1.3877787807814457e-15	4.547473508864641e-13
3di_llm__freerate__miller1987__coverage_confidence	2.6645352591003757e-15	5017019at2759	7.771561172376096e-16	531	3.885780586188048e-16	1.1368683772161603e-13
3di_llm__freerate__miller1987__composition_adjusted	2.1510571102112408e-15	5000371at2759	3.6637359812630166e-15	1484	5.273559366969494e-16	4.547473508864641e-13
