model_id	alphabet_model	rate_model	rsa_scale	controls	contrast	point_estimate	bootstrap_percentile_lower	bootstrap_percentile_upper	bootstrap_estimable_draws	bootstrap_singular_draws	loo_minimum	loo_maximum	loo_sign_reversals	most_influential_marker	largest_absolute_loo_change	observed_mean_log1p_aa_rate	observed_mean_rsa
3di_af__gamma__tien2013__coverage_confidence	3di_af	gamma	tien2013	coverage_confidence	aa_log1p_rate_at_RSA_0.25	0.16692944454009848	0.13731218611656923	0.19802906606761345	2000	0	0.16045736224316873	0.17029262713128893	0	649304at2759	0.006472082296929749	0.60622722227587	0.2663357935377736
3di_af__gamma__tien2013__coverage_confidence	3di_af	gamma	tien2013	coverage_confidence	rsa_at_aa_log1p_rate_0	-0.20644713045030622	-0.2812698375107729	-0.13126477102443793	2000	0	-0.2276245373958521	-0.19256278722036868	0	649304at2759	0.021177406945545874	0.60622722227587	0.2663357935377736
3di_af__gamma__tien2013__coverage_confidence	3di_af	gamma	tien2013	coverage_confidence	interaction	0.03720132148829887	-0.066841507755516	0.1434696834380776	2000	0	0.01720779332672774	0.06287839995581616	0	649304at2759	0.025677078467517295	0.60622722227587	0.2663357935377736
3di_af__gamma__tien2013__coverage_confidence	3di_af	gamma	tien2013	coverage_confidence	aa_log1p_rate_at_observed_mean_RSA	0.16753715764726368	0.13831555216885358	0.1975117717537442	2000	0	0.16148453080283248	0.17099753145285843	0	649304at2759	0.006052626844431197	0.60622722227587	0.2663357935377736
3di_af__gamma__tien2013__coverage_confidence	3di_af	gamma	tien2013	coverage_confidence	rsa_at_observed_mean_aa_log1p_rate	-0.18389467665946316	-0.23463173945091925	-0.13586952260642374	2000	0	-0.19133785386922444	-0.17591904003689393	0	5013539at2759	0.007975636622569227	0.60622722227587	0.2663357935377736
3di_af__gamma__tien2013__composition_adjusted	3di_af	gamma	tien2013	composition_adjusted	aa_log1p_rate_at_RSA_0.25	0.06981165188417544	0.020011696154880756	0.1195030570130311	2000	0	0.061157338754555056	0.07911139273236906	0	5013259at2759	0.009299740848193613	0.60622722227587	0.2663357935377736
3di_af__gamma__tien2013__composition_adjusted	3di_af	gamma	tien2013	composition_adjusted	rsa_at_aa_log1p_rate_0	-0.2375121385406071	-0.3132226421843184	-0.1649589556625493	2000	0	-0.25571857809279175	-0.22571112829663997	0	649304at2759	0.01820643955218465	0.60622722227587	0.2663357935377736
3di_af__gamma__tien2013__composition_adjusted	3di_af	gamma	tien2013	composition_adjusted	interaction	0.050615753261009214	-0.04988257267598445	0.15165398058959292	2000	0	0.03412501619037315	0.07599735991710267	0	649304at2759	0.02538160665609346	0.60622722227587	0.2663357935377736
3di_af__gamma__tien2013__composition_adjusted	3di_af	gamma	tien2013	composition_adjusted	aa_log1p_rate_at_observed_mean_RSA	0.07063850037920617	0.02032896396580156	0.12025248216635986	2000	0	0.06208132314805857	0.07995568962425204	0	5013259at2759	0.009317189245045862	0.60622722227587	0.2663357935377736
3di_af__gamma__tien2013__composition_adjusted	3di_af	gamma	tien2013	composition_adjusted	rsa_at_observed_mean_aa_log1p_rate	-0.20682749103778467	-0.25998402615657945	-0.1604119624561813	2000	0	-0.21497220617665574	-0.19905684054898123	0	5000452at2759	0.008144715138871078	0.60622722227587	0.2663357935377736
3di_af__gamma__miller1987__coverage_confidence	3di_af	gamma	miller1987	coverage_confidence	aa_log1p_rate_at_RSA_0.25	0.16435251180522653	0.13379437441139816	0.19651153094286153	2000	0	0.15709103587632448	0.16801585442163758	0	649304at2759	0.007261475928902056	0.60622722227587	0.31139463967197273
3di_af__gamma__miller1987__coverage_confidence	3di_af	gamma	miller1987	coverage_confidence	rsa_at_aa_log1p_rate_0	-0.17344790560292442	-0.2390597677400367	-0.10744299258596833	2000	0	-0.1922911579147632	-0.16120957530294225	0	649304at2759	0.018843252311838782	0.60622722227587	0.31139463967197273
3di_af__gamma__miller1987__coverage_confidence	3di_af	gamma	miller1987	coverage_confidence	interaction	0.036243205050593634	-0.05358959208078285	0.12862672907243325	2000	0	0.01946247537412946	0.05836500359660814	0	649304at2759	0.02212179854601451	0.60622722227587	0.31139463967197273
3di_af__gamma__miller1987__coverage_confidence	3di_af	gamma	miller1987	coverage_confidence	aa_log1p_rate_at_observed_mean_RSA	0.16657765031986516	0.13748214625126223	0.19687645275465743	2000	0	0.16067433424159164	0.17001369165459393	0	649304at2759	0.005903316078273518	0.60622722227587	0.31139463967197273
3di_af__gamma__miller1987__coverage_confidence	3di_af	gamma	miller1987	coverage_confidence	rsa_at_observed_mean_aa_log1p_rate	-0.15147628807872826	-0.19521616280529122	-0.11053727490133375	2000	0	-0.15802280983532843	-0.1447611449061551	0	5013539at2759	0.006715143172573157	0.60622722227587	0.31139463967197273
3di_af__gamma__miller1987__composition_adjusted	3di_af	gamma	miller1987	composition_adjusted	aa_log1p_rate_at_RSA_0.25	0.067219989749637	0.01736579405963861	0.117116964379336	2000	0	0.05835122273949756	0.07644687230091438	0	5013259at2759	0.009226882551277377	0.60622722227587	0.31139463967197273
