model_id	point_coefficient_max_difference	verified_omission	omission_max_difference	verified_bootstrap_index_zero_based	bootstrap_max_difference	maximum_bootstrap_normal_equation_residual
3di_af__gamma__tien2013__coverage_confidence	2.067790383364354e-15	5003856at2759	8.881784197001252e-16	392	9.020562075079397e-16	1.7053025658242404e-13
3di_af__gamma__tien2013__composition_adjusted	4.649058915617843e-15	5001734at2759	1.4432899320127035e-15	629	1.3773704399255848e-15	4.547473508864641e-13
3di_af__gamma__miller1987__coverage_confidence	2.3869795029440866e-15	707202at2759	1.6653345369377348e-15	1251	5.551115123125783e-16	1.7053025658242404e-13
3di_af__gamma__miller1987__composition_adjusted	4.135580766728708e-15	5017019at2759	9.020562075079397e-16	771	1.4432899320127035e-15	4.547473508864641e-13
3di_af__freerate__tien2013__coverage_confidence	2.2794266474335245e-15	260326at2759	4.440892098500626e-16	1108	1.5543122344752192e-15	1.7053025658242404e-13
3di_af__freerate__tien2013__composition_adjusted	5.88418203051333e-15	776280at2759	6.869504964868156e-16	262	1.4988010832439613e-15	5.684341886080801e-13
3di_af__freerate__miller1987__coverage_confidence	2.6645352591003757e-15	5013067at2759	5.551115123125783e-16	123	3.327199626923516e-15	1.7053025658242404e-13
3di_af__freerate__miller1987__composition_adjusted	5.88418203051333e-15	5004118at2759	1.2212453270876722e-15	1058	7.771561172376096e-16	5.684341886080801e-13
3di_af_empirical__gamma__tien2013__coverage_confidence	2.456368441983159e-15	4974767at2759	1.1102230246251565e-15	111	6.661338147750939e-16	1.1368683772161603e-13
3di_af_empirical__gamma__tien2013__composition_adjusted	4.8433479449272454e-15	554735at2759	3.552713678800501e-15	640	2.1788126858268697e-15	4.547473508864641e-13
3di_af_empirical__gamma__miller1987__coverage_confidence	2.6367796834847468e-15	4985971at2759	8.881784197001252e-16	1682	6.661338147750939e-16	1.7053025658242404e-13
3di_af_empirical__gamma__miller1987__composition_adjusted	4.454769886308441e-15	5003972at2759	1.6653345369377348e-15	1561	2.1094237467877974e-15	4.547473508864641e-13
3di_af_empirical__freerate__tien2013__coverage_confidence	2.157996004115148e-15	5001473at2759	4.996003610813204e-16	1588	6.661338147750939e-16	1.7053025658242404e-13
3di_af_empirical__freerate__tien2013__composition_adjusted	6.480926906249351e-15	4985971at2759	1.124100812432971e-15	1450	4.218847493575595e-15	5.684341886080801e-13
3di_af_empirical__freerate__miller1987__coverage_confidence	3.1086244689504383e-15	4985971at2759	1.3322676295501878e-15	1138	1.3322676295501878e-15	2.2737367544323206e-13
3di_af_empirical__freerate__miller1987__composition_adjusted	6.522560269672795e-15	5005892at2759	1.0130785099704553e-15	1249	1.1102230246251565e-15	4.547473508864641e-13
3di_llm__gamma__tien2013__coverage_confidence	1.5543122344752192e-15	260326at2759	5.273559366969494e-16	196	3.2612801348363973e-16	1.7053025658242404e-13
3di_llm__gamma__tien2013__composition_adjusted	4.413136522884997e-15	5001734at2759	9.298117831235686e-16	397	3.885780586188048e-15	4.547473508864641e-13
3di_llm__gamma__miller1987__coverage_confidence	2.248201624865942e-15	4977163at2759	8.881784197001252e-16	1889	7.771561172376096e-16	1.1368683772161603e-13
3di_llm__gamma__miller1987__composition_adjusted	4.052314039881821e-15	4867008at2759	3.982925100842749e-15	182	8.881784197001252e-16	4.547473508864641e-13
3di_llm__freerate__tien2013__coverage_confidence	2.3037127760972e-15	260326at2759	3.3306690738754696e-16	1780	1.5543122344752192e-15	1.7053025658242404e-13
3di_llm__freerate__tien2013__composition_adjusted	5.745404152435185e-15	5003972at2759	2.1094237467877974e-15	1921	1.6930901125533637e-15	4.547473508864641e-13
3di_llm__freerate__miller1987__coverage_confidence	3.6637359812630166e-15	5017019at2759	7.771561172376096e-16	531	2.220446049250313e-16	1.7053025658242404e-13
3di_llm__freerate__miller1987__composition_adjusted	5.745404152435185e-15	5000371at2759	3.191891195797325e-15	1484	8.049116928532385e-16	4.547473508864641e-13
