taxon_id	annotation_status	proteins	modeled	without_model	modeled_fraction
F1004511	with_pfam_hit	5677	9	5668	0.0015853443720274794
F1004511	without_pfam_hit	2285	0	2285	0.0
F1005962	with_pfam_hit	4732	118	4614	0.024936601859678782
F1005962	without_pfam_hit	593	1	592	0.0016863406408094434
F1006475	with_pfam_hit	6548	2	6546	0.00030543677458766036
F1006475	without_pfam_hit	3141	0	3141	0.0
F100910	with_pfam_hit	5881	8	5873	0.0013603128719605509
F100910	without_pfam_hit	3159	0	3159	0.0
F101028	with_pfam_hit	9126	217	8909	0.023778216085908393
F101028	without_pfam_hit	3319	2	3317	0.0006025911419102139
F101097	with_pfam_hit	7870	71	7799	0.009021601016518424
F101097	without_pfam_hit	3228	0	3228	0.0
F101098	with_pfam_hit	7767	10	7757	0.0012874983906270116
F101098	without_pfam_hit	4448	0	4448	0.0
F101201	with_pfam_hit	8564	4119	4445	0.4809668379262027
F101201	without_pfam_hit	3293	871	2422	0.2645004555116915
F1031713	with_pfam_hit	5655	3	5652	0.0005305039787798408
F1031713	without_pfam_hit	4337	0	4337	0.0
F103449	with_pfam_hit	1317	58	1259	0.04403948367501898
F103449	without_pfam_hit	1456	22	1434	0.01510989010989011
F1042133	with_pfam_hit	10251	152	10099	0.014827821675934055
F1042133	without_pfam_hit	3421	2	3419	0.0005846243788365975
F1042397	with_pfam_hit	5247	1	5246	0.0001905850962454736
F1042397	without_pfam_hit	1644	0	1644	0.0
F104341	with_pfam_hit	7505	7245	260	0.9653564290473018
F104341	without_pfam_hit	5032	4992	40	0.9920508744038156
F104355	with_pfam_hit	7708	145	7563	0.01881162428645563
F104355	without_pfam_hit	4045	1	4044	0.00024721878862793575
F104408	with_pfam_hit	5144	120	5024	0.02332814930015552
F104408	without_pfam_hit	1739	2	1737	0.0011500862564692352
F104669	with_pfam_hit	5621	5332	289	0.9485856609144281
F104669	without_pfam_hit	2628	2581	47	0.9821156773211568
F1048519	with_pfam_hit	8406	8078	328	0.960980252200809
F1048519	without_pfam_hit	3439	3411	28	0.991858098284385
F1048829	with_pfam_hit	5861	637	5224	0.10868452482511516
F1048829	without_pfam_hit	2965	1025	1940	0.3456998313659359
F1048955	with_pfam_hit	8589	130	8459	0.015135638607521248
F1048955	without_pfam_hit	5095	1	5094	0.00019627085377821394
F1052096	with_pfam_hit	7956	130	7826	0.016339869281045753
F1052096	without_pfam_hit	1748	2	1746	0.0011441647597254005
F1055551	with_pfam_hit	4993	0	4993	0.0
F1055551	without_pfam_hit	2261	0	2261	0.0
F105984	with_pfam_hit	6247	5960	287	0.9540579478149511
F105984	without_pfam_hit	2896	2850	46	0.9841160220994475
F106004	with_pfam_hit	6655	6388	267	0.9598797896318557
F106004	without_pfam_hit	3199	3169	30	0.9906220693966865
F1069201	with_pfam_hit	9543	4315	5228	0.4521638897621293
F1069201	without_pfam_hit	3119	967	2152	0.3100352677140109
F1080349	with_pfam_hit	4962	12	4950	0.0024183796856106408
F1080349	without_pfam_hit	417	0	417	0.0
F1081669	with_pfam_hit	1018	886	132	0.8703339882121808
F1081669	without_pfam_hit	1673	1489	184	0.8900179318589361
F1093897	with_pfam_hit	8455	120	8335	0.014192785334121822
F1093897	without_pfam_hit	2945	1	2944	0.00033955857385398983
F1093900	with_pfam_hit	9684	9201	483	0.9501239157372986
F1093900	without_pfam_hit	2767	2737	30	0.9891579327791832
F1095194	with_pfam_hit	10378	127	10251	0.012237425322798227
F1095194	without_pfam_hit	2950	0	2950	0.0
F109760	with_pfam_hit	6897	6507	390	0.9434536755110918
F109760	without_pfam_hit	2053	2008	45	0.9780808572820263
F109876	with_pfam_hit	6171	5936	235	0.961918651758224
F109876	without_pfam_hit	6583	6530	53	0.9919489594409844
F109889	with_pfam_hit	6440	3	6437	0.0004658385093167702
F109889	without_pfam_hit	2672	0	2672	0.0
F109899	with_pfam_hit	8454	8081	373	0.9558788739058434
F109899	without_pfam_hit	6781	6733	48	0.9929213980238902
F109932	with_pfam_hit	6856	7	6849	0.0010210035005834305
F109932	without_pfam_hit	2842	0	2842	0.0
F1099800	with_pfam_hit	5457	16	5441	0.0029320139270661537
F1099800	without_pfam_hit	1040	0	1040	0.0
F110093	with_pfam_hit	7672	2	7670	0.00026068821689259646
F110093	without_pfam_hit	2997	0	2997	0.0
F1116844	with_pfam_hit	5080	3	5077	0.0005905511811023622
F1116844	without_pfam_hit	1357	0	1357	0.0
F1117311	with_pfam_hit	9071	123	8948	0.013559695733656708
F1117311	without_pfam_hit	11023	0	11023	0.0
F112072	with_pfam_hit	5803	7	5796	0.0012062726176115801
F112072	without_pfam_hit	4608	0	4608	0.0
F1123529	with_pfam_hit	8531	8167	364	0.957332082991443
F1123529	without_pfam_hit	5296	5201	95	0.9820619335347432
F112417	with_pfam_hit	9324	3	9321	0.00032175032175032174
F112417	without_pfam_hit	11001	0	11001	0.0
F1125753	with_pfam_hit	5131	0	5131	0.0
F1125753	without_pfam_hit	936	0	936	0.0
F1130053	with_pfam_hit	7477	3	7474	0.00040123044001604924
F1130053	without_pfam_hit	2159	0	2159	0.0
F113071	with_pfam_hit	9342	7	9335	0.00074930421751231
F113071	without_pfam_hit	10933	0	10933	0.0
F1141098	with_pfam_hit	8771	8451	320	0.9635161327100673
F1141098	without_pfam_hit	3793	3770	23	0.9939361982599525
F114524	with_pfam_hit	5214	120	5094	0.023014959723820484
F114524	without_pfam_hit	389	1	388	0.002570694087403599
F114525	with_pfam_hit	5202	121	5081	0.023260284505959246
F114525	without_pfam_hit	371	1	370	0.0026954177897574125
F1145299	with_pfam_hit	5902	3	5899	0.0005083022704168078
F1145299	without_pfam_hit	2138	0	2138	0.0
F1145321	with_pfam_hit	5903	4	5899	0.000677621548365238
F1145321	without_pfam_hit	2154	0	2154	0.0
F116603	with_pfam_hit	9460	128	9332	0.013530655391120507
F116603	without_pfam_hit	6937	1	6936	0.00014415453366008361
F116794	with_pfam_hit	7409	120	7289	0.016196517748684032
F116794	without_pfam_hit	3161	1	3160	0.00031635558367605187
F116821	with_pfam_hit	6949	4	6945	0.0005756223917110375
F116821	without_pfam_hit	3268	0	3268	0.0
F116982	with_pfam_hit	6981	5	6976	0.0007162297665090961
F116982	without_pfam_hit	2958	0	2958	0.0
F117179	with_pfam_hit	5316	67	5249	0.012603461249059443
F117179	without_pfam_hit	2526	1	2525	0.000395882818685669
F117187	with_pfam_hit	11065	334	10731	0.030185268865793043
F117187	without_pfam_hit	4825	92	4733	0.019067357512953367
F1174673	with_pfam_hit	7089	3	7086	0.00042319085907744394
F1174673	without_pfam_hit	4553	0	4553	0.0
F1176130	with_pfam_hit	7602	125	7477	0.016443041304919758
F1176130	without_pfam_hit	4504	1	4503	0.00022202486678507994
F1176355	with_pfam_hit	1512	405	1107	0.26785714285714285
F1176355	without_pfam_hit	2061	194	1867	0.09412906356137797
F120017	with_pfam_hit	5493	129	5364	0.023484434735117424
F120017	without_pfam_hit	1956	1	1955	0.0005112474437627812
F1209916	with_pfam_hit	10601	440	10161	0.04150551834732572
F1209916	without_pfam_hit	6464	25	6439	0.0038675742574257425
F1209934	with_pfam_hit	10616	364	10252	0.03428786737000754
F1209934	without_pfam_hit	6714	23	6691	0.0034256776884122727
F1213189	with_pfam_hit	4569	4407	162	0.9645436638214051
F1213189	without_pfam_hit	3499	3423	76	0.9782795084309803
