guide	sh_alrt_cutoff	status	marker_full_edge_rows
mafft-guide-audit-v1	80	supported_concordance	15315
mafft-guide-audit-v1	80	supported_conflict	11700
mafft-guide-audit-v1	80	uninformative_taxon_coverage	2542
mafft-guide-audit-v1	80	unresolved_at_support_cutoff	7053
mafft-guide-audit-v1	95	supported_concordance	10632
mafft-guide-audit-v1	95	supported_conflict	4766
mafft-guide-audit-v1	95	uninformative_taxon_coverage	2542
mafft-guide-audit-v1	95	unresolved_at_support_cutoff	18670
profile-guide-audit-v1	80	supported_concordance	15212
profile-guide-audit-v1	80	supported_conflict	11695
profile-guide-audit-v1	80	uninformative_taxon_coverage	2657
profile-guide-audit-v1	80	unresolved_at_support_cutoff	7046
profile-guide-audit-v1	95	supported_concordance	10554
profile-guide-audit-v1	95	supported_conflict	4811
profile-guide-audit-v1	95	uninformative_taxon_coverage	2657
profile-guide-audit-v1	95	unresolved_at_support_cutoff	18588
