study_role	manifest_lineage_group	minimum_fraction_threshold	original_taxa	taxa_passing_both	taxa_excluded	entire_manifest_group_lost
ingroup	Aphelidiomycota	0.1	2	1	1	False
ingroup	Aphelidiomycota	0.3	2	1	1	False
ingroup	Aphelidiomycota	0.5	2	1	1	False
ingroup	Aphelidiomycota	0.7	2	1	1	False
ingroup	Ascomycota	0.1	234	233	1	False
ingroup	Ascomycota	0.3	234	231	3	False
ingroup	Ascomycota	0.5	234	230	4	False
ingroup	Ascomycota	0.7	234	228	6	False
ingroup	Basidiobolomycota	0.1	2	2	0	False
ingroup	Basidiobolomycota	0.3	2	2	0	False
ingroup	Basidiobolomycota	0.5	2	2	0	False
ingroup	Basidiobolomycota	0.7	2	1	1	False
ingroup	Basidiomycota	0.1	157	157	0	False
ingroup	Basidiomycota	0.3	157	156	1	False
ingroup	Basidiomycota	0.5	157	155	2	False
ingroup	Basidiomycota	0.7	157	153	4	False
ingroup	Blastocladiomycota	0.1	9	9	0	False
ingroup	Blastocladiomycota	0.3	9	8	1	False
ingroup	Blastocladiomycota	0.5	9	8	1	False
ingroup	Blastocladiomycota	0.7	9	8	1	False
ingroup	Calcarisporiellomycota	0.1	1	1	0	False
ingroup	Calcarisporiellomycota	0.3	1	1	0	False
ingroup	Calcarisporiellomycota	0.5	1	1	0	False
ingroup	Calcarisporiellomycota	0.7	1	1	0	False
ingroup	Chytridiomycota	0.1	12	12	0	False
ingroup	Chytridiomycota	0.3	12	12	0	False
ingroup	Chytridiomycota	0.5	12	11	1	False
ingroup	Chytridiomycota	0.7	12	11	1	False
ingroup	Entomophthoromycota	0.1	4	4	0	False
ingroup	Entomophthoromycota	0.3	4	3	1	False
ingroup	Entomophthoromycota	0.5	4	3	1	False
ingroup	Entomophthoromycota	0.7	4	2	2	False
ingroup	Glomeromycota	0.1	12	12	0	False
ingroup	Glomeromycota	0.3	12	12	0	False
ingroup	Glomeromycota	0.5	12	12	0	False
ingroup	Glomeromycota	0.7	12	10	2	False
ingroup	Kickxellomycota	0.1	12	12	0	False
ingroup	Kickxellomycota	0.3	12	11	1	False
ingroup	Kickxellomycota	0.5	12	10	2	False
ingroup	Kickxellomycota	0.7	12	5	7	False
ingroup	Microsporidia	0.1	12	12	0	False
ingroup	Microsporidia	0.3	12	4	8	False
ingroup	Microsporidia	0.5	12	0	12	True
ingroup	Microsporidia	0.7	12	0	12	True
ingroup	Monoblepharomycota	0.1	3	3	0	False
ingroup	Monoblepharomycota	0.3	3	3	0	False
ingroup	Monoblepharomycota	0.5	3	3	0	False
ingroup	Monoblepharomycota	0.7	3	3	0	False
ingroup	Mortierellomycota	0.1	12	12	0	False
ingroup	Mortierellomycota	0.3	12	12	0	False
ingroup	Mortierellomycota	0.5	12	12	0	False
ingroup	Mortierellomycota	0.7	12	12	0	False
ingroup	Mucoromycota	0.1	12	12	0	False
