policy	role	lineage_group	original_entries	retained_entries	excluded_entries
exclude_curated_hybrids	ingroup	Aphelidiomycota	2	2	0
exclude_curated_hybrids	ingroup	Ascomycota	234	232	2
exclude_curated_hybrids	ingroup	Basidiobolomycota	2	2	0
exclude_curated_hybrids	ingroup	Basidiomycota	157	157	0
exclude_curated_hybrids	ingroup	Blastocladiomycota	9	9	0
exclude_curated_hybrids	ingroup	Calcarisporiellomycota	1	1	0
exclude_curated_hybrids	ingroup	Chytridiomycota	12	12	0
exclude_curated_hybrids	ingroup	Entomophthoromycota	4	4	0
exclude_curated_hybrids	ingroup	Glomeromycota	12	12	0
exclude_curated_hybrids	ingroup	Kickxellomycota	12	12	0
exclude_curated_hybrids	ingroup	Microsporidia	12	12	0
exclude_curated_hybrids	ingroup	Monoblepharomycota	3	3	0
exclude_curated_hybrids	ingroup	Mortierellomycota	12	12	0
exclude_curated_hybrids	ingroup	Mucoromycota	12	12	0
exclude_curated_hybrids	ingroup	Neocallimastigomycota	6	6	0
exclude_curated_hybrids	ingroup	Olpidiomycota	1	1	0
exclude_curated_hybrids	ingroup	Rozellomycota	2	2	0
exclude_curated_hybrids	ingroup	Sanchytriomycota	2	2	0
exclude_curated_hybrids	ingroup	Zoopagomycota	6	6	0
exclude_curated_hybrids	outgroup	Amoebozoa	5	5	0
exclude_curated_hybrids	outgroup	Apusomonadida	1	1	0
exclude_curated_hybrids	outgroup	Choanoflagellatea	2	2	0
exclude_curated_hybrids	outgroup	Corallochytrea	1	1	0
exclude_curated_hybrids	outgroup	Filasterea	1	1	0
exclude_curated_hybrids	outgroup	Ichthyosporea	5	5	0
exclude_curated_hybrids	outgroup	Metazoa	9	9	0
exclude_curated_hybrids	outgroup	Nucleariida	1	1	0
exclude_hybrids_and_uncertain_labels	ingroup	Aphelidiomycota	2	2	0
exclude_hybrids_and_uncertain_labels	ingroup	Ascomycota	234	225	9
exclude_hybrids_and_uncertain_labels	ingroup	Basidiobolomycota	2	2	0
exclude_hybrids_and_uncertain_labels	ingroup	Basidiomycota	157	148	9
exclude_hybrids_and_uncertain_labels	ingroup	Blastocladiomycota	9	9	0
exclude_hybrids_and_uncertain_labels	ingroup	Calcarisporiellomycota	1	1	0
exclude_hybrids_and_uncertain_labels	ingroup	Chytridiomycota	12	12	0
exclude_hybrids_and_uncertain_labels	ingroup	Entomophthoromycota	4	4	0
exclude_hybrids_and_uncertain_labels	ingroup	Glomeromycota	12	11	1
exclude_hybrids_and_uncertain_labels	ingroup	Kickxellomycota	12	12	0
exclude_hybrids_and_uncertain_labels	ingroup	Microsporidia	12	12	0
exclude_hybrids_and_uncertain_labels	ingroup	Monoblepharomycota	3	2	1
exclude_hybrids_and_uncertain_labels	ingroup	Mortierellomycota	12	12	0
exclude_hybrids_and_uncertain_labels	ingroup	Mucoromycota	12	11	1
exclude_hybrids_and_uncertain_labels	ingroup	Neocallimastigomycota	6	4	2
exclude_hybrids_and_uncertain_labels	ingroup	Olpidiomycota	1	1	0
exclude_hybrids_and_uncertain_labels	ingroup	Rozellomycota	2	2	0
exclude_hybrids_and_uncertain_labels	ingroup	Sanchytriomycota	2	2	0
exclude_hybrids_and_uncertain_labels	ingroup	Zoopagomycota	6	6	0
exclude_hybrids_and_uncertain_labels	outgroup	Amoebozoa	5	5	0
exclude_hybrids_and_uncertain_labels	outgroup	Apusomonadida	1	1	0
exclude_hybrids_and_uncertain_labels	outgroup	Choanoflagellatea	2	2	0
exclude_hybrids_and_uncertain_labels	outgroup	Corallochytrea	1	1	0
exclude_hybrids_and_uncertain_labels	outgroup	Filasterea	1	1	0
exclude_hybrids_and_uncertain_labels	outgroup	Ichthyosporea	5	5	0
exclude_hybrids_and_uncertain_labels	outgroup	Metazoa	9	9	0
exclude_hybrids_and_uncertain_labels	outgroup	Nucleariida	1	1	0
