source	policy	role	lineage_group	retained_panel_taxa	taxa_with_usable_marker	usable_taxon_marker_cells
AlphaFold	full_frozen_panel	ingroup	Aphelidiomycota	2	0	0
AlphaFold	full_frozen_panel	ingroup	Ascomycota	234	154	12350
AlphaFold	full_frozen_panel	ingroup	Basidiobolomycota	2	1	7
AlphaFold	full_frozen_panel	ingroup	Basidiomycota	157	95	714
AlphaFold	full_frozen_panel	ingroup	Blastocladiomycota	9	2	16
AlphaFold	full_frozen_panel	ingroup	Calcarisporiellomycota	1	0	0
AlphaFold	full_frozen_panel	ingroup	Chytridiomycota	12	3	24
AlphaFold	full_frozen_panel	ingroup	Entomophthoromycota	4	1	7
AlphaFold	full_frozen_panel	ingroup	Glomeromycota	12	9	67
AlphaFold	full_frozen_panel	ingroup	Kickxellomycota	12	9	69
AlphaFold	full_frozen_panel	ingroup	Microsporidia	12	7	49
AlphaFold	full_frozen_panel	ingroup	Monoblepharomycota	3	1	8
AlphaFold	full_frozen_panel	ingroup	Mortierellomycota	12	7	47
AlphaFold	full_frozen_panel	ingroup	Mucoromycota	12	7	45
AlphaFold	full_frozen_panel	ingroup	Neocallimastigomycota	6	2	16
AlphaFold	full_frozen_panel	ingroup	Olpidiomycota	1	1	4
AlphaFold	full_frozen_panel	ingroup	Rozellomycota	2	2	15
AlphaFold	full_frozen_panel	ingroup	Sanchytriomycota	2	0	0
AlphaFold	full_frozen_panel	ingroup	Zoopagomycota	6	3	22
AlphaFold	full_frozen_panel	outgroup	Amoebozoa	5	5	30
AlphaFold	full_frozen_panel	outgroup	Apusomonadida	1	1	6
AlphaFold	full_frozen_panel	outgroup	Choanoflagellatea	2	2	12
AlphaFold	full_frozen_panel	outgroup	Corallochytrea	1	0	0
AlphaFold	full_frozen_panel	outgroup	Filasterea	1	1	5
AlphaFold	full_frozen_panel	outgroup	Ichthyosporea	5	1	6
AlphaFold	full_frozen_panel	outgroup	Metazoa	9	7	41
AlphaFold	full_frozen_panel	outgroup	Nucleariida	1	1	5
AlphaFold	exclude_curated_hybrids	ingroup	Aphelidiomycota	2	0	0
AlphaFold	exclude_curated_hybrids	ingroup	Ascomycota	232	152	12295
AlphaFold	exclude_curated_hybrids	ingroup	Basidiobolomycota	2	1	7
AlphaFold	exclude_curated_hybrids	ingroup	Basidiomycota	157	95	714
AlphaFold	exclude_curated_hybrids	ingroup	Blastocladiomycota	9	2	16
AlphaFold	exclude_curated_hybrids	ingroup	Calcarisporiellomycota	1	0	0
AlphaFold	exclude_curated_hybrids	ingroup	Chytridiomycota	12	3	24
AlphaFold	exclude_curated_hybrids	ingroup	Entomophthoromycota	4	1	7
AlphaFold	exclude_curated_hybrids	ingroup	Glomeromycota	12	9	67
AlphaFold	exclude_curated_hybrids	ingroup	Kickxellomycota	12	9	69
AlphaFold	exclude_curated_hybrids	ingroup	Microsporidia	12	7	49
AlphaFold	exclude_curated_hybrids	ingroup	Monoblepharomycota	3	1	8
AlphaFold	exclude_curated_hybrids	ingroup	Mortierellomycota	12	7	47
AlphaFold	exclude_curated_hybrids	ingroup	Mucoromycota	12	7	45
AlphaFold	exclude_curated_hybrids	ingroup	Neocallimastigomycota	6	2	16
AlphaFold	exclude_curated_hybrids	ingroup	Olpidiomycota	1	1	4
AlphaFold	exclude_curated_hybrids	ingroup	Rozellomycota	2	2	15
AlphaFold	exclude_curated_hybrids	ingroup	Sanchytriomycota	2	0	0
AlphaFold	exclude_curated_hybrids	ingroup	Zoopagomycota	6	3	22
AlphaFold	exclude_curated_hybrids	outgroup	Amoebozoa	5	5	30
AlphaFold	exclude_curated_hybrids	outgroup	Apusomonadida	1	1	6
AlphaFold	exclude_curated_hybrids	outgroup	Choanoflagellatea	2	2	12
AlphaFold	exclude_curated_hybrids	outgroup	Corallochytrea	1	0	0
AlphaFold	exclude_curated_hybrids	outgroup	Filasterea	1	1	5
AlphaFold	exclude_curated_hybrids	outgroup	Ichthyosporea	5	1	6
AlphaFold	exclude_curated_hybrids	outgroup	Metazoa	9	7	41
AlphaFold	exclude_curated_hybrids	outgroup	Nucleariida	1	1	5
AlphaFold	exclude_hybrids_and_uncertain_labels	ingroup	Aphelidiomycota	2	0	0
AlphaFold	exclude_hybrids_and_uncertain_labels	ingroup	Ascomycota	225	152	12295
AlphaFold	exclude_hybrids_and_uncertain_labels	ingroup	Basidiobolomycota	2	1	7
AlphaFold	exclude_hybrids_and_uncertain_labels	ingroup	Basidiomycota	148	95	714
AlphaFold	exclude_hybrids_and_uncertain_labels	ingroup	Blastocladiomycota	9	2	16
AlphaFold	exclude_hybrids_and_uncertain_labels	ingroup	Calcarisporiellomycota	1	0	0
AlphaFold	exclude_hybrids_and_uncertain_labels	ingroup	Chytridiomycota	12	3	24
AlphaFold	exclude_hybrids_and_uncertain_labels	ingroup	Entomophthoromycota	4	1	7
AlphaFold	exclude_hybrids_and_uncertain_labels	ingroup	Glomeromycota	11	9	67
AlphaFold	exclude_hybrids_and_uncertain_labels	ingroup	Kickxellomycota	12	9	69
AlphaFold	exclude_hybrids_and_uncertain_labels	ingroup	Microsporidia	12	7	49
AlphaFold	exclude_hybrids_and_uncertain_labels	ingroup	Monoblepharomycota	2	1	8
AlphaFold	exclude_hybrids_and_uncertain_labels	ingroup	Mortierellomycota	12	7	47
AlphaFold	exclude_hybrids_and_uncertain_labels	ingroup	Mucoromycota	11	7	45
AlphaFold	exclude_hybrids_and_uncertain_labels	ingroup	Neocallimastigomycota	4	2	16
AlphaFold	exclude_hybrids_and_uncertain_labels	ingroup	Olpidiomycota	1	1	4
AlphaFold	exclude_hybrids_and_uncertain_labels	ingroup	Rozellomycota	2	2	15
AlphaFold	exclude_hybrids_and_uncertain_labels	ingroup	Sanchytriomycota	2	0	0
AlphaFold	exclude_hybrids_and_uncertain_labels	ingroup	Zoopagomycota	6	3	22
AlphaFold	exclude_hybrids_and_uncertain_labels	outgroup	Amoebozoa	5	5	30
AlphaFold	exclude_hybrids_and_uncertain_labels	outgroup	Apusomonadida	1	1	6
AlphaFold	exclude_hybrids_and_uncertain_labels	outgroup	Choanoflagellatea	2	2	12
