taxon_id	species_name	study_role	lineage	candidate_proteins	TFIIB_hit_proteins	BRF1_hit_proteins	Zn_Ribbon_TF_hit_proteins	unresolved_gene_candidates
F1498855	Amoeboaphelidium occidentale	ingroup	Aphelidiomycota;Aphelidea;Amoeboaphelidium	2	2	1	2	0
F1243177	Amoeboaphelidium protococcarum	ingroup	Aphelidiomycota;Aphelidea;Amoeboaphelidium	4	4	2	4	0
F2871812	Acarospora aff. strigata	ingroup	Ascomycota;Lecanoromycetes;Acarosporales;Acarosporaceae;Acarospora	2	2	1	1	0
F318763	Pleopsidium flavum	ingroup	Ascomycota;Lecanoromycetes;Acarosporales;Acarosporaceae;Pleopsidium	2	2	1	1	0
F470096	Pseudovirgaria hyperparasitica	ingroup	Ascomycota;Dothideomycetes;Acrospermales;Acrospermaceae;Pseudovirgaria	2	2	1	1	0
F4918	Pachysolen tannophilus	ingroup	Ascomycota;Pichiomycetes;Alaninales;Pachysolenaceae;Pachysolen	2	2	1	1	0
F1658444	Neoarthrinium moseri	ingroup	Ascomycota;Sordariomycetes;Amphisphaeriales;Apiosporaceae;Neoarthrinium	3	3	1	2	0
F393283	Pestalotiopsis fici	ingroup	Ascomycota;Sordariomycetes;Amphisphaeriales;Sporocadaceae;Pestalotiopsis	2	2	1	1	0
F1141098	Pseudomassariella vexata	ingroup	Ascomycota;Sordariomycetes;Amphisphaeriales;Pseudomassariaceae;Pseudomassariella	2	2	1	1	0
F91480	Alyxoria varia	ingroup	Ascomycota;Arthoniomycetes;Arthoniales;Lecanographaceae;Alyxoria	2	2	1	1	0
F2939400	Chrysothrix sp. TS-e1954	ingroup	Ascomycota;Arthoniomycetes;Arthoniales;Chrysotrichaceae;Chrysothrix	2	2	1	1	0
F1542792	Coniocarpon cinnabarinum	ingroup	Ascomycota;Arthoniomycetes;Arthoniales;Arthoniaceae;Coniocarpon	2	2	1	1	0
F54195	Ascoidea rubescens	ingroup	Ascomycota;Saccharomycetes;Ascoideales;Ascoideaceae;Ascoidea	2	2	1	2	0
F43959	Saccharomycopsis crataegensis	ingroup	Ascomycota;Saccharomycetes;Ascoideales;Saccharomycopsidaceae;Saccharomycopsis	2	2	1	1	0
F1176130	Aulographum hederae	ingroup	Ascomycota;Dothideomycetes;Aulographales;Aulographaceae;Aulographum	2	2	1	1	0
F1504668	Rhizodiscina lignyota	ingroup	Ascomycota;Dothideomycetes;Aulographales;Rhizodiscinaceae;Rhizodiscina	2	2	1	1	0
F1397036	Lambiella insularis	ingroup	Ascomycota;Lecanoromycetes;Baeomycetales;Xylographaceae;Lambiella	2	2	1	1	0
F223409	Ptychographa xylographoides	ingroup	Ascomycota;Lecanoromycetes;Baeomycetales;Xylographaceae;Ptychographa	2	2	1	1	0
F1590129	Xylographa bjoerkii	ingroup	Ascomycota;Lecanoromycetes;Baeomycetales;Xylographaceae;Xylographa	2	2	1	1	0
F462254	Aplosporella prunicola	ingroup	Ascomycota;Dothideomycetes;Botryosphaeriales;Aplosporellaceae;Aplosporella	3	3	1	2	0
F236234	Diplodia corticola	ingroup	Ascomycota;Dothideomycetes;Botryosphaeriales;Botryosphaeriaceae;Diplodia	2	2	1	1	0
F121624	Phyllosticta capitalensis	ingroup	Ascomycota;Dothideomycetes;Botryosphaeriales;Phyllostictaceae;Phyllosticta	2	2	1	1	0
F3058885	Dirinaria sp. TL-2023a	ingroup	Ascomycota;Lecanoromycetes;Caliciales;Caliciaceae;Dirinaria	2	2	1	1	0
F116794	Heterodermia speciosa	ingroup	Ascomycota;Lecanoromycetes;Caliciales;Physciaceae;Heterodermia	5	5	1	2	0
F116821	Physcia stellaris	ingroup	Ascomycota;Lecanoromycetes;Caliciales;Physciaceae;Physcia	4	4	1	1	0
F41990	Pleurostoma richardsiae	ingroup	Ascomycota;Sordariomycetes;Calosphaeriales;Pleurostomataceae;Pleurostoma	3	3	2	1	0
