split_id	BRF1_enriched_side_tips	detected_on_enriched_side	undetected_on_enriched_side	detected_on_other_side	undetected_on_other_side	minimum_class_disagreements	SH_aLRT	UFBoot	branch_length
0x8000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	2	0	2	473	565	475	29.2	48.0	0.0120620145
0x8000000000000000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	3	0	3	473	564	476	92.0	90.0	0.0233479571
0x8000100000000000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	4	0	4	473	563	477	72.0	58.0	0.0044198235
0x8000100000000000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002	5	0	5	473	562	478	76.1	74.0	0.0106165025
0x8000100000000000000800000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000000000000000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002	6	0	6	473	561	479	95.2	98.0	0.0293998833
0x10000000000000000000000000000002000000	2	0	2	473	565	475	69.4	51.0	0.0342666136
0x1000000000000000000000010000000000000000000000000000002000000	3	0	3	473	564	476	62.1	35.0	0.0040740306
0x400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000010000000000000000000000000000002000000	4	0	4	473	563	477	94.0	81.0	0.0287674375
0x80000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000200000000000000000000000000000000000000000000	2	0	2	473	565	475	85.5	91.0	0.032927204
0x4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000200000000000000000000000000000000000000000000	3	0	3	473	564	476	91.7	91.0	0.0253451977
0x4000000000000000000000000000000000000000000000000000000000000000000000000000400000000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000200000010000000000000000000000000000002000000	7	0	7	473	560	480	76.4	53.0	0.009845157
0x2000000000000000000000000000000000000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	2	0	2	473	565	475	99.8	98.0	0.0826090827
0x4000000000000000000000000000000000000000000000000000002000000000000000000000400000000000080008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000200000010000000000000000000000000000002000000	9	0	9	473	558	482	74.4	15.0	0.0091243907
0x4008000100000000000000800000000000000000000000000000002000000000000000000000400000000020080008000000000000000000000000000000000000000000000000000200000000000000000000000000000000000000000001000000000000000200000010000000000000000000000000000002000002	15	0	15	473	552	488	77.2	13.0	0.0073737173
0x8000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	2	0	2	473	565	475	91.4	95.0	0.026287948
0x8000000000000000000000000000000000000001000000000000000000000000000000000000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	3	0	3	473	564	476	72.6	64.0	0.0092329764
