split_id	BRF1_enriched_side_tips	detected_on_enriched_side	undetected_on_enriched_side	detected_on_other_side	undetected_on_other_side	minimum_class_disagreements	SH_aLRT	UFBoot	branch_length
0x100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002	2	0	2	473	565	475	77.6	75.0	0.0212769955
0x100000000000000000000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002	3	0	3	473	564	476	78.9	61.0	0.0220673121
0x8000000000000000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	2	0	2	473	565	475	43.1	47.0	0.0139157039
0x8000000000000000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	3	0	3	473	564	476	85.6	78.0	0.031651813
0x8000100000000000000800000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000000000000000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002	6	0	6	473	561	479	80.0	70.0	0.0246149596
0x400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	2	0	2	473	565	475	93.4	100.0	0.0609244237
0x8000500000000000000800000000000000000000000000000000000000000000000000000000000000020000000000000000000000000010000000000000000000000000000000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002	8	0	8	473	559	481	49.1	47.0	0.0316661785
0x400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000400000000000000000000000	2	0	2	473	565	475			0.0
0x500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000400000000000000000000000	3	0	3	473	564	476			0.0
0x4500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000400000000000000000000000	4	0	4	473	563	477			0.0
0x4500000000000000000000000000000000000000000000000000000000000000000000000000000000000000008000000000000000000000000000000000000000000000000000000000000000400000000000000000000000	5	0	5	473	562	478			0.0
0x4500000000000000000000000000000000000000000000000000000000000000000000000000000000000000028000000000000000000000000000000000000000000000000000000000000000400000000000000000000000	6	0	6	473	561	479			1e-06
0x5500000000000000000000000000000000000000000000000000000000000000000000000000000000000000028000000000000000000000000000000000000000000000000000000000000000400000000000000000000000	7	0	7	473	560	480	0.0	7.0	2.7913e-06
0x5500000000000000000000000000000000000000000000000000000000000000000000000000000000000000029000000000000000000000000000000000000000000000000000000000000000400000000000000000000000	8	0	8	473	559	481	0.0	13.0	2.751e-06
0x15500000000000000000000000000000000000000000000000000000000000000000000000000000000000000029000000000000000000000000000000000000000000000000000000000000000400000000000000000000000	9	0	9	473	558	482	0.0	31.0	2.8781e-06
0x55500000000000000000000000000000000000000000000000000000000000000000000000000000000000000029000000000000000000000000000000000000000000000000000000000000000400000000000000000000000	10	0	10	473	557	483	97.1	95.0	0.0728946897
0x4000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000	2	0	2	473	565	475	80.0	84.0	0.0283800833
0x100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000	3	0	3	473	564	476	76.4	83.0	0.0324132601
0x100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004000004000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000	4	0	4	473	563	477	52.5	67.0	0.0199060748
0x100000000000000000000000000000000000000000000000000000000000055500000000000000000000000000000000000000000000000004000004000000000000000000000000000000029000000000100000000000000000000000000000000000000000000000000000400000000000000000000000	14	0	14	473	553	487	0.0	53.0	0.0039275989
