species_name	abbreviation	published_lineage	source	sheet	citation	status
Cyathus striatus	Cstr	Dikarya; Basidiomycota; Agaricomycotina	https://genome.jgi.doe.gov/portal/Cyastr2/download/Cyastr2_GeneCatalog_proteins_20160525.aa.fasta.gz	T1_original_dataset	https://doi.org/10.1038/s41559-025-02851-z	published_candidate_not_selected
Crucibulum laeve	Clae	Dikarya; Basidiomycota; Agaricomycotina	https://genome.jgi.doe.gov/portal/Crula1/download/Crula1_GeneCatalog_proteins_20151130.aa.fasta.gz	T1_original_dataset	https://doi.org/10.1038/s41559-025-02851-z	published_candidate_not_selected
Laccaria bicolor	Lbic	Dikarya; Basidiomycota; Agaricomycotina	https://genome.jgi.doe.gov/portal/Lacbi2/download/Lacbi2_GeneCatalog_proteins_20110203.aa.fasta.gz	T1_original_dataset	https://doi.org/10.1038/s41559-025-02851-z	published_candidate_not_selected
Hebeloma cylindrosporum	Hcyl	Dikarya; Basidiomycota; Agaricomycotina	https://genome.jgi.doe.gov/portal/Hebcy2/download/Hebcy2_GeneCatalog_proteins_20120913.aa.fasta.gz	T1_original_dataset	https://doi.org/10.1038/s41559-025-02851-z	published_candidate_not_selected
Agaricus bisporus	Abis	Dikarya; Basidiomycota; Agaricomycotina	https://genome.jgi.doe.gov/portal/Agabi_varbisH97_2/download/Abisporus_varbisporusH97.v2.FilteredModels3.proteins.fasta.gz	T1_original_dataset	https://doi.org/10.1038/s41559-025-02851-z	published_candidate_not_selected
Amanita muscaria	Amus	Dikarya; Basidiomycota; Agaricomycotina	https://genome.jgi.doe.gov/portal/Amamu1/download/Amamu1_GeneCatalog_proteins_20120806.aa.fasta.gz	T1_original_dataset	https://doi.org/10.1038/s41559-025-02851-z	published_candidate_not_selected
Gymnopus luxurians	Glux	Dikarya; Basidiomycota; Agaricomycotina	https://genome.jgi.doe.gov/portal/Gymlu1/download/Gymlu1_GeneCatalog_proteins_20110803.aa.fasta.gz	T1_original_dataset	https://doi.org/10.1038/s41559-025-02851-z	published_candidate_not_selected
Schizophyllum commune	Scom	Dikarya; Basidiomycota; Agaricomycotina	https://genome.jgi.doe.gov/portal/Schco3/download/Schco3_GeneCatalog_proteins_20130812.aa.fasta.gz	T1_original_dataset	https://doi.org/10.1038/s41559-025-02851-z	published_candidate_not_selected
Mycena galopus	Mgal	Dikarya; Basidiomycota; Agaricomycotina	https://genome.jgi.doe.gov/portal/Mycgal1/download/Mycgal1_GeneCatalog_proteins_20160823.aa.fasta.gz	T1_original_dataset	https://doi.org/10.1038/s41559-025-02851-z	published_candidate_not_selected
Pleurotus ostreatus	Post	Dikarya; Basidiomycota; Agaricomycotina	https://genome.jgi.doe.gov/portal/PleosPC15_2/download/PleosPC15_2_GeneModels_FilteredModels1_aa.fasta.gz	T1_original_dataset	https://doi.org/10.1038/s41559-025-02851-z	published_candidate_not_selected
Suillus luteus	Slut	Dikarya; Basidiomycota; Agaricomycotina	https://genome.jgi.doe.gov/portal/Suilu4/download/Suilu4_GeneCatalog_proteins_20170628.aa.fasta.gz	T1_original_dataset	https://doi.org/10.1038/s41559-025-02851-z	published_candidate_not_selected
Paxillus involutus	Pinv	Dikarya; Basidiomycota; Agaricomycotina	https://genome.jgi.doe.gov/portal/Paxin1/download/Paxin1_GeneCatalog_proteins_20110501.aa.fasta.gz	T1_original_dataset	https://doi.org/10.1038/s41559-025-02851-z	published_candidate_not_selected
Serpula lacrymans	Slac	Dikarya; Basidiomycota; Agaricomycotina	https://genome.jgi.doe.gov/portal/SerlaS7_9_2/download/SerlaS7_9_2_GeneCatalog_proteins_20120319.aa.fasta.gz	T1_original_dataset	https://doi.org/10.1038/s41559-025-02851-z	published_candidate_not_selected
