dimension	bin	clusters	denominator	percent
models	1	339722	400127	84.9035431250578
models	2–4	34919	400127	8.726979184109044
models	5–9	10777	400127	2.6933948471360343
models	10–49	10841	400127	2.7093897687484225
models	50–99	2172	400127	0.5428276522204201
models	≥100	1696	400127	0.42386542272828376
taxa	1	345910	400127	86.45005210845557
taxa	2–4	32593	400127	8.145663751758816
taxa	5–9	9221	400127	2.3045183154348496
taxa	10–49	9439	400127	2.359001017177046
taxa	50–99	2012	400127	0.5028403481894499
taxa	≥100	952	400127	0.2379244589842725
