taxon_id	species_name	study_role	representative_proteins	proteins_with_model	proteins_without_catalog_model
F1004511	Amanita polypyramis	ingroup	7962	9	7953
F1005962	Ogataea parapolymorpha	ingroup	5325	119	5206
F1006475	Circinaria calcarea	ingroup	9689	2	9687
F100910	Rhodosporidiobolus nylandii	ingroup	9040	8	9032
F101028	Fusarium pseudograminearum	ingroup	12445	219	12226
F101097	Entomortierella chlamydospora	ingroup	11098	71	11027
F101098	Gamsiella multidivaricata	ingroup	12215	10	12205
F101201	Trichoderma asperellum	ingroup	11857	4990	6867
F1031713	Tilletia maclaganii	ingroup	9992	3	9989
F103449	Vavraia culicis	ingroup	2773	80	2693
F1042133	Fusarium musae	ingroup	13672	154	13518
F1042397	Schaereria dolodes	ingroup	6891	1	6890
F104341	Rhodonia placenta	ingroup	12537	12237	300
F104355	Gloeophyllum trabeum	ingroup	11753	146	11607
F104408	Naganishia liquefaciens	ingroup	6883	122	6761
F104669	Cryptococcus amylolentus	ingroup	8249	7913	336
F1048519	Viridothelium virens	ingroup	11845	11489	356
F1048829	Paracoccidioides lutzii	ingroup	8826	1662	7164
F1048955	Tothia fuscella	ingroup	13684	131	13553
F1052096	Cladosporium halotolerans	ingroup	9704	132	9572
F1055551	Tritirachium sp. CBS 265.96	ingroup	7254	0	7254
F105984	Apiotrichum porosum	ingroup	9143	8810	333
F106004	Leucosporidium creatinivorum	ingroup	9854	9557	297
F1069201	Aspergillus luchuensis	ingroup	12662	5282	7380
F1080349	Saccharomyces eubayanus	ingroup	5379	12	5367
F1081669	Hepatospora eriocheir	ingroup	2691	2375	316
F1093897	Phialemonium atrogriseum	ingroup	11400	121	11279
F1093900	Thyridium curvatum	ingroup	12451	11938	513
F1095194	Colletotrichum karsti	ingroup	13328	127	13201
F109760	Spizellomyces punctatus	ingroup	8950	8515	435
F109876	Catenaria anguillulae	ingroup	12754	12466	288
F109889	Lobulomyces angularis	ingroup	9112	3	9109
F109899	Serendipita vermifera	ingroup	15235	14814	421
F109932	Entophlyctis luteolus	ingroup	9698	7	9691
F1099800	Saitoella coloradoensis	ingroup	6497	16	6481
F110093	Polychytrium aggregatum	ingroup	10669	2	10667
F1116844	Thelocarpon impressellum	ingroup	6437	3	6434
F1117311	Funneliformis geosporum	ingroup	20094	123	19971
F112072	Naohidea sebacea	ingroup	10411	7	10404
F1123529	Gonapodya prolifera	ingroup	13827	13368	459
F112417	Gautieria morchelliformis	ingroup	20325	3	20322
F1125753	Limtongia smithiae	ingroup	6067	0	6067
F1130053	Cirrosporium novae-zelandiae	ingroup	9636	3	9633
F113071	Ramaria rubella	ingroup	20275	7	20268
F1141098	Pseudomassariella vexata	ingroup	12564	12221	343
F114524	Saccharomyces kudriavzevii	ingroup	5603	121	5482
F114525	Saccharomyces mikatae	ingroup	5573	122	5451
F1145299	Brigantiaea leucoxantha	ingroup	8040	3	8037
F1145321	Letrouitia subvulpina	ingroup	8057	4	8053
F116603	Suillus plorans	ingroup	16397	129	16268
F116794	Heterodermia speciosa	ingroup	10570	121	10449
F116821	Physcia stellaris	ingroup	10217	4	10213
F116982	Xanthoria calcicola	ingroup	9939	5	9934
F117179	Tilletia walkeri	ingroup	7842	68	7774
F117187	Fusarium verticillioides	ingroup	15890	426	15464
F1174673	Morchella importuna	ingroup	11642	3	11639
F1176130	Aulographum hederae	ingroup	12106	126	11980
F1176355	Hamiltosporidium tvaerminnensis	ingroup	3573	599	2974
F120017	Ustilago hordei	ingroup	7449	130	7319
F1209916	Colletotrichum costaricense	ingroup	17065	465	16600
F1209934	Colletotrichum tamarilloi	ingroup	17330	387	16943
F1213189	Zancudomyces culisetae	ingroup	8068	7830	238
F1214568	Diaporthe amygdali	ingroup	15635	23	15612
F121624	Phyllosticta capitalensis	ingroup	12062	9	12053
F1217826	Xylona heveae	ingroup	8201	7882	319
F1220207	Aspergillus puulaauensis	ingroup	13605	126	13479
F122368	Cercospora beticola	ingroup	13144	9646	3498
F1230402	Basidioascus undulatus	ingroup	11623	1	11622
F1243177	Amoeboaphelidium protococcarum	ingroup	13180	0	13180
F1246581	Paramicrosporidium saccamoebae	ingroup	3766	3630	136
F1269715	Thecaphora frezii	ingroup	7011	11	7000
F1276059	Polystigma amygdalinum	ingroup	9060	4	9056
F1280837	Meira miltonrushii	ingroup	7444	7127	317
F1286916	Piptocephalis tieghemiana	ingroup	5811	8	5803
F129515	Trapelia coarctata	ingroup	9391	6	9385
F1300064	Nucleospora cyclopteri	ingroup	2636	0	2636
F1314805	Vararia minispora	ingroup	10966	6	10960
F1323573	Meredithblackwellia eburnea	ingroup	11134	1	11133
F1328300	Fusarium keratoplasticum	ingroup	14423	36	14387
F13290	Tilletia caries	ingroup	9904	3886	6018
F13291	Tilletia controversa	ingroup	9932	2472	7460
F1331295	Auricularia subglabra	ingroup	23555	13	23542
F133377	Smittium angustum	ingroup	7385	6987	398
F133385	Smittium simulii	ingroup	6519	6207	312
F1341166	Eremomyces bilateralis	ingroup	9874	126	9748
F1343610	Actinomortierella ambigua	ingroup	9892	121	9771
F1343614	Mortierella claussenii	ingroup	10414	10	10404
F1348612	Diversispora epigaea	ingroup	28348	26767	1581
F13502	Brettanomyces nanus	ingroup	4711	120	4591
F135208	Hericium alpestre	ingroup	11007	9634	1373
F135589	Coniferiporia weirii	ingroup	9937	3	9934
F136370	Lasallia pustulata	ingroup	9825	663	9162
F139363	Hydnum rufescens	ingroup	18664	116	18548
F1396493	Fimicolochytrium jonesii	ingroup	10065	9	10056
F1397036	Lambiella insularis	ingroup	8485	4	8481
F1419009	Clathrus columnatus	ingroup	10514	110	10404
F1424756	Naganishia vaughanmartiniae	ingroup	6621	0	6621
F143232	Vanrija pseudolonga	ingroup	9473	119	9354
F1440133	Modicella reniformis	ingroup	12900	107	12793
F144530	Ambispora gerdemannii	ingroup	13690	122	13568
F144538	Paraglomus brasilianum	ingroup	11842	123	11719
F144539	Paraglomus occultum	ingroup	11385	115	11270
F144679	Ambispora leptoticha	ingroup	14642	121	14521
F1453789	Toensbergia leucococca	ingroup	8691	4	8687
F1453791	Pycnora praestabilis	ingroup	7721	5	7716
F145971	Colletotrichum lupini	ingroup	18280	354	17926
F1463510	Parajaminaea phylloscopi	ingroup	6613	4	6609
F147570	Myriangium duriaei	ingroup	10674	132	10542
F147573	Piedraia hortae	ingroup	7556	124	7432
