marker	bootstrap_trees	sites	independent_tree_index_1based	independent_scores_checked
115730at2759	1000	209	490	418
129234at2759	1000	166	371	332
201273at2759	1000	111	39	222
207567at2759	1000	171	304	342
260326at2759	1000	151	878	302
319730at2759	1000	400	787	800
345792at2759	1000	226	804	452
352891at2759	1000	240	809	480
4613677at2759	1000	73	782	146
4747214at2759	1000	111	992	222
4803900at2759	1000	101	934	202
4823929at2759	1000	409	961	818
4837017at2759	1000	196	422	392
4843824at2759	1000	196	356	392
4867008at2759	1000	177	252	354
4896098at2759	1000	149	201	298
4900375at2759	1000	169	260	338
4908955at2759	1000	275	639	550
4969018at2759	1000	336	314	672
4969636at2759	1000	291	716	582
4969990at2759	1000	345	301	690
4970387at2759	1000	136	897	272
4971272at2759	1000	375	427	750
4974767at2759	1000	74	330	148
4976279at2759	1000	228	335	456
4977163at2759	1000	141	79	282
4985971at2759	1000	281	911	562
5000045at2759	1000	301	614	602
5000371at2759	1000	411	389	822
5000452at2759	1000	292	1	584
5000476at2759	1000	306	189	612
5000743at2759	1000	166	362	332
5001156at2759	1000	229	707	458
5001273at2759	1000	229	487	458
5001318at2759	1000	261	537	522
5001413at2759	1000	251	142	502
5001473at2759	1000	81	967	162
5001734at2759	1000	172	138	344
5002334at2759	1000	227	835	454
5002573at2759	1000	357	826	714
5003856at2759	1000	219	751	438
5003972at2759	1000	201	531	402
5004118at2759	1000	81	626	162
5004478at2759	1000	261	188	522
5005010at2759	1000	92	903	184
5005174at2759	1000	136	288	272
5005196at2759	1000	291	894	582
5005274at2759	1000	157	755	314
5005750at2759	1000	107	468	214
5005892at2759	1000	288	566	576
5013042at2759	1000	333	732	666
5013067at2759	1000	306	381	612
5013259at2759	1000	120	388	240
5013539at2759	1000	223	194	446
5013726at2759	1000	165	202	330
5013738at2759	1000	170	311	340
5015403at2759	1000	314	579	628
5015712at2759	1000	422	307	844
5015742at2759	1000	394	224	788
5017019at2759	1000	139	549	278
529759at2759	1000	226	969	452
539632at2759	1000	257	902	514
540946at2759	1000	401	382	802
541070at2759	1000	222	874	444
554735at2759	1000	231	162	462
649304at2759	1000	276	743	552
707076at2759	1000	228	126	456
707202at2759	1000	323	547	646
727964at2759	1000	241	622	482
760428at2759	1000	331	855	662
776280at2759	1000	243	639	486
801816at2759	1000	153	880	306
