taxon_id	marker	selected_protein_id	raw_hit_proteins	alternative_raw_hits	alternative_final_calls_without_overlap	alternative_raw_hits_without_overlap	alternative_raw_hits_without_overlap_at_or_above_cutoff
F610337	129234at2759	KAJ9108408.1	1	0	0	0	0
F610337	260326at2759	KAJ9108417.1	3	2	0	1	0
F610337	340246at2759	KAJ9106613.1	52	51	0	30	0
F610337	345792at2759	KAJ9101333.1	4	3	0	2	1
F610337	4613677at2759	KAJ9103491.1	1	0	0	0	0
F610337	4747214at2759	KAJ9113391.1	2	1	0	1	0
F610337	4764044at2759	KAJ9100180.1	29	28	0	15	1
F610337	4803900at2759	KAJ9100835.1	4	3	0	2	1
F610337	4810093at2759	KAJ9093640.1	142	141	0	70	0
F610337	4823929at2759	KAJ9099655.1	17	16	0	9	1
F610337	4838864at2759	KAJ9103533.1	84	83	0	39	1
F610337	4867008at2759	KAJ9102150.1	5	4	0	3	1
F610337	4896098at2759	KAJ9112000.1	1	0	0	0	0
F610337	4908955at2759	KAJ9109651.1	10	9	0	6	2
F610337	4911644at2759	KAJ9103416.1	5	4	0	2	1
F610337	4970538at2759	KAJ9101597.1	8	7	0	1	0
F610337	4976279at2759	KAJ9101352.1	2	1	0	1	1
F610337	5000371at2759	KAJ9093989.1	4	3	0	3	1
F610337	5000452at2759	KAJ9103443.1	10	9	0	4	0
F610337	5000743at2759	KAJ9101344.1	7	6	0	3	0
F610337	5000870at2759	KAJ9097970.1	9	8	0	4	0
F610337	5001318at2759	KAJ9100793.1	50	49	0	29	1
F610337	5001413at2759	KAJ9096669.1	2	1	0	1	1
F610337	5001473at2759	KAJ9101290.1	3	2	0	2	1
F610337	5002573at2759	KAJ9113374.1	4	3	0	2	1
F610337	5003856at2759	KAJ9105684.1	4	3	0	2	1
F610337	5003972at2759	KAJ9099438.1	14	13	0	7	1
F610337	5004118at2759	KAJ9095121.1	3	2	0	1	1
F610337	5005010at2759	KAJ9093008.1	3	2	0	1	1
F610337	5005196at2759	KAJ9099659.1	118	117	0	59	0
F610337	5005215at2759	KAJ9104903.1	4	3	0	2	1
F610337	5005274at2759	KAJ9095890.1	2	1	0	1	1
F610337	5005697at2759	KAJ9101430.1	2	1	0	1	1
F610337	5005892at2759	KAJ9113323.1	25	24	0	10	0
F610337	5006326at2759	KAJ9095863.1	1	0	0	0	0
F610337	5011777at2759	KAJ9109395.1	49	48	0	23	3
F610337	5013259at2759	KAJ9104885.1	3	2	0	1	1
F610337	5013726at2759	KAJ9098415.1	3	2	0	2	1
F610337	5014007at2759	KAJ9102108.1	8	7	0	3	1
F610337	5015876at2759	KAJ9103434.1	94	93	0	45	1
F610337	540946at2759	KAJ9095431.1	1	0	0	0	0
F610337	727964at2759	KAJ9093270.1	2	1	0	1	0
F610337	760428at2759	KAJ9105671.1	5	4	0	2	2
F610337	776280at2759	KAJ9106482.1	10	9	0	7	1
F27376	207567at2759	CAG8521453.1	2	1	0	1	0
F27376	345792at2759	CAG8561170.1	5	4	0	4	1
F27376	4813267at2759	CAG8686416.1	2	1	0	1	1
F27376	4970538at2759	CAG8598816.1	6	5	0	5	2
F27376	5001273at2759	CAG8562009.1	3	2	0	2	1
F27376	5003856at2759	CAG8523324.1	2	1	0	1	1
F27376	5006326at2759	CAG8475227.1	3	2	0	2	2
F27376	5015742at2759	CAG8681694.1	164	163	0	148	1
F27376	540946at2759	CAG8523990.1	1	0	0	0	0
O400682	4999134at2759	XP_003387129.1	6	5	0	5	0
