taxon_id	species_name	protein_id	protein_length	sequence_sha256	hit_group	pfam_hits_json
F1069201	Aspergillus luchuensis	XP_041537456.1	752	79d2a2c181fadf74a6256675fbcfd1cea7fd0f8e141cc8612ba0b3ebea592755	BRF1_hit	"[{""hit_id"": ""H00078674"", ""pfam_accession"": ""PF00382.25"", ""pfam_name"": ""TFIIB"", ""pfam_type"": ""Domain"", ""alignment_start"": ""136"", ""alignment_end"": ""224"", ""hmm_coverage"": ""0.9565217391304348"", ""domain_score"": ""68.3""}, {""hit_id"": ""H00078675"", ""pfam_accession"": ""PF00382.25"", ""pfam_name"": ""TFIIB"", ""pfam_type"": ""Domain"", ""alignment_start"": ""237"", ""alignment_end"": ""325"", ""hmm_coverage"": ""0.9347826086956522"", ""domain_score"": ""80.4""}, {""hit_id"": ""H00078676"", ""pfam_accession"": ""PF07741.19"", ""pfam_name"": ""BRF1"", ""pfam_type"": ""Domain"", ""alignment_start"": ""495"", ""alignment_end"": ""612"", ""hmm_coverage"": ""0.98"", ""domain_score"": ""99.2""}]"
F1220207	Aspergillus puulaauensis	XP_041554367.1	751	24486a5515d0da3b10184b5012d5e06d87ffb2eed0e4c354576e0f8e34f0aef1	BRF1_hit	"[{""hit_id"": ""H00023001"", ""pfam_accession"": ""PF00382.25"", ""pfam_name"": ""TFIIB"", ""pfam_type"": ""Domain"", ""alignment_start"": ""136"", ""alignment_end"": ""224"", ""hmm_coverage"": ""0.9565217391304348"", ""domain_score"": ""67.6""}, {""hit_id"": ""H00023002"", ""pfam_accession"": ""PF00382.25"", ""pfam_name"": ""TFIIB"", ""pfam_type"": ""Domain"", ""alignment_start"": ""237"", ""alignment_end"": ""325"", ""hmm_coverage"": ""0.9347826086956522"", ""domain_score"": ""79.7""}, {""hit_id"": ""H00023003"", ""pfam_accession"": ""PF07741.19"", ""pfam_name"": ""BRF1"", ""pfam_type"": ""Domain"", ""alignment_start"": ""495"", ""alignment_end"": ""608"", ""hmm_coverage"": ""0.98"", ""domain_score"": ""98.7""}]"
F162425	Aspergillus nidulans	XP_660720.1	713	bd2c006615f2da51238ebd91594fe974156541ddfc8d064c271a699e086a5195	BRF1_hit	"[{""hit_id"": ""H00121856"", ""pfam_accession"": ""PF00382.25"", ""pfam_name"": ""TFIIB"", ""pfam_type"": ""Domain"", ""alignment_start"": ""118"", ""alignment_end"": ""184"", ""hmm_coverage"": ""0.717391304347826"", ""domain_score"": ""48.4""}, {""hit_id"": ""H00121857"", ""pfam_accession"": ""PF00382.25"", ""pfam_name"": ""TFIIB"", ""pfam_type"": ""Domain"", ""alignment_start"": ""197"", ""alignment_end"": ""285"", ""hmm_coverage"": ""0.9347826086956522"", ""domain_score"": ""79.8""}, {""hit_id"": ""H00121858"", ""pfam_accession"": ""PF07741.19"", ""pfam_name"": ""BRF1"", ""pfam_type"": ""Domain"", ""alignment_start"": ""457"", ""alignment_end"": ""570"", ""hmm_coverage"": ""0.98"", ""domain_score"": ""102.5""}]"
F1810926	Aspergillus stella-maris	XP_073632729.1	351	bcad78afd9a832e97f2da42aa39d924278e32fc9b044b0e4b67a02b5f884f67d	no_BRF1_hit	"[{""hit_id"": ""H00121505"", ""pfam_accession"": ""PF08271.18"", ""pfam_name"": ""Zn_Ribbon_TF"", ""pfam_type"": ""Domain"", ""alignment_start"": ""25"", ""alignment_end"": ""67"", ""hmm_coverage"": ""0.9767441860465116"", ""domain_score"": ""40.2""}, {""hit_id"": ""H00121506"", ""pfam_accession"": ""PF00382.25"", ""pfam_name"": ""TFIIB"", ""pfam_type"": ""Domain"", ""alignment_start"": ""122"", ""alignment_end"": ""210"", ""hmm_coverage"": ""0.967391304347826"", ""domain_score"": ""79.7""}, {""hit_id"": ""H00121507"", ""pfam_accession"": ""PF00382.25"", ""pfam_name"": ""TFIIB"", ""pfam_type"": ""Domain"", ""alignment_start"": ""239"", ""alignment_end"": ""326"", ""hmm_coverage"": ""0.9565217391304348"", ""domain_score"": ""74.2""}]"
F1810928	Aspergillus undulatus	XP_073615209.1	351	e3b0baaca71a55b148ea8a000be5d503c695b213324ad877d5499b59e167c7e1	no_BRF1_hit	"[{""hit_id"": ""H00146088"", ""pfam_accession"": ""PF08271.18"", ""pfam_name"": ""Zn_Ribbon_TF"", ""pfam_type"": ""Domain"", ""alignment_start"": ""25"", ""alignment_end"": ""67"", ""hmm_coverage"": ""0.9767441860465116"", ""domain_score"": ""40.2""}, {""hit_id"": ""H00146089"", ""pfam_accession"": ""PF00382.25"", ""pfam_name"": ""TFIIB"", ""pfam_type"": ""Domain"", ""alignment_start"": ""122"", ""alignment_end"": ""210"", ""hmm_coverage"": ""0.967391304347826"", ""domain_score"": ""79.7""}, {""hit_id"": ""H00146090"", ""pfam_accession"": ""PF00382.25"", ""pfam_name"": ""TFIIB"", ""pfam_type"": ""Domain"", ""alignment_start"": ""239"", ""alignment_end"": ""326"", ""hmm_coverage"": ""0.9565217391304348"", ""domain_score"": ""73.9""}]"
F182096	Aspergillus chevalieri	XP_043133321.1	749	b4502ee70ef70e286cb5d7cb072378b8a37f33502edc00647ddcdf4335b62300	BRF1_hit	"[{""hit_id"": ""H00116406"", ""pfam_accession"": ""PF00382.25"", ""pfam_name"": ""TFIIB"", ""pfam_type"": ""Domain"", ""alignment_start"": ""136"", ""alignment_end"": ""224"", ""hmm_coverage"": ""0.9565217391304348"", ""domain_score"": ""66.1""}, {""hit_id"": ""H00116407"", ""pfam_accession"": ""PF00382.25"", ""pfam_name"": ""TFIIB"", ""pfam_type"": ""Domain"", ""alignment_start"": ""237"", ""alignment_end"": ""325"", ""hmm_coverage"": ""0.9347826086956522"", ""domain_score"": ""79.9""}, {""hit_id"": ""H00116408"", ""pfam_accession"": ""PF07741.19"", ""pfam_name"": ""BRF1"", ""pfam_type"": ""Domain"", ""alignment_start"": ""502"", ""alignment_end"": ""615"", ""hmm_coverage"": ""0.98"", ""domain_score"": ""92.8""}]"
F41759	Aspergillus multicolor	XP_073584790.1	351	d5a6f5de0c059d6fac90c1ff923b83bd2ee9a825ad0c7560e9c3c52e6f0a2204	no_BRF1_hit	"[{""hit_id"": ""H00136996"", ""pfam_accession"": ""PF08271.18"", ""pfam_name"": ""Zn_Ribbon_TF"", ""pfam_type"": ""Domain"", ""alignment_start"": ""25"", ""alignment_end"": ""67"", ""hmm_coverage"": ""0.9767441860465116"", ""domain_score"": ""40.2""}, {""hit_id"": ""H00136997"", ""pfam_accession"": ""PF00382.25"", ""pfam_name"": ""TFIIB"", ""pfam_type"": ""Domain"", ""alignment_start"": ""122"", ""alignment_end"": ""210"", ""hmm_coverage"": ""0.967391304347826"", ""domain_score"": ""80.9""}, {""hit_id"": ""H00136998"", ""pfam_accession"": ""PF00382.25"", ""pfam_name"": ""TFIIB"", ""pfam_type"": ""Domain"", ""alignment_start"": ""239"", ""alignment_end"": ""327"", ""hmm_coverage"": ""0.967391304347826"", ""domain_score"": ""73.6""}]"
F5059	Aspergillus flavus	XP_041143036.1	350	e1527046166d32c550b8ae29b75dc7b5ca7bbb768a079090fbbdf85a0cb97660	no_BRF1_hit	"[{""hit_id"": ""H00144664"", ""pfam_accession"": ""PF08271.18"", ""pfam_name"": ""Zn_Ribbon_TF"", ""pfam_type"": ""Domain"", ""alignment_start"": ""24"", ""alignment_end"": ""66"", ""hmm_coverage"": ""0.9767441860465116"", ""domain_score"": ""40.6""}, {""hit_id"": ""H00144665"", ""pfam_accession"": ""PF00382.25"", ""pfam_name"": ""TFIIB"", ""pfam_type"": ""Domain"", ""alignment_start"": ""121"", ""alignment_end"": ""209"", ""hmm_coverage"": ""0.967391304347826"", ""domain_score"": ""79.3""}, {""hit_id"": ""H00144666"", ""pfam_accession"": ""PF00382.25"", ""pfam_name"": ""TFIIB"", ""pfam_type"": ""Domain"", ""alignment_start"": ""238"", ""alignment_end"": ""325"", ""hmm_coverage"": ""0.9565217391304348"", ""domain_score"": ""70.7""}]"
F5062	Aspergillus oryzae	XP_023091566.1	734	aba063d86de269f1c0e91358681a26ba920843ff6106c43497553acf17ca774c	BRF1_hit	"[{""hit_id"": ""H00110544"", ""pfam_accession"": ""PF00382.25"", ""pfam_name"": ""TFIIB"", ""pfam_type"": ""Domain"", ""alignment_start"": ""116"", ""alignment_end"": ""204"", ""hmm_coverage"": ""0.9565217391304348"", ""domain_score"": ""69.7""}, {""hit_id"": ""H00110545"", ""pfam_accession"": ""PF00382.25"", ""pfam_name"": ""TFIIB"", ""pfam_type"": ""Domain"", ""alignment_start"": ""217"", ""alignment_end"": ""304"", ""hmm_coverage"": ""0.9239130434782609"", ""domain_score"": ""79.6""}, {""hit_id"": ""H00110546"", ""pfam_accession"": ""PF07741.19"", ""pfam_name"": ""BRF1"", ""pfam_type"": ""Domain"", ""alignment_start"": ""484"", ""alignment_end"": ""597"", ""hmm_coverage"": ""0.98"", ""domain_score"": ""100.9""}]"
F746128	Aspergillus fumigatus	XP_754348.1	748	bd6444164628e470916e4a43959a3f6701727242ed792b77d6690b7a11e11f00	BRF1_hit	"[{""hit_id"": ""H00121968"", ""pfam_accession"": ""PF00382.25"", ""pfam_name"": ""TFIIB"", ""pfam_type"": ""Domain"", ""alignment_start"": ""131"", ""alignment_end"": ""219"", ""hmm_coverage"": ""0.9565217391304348"", ""domain_score"": ""66.4""}, {""hit_id"": ""H00121969"", ""pfam_accession"": ""PF00382.25"", ""pfam_name"": ""TFIIB"", ""pfam_type"": ""Domain"", ""alignment_start"": ""232"", ""alignment_end"": ""320"", ""hmm_coverage"": ""0.9347826086956522"", ""domain_score"": ""80.8""}, {""hit_id"": ""H00121970"", ""pfam_accession"": ""PF07741.19"", ""pfam_name"": ""BRF1"", ""pfam_type"": ""Domain"", ""alignment_start"": ""495"", ""alignment_end"": ""609"", ""hmm_coverage"": ""0.99"", ""domain_score"": ""105.0""}]"
