case_id	taxa	nucleotide_columns	distinct_aligned_sequences	variable_nucleotide_columns	parsimony_informative_nucleotide_columns	marker_copy_caveat	status
Aspergillus__115730at2759__code1	10	990	9	365	273	none_recorded	ready_for_supported_tree_diagnostic
Colletotrichum__115730at2759__code1	10	966	10	210	124	none_recorded	ready_for_supported_tree_diagnostic
Fusarium__115730at2759__code1	10	957	10	417	334	none_recorded	ready_for_supported_tree_diagnostic
Trichoderma__115730at2759__code1	10	960	10	216	157	none_recorded	ready_for_supported_tree_diagnostic
Saccharomyces__115730at2759__code1	7	918	7	239	141	none_recorded	ready_for_supported_tree_diagnostic
Candida__115730at2759__code12	4	693	4	129	26	none_recorded	ready_for_supported_tree_diagnostic
Amanita__115730at2759__code1	5	978	5	406	175	none_recorded	ready_for_supported_tree_diagnostic
Suillus__115730at2759__code1	9	993	9	305	120	none_recorded	ready_for_supported_tree_diagnostic
Naganishia__115730at2759__code1	4	999	4	297	80	none_recorded	ready_for_supported_tree_diagnostic
Malassezia__115730at2759__code1	5	954	5	381	166	none_recorded	ready_for_supported_tree_diagnostic
Microbotryum__115730at2759__code1	4	669	4	123	15	none_recorded	ready_for_supported_tree_diagnostic
Tilletia__115730at2759__code1	5	990	3	220	48	none_recorded	insufficient_sequence_information_for_this_tree_workflow
Cryptococcus__115730at2759__code1	10	975	10	366	239	none_recorded	ready_for_supported_tree_diagnostic
Wallemia__115730at2759__code1	4	981	4	335	104	none_recorded	ready_for_supported_tree_diagnostic
Aspergillus__129234at2759__code1	10	567	10	226	176	none_recorded	ready_for_supported_tree_diagnostic
Colletotrichum__129234at2759__code1	10	567	9	140	76	none_recorded	ready_for_supported_tree_diagnostic
Fusarium__129234at2759__code1	10	570	10	135	114	none_recorded	ready_for_supported_tree_diagnostic
Trichoderma__129234at2759__code1	10	570	10	130	94	none_recorded	ready_for_supported_tree_diagnostic
Saccharomyces__129234at2759__code1	6	345	6	90	48	none_recorded	ready_for_supported_tree_diagnostic
Amanita__129234at2759__code1	7	573	7	252	160	none_recorded	ready_for_supported_tree_diagnostic
Suillus__129234at2759__code1	9	573	9	98	29	none_recorded	ready_for_supported_tree_diagnostic
Naganishia__129234at2759__code1	4	537	4	313	38	none_recorded	ready_for_supported_tree_diagnostic
Microbotryum__129234at2759__code1	4	558	4	83	6	none_recorded	ready_for_supported_tree_diagnostic
Tilletia__129234at2759__code1	5	576	3	134	37	none_recorded	insufficient_sequence_information_for_this_tree_workflow
Cryptococcus__129234at2759__code1	8	558	8	183	58	none_recorded	ready_for_supported_tree_diagnostic
Wallemia__129234at2759__code1	4	477	4	183	57	none_recorded	ready_for_supported_tree_diagnostic
Umbelopsis__129234at2759__code1	4	537	4	162	41	none_recorded	ready_for_supported_tree_diagnostic
Aspergillus__160487at2759__code1	10	2649	10	1058	834	none_recorded	ready_for_supported_tree_diagnostic
Colletotrichum__160487at2759__code1	10	2637	10	675	470	none_recorded	ready_for_supported_tree_diagnostic
Fusarium__160487at2759__code1	10	2637	10	815	723	none_recorded	ready_for_supported_tree_diagnostic
Trichoderma__160487at2759__code1	10	2637	10	767	572	none_recorded	ready_for_supported_tree_diagnostic
Saccharomyces__160487at2759__code1	7	2574	7	719	377	none_recorded	ready_for_supported_tree_diagnostic
Candida__160487at2759__code12	4	2610	4	559	147	none_recorded	ready_for_supported_tree_diagnostic
Amanita__160487at2759__code1	6	2634	6	1043	609	none_recorded	ready_for_supported_tree_diagnostic
Suillus__160487at2759__code1	8	2613	8	545	232	none_recorded	ready_for_supported_tree_diagnostic
Malassezia__160487at2759__code1	5	2613	5	1261	481	none_recorded	ready_for_supported_tree_diagnostic
Microbotryum__160487at2759__code1	4	2601	4	291	31	none_recorded	ready_for_supported_tree_diagnostic
Tilletia__160487at2759__code1	5	2634	3	620	144	none_recorded	insufficient_sequence_information_for_this_tree_workflow
Cryptococcus__160487at2759__code1	9	2616	9	927	382	none_recorded	ready_for_supported_tree_diagnostic
Wallemia__160487at2759__code1	4	2580	4	740	222	none_recorded	ready_for_supported_tree_diagnostic
Umbelopsis__160487at2759__code1	4	2631	4	764	174	none_recorded	ready_for_supported_tree_diagnostic
Aspergillus__201273at2759__code1	10	777	10	283	205	none_recorded	ready_for_supported_tree_diagnostic
Colletotrichum__201273at2759__code1	8	777	8	323	151	none_recorded	ready_for_supported_tree_diagnostic
Fusarium__201273at2759__code1	10	777	10	160	121	none_recorded	ready_for_supported_tree_diagnostic
Trichoderma__201273at2759__code1	10	777	10	144	106	none_recorded	ready_for_supported_tree_diagnostic
Saccharomyces__201273at2759__code1	7	771	7	168	96	none_recorded	ready_for_supported_tree_diagnostic
Amanita__201273at2759__code1	6	726	6	256	139	none_recorded	ready_for_supported_tree_diagnostic
Suillus__201273at2759__code1	7	780	7	108	39	none_recorded	ready_for_supported_tree_diagnostic
Naganishia__201273at2759__code1	4	774	4	172	29	none_recorded	ready_for_supported_tree_diagnostic
Malassezia__201273at2759__code1	5	780	5	258	112	none_recorded	ready_for_supported_tree_diagnostic
Microbotryum__201273at2759__code1	4	780	4	101	18	none_recorded	ready_for_supported_tree_diagnostic
Tilletia__201273at2759__code1	5	780	4	152	26	none_recorded	ready_for_supported_tree_diagnostic
Cryptococcus__201273at2759__code1	10	762	10	213	143	none_recorded	ready_for_supported_tree_diagnostic
Wallemia__201273at2759__code1	4	762	4	204	69	none_recorded	ready_for_supported_tree_diagnostic
Umbelopsis__201273at2759__code1	4	780	4	231	27	none_recorded	ready_for_supported_tree_diagnostic
Aspergillus__207567at2759__code1	9	528	8	307	248	none_recorded	ready_for_supported_tree_diagnostic
Colletotrichum__207567at2759__code1	10	537	9	100	59	none_recorded	ready_for_supported_tree_diagnostic
Fusarium__207567at2759__code1	10	537	10	117	101	none_recorded	ready_for_supported_tree_diagnostic
Trichoderma__207567at2759__code1	10	537	10	115	80	none_recorded	ready_for_supported_tree_diagnostic
Saccharomyces__207567at2759__code1	7	540	7	136	71	none_recorded	ready_for_supported_tree_diagnostic
Candida__207567at2759__code12	4	540	4	142	22	none_recorded	ready_for_supported_tree_diagnostic
Amanita__207567at2759__code1	7	540	7	225	125	none_recorded	ready_for_supported_tree_diagnostic
Suillus__207567at2759__code1	10	540	10	96	39	none_recorded	ready_for_supported_tree_diagnostic
Naganishia__207567at2759__code1	4	420	4	111	18	none_recorded	ready_for_supported_tree_diagnostic
Malassezia__207567at2759__code1	5	540	5	187	81	none_recorded	ready_for_supported_tree_diagnostic
Tilletia__207567at2759__code1	5	540	4	99	26	none_recorded	ready_for_supported_tree_diagnostic
Cryptococcus__207567at2759__code1	10	540	10	169	113	none_recorded	ready_for_supported_tree_diagnostic
Wallemia__207567at2759__code1	4	453	4	140	28	none_recorded	ready_for_supported_tree_diagnostic
Umbelopsis__207567at2759__code1	4	540	4	130	36	none_recorded	ready_for_supported_tree_diagnostic
Aspergillus__260326at2759__code1	10	498	9	181	146	none_recorded	ready_for_supported_tree_diagnostic
Colletotrichum__260326at2759__code1	10	504	10	135	93	none_recorded	ready_for_supported_tree_diagnostic
Fusarium__260326at2759__code1	10	504	10	147	132	none_recorded	ready_for_supported_tree_diagnostic
Trichoderma__260326at2759__code1	10	504	10	161	67	none_recorded	ready_for_supported_tree_diagnostic
Saccharomyces__260326at2759__code1	7	507	7	113	68	none_recorded	ready_for_supported_tree_diagnostic
Candida__260326at2759__code12	4	510	4	127	28	none_recorded	ready_for_supported_tree_diagnostic
Amanita__260326at2759__code1	6	510	6	179	100	none_recorded	ready_for_supported_tree_diagnostic
Suillus__260326at2759__code1	10	510	10	114	47	none_recorded	ready_for_supported_tree_diagnostic
Naganishia__260326at2759__code1	4	366	4	204	28	none_recorded	ready_for_supported_tree_diagnostic
Microbotryum__260326at2759__code1	4	465	4	94	4	none_recorded	ready_for_supported_tree_diagnostic
Tilletia__260326at2759__code1	5	510	3	100	18	none_recorded	insufficient_sequence_information_for_this_tree_workflow
Cryptococcus__260326at2759__code1	10	510	10	165	104	none_recorded	ready_for_supported_tree_diagnostic
Wallemia__260326at2759__code1	4	444	4	145	41	none_recorded	ready_for_supported_tree_diagnostic
Umbelopsis__260326at2759__code1	4	447	4	83	18	none_recorded	ready_for_supported_tree_diagnostic
Aspergillus__2852757at2759__code1	10	1482	10	648	501	none_recorded	ready_for_supported_tree_diagnostic
Colletotrichum__2852757at2759__code1	9	1479	9	347	213	none_recorded	ready_for_supported_tree_diagnostic
Fusarium__2852757at2759__code1	10	1479	10	383	322	none_recorded	ready_for_supported_tree_diagnostic
Trichoderma__2852757at2759__code1	9	1458	9	369	255	none_recorded	ready_for_supported_tree_diagnostic
Saccharomyces__2852757at2759__code1	7	1377	7	404	209	none_recorded	ready_for_supported_tree_diagnostic
Candida__2852757at2759__code12	4	1398	4	401	129	none_recorded	ready_for_supported_tree_diagnostic
Amanita__2852757at2759__code1	5	1422	5	629	276	none_recorded	ready_for_supported_tree_diagnostic
Suillus__2852757at2759__code1	10	1440	10	382	157	none_recorded	ready_for_supported_tree_diagnostic
Malassezia__2852757at2759__code1	5	1419	5	673	246	none_recorded	ready_for_supported_tree_diagnostic
Microbotryum__2852757at2759__code1	4	1452	4	171	15	none_recorded	ready_for_supported_tree_diagnostic
Cryptococcus__2852757at2759__code1	10	1440	10	624	438	none_recorded	ready_for_supported_tree_diagnostic
Wallemia__2852757at2759__code1	4	1401	4	499	163	none_recorded	ready_for_supported_tree_diagnostic
Umbelopsis__2852757at2759__code1	4	1389	4	414	88	none_recorded	ready_for_supported_tree_diagnostic
Aspergillus__288615at2759__code1	10	1974	10	861	671	none_recorded	ready_for_supported_tree_diagnostic
Colletotrichum__288615at2759__code1	9	1986	9	537	346	none_recorded	ready_for_supported_tree_diagnostic
Fusarium__288615at2759__code1	10	1986	10	639	556	none_recorded	ready_for_supported_tree_diagnostic
Trichoderma__288615at2759__code1	9	1977	9	525	384	none_recorded	ready_for_supported_tree_diagnostic
Saccharomyces__288615at2759__code1	7	1821	7	564	308	none_recorded	ready_for_supported_tree_diagnostic
Candida__288615at2759__code12	4	1794	4	581	125	none_recorded	ready_for_supported_tree_diagnostic
Amanita__288615at2759__code1	7	1905	7	909	552	none_recorded	ready_for_supported_tree_diagnostic
Suillus__288615at2759__code1	10	1914	10	480	187	none_recorded	ready_for_supported_tree_diagnostic
Naganishia__288615at2759__code1	4	1341	4	413	92	none_recorded	ready_for_supported_tree_diagnostic
Malassezia__288615at2759__code1	5	1833	5	885	374	none_recorded	ready_for_supported_tree_diagnostic
Microbotryum__288615at2759__code1	4	1908	4	231	22	none_recorded	ready_for_supported_tree_diagnostic
Tilletia__288615at2759__code1	4	1911	3	519	105	none_recorded	insufficient_sequence_information_for_this_tree_workflow
Cryptococcus__288615at2759__code1	10	1875	10	953	668	none_recorded	ready_for_supported_tree_diagnostic
Wallemia__288615at2759__code1	4	1824	4	602	200	none_recorded	ready_for_supported_tree_diagnostic
Umbelopsis__288615at2759__code1	4	1869	4	627	127	none_recorded	ready_for_supported_tree_diagnostic
