marker	taxa	alignment_columns	internal_edges	edges_with_reported_support	edges_without_reported_support	median_reported_sh_alrt_percent	edges_sh_alrt_ge50	edges_sh_alrt_ge80	edges_sh_alrt_ge95
115730at2759	481	235	478	471	7	84.9	402	279	108
129234at2759	472	166	469	457	12	82.2	376	247	76
160487at2759	487	730	484	482	2	95.5	417	351	248
201273at2759	478	254	475	462	13	84.55	370	263	111
207567at2759	478	174	475	455	20	83.9	380	265	85
260326at2759	488	151	485	464	21	85.2	372	288	110
2852757at2759	477	264	474	465	9	85.7	399	291	124
288615at2759	504	383	501	498	3	91.0	434	348	188
319730at2759	491	400	488	485	3	91	416	334	186
340246at2759	468	441	465	463	2	91.4	401	325	189
345792at2759	482	226	479	464	15	81.69999999999999	392	253	80
352891at2759	472	245	469	464	5	86.0	398	290	124
3643464at2759	462	517	459	456	3	92.5	377	308	197
4613677at2759	469	73	466	457	9	80.1	368	230	50
4747214at2759	480	114	477	470	7	81.35	387	258	82
4764044at2759	475	391	472	469	3	92.4	425	344	194
4803900at2759	418	106	415	406	9	84.1	343	246	77
