marker	total_taxa_audited	original_marker_columns	eligible_taxa	retained_columns	status	aa_variable_columns	aa_parsimony_informative_columns	3di_variable_columns	3di_parsimony_informative_columns
115730at2759	526	235	8	230	ready_for_inference	104	45	51	23
129234at2759	526	166	1	126	insufficient_structural_coverage	0	0	0	0
160487at2759	526	730	2	399	insufficient_structural_coverage	61	0	26	0
201273at2759	526	254	2	211	insufficient_structural_coverage	44	0	13	0
207567at2759	526	174	6	171	ready_for_inference	73	14	27	8
260326at2759	526	151	3	151	insufficient_structural_coverage	90	0	49	0
2852757at2759	526	264	2	255	insufficient_structural_coverage	91	0	25	0
288615at2759	526	383	3	360	insufficient_structural_coverage	193	0	118	0
319730at2759	526	400	4	390	ready_for_inference	172	25	84	18
340246at2759	526	441	4	394	ready_for_inference	206	45	118	41
345792at2759	526	226	3	225	insufficient_structural_coverage	74	0	38	0
352891at2759	526	245	3	237	insufficient_structural_coverage	99	0	47	0
3643464at2759	526	517	3	457	insufficient_structural_coverage	152	0	58	0
4613677at2759	526	73	3	67	insufficient_structural_coverage	36	0	11	0
4695236at2759	526	1059	2	1006	insufficient_structural_coverage	364	0	241	0
4747214at2759	526	114	4	113	ready_for_inference	57	3	24	2
4764044at2759	526	391	3	319	insufficient_structural_coverage	167	0	69	0
4803900at2759	526	106	2	104	insufficient_structural_coverage	52	0	14	0
4810093at2759	526	667	2	636	insufficient_structural_coverage	327	0	174	0
4813267at2759	526	578	2	427	insufficient_structural_coverage	188	0	72	0
4823929at2759	526	420	5	418	ready_for_inference	346	73	238	69
4837017at2759	526	205	3	203	insufficient_structural_coverage	148	0	67	0
4838864at2759	526	458	2	418	insufficient_structural_coverage	176	0	86	0
4843240at2759	526	315	2	259	insufficient_structural_coverage	131	0	46	0
4843824at2759	526	197	8	187	ready_for_inference	134	112	60	44
4867008at2759	526	177	4	177	ready_for_inference	104	12	82	21
4888252at2759	526	830	2	546	insufficient_structural_coverage	232	0	109	0
4896098at2759	526	157	3	128	insufficient_structural_coverage	57	0	20	0
4900375at2759	526	169	4	169	ready_for_inference	130	5	55	4
4908955at2759	526	318	2	265	insufficient_structural_coverage	110	0	70	0
4911644at2759	526	744	6	691	ready_for_inference	412	116	198	75
4940884at2759	526	469	2	406	insufficient_structural_coverage	157	0	73	0
4969018at2759	526	374	3	360	insufficient_structural_coverage	76	0	59	0
