taxon_id	species_name	study_role	assembly_accession	statistics_status	reported_organism	reported_assembly_type	genome_representation	assembly_method	sequencing_technology	reported_coverage	biosample	bioproject	all_total-length	all_ungapped-length	all_total-gap-length	all_contig-count	all_contig-N50	all_contig-L50	all_scaffold-count	all_scaffold-N50	all_scaffold-L50	all_gc-perc	all_gap_fraction	primary_total-length	primary_ungapped-length	primary_total-gap-length	primary_contig-count	primary_contig-N50	primary_contig-L50	primary_scaffold-count	primary_scaffold-N50	primary_scaffold-L50	primary_gc-perc	primary_gap_fraction
F1498855	Amoeboaphelidium occidentale	ingroup	GCA_023515795.1	verified	Amoeboaphelidium occidentale (eukaryotes)	haploid	full	Velvet v. 1.2.10	Illumina HiSeq	150.0x	SAMN26806364	PRJNA817714	13559732.0		13540.0	1648.0	22605.0	172.0	951.0	73507.0	56.0	40.0	0.0009985448089976999	13541326.0	13527786.0					948.0	73507.0		40.0	
F1243177	Amoeboaphelidium protococcarum	ingroup	GCA_023515745.1	verified	Amoeboaphelidium protococcarum (eukaryotes)	haploid	full	Velvet v. 1.2.10	Illumina HiSeq	150.0x	SAMN26794594	PRJNA817550	24734778.0		8782.0	291.0	1101699.0	6.0	258.0	2170272.0	5.0	40.5	0.00035504664727534647	24704406.0	24695624.0					257.0	2170272.0		40.5	
F2871812	Acarospora aff. strigata	ingroup	GCA_022814355.1	verified	Acarospora aff. strigata (ascomycete fungi)	haploid	full	SPAdes v. 3.12.0	Illumina	417x	SAMN25961849	PRJNA795879	28651879.0		319.0	503.0	157971.0	51.0	475.0	159985.0	50.0	48.5	1.1133650257283301e-05	28651879.0	28651560.0					475.0	159985.0		48.5	
F318763	Pleopsidium flavum	ingroup	GCA_026027315.1	verified	Pleopsidium flavum (ascomycete fungi)	haploid	full	SPAdes v. 3.13.1	Illumina HiSeq	418x	SAMN27762802	PRJNA833438	30780842.0		0.0	4571.0	14071.0	407.0				48.5	0.0	30780842.0	30780842.0								48.5	
F470096	Pseudovirgaria hyperparasitica	ingroup	GCF_010093815.1	verified	Pseudovirgaria hyperparasitica (ascomycete fungi)	haploid	full	AllPathsLG v. R49403	Illumina	86.3x	SAMN02745604	PRJNA245627	35440147.0		271279.0	543.0	226378.0	50.0	122.0	1577359.0	9.0	47.5	0.007654567572758657	35440147.0	35168868.0					122.0	1577359.0		47.5	
F4918	Pachysolen tannophilus	ingroup	GCA_001661245.1	verified	Pachysolen tannophilus NRRL Y-2460 (ascomycete fungi)	haploid	full	Newbler v. 2.4	454; Illumina; Sanger	91x	SAMN00016633	PRJNA69545	12596242.0		237216.0	585.0	54205.0	74.0	197.0	1751653.0	3.0	30.0	0.01883228346994286	12596242.0	12359026.0					197.0	1751653.0		30.0	
F1658444	Neoarthrinium moseri	ingroup	GCF_022829205.1	verified	Neoarthrinium moseri (ascomycete fungi)	haploid	full	SPAdes v. 3.13.1; SSPACE-Standard v. 3.0; GapFiller v. v1-10; Pilon v. 1.21	Illumina MiSeq	32.0x	SAMN17613219	PRJNA695409	43702215.0		1018.0	245.0	456214.0	29.0	230.0	506940.0	26.0	53.0	2.329401381600452e-05	43702215.0	43701197.0					230.0	506940.0		53.0	
F393283	Pestalotiopsis fici	ingroup	GCF_000516985.1	verified	Pestalotiopsis fici W106-1 (ascomycete fungi)	haploid	full	Newbler v. 2.6	Illumina HiSeq; 454	80.0x	SAMN02369365	PRJNA174299	51910726.0		47900.0	518.0	194414.0	80.0	39.0	4007484.0	5.0	48.5	0.0009227380098671708	51910726.0	51862826.0					39.0	4007484.0		48.5	
F1141098	Pseudomassariella vexata	ingroup	GCF_002105095.1	verified	Pseudomassariella vexata (ascomycete fungi)	haploid	full	Falcon v. 0.2.2	PacBio	86.57x	SAMN05421895	PRJNA330698	44711451.0		0.0	37.0	2561820.0	7.0				50.5	0.0	44711451.0	44711451.0								50.5	
F91480	Alyxoria varia	ingroup	GCA_026054675.1	verified	Alyxoria varia (ascomycete fungi)	haploid	full	SPAdes v. 3.13.1	Illumina HiSeq	1042x	SAMN27762803	PRJNA833438	25325852.0		0.0	125.0	348177.0	25.0				50.0	0.0	25325852.0	25325852.0								50.0	
F2939400	Chrysothrix sp. TS-e1954	ingroup	GCA_026023555.1	verified	Chrysothrix sp. TS-e1954 (ascomycete fungi)	haploid	full	SPAdes v. 3.13.1	Illumina HiSeq	1456x	SAMN27762800	PRJNA833438	22580152.0		0.0	220.0	173626.0	42.0				50.5	0.0	22580152.0	22580152.0								50.5	
F1542792	Coniocarpon cinnabarinum	ingroup	GCA_051942205.1	verified	Coniocarpon cinnabarinum (ascomycete fungi)	haploid	full	MEGAHIT v. 1.2.9; redundans v. 0.14a	Illumina NovaSeq	39x	SAMN36289441	PRJNA991097	25985032.0		0.0	725.0	98019.0	84.0				49.0	0.0	25985032.0	25985032.0								49.0	
F54195	Ascoidea rubescens	ingroup	GCF_001661345.1	verified	Ascoidea rubescens DSM 1968 (budding yeasts & allies)	haploid	full	Allpaths-LG v. R38445	Illumina	140x	SAMN02746076	PRJNA207865	17503998.0		45743.0	326.0	171347.0	33.0	63.0	1035938.0	6.0	33.0	0.0026132886898181775	17503998.0	17458255.0					63.0	1035938.0		33.0	
F43959	Saccharomycopsis crataegensis	ingroup	GCF_037102585.1	verified	Saccharomycopsis crataegensis (budding yeasts & others)	haploid	full	MaSuRCA v. 3.2.6	Illumina MiSeq; Oxford Nanopore MiniION	190.7x	SAMD00197834	PRJDB9099	17133716.0		152.0	22.0	2353792.0	3.0	21.0	2353792.0	3.0	37.5	8.87139719136234e-06	17100033.0	17099881.0					20.0	2353792.0		37.5	
F1176130	Aulographum hederae	ingroup	GCA_010015705.1	verified	Aulographum hederae CBS 113979 (ascomycete fungi)	haploid	full	AllPathsLG v. R41043	Illumina	116x	SAMN02193963	PRJNA195869	31983478.0		432115.0	613.0	134917.0	69.0	173.0	529352.0	20.0	52.5	0.013510569425876699	31983478.0	31551363.0					173.0	529352.0		52.5	
F1504668	Rhizodiscina lignyota	ingroup	GCA_010015805.1	verified	Rhizodiscina lignyota (ascomycete fungi)	haploid	full	AllPathsLG v. R47710	Illumina	95.9x	SAMN03097704	PRJNA263052	33426352.0		6761.0	47.0	1689384.0	8.0	33.0	2163113.0	6.0	51.0	0.00020226556580269363	33426352.0	33419591.0					33.0	2163113.0		51.0	
F1397036	Lambiella insularis	ingroup	GCA_022814265.1	verified	Lambiella insularis (ascomycete fungi)	haploid	full	SPAdes v. 3.12.0	Illumina	253x	SAMN25961853	PRJNA795879	36292339.0		26.0	145.0	553330.0	22.0	143.0	574903.0	22.0	41.0	7.164046384555154e-07	36292339.0	36292313.0					143.0	574903.0		41.0	
F223409	Ptychographa xylographoides	ingroup	GCA_022814105.1	verified	Ptychographa xylographoides (ascomycete fungi)	haploid	full	SPAdes v. 3.12.0	Illumina	34x	SAMN25961861	PRJNA795879	25544166.0		201.0	135.0	343217.0	22.0	132.0	343217.0	22.0	48.5	7.86872431067039e-06	25544166.0	25543965.0					132.0	343217.0		48.5	
F1590129	Xylographa bjoerkii	ingroup	GCA_022813905.1	verified	Xylographa bjoerkii (ascomycete fungi)	haploid	full	Abyss v. 2.0.1	Illumina	248x	SAMN25961870	PRJNA795879	29310272.0		31925.0	1006.0	52960.0	165.0	412.0	142149.0	70.0	49.5	0.0010892085887159286	29310272.0	29278347.0					412.0	142149.0		49.5	
F462254	Aplosporella prunicola	ingroup	GCF_010093885.1	verified	Aplosporella prunicola CBS 121167 (ascomycete fungi)	haploid	full	AllPathsLG v. R42874	Illumina	194x	SAMN02745735	PRJNA196034	32818685.0		350262.0	763.0	124200.0	77.0	334.0	957837.0	14.0	54.5	0.010672639686812558	32818685.0	32468423.0					334.0	957837.0		54.5	
F236234	Diplodia corticola	ingroup	GCF_001883845.1	verified	Diplodia corticola (ascomycete fungi)	haploid	full	CLC Genomics Workbench v. 7.0.4	Illumina	272x	SAMN05253255	PRJNA325745	34986079.0		11982.0	286.0	271374.0	37.0	181.0	455290.0	26.0	57.0	0.00034247907574895715	34986079.0	34974097.0					181.0	455290.0		57.0	
F121624	Phyllosticta capitalensis	ingroup	GCF_038381095.1	verified	Phyllosticta capitalensis (ascomycete fungi)	haploid	full	Falcon v. 0.7.3	Pacbio	249.25x	SAMN05877936	PRJNA347208	32461131.0		0.0	14.0	2860346.0	5.0				54.5	0.0	32461131.0	32461131.0								54.5	
F3058885	Dirinaria sp. TL-2023a	ingroup	GCA_051941275.1	verified	Dirinaria sp. TL-2023a (ascomycete fungi)	haploid	full	MEGAHIT v. 1.2.9; redundans v. 0.14a	Illumina NovaSeq	14x	SAMN36288526	PRJNA991097	27733357.0		0.0	3105.0	14965.0	570.0				49.0	0.0	27733357.0	27733357.0								49.0	
F116794	Heterodermia speciosa	ingroup	GCA_905337345.1	verified	Heterodermia speciosa (ascomycete fungi)	haploid	full	metaSPAdes v3.13	HiSeq X Ten	160x	SAMEA8235475	PRJEB42325	38736376.0		7080.0	1148.0	203827.0	59.0	1070.0	247280.0	44.0	45.0	0.00018277393837771506	38736376.0	38729296.0					1070.0	247280.0		45.0	
F116821	Physcia stellaris	ingroup	GCA_018902385.1	verified	Physcia stellaris (star rosette lichen)	haploid	full	canu v. 2.0	Oxford Nanopore; Illumina	31.0x	SAMN14255382	PRJNA609569	44010370.0		167703.0	166.0	594864.0	24.0	155.0	643737.0	24.0	44.0	0.0038105337446606336	44010370.0	43842667.0					155.0	643737.0		44.0	
F41990	Pleurostoma richardsiae	ingroup	GCA_030052745.1	verified	Pleurostoma richardsiae (ascomycete fungi)	haploid	full	SPAdes v. 3.15.2	BGISEQ-500	202x	SAMN29470559	PRJNA854364	39834950.0		1987.0	270.0	604211.0	21.0	248.0	691216.0	18.0	55.5	4.9880820736564245e-05	39834950.0	39832963.0					248.0	691216.0		55.5	
F460848	Candelaria pacifica	ingroup	GCA_026023815.1	verified	Candelaria pacifica (ascomycete fungi)	haploid	full	SPAdes v. 3.12.0	Illumina HiSeq	845x	SAMN27762777	PRJNA833438	28982752.0		681.0	891.0	250805.0	35.0	850.0	254030.0	34.0	44.5	2.34967335055001e-05	28982752.0	28982071.0					850.0	254030.0		44.5	
F460854	Candelina submexicana	ingroup	GCA_026023795.1	verified	Candelina submexicana (ascomycete fungi)	haploid	full	SPAdes v. 3.14.1	Illumina HiSeq	958x	SAMN27762780	PRJNA833438	23786893.0		169.0	3029.0	16318.0	402.0	3028.0	16318.0	402.0	48.0	7.10475302512186e-06	23786893.0	23786724.0					3028.0	16318.0		48.0	
F1453791	Pycnora praestabilis	ingroup	GCA_026026765.1	verified	Pycnora praestabilis (ascomycete fungi)	haploid	full	SPAdes v. 3.13.1	Illumina HiSeq	812x	SAMN27762799	PRJNA833438	24516431.0		0.0	90.0	466469.0	18.0				47.5	0.0	24516431.0	24516431.0								47.5	
F147573	Piedraia hortae	ingroup	GCA_010093745.1	verified	Piedraia hortae CBS 480.64 (ascomycete fungi)	haploid	full	AllPathsLG v. R44849	Illumina	78.7x	SAMN02745870	PRJNA196052	16946159.0		82653.0	263.0	122195.0	43.0	132.0	260314.0	22.0	52.0	0.00487738843946879	16946159.0	16863506.0					132.0	260314.0		52.0	
F705562	Polychaeton citri	ingroup	GCA_010093785.1	verified	Polychaeton citri CBS 116435 (ascomycete fungi)	haploid	full	AllPathsLG release v. R42328	Illumina	145.2x	SAMN02745850	PRJNA196013	27207581.0		10926.0	451.0	232538.0	37.0	416.0	280913.0	30.0	51.5	0.0004015792510183099	27207581.0	27196655.0					416.0	280913.0		51.5	
F1093897	Phialemonium atrogriseum	ingroup	GCF_030411735.1	verified	Phialemonium atrogriseum (ascomycete fungi)	haploid	full	SPAdes v. 3.15.2	178.49x	Illumina	SAMN34105750	PRJNA953066	33593884.0		2688.0	237.0	268936.0	39.0	82.0	919085.0	12.0	55.0	8.001456455585784e-05	33593884.0	33591196.0					82.0	919085.0		55.0	
F223376	Phialemonium thermophilum	ingroup	GCA_042366435.1	verified	Phialemonium thermophilum (ascomycete fungi)	haploid	full	SOAPdenovo v. Unknown	Illumina	100x	SAMN39446863	PRJNA1064952	28875114.0		0.0	3684.0	22105.0	282.0				55.0	0.0	28875114.0	28875114.0								55.0	
F1506992	Thozetella sp. PMI_491	ingroup	GCA_021432635.1	verified	Thozetella sp. PMI_491 (ascomycete fungi)	haploid	full	Velvet v. Unknown, AllPathsLG v. R49403	Illumina	112.6x	SAMN02850913	PRJNA251777	72858336.0		6212949.0	692.0	208935.0	99.0	194.0	887635.0	28.0	53.5	0.085274374094956	72858336.0	66645387.0					194.0	887635.0		53.5	
F293227	Cyphellophora europaea	ingroup	GCF_000365145.1	verified	Cyphellophora europaea CBS 101466 (ascomycete fungi)	haploid	full	allpaths v. R43602	Illumina	132.0x	SAMN02981492	PRJNA172438	28781303.0		61686.0	106.0	585176.0	16.0	19.0	2379673.0	5.0	54.0	0.0021432664115311247	28781303.0	28719617.0					19.0	2379673.0		54.0	
