marker	baseline_status	sensitivity_status	baseline_eligible_taxa	sensitivity_eligible_taxa	omitted_taxa	baseline_columns	sensitivity_columns	all_missing_columns_removed
115730at2759	ready_for_inference	unchanged_reuse_baseline_fit	15	15		209	209	0
129234at2759	ready_for_inference	ready_for_inference	154	153	F610337	166	166	0
160487at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	0	0		0	0	0
201273at2759	ready_for_inference	unchanged_reuse_baseline_fit	71	71		111	111	0
207567at2759	ready_for_inference	unchanged_reuse_baseline_fit	134	134		171	171	0
260326at2759	ready_for_inference	ready_for_inference	135	134	F610337	151	151	0
2852757at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	2	2		252	252	0
288615at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	0	0		0	0	0
319730at2759	ready_for_inference	unchanged_reuse_baseline_fit	10	10		400	400	0
340246at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	0	0		0	0	0
345792at2759	ready_for_inference	ready_for_inference	42	41	F610337	226	226	0
352891at2759	ready_for_inference	unchanged_reuse_baseline_fit	95	95		240	240	0
3643464at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	0	0		0	0	0
4613677at2759	ready_for_inference	ready_for_inference	140	139	F610337	73	73	0
4695236at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	0	0		0	0	0
4747214at2759	ready_for_inference	unchanged_reuse_baseline_fit	118	118		111	111	0
4764044at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	2	2		377	377	0
4803900at2759	ready_for_inference	ready_for_inference	137	136	F610337	101	101	0
4810093at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	0	0		0	0	0
4813267at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	0	0		0	0	0
4823929at2759	ready_for_inference	unchanged_reuse_baseline_fit	12	12		409	409	0
4837017at2759	ready_for_inference	unchanged_reuse_baseline_fit	146	146		196	196	0
4838864at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	0	0		0	0	0
4843240at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	3	3		269	269	0
4843824at2759	ready_for_inference	unchanged_reuse_baseline_fit	124	124		196	196	0
4867008at2759	ready_for_inference	ready_for_inference	133	132	F610337	177	177	0
4888252at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	0	0		0	0	0
4896098at2759	ready_for_inference	ready_for_inference	116	115	F610337	149	149	0
4900375at2759	ready_for_inference	unchanged_reuse_baseline_fit	138	138		169	169	0
4908955at2759	ready_for_inference	unchanged_reuse_baseline_fit	24	24		275	275	0
4911644at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	0	0		0	0	0
4940884at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	0	0		0	0	0
4969018at2759	ready_for_inference	unchanged_reuse_baseline_fit	8	8		336	336	0
4969636at2759	ready_for_inference	unchanged_reuse_baseline_fit	13	13		291	291	0
4969990at2759	ready_for_inference	unchanged_reuse_baseline_fit	9	9		345	345	0
4970387at2759	ready_for_inference	unchanged_reuse_baseline_fit	135	135		136	136	0
4970538at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	0	0		0	0	0
4971272at2759	ready_for_inference	unchanged_reuse_baseline_fit	6	6		375	375	0
4974767at2759	ready_for_inference	unchanged_reuse_baseline_fit	24	24		74	74	0
4975094at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	0	0		0	0	0
4976279at2759	ready_for_inference	unchanged_reuse_baseline_fit	11	11		228	228	0
4977163at2759	ready_for_inference	unchanged_reuse_baseline_fit	144	144		141	141	0
4977863at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	0	0		0	0	0
4983000at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	1	1		283	283	0
4985971at2759	ready_for_inference	unchanged_reuse_baseline_fit	16	16		281	281	0
4986044at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	1	1		180	180	0
4987397at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	0	0		0	0	0
4988239at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	0	0		0	0	0
4999134at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	0	0		0	0	0
5000045at2759	ready_for_inference	unchanged_reuse_baseline_fit	16	16		301	301	0
5000152at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	0	0		0	0	0
5000362at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	0	0		0	0	0
5000371at2759	ready_for_inference	unchanged_reuse_baseline_fit	15	15		411	411	0
5000452at2759	ready_for_inference	ready_for_inference	47	46	F610337	292	292	0
5000476at2759	ready_for_inference	unchanged_reuse_baseline_fit	10	10		306	306	0
5000743at2759	ready_for_inference	ready_for_inference	158	157	F610337	166	166	0
5000823at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	0	0		0	0	0
5000870at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	0	0		0	0	0
5000986at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	2	2		251	251	0
5001156at2759	ready_for_inference	unchanged_reuse_baseline_fit	15	15		229	229	0
5001273at2759	ready_for_inference	unchanged_reuse_baseline_fit	141	141		229	229	0
5001280at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	0	0		0	0	0
5001318at2759	ready_for_inference	unchanged_reuse_baseline_fit	13	13		261	261	0
5001413at2759	ready_for_inference	ready_for_inference	72	71	F610337	251	251	0
5001473at2759	ready_for_inference	ready_for_inference	121	120	F610337	81	81	0
5001660at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	0	0		0	0	0
5001734at2759	ready_for_inference	unchanged_reuse_baseline_fit	120	120		172	172	0
5001941at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	0	0		0	0	0
5002334at2759	ready_for_inference	unchanged_reuse_baseline_fit	19	19		227	227	0
5002573at2759	ready_for_inference	unchanged_reuse_baseline_fit	11	11		357	357	0
5003022at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	0	0		0	0	0
5003192at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	0	0		0	0	0
5003205at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	0	0		0	0	0
5003856at2759	ready_for_inference	unchanged_reuse_baseline_fit	35	35		219	219	0
5003972at2759	ready_for_inference	ready_for_inference	78	77	F610337	201	201	0
5004118at2759	ready_for_inference	ready_for_inference	17	16	F610337	81	81	0
5004265at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	3	3		134	134	0
5004327at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	0	0		0	0	0
5004391at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	0	0		0	0	0
5004478at2759	ready_for_inference	unchanged_reuse_baseline_fit	6	6		261	261	0
5004599at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	0	0		0	0	0
5005010at2759	ready_for_inference	ready_for_inference	145	144	F610337	92	92	0
5005174at2759	ready_for_inference	unchanged_reuse_baseline_fit	102	102		136	136	0
5005196at2759	ready_for_inference	unchanged_reuse_baseline_fit	9	9		291	291	0
5005215at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	0	0		0	0	0
5005217at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	1	1		349	349	0
5005274at2759	ready_for_inference	unchanged_reuse_baseline_fit	18	18		157	157	0
5005697at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	1	1		169	169	0
5005750at2759	ready_for_inference	unchanged_reuse_baseline_fit	134	134		107	107	0
5005892at2759	ready_for_inference	unchanged_reuse_baseline_fit	13	13		288	288	0
5006326at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	0	0		0	0	0
5006412at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	0	0		0	0	0
5011777at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	0	0		0	0	0
5013042at2759	ready_for_inference	unchanged_reuse_baseline_fit	7	7		333	333	0
5013067at2759	ready_for_inference	unchanged_reuse_baseline_fit	17	17		306	306	0
5013259at2759	ready_for_inference	ready_for_inference	123	122	F610337	120	120	0
5013539at2759	ready_for_inference	unchanged_reuse_baseline_fit	51	51		223	223	0
5013726at2759	ready_for_inference	ready_for_inference	136	135	F610337	165	165	0
5013738at2759	ready_for_inference	unchanged_reuse_baseline_fit	136	136		170	170	0
5013992at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	0	0		0	0	0
5014007at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	0	0		0	0	0
5015403at2759	ready_for_inference	unchanged_reuse_baseline_fit	13	13		314	314	0
5015647at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	0	0		0	0	0
5015712at2759	ready_for_inference	unchanged_reuse_baseline_fit	6	6		422	422	0
5015742at2759	ready_for_inference	unchanged_reuse_baseline_fit	4	4		394	394	0
5015876at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	2	2		249	249	0
5017019at2759	ready_for_inference	unchanged_reuse_baseline_fit	8	8		139	139	0
5018803at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	0	0		0	0	0
529759at2759	ready_for_inference	unchanged_reuse_baseline_fit	143	143		226	226	0
530014at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	0	0		0	0	0
530740at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	0	0		0	0	0
538728at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	0	0		0	0	0
538952at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	2	2		216	216	0
539632at2759	ready_for_inference	unchanged_reuse_baseline_fit	31	31		257	257	0
540946at2759	ready_for_inference	unchanged_reuse_baseline_fit	9	9		401	401	0
541070at2759	ready_for_inference	unchanged_reuse_baseline_fit	122	122		222	222	0
554735at2759	ready_for_inference	unchanged_reuse_baseline_fit	131	131		231	231	0
649304at2759	ready_for_inference	unchanged_reuse_baseline_fit	26	26		276	276	0
707076at2759	ready_for_inference	unchanged_reuse_baseline_fit	87	87		228	228	0
707202at2759	ready_for_inference	unchanged_reuse_baseline_fit	9	9		323	323	0
727964at2759	ready_for_inference	unchanged_reuse_baseline_fit	11	11		241	241	0
730114at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	0	0		0	0	0
760428at2759	ready_for_inference	unchanged_reuse_baseline_fit	16	16		331	331	0
776280at2759	ready_for_inference	unchanged_reuse_baseline_fit	4	4		243	243	0
801816at2759	ready_for_inference	unchanged_reuse_baseline_fit	154	154		153	153	0
