case_id	translation_table	sense_codons	frequency_sum	expected_synonymous_sites	expected_nonsynonymous_sites	synonymous_scale	nonsynonymous_scale	branches	maximum_branch_dS	maximum_branch_dN	independent_opportunity_max_difference	marker_copy_caveat
Amanita__115730at2759__code1	1	61	0.9999999999999999	0.6642100049294303	2.1982505245048847	4.309571533386403	1.3021539162735019	7	0.9827746190132818	0.03976463298812263	0.0	none_recorded
Amanita__129234at2759__code1	1	61	1.0	0.7161565242711455	2.1860760402654824	4.052511519727226	1.3275990912851199	11	1.902048071815029	0.07416600818754714	1.3322676295501878e-15	none_recorded
Amanita__160487at2759__code1	1	61	1.0000000000000002	0.7024290902307474	2.1804356997825196	4.1041363891496125	1.322150793211104	9	1.1768773452342287	0.035473480587859714	4.440892098500626e-16	none_recorded
Amanita__201273at2759__code1	1	61	0.9999999999999999	0.6895477617241567	2.1968076376092127	4.185867259022462	1.3138862729349357	9	0.9742149987312871	0.020683201794706386	4.440892098500626e-16	none_recorded
Amanita__207567at2759__code1	1	61	1.0	0.6848869598629248	2.183540766810408	4.1881768741040535	1.3136588838977203	11	1.1098184439470735	0.035042157968923224	4.440892098500626e-16	none_recorded
Amanita__260326at2759__code1	1	61	1.0000000000000002	0.6940919085835987	2.2063346698378776	4.178735614913366	1.314590491674865	9	1.7602158436567645	0.012160267964432427	2.220446049250313e-16	none_recorded
Amanita__2852757at2759__code1	1	61	1.0	0.6990070365940001	2.1812174941397426	4.120451411716826	1.3204664543870641	7	1.3210934674233645	0.06750602213423633	8.881784197001252e-16	none_recorded
Amanita__288615at2759__code1	1	61	0.9999999999999999	0.7251273702333908	2.1651317113887276	3.985864001646848	1.334911435835139	11	1.2047439886881248	0.05706267071940983	2.220446049250313e-16	none_recorded
Amanita__319730at2759__code1	1	61	1.0	0.645149318375155	2.2117957724089434	4.42834706541964	1.2916857543644278	11	0.7956579887737525	0.03563932514643911	2.220446049250313e-16	none_recorded
Amanita__340246at2759__code1	1	61	1.0000000000000002	0.6865904352286523	2.1836209395242876	4.180383570005728	1.314427482719702	5	0.9909119979322294	0.07572799573322488	4.440892098500626e-16	none_recorded
Amanita__345792at2759__code1	1	61	1.0000000000000002	0.714469766637036	2.1842967634456127	4.057227702897716	1.3270937258131525	9	0.9807741626449034	0.03417580578530838	4.440892098500626e-16	none_recorded
Amanita__352891at2759__code1	1	61	1.0000000000000002	0.7209130159257017	2.1650697437901405	4.003232978128495	1.3329745002411246	11	0.9467679330940734	0.04335054223802704	0.0	none_recorded
