case_id	target_node	target_is_terminal	split_smaller_side_taxa	target_dS	target_dN	target_branch_parameter	taxa	codons	minimum_taxon_codon_coverage	target_terminal_codon_coverage	delta_ll_at_half	delta_ll_at_double	delta_ll_at_tenfold	maximum_slice_improvement	marker_copy_caveat	saturated_pairwise_distance_warning_lines	parameter_boundary_warning_lines	nni_convergence_warning_lines	other_warning_lines
Wallemia__319730at2759__code1	F1540922	True	F1540922	99.09046790773829	0.778810154088012	166.7784849947359	4	388	1.0	1.0	-53.03303170578192	-42.133512305271324	-122.42903278256927	4.547473508864641e-13	none_recorded	0	0	0	0
Naganishia__129234at2759__code1	F610337	True	F610337	66.46805468716131	0.5124353084609462	135.4353145739088	4	179	1.0	1.0	-22.8481428992759	-24.4911854718664	-106.29876584057274	4.547473508864641e-13	none_recorded	0	0	0	0
Umbelopsis__5005697at2759__code1	F44442	True	F44442	65.08174419026638	0.7149892832554913	126.4809001847425	4	209	1.0	1.0	-29.512156148835857	-24.818666971931634	-77.67314373664976	9.094947017729282e-13	none_recorded	0	0	0	0
Naganishia__260326at2759__code1	F610337	True	F610337	63.775783258784024	0.47555750892221016	88.00287483374085	4	122	1.0	1.0	-15.445816657204887	-15.919742203555415	-75.48762917849194	2.2737367544323206e-13	none_recorded	0	0	0	0
Aspergillus__4986044at2759__code1	InternalNode5	False	F1810926;F1810928;F41759;F5059	54.940448638511896	0.8655176134190229	132.0569826296113	10	264	0.8787878787878788		-38.14567803386217	-28.174664262487568	-76.4836527933885	0.0	requires_gene_copy_reconciliation_before_confirmatory_single_ortholog_analysis	1	0	0	0
Wallemia__4970538at2759__code1	F1540922	True	F1540922	47.59865090742565	1.2687710921528421	119.1763092296801	4	818	1.0	1.0	-107.07583812315715	-54.52354920635935	-112.944698744579	-9.094947017729282e-13	none_recorded	1	0	0	0
Naganishia__5013992at2759__code1	F1424756	True	F1424756	46.98991290748287	1.0011266844844713	95.10195558989186	4	522	1.0	1.0	-77.5214497144625	-44.517227743907824	-101.5595742725618	0.0	none_recorded	1	0	1	0
Saccharomyces__4986044at2759__code1	F706196	True	F706196	46.21707808851856	1.226610880420615	104.3238536588556	7	455	0.589010989010989	0.589010989010989	-32.7849877286626	-15.131763063185645	-37.98047907156979	0.0	requires_gene_copy_reconciliation_before_confirmatory_single_ortholog_analysis	1	0	4	0
Trichoderma__4810093at2759__code1	F63577	True	F63577	40.005751656386536	1.1676098245161337	88.15115731198401	6	788	0.7360406091370558	0.7360406091370558	-75.14370134040291	-42.37153024280451	-96.67193860876978	0.0	none_recorded	1	0	0	0
Wallemia__5013992at2759__code1	F1540922	True	F1540922	39.48318289451628	0.976675899126715	91.10638144368205	4	563	1.0	1.0	-82.26304804321535	-52.337719078786904	-131.40411724485057	-9.094947017729282e-13	none_recorded	0	0	8	0
Trichoderma__5000743at2759__code1	F173216	True	F173216	37.76081697043817	0.8783218696489787	86.82559542207844	10	180	0.9277777777777778	0.9277777777777778	-22.007136697724945	-16.506958787728763	-45.87806677423714	-4.547473508864641e-13	none_recorded	1	0	0	0
Trichoderma__4970538at2759__code1	F398673	True	F398673	37.71477828740955	1.6033106143410176	101.7365522258056	10	954	0.8878406708595388	0.8878406708595388	-93.61191450421575	-38.973369239714884	-71.85181678218032	9.094947017729282e-12	none_recorded	1	0	0	0
Suillus__5000152at2759__code1	F1912936	True	F1912936	37.57122019659008	1.1927058467712963	94.4394592331726	10	1191	0.8144416456759026	0.8144416456759026	-118.72295724387914	-63.084394864150454	-143.8553907995738	-1.8189894035458565e-12	none_recorded	1	0	0	0
Malassezia__4986044at2759__code1	F76777	True	F76777	36.667298406485614	1.02990796016976	82.57375144731394	5	429	0.5804195804195804	0.5804195804195804	-34.862615988622565	-21.397193321216946	-46.411150776830254	0.0	requires_gene_copy_reconciliation_before_confirmatory_single_ortholog_analysis	1	0	0	0
Fusarium__5000743at2759__code1	F5507	True	F5507	35.07669518648214	0.8788832146855614	64.18617850883024	9	180	0.9277777777777778	0.9277777777777778	-23.54069777929908	-15.645914924044519	-42.46800828055757	4.547473508864641e-13	none_recorded	1	0	0	0
Naganishia__5005010at2759__code1	F610337	True	F610337	32.954778385093064	0.740745023271003	33.23248200978131	4	110	1.0	1.0	-15.113499753827455	-12.99496525378845	-41.72896799008049	2.2737367544323206e-13	none_recorded	0	0	0	0
Naganishia__5015876at2759__code1	F610337	True	F610337	32.55769573288053	0.7016777023594191	60.21738733356906	4	210	1.0	1.0	-28.643379062184067	-25.11015334855074	-80.21441375256518	0.0	none_recorded	0	0	0	0
Naganishia__5001413at2759__code1	F610337	True	F610337	32.374777463225826	0.36378471170245086	56.72270089954559	4	257	1.0	1.0	-27.474338389433797	-34.28836213847126	-222.286078464997	4.547473508864641e-13	none_recorded	0	0	0	0
Amanita__4900375at2759__code1	F933333	True	F933333	30.814622615823613	1.2731871652486921	65.46847642575153	7	191	0.837696335078534	0.837696335078534	-19.885978402510773	-10.490149270003712	-23.193035397032872	-4.547473508864641e-13	none_recorded	1	0	1	0
Candida__4908955at2759__code12	F5479	True	F5479	29.79333149346538	0.7565026926450319	63.00553230641644	4	265	1.0	1.0	-39.15472430300724	-31.588886217998606	-90.31333060818406	4.547473508864641e-13	none_recorded	0	0	0	0
Wallemia__5004599at2759__code1	F1540922	True	F1540922	28.181464296104107	0.6211121916273832	57.51537616898709	4	525	1.0	1.0	-68.98727384885842	-62.78512690415482	-238.19986131755195	0.0	none_recorded	0	0	0	0
Fusarium__4985971at2759__code1	F195108	True	F195108	27.792859112488657	0.9384581677415894	54.40517227367148	10	348	0.7672413793103449	0.7672413793103449	-39.694029681490974	-24.33523818350477	-57.169115846762	0.0	none_recorded	1	0	0	0
Naganishia__4908955at2759__code1	F610337	True	F610337	27.788552471380335	0.6677491954208306	48.80389170686544	4	199	1.0	1.0	-27.786799436680212	-24.864410885065354	-81.08148759835194	-4.547473508864641e-13	none_recorded	0	0	0	0
Umbelopsis__4867008at2759__code1	F44442	True	F44442	27.606559022389796	0.8353937147643052	39.57674236827215	4	165	1.0	1.0	-24.287765614870295	-17.200096944086	-41.78666055095482	2.2737367544323206e-13	none_recorded	0	0	0	0
Naganishia__4896098at2759__code1	F610337	True	F610337	26.41318614029898	0.42078386791679795	50.33962806251255	4	184	1.0	1.0	-21.767092366802217	-25.27276516344341	-140.31853193068014	-4.547473508864641e-13	none_recorded	0	0	29	0
Candida__5000743at2759__code12	F5479	True	F5479	25.885526979304817	0.7771188290504675	35.29020655045823	4	144	1.0	1.0	-21.050183715000458	-16.25870349105753	-44.26774170341241	6.821210263296962e-13	none_recorded	0	0	1	0
Naganishia__5005697at2759__code1	F610337	True	F610337	25.45002999628789	0.7290172390831818	55.68706103895735	4	412	1.0	1.0	-56.50026414325839	-48.40655778003293	-158.6676744557608	9.094947017729282e-13	none_recorded	0	0	0	0
Amanita__5015742at2759__code1	F87326	True	F87326	23.69047239146575	1.1101779641371896	46.61702898797195	7	469	0.8656716417910447	0.8656716417910447	-53.24128305170143	-29.374364055487604	-60.504341689071225	9.094947017729282e-13	none_recorded	1	0	0	0
Trichoderma__5005697at2759__code1	F58853	True	F58853	22.913053278431953	0.9285758243352255	59.35385519481497	10	578	0.4740484429065744	0.4740484429065744	-36.071693076715746	-23.95571959209883	-67.79518810273657	9.094947017729282e-13	none_recorded	1	0	0	1
Umbelopsis__5011777at2759__code1	F64526	True	F64526	22.330951003818157	0.9494038061047515	49.91881134672344	4	492	1.0	1.0	-69.32057099323993	-45.69966455654139	-109.96163488801176	0.0	none_recorded	0	0	0	0
Naganishia__4970538at2759__code1	F610337	True	F610337	21.64746411429268	0.6077229268668536	49.10201635066445	4	908	1.0	1.0	-123.94222543286014	-115.90386716423745	-436.62684535897824	0.0	none_recorded	0	0	0	0
Naganishia__540946at2759__code1	F610337	True	F610337	21.571056122464842	0.5144289665102392	47.89564811698376	4	391	1.0	1.0	-50.15976874164744	-54.70630322805255	-252.27980567227223	4.547473508864641e-13	none_recorded	0	0	0	0
Amanita__5005010at2759__code1	F933333	True	F933333	21.453561877275863	1.148797042417606	45.12712661449395	6	112	0.9375	0.9375	-13.255605814727687	-6.530628238704367	-14.82546427125726	4.547473508864641e-13	none_recorded	1	0	3	0
Naganishia__4838864at2759__code1	F610337	True	F610337	21.425805033805105	0.5555383941489235	39.30715321227975	4	590	1.0	1.0	-77.84457490664408	-78.99698294119753	-326.70192800508994	0.0	none_recorded	0	0	0	0
Umbelopsis__4983000at2759__code1	F44442	True	F44442	21.342121190953858	0.9836840489191193	39.66590262926913	4	362	1.0	1.0	-52.970855245157054	-32.30933834073494	-71.56150961763115	-4.547473508864641e-13	none_recorded	0	0	0	0
Naganishia__4976279at2759__code1	F610337	True	F610337	21.226537058548047	0.5301653157400684	36.56998272093121	4	319	1.0	1.0	-41.39166264089545	-42.78488292417387	-189.55946049215936	4.547473508864641e-13	none_recorded	0	0	9	0
Naganishia__4823929at2759__code1	F610337	True	F610337	21.16023860520181	0.8865754255830881	34.31722940185393	4	317	1.0	1.0	-44.46466405325691	-30.32405691188842	-71.27669411828856	-4.547473508864641e-13	none_recorded	0	0	0	0
Naganishia__5000452at2759__code1	F610337	True	F610337	21.113046083342542	1.0576422701467245	39.80552473544873	4	208	1.0	1.0	-27.747822080229525	-16.3418502827094	-34.765750018927974	0.0	none_recorded	0	0	12	0
Umbelopsis__5001156at2759__code1	F44442	True	F44442	21.071111139481793	0.873123698889455	36.35817362275201	4	231	1.0	1.0	-34.17489225101417	-24.14882242278418	-56.33090975655978	4.547473508864641e-13	none_recorded	1	0	0	0
Naganishia__4810093at2759__code1	F610337	True	F610337	20.93959671078746	0.7039694271709284	39.19659964234671	4	722	1.0	1.0	-99.85064109489576	-85.06278869528524	-255.0739615033208	-9.094947017729282e-13	none_recorded	0	0	0	0
Fusarium__5001318at2759__code1	F5507	True	F5507	20.59738497716873	0.7835014842622955	40.77478360884078	10	423	0.5366430260047281	0.5366430260047281	-32.31816816341416	-25.770875943108877	-84.75554403022943	0.0	none_recorded	1	0	0	0
Trichoderma__5011777at2759__code1	F63577	True	F63577	20.045039364097306	1.1038863851318552	43.0210656318925	10	705	0.7687943262411348	0.7687943262411348	-73.82690377481049	-39.77774160653644	-81.0527844886783	1.8189894035458565e-12	none_recorded	1	0	0	0
Colletotrichum__4908955at2759__code1	F1095194	True	F1095194	19.372278809480296	0.8316533913162938	62.23803176604981	10	325	0.8492307692307692	0.8492307692307692	-41.56414799278582	-31.27630825078495	-89.42252844981067	0.0	none_recorded	1	0	0	0
Naganishia__4837017at2759__code1	F1424756	True	F1424756	19.33529389933209	0.8388190592263167	27.95200525190094	4	191	1.0	1.0	-27.866596542117122	-20.115225894601508	-48.4173708914916	6.821210263296962e-13	none_recorded	0	0	2	0
Amanita__5000743at2759__code1	F933333	True	F933333	19.268482921166733	0.9185584679455179	49.63857345529163	7	176	0.7954545454545454	0.7954545454545454	-19.479465061273004	-14.339890896897941	-37.66446233956958	4.547473508864641e-13	none_recorded	1	0	1	0
Aspergillus__5005010at2759__code1	F5062	True	F5062	18.69491553295662	1.1238175560632304	32.25922873392051	10	114	0.9473684210526315	0.9473684210526315	-13.951748367945584	-7.206421305427284	-14.241277203747359	2.2737367544323206e-13	none_recorded	1	0	0	0
Colletotrichum__530740at2759__code1	InternalNode1	False	F1095194;F145971	18.54395594394696	1.0153245011608183	41.90892757255418	10	297	0.6195286195286195		-25.374018685125975	-15.300340159465577	-31.23519253486893	0.0	none_recorded	0	0	0	0
Trichoderma__5000986at2759__code1	F398673	True	F398673	18.107886855205276	1.191478058666421	47.25520896444637	10	504	0.875	0.875	-60.08636777603351	-32.01141379259843	-74.60584988197388	0.0	none_recorded	1	0	0	0
Naganishia__5011777at2759__code1	F610337	True	F610337	17.81068224790668	1.0464035582348337	31.45352802070478	4	491	1.0	1.0	-66.48125541504396	-38.185496976007926	-75.93089571888413	0.0	none_recorded	0	0	20	0
Naganishia__5001473at2759__code1	F610337	True	F610337	17.11980133632087	0.2501895079982376	26.26302239443016	4	100	1.0	1.0	-8.313887081299868	-11.318270923064233	-107.63926670739363	0.0	none_recorded	0	0	0	0
Candida__5000152at2759__code12	F5479	True	F5479	17.1011890947657	1.1267919099615538	41.95358172379816	4	803	1.0	1.0	-95.71765934809264	-49.759495414895355	-109.57699648606285	1.8189894035458565e-12	none_recorded	0	0	0	0
Tilletia__5000152at2759__code1	F157183	True	F157183	16.95324893338529	0.9240129846899813	37.06038799170895	5	1184	0.8657094594594594	0.8657094594594594	-141.3201776317983	-96.9497794092913	-219.54545712605614	0.0	none_recorded	0	0	9	0
Fusarium__4908955at2759__code1	F195108	True	F195108	16.81098005144869	0.8526782121275585	32.97159705784711	10	322	0.84472049689441	0.84472049689441	-39.27618280840352	-29.268025831051546	-79.51624830976289	9.094947017729282e-13	none_recorded	1	0	0	0
Naganishia__340246at2759__code1	F610337	True	F610337	16.450874875971554	0.49607832693546833	27.20743783365839	4	619	1.0	1.0	-75.8073329131148	-82.72807987599754	-376.5494549039786	0.0	none_recorded	0	0	0	0
