case_id	marker	genus_label	translation_table	source_strict_taxa	excluded_curated_hybrids	retained_taxa	source_codon_columns	retained_codon_columns	minimum_observed_codons	maximum_observed_codons	marker_copy_caveat	status	selection_status
Aspergillus__115730at2759__code1	115730at2759	Aspergillus	1	10	0	10	339	330	330	330	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Colletotrichum__115730at2759__code1	115730at2759	Colletotrichum	1	10	0	10	339	322	322	322	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Fusarium__115730at2759__code1	115730at2759	Fusarium	1	10	0	10	339	319	319	319	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Trichoderma__115730at2759__code1	115730at2759	Trichoderma	1	10	0	10	339	320	320	320	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Saccharomyces__115730at2759__code1	115730at2759	Saccharomyces	1	8	1	7	339	306	306	306	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Candida__115730at2759__code1	115730at2759	Candida	1	0	0	0	339	0	0	0	none_recorded	insufficient_coverage_after_taxon_policy	not_validated_for_selection_testing
Candida__115730at2759__code12	115730at2759	Candida	12	4	0	4	339	231	231	231	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Amanita__115730at2759__code1	115730at2759	Amanita	1	5	0	5	339	326	321	326	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Suillus__115730at2759__code1	115730at2759	Suillus	1	9	0	9	339	331	304	331	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Naganishia__115730at2759__code1	115730at2759	Naganishia	1	4	0	4	339	333	333	333	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Malassezia__115730at2759__code1	115730at2759	Malassezia	1	5	0	5	339	318	314	318	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Microbotryum__115730at2759__code1	115730at2759	Microbotryum	1	4	0	4	339	223	223	223	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Serendipita__115730at2759__code1	115730at2759	Serendipita	1	2	0	2	339	245	245	245	none_recorded	insufficient_coverage_after_taxon_policy	not_validated_for_selection_testing
Tilletia__115730at2759__code1	115730at2759	Tilletia	1	5	0	5	339	330	326	330	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Cryptococcus__115730at2759__code1	115730at2759	Cryptococcus	1	10	0	10	339	325	315	325	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Wallemia__115730at2759__code1	115730at2759	Wallemia	1	4	0	4	339	327	327	327	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Umbelopsis__115730at2759__code1	115730at2759	Umbelopsis	1	3	0	3	339	296	296	296	none_recorded	insufficient_coverage_after_taxon_policy	not_validated_for_selection_testing
Aspergillus__129234at2759__code1	129234at2759	Aspergillus	1	10	0	10	193	189	184	189	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Colletotrichum__129234at2759__code1	129234at2759	Colletotrichum	1	10	0	10	193	189	189	189	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Fusarium__129234at2759__code1	129234at2759	Fusarium	1	10	0	10	193	190	190	190	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Trichoderma__129234at2759__code1	129234at2759	Trichoderma	1	10	0	10	193	190	190	190	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Saccharomyces__129234at2759__code1	129234at2759	Saccharomyces	1	7	1	6	193	115	115	115	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Candida__129234at2759__code12	129234at2759	Candida	12	3	0	3	193	185	185	185	none_recorded	insufficient_coverage_after_taxon_policy	not_validated_for_selection_testing
Amanita__129234at2759__code1	129234at2759	Amanita	1	7	0	7	193	191	191	191	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Suillus__129234at2759__code1	129234at2759	Suillus	1	9	0	9	193	191	191	191	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Naganishia__129234at2759__code1	129234at2759	Naganishia	1	4	0	4	193	179	179	179	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Malassezia__129234at2759__code1	129234at2759	Malassezia	1	3	0	3	193	114	114	114	none_recorded	insufficient_coverage_after_taxon_policy	not_validated_for_selection_testing
Microbotryum__129234at2759__code1	129234at2759	Microbotryum	1	4	0	4	193	186	186	186	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Serendipita__129234at2759__code1	129234at2759	Serendipita	1	2	0	2	193	191	191	191	none_recorded	insufficient_coverage_after_taxon_policy	not_validated_for_selection_testing
Tilletia__129234at2759__code1	129234at2759	Tilletia	1	5	0	5	193	192	192	192	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Cryptococcus__129234at2759__code1	129234at2759	Cryptococcus	1	8	0	8	193	186	186	186	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
