marker	block_length	split_taxa	fit	point_estimate	planned_draws	valid_draws	interval_status	percentile_2_5	median	percentile_97_5	fraction_le_1e_minus5	sampling_sd	paired_sampling_covariance
115730at2759	1	F1220207	aa	0.0540592104	200	200	conditional_percentile_sensitivity	0.02663430486	0.052543751099999994	0.089959933615	0.0	0.01610838140700101	-3.172326082279426e-05
115730at2759	1	F1220207	3di	0.0755875498	200	200	conditional_percentile_sensitivity	0.032158733545	0.07463128129999999	0.11817530262500002	0.0	0.022416045164153558	-3.172326082279426e-05
115730at2759	1	F1220207,F162425	aa	0.0829916187	200	200	conditional_percentile_sensitivity	0.040151620455	0.0797226476	0.14250795208750006	0.0	0.028520257333782748	2.4657195223867445e-05
115730at2759	1	F1220207,F162425	3di	0.0142261676	200	200	conditional_percentile_sensitivity	2.365555e-06	0.014064682200000001	0.03209608583	0.07	0.009089971379132457	2.4657195223867445e-05
115730at2759	1	F1220207,F162425,F1690604,F703497	aa	0.0081815052	200	200	conditional_percentile_sensitivity	2.9972e-06	0.00719220285	0.03102984170250001	0.385	0.009268120450608132	6.0417704158218035e-06
115730at2759	1	F1220207,F162425,F1690604,F703497	3di	2.8248e-06	200	200	conditional_percentile_sensitivity	2.0237225e-06	2.9972e-06	0.026209079727500004	0.655	0.010191763994429778	6.0417704158218035e-06
115730at2759	1	F162425	aa	2.0661e-06	200	200	conditional_percentile_sensitivity	2.0661e-06	2.0661e-06	0.01515425574000001	0.655	0.004142605913228529	1.7027040335688698e-06
115730at2759	1	F162425	3di	0.0178929028	200	200	conditional_percentile_sensitivity	2.0661e-06	0.0164573109	0.05121338806750001	0.05	0.011409656994352793	1.7027040335688698e-06
115730at2759	1	F1690604	aa	0.1337235029	200	200	conditional_percentile_sensitivity	0.0836453279775	0.1326061441	0.20883132544500005	0.0	0.034236790089933807	-2.7000830188543242e-05
115730at2759	1	F1690604	3di	0.0546886512	200	200	conditional_percentile_sensitivity	0.016936857525	0.05273524705	0.09411409308000002	0.0	0.021802315885743682	-2.7000830188543242e-05
115730at2759	1	F1690604,F703497	aa	0.0512836649	200	200	conditional_percentile_sensitivity	0.0129888122725	0.05206606835	0.09588167801250004	0.0	0.022794622521465968	2.0129219914794707e-06
115730at2759	1	F1690604,F703497	3di	2.565e-06	200	200	conditional_percentile_sensitivity	2.565e-06	2.565e-06	2.565e-06	0.99	0.001523537807477794	2.0129219914794707e-06
115730at2759	1	F236234	aa	0.0455291679	200	200	conditional_percentile_sensitivity	0.014315311515000002	0.0467306345	0.08931016285000001	0.0	0.019623428389409128	-2.0056926866026898e-05
115730at2759	1	F236234	3di	0.1040973858	200	200	conditional_percentile_sensitivity	0.040618104415	0.10147190515	0.16245078346000008	0.0	0.03498177589806957	-2.0056926866026898e-05
115730at2759	1	F4754	aa	0.204887486	200	200	conditional_percentile_sensitivity	0.1244133554625	0.20519835605	0.30179326343500007	0.0	0.048819072051637546	-2.5690504323022823e-05
115730at2759	1	F4754	3di	0.06559361	200	200	conditional_percentile_sensitivity	0.020786565947500002	0.06380261135	0.10596754238500002	0.005	0.023678886742491242	-2.5690504323022823e-05
115730at2759	1	F4754,F48691,F4918	aa	0.1037597373	200	200	conditional_percentile_sensitivity	0.048452801595000004	0.10549940815	0.21069383122250007	0.0	0.04053908618429297	-7.063671060395555e-05
115730at2759	1	F4754,F48691,F4918	3di	0.0447881691	200	200	conditional_percentile_sensitivity	0.011333947645	0.03950855475	0.087162399715	0.0	0.020099635887838335	-7.063671060395555e-05
115730at2759	1	F48691	aa	0.1719550527	200	200	conditional_percentile_sensitivity	0.0922763936875	0.17512326175	0.27233728022250003	0.0	0.046635292148088446	2.6326344868068746e-05
115730at2759	1	F48691	3di	0.0295175868	200	200	conditional_percentile_sensitivity	2.7190625e-06	0.02871154435	0.05723683298250003	0.03	0.014178917251641573	2.6326344868068746e-05
115730at2759	1	F48691,F4918	aa	0.0592803102	200	200	conditional_percentile_sensitivity	0.0092612976475	0.0606136252	0.1071156669725	0.01	0.026989522045877644	-1.0549492919056278e-05
115730at2759	1	F48691,F4918	3di	2.8091e-06	200	200	conditional_percentile_sensitivity	2.769365e-06	2.8091e-06	0.016867210457500007	0.87	0.004857930995974956	-1.0549492919056278e-05
115730at2759	1	F4918	aa	0.167510544	200	200	conditional_percentile_sensitivity	0.09881555804	0.1689748982	0.2735350926375001	0.0	0.0485659745960001	-0.00014422706945809525
115730at2759	1	F4918	3di	0.0634819247	200	200	conditional_percentile_sensitivity	0.023305566870000002	0.06004093815	0.113571419915	0.0	0.023148637925072497	-0.00014422706945809525
115730at2759	1	F703497	aa	0.1187150186	200	200	conditional_percentile_sensitivity	0.0687967736525	0.12041727120000001	0.18483811740250003	0.0	0.03179343101674621	-4.781632724931363e-06
115730at2759	1	F703497	3di	0.0273007675	200	200	conditional_percentile_sensitivity	0.005542817325	0.02941222395	0.0647703061975	0.005	0.014256354656398585	-4.781632724931363e-06
115730at2759	10	F1220207	aa	0.0540592104	200	200	conditional_percentile_sensitivity	0.022242633600000002	0.051027091999999996	0.09242714568250002	0.0	0.018192030244723212	-9.988396381526457e-05
115730at2759	10	F1220207	3di	0.0755875498	200	200	conditional_percentile_sensitivity	0.035658853077500004	0.0748339515	0.1192399774	0.0	0.021487813790831745	-9.988396381526457e-05
115730at2759	10	F1220207,F162425	aa	0.0829916187	200	200	conditional_percentile_sensitivity	0.041076738455000004	0.07982157165	0.143615182985	0.0	0.02631503568471959	3.609260653762805e-05
115730at2759	10	F1220207,F162425	3di	0.0142261676	200	200	conditional_percentile_sensitivity	2.6454825e-06	0.0135692969	0.032081416505	0.04	0.00803910993843926	3.609260653762805e-05
115730at2759	10	F1220207,F162425,F1690604,F703497	aa	0.0081815052	200	200	conditional_percentile_sensitivity	2.9972e-06	0.00791688795	0.0301890982425	0.385	0.008832490055803036	-7.4744705638369704e-06
115730at2759	10	F1220207,F162425,F1690604,F703497	3di	2.8248e-06	200	200	conditional_percentile_sensitivity	2.0175525e-06	2.9972e-06	0.03161271351750002	0.58	0.00977459124175781	-7.4744705638369704e-06
115730at2759	10	F162425	aa	2.0661e-06	200	200	conditional_percentile_sensitivity	2.0661e-06	2.0661e-06	0.014049351067500005	0.575	0.003939016695834311	3.41852663738862e-06
115730at2759	10	F162425	3di	0.0178929028	200	200	conditional_percentile_sensitivity	2.0661e-06	0.01703774575	0.039894089265	0.03	0.010249601130529078	3.41852663738862e-06
115730at2759	10	F1690604	aa	0.1337235029	200	200	conditional_percentile_sensitivity	0.091543438635	0.13303826475000002	0.20632459229500003	0.0	0.030183369025752686	-8.539386736524956e-05
115730at2759	10	F1690604	3di	0.0546886512	200	200	conditional_percentile_sensitivity	0.013878454265	0.0512174907	0.11054548514250001	0.005	0.024668207132540802	-8.539386736524956e-05
115730at2759	10	F1690604,F703497	aa	0.0512836649	200	200	conditional_percentile_sensitivity	0.015123364472500001	0.05023196395	0.092930058855	0.005	0.021416388648012864	5.515419245753312e-07
115730at2759	10	F1690604,F703497	3di	2.565e-06	200	200	conditional_percentile_sensitivity	2.565e-06	2.565e-06	2.565e-06	0.995	0.0001328524382729922	5.515419245753312e-07
115730at2759	10	F236234	aa	0.0455291679	200	200	conditional_percentile_sensitivity	0.0144209061375	0.04641472	0.08353047169250002	0.0	0.018587645478328474	0.00016359080834304183
