marker	taxon_id	model_name	alignment_columns	observed_features	shared_coordinate_feature_pairs	overlap_components	largest_overlap_component	median_partner_sequence_separation	max_partner_sequence_separation	overlap_pairs_beyond_circular_block_10	fraction_overlap_pairs_beyond_circular_block_10	overlap_pairs_beyond_circular_block_30	fraction_overlap_pairs_beyond_circular_block_30
115730at2759	F1005962	AF-W1QHB4-F1-v6	235	229	1187	3	190	3.0	60	433	0.36478517270429656	248	0.20893007582139847
115730at2759	F101028	AF-K3VPL1-F1-v6	235	224	1157	2	190	3.0	63	422	0.3647363872082973	246	0.212618841832325
115730at2759	F101201	AF-A0A2T3ZJR6-F1-v6	235	224	1177	2	192	3.0	63	438	0.3721325403568394	248	0.2107051826677995
115730at2759	F1042133	AF-A0A9P8IT51-F1-v6	235	224	1169	2	190	3.0	63	435	0.3721129170230967	246	0.21043627031650983
115730at2759	F1048829	AF-C1GYU6-F1-v6	235	225	1161	2	188	3.0	61	424	0.3652024117140396	245	0.21102497846683893
115730at2759	F1052096	AF-A0AB34L3U8-F1-v6	235	226	1154	2	189	3.0	60	410	0.35528596187175043	231	0.2001733102253033
115730at2759	F1069201	AF-A0A146FMC2-F1-v6	235	224	1146	2	190	3.0	60	410	0.35776614310645727	234	0.20418848167539266
115730at2759	F1080349	AF-A0A6C1E5N2-F1-v6	235	223	1137	3	188	3.0	60	412	0.3623570800351803	244	0.21459982409850484
115730at2759	F1093897	AF-A0AAJ0C3C8-F1-v6	235	221	1154	2	188	3.0	61	424	0.36741767764298094	239	0.207105719237435
115730at2759	F1095194	AF-A0A9P6IFP8-F1-v6	235	225	1173	2	188	3.0	63	433	0.3691389599317988	243	0.2071611253196931
115730at2759	F1141098	AF-A0A1Y2DVF1-F1-v6	235	220	1161	2	188	3.0	63	422	0.363479758828596	242	0.20844099913867356
115730at2759	F114524	AF-J4TY28-F1-v6	235	220	1135	3	187	3.0	60	414	0.36475770925110135	245	0.21585903083700442
115730at2759	F116603	AF-A0A9P7AAR3-F1-v6	235	221	1152	2	187	3.0	62	422	0.3663194444444444	239	0.2074652777777778
115730at2759	F116794	AF-A0A8H3FY09-F1-v6	235	224	1173	3	188	3.0	63	432	0.36828644501278773	247	0.21057118499573743
115730at2759	F117187	AF-A0A9P8IT51-F1-v6	235	224	1169	2	190	3.0	63	435	0.3721129170230967	246	0.21043627031650983
115730at2759	F1176130	AF-A0A6G1GRF7-F1-v6	235	225	1175	3	189	3.0	60	418	0.3557446808510638	236	0.20085106382978724
115730at2759	F1209916	AF-A0AAI9YQN3-F1-v6	235	223	1169	2	190	3.0	63	431	0.3686911890504705	243	0.20786997433704021
115730at2759	F1209934	AF-A0AAI9YQN3-F1-v6	235	223	1169	2	190	3.0	63	431	0.3686911890504705	243	0.20786997433704021
115730at2759	F1220207	AF-A0A7R7XB82-F1-v6	235	224	1172	2	190	3.0	61	431	0.3677474402730375	248	0.21160409556313994
115730at2759	F122368	AF-A0A2G5HK83-F1-v6	235	220	1123	2	187	3.0	60	393	0.3499554764024933	215	0.19145146927871773
115730at2759	F1246581	AF-A0A2H9TFB7-F1-v6	235	222	1142	2	187	3.0	61	405	0.35464098073555167	232	0.2031523642732049
115730at2759	F1341166	AF-A0A6G1G9G5-F1-v6	235	221	1154	2	187	3.0	63	428	0.3708838821490468	236	0.2045060658578856
115730at2759	F13502	AF-A0A875RXN5-F1-v6	235	222	1199	2	190	3.0	63	455	0.3794829024186822	260	0.21684737281067556
115730at2759	F145971	AF-A0A9Q8WN20-F1-v6	235	224	1166	2	190	3.0	60	422	0.36192109777015435	238	0.20411663807890223
115730at2759	F147570	AF-A0A9P4MF80-F1-v6	235	226	1164	2	189	3.0	60	416	0.35738831615120276	233	0.20017182130584193
115730at2759	F147573	AF-A0A6A7CA96-F1-v6	235	223	1145	2	188	3.0	60	413	0.36069868995633186	234	0.20436681222707423
