taxon_id	assembly_accession	validation_status	report_rows	flagged_sequence_count	exclude_fix_trim_union_bp	review_rare_union_bp	review_union_bp	reported_actions	report_sha256	report_path	fcs_run_metadata
F1004511	GCA_001691755.2	publisher_verified_report	0	0	0	0	0	{}	b44ae9a170b8102cfc59843771e72de925abbf14e1f187995015be6e8ad43634	results/qc/selected-assembly-fcs-v1/reports/GCA_001691755.2/GCA_001691755.2_ASM169175v2_fcs_report.txt	"[[""FCS genome report"", 2, 1], {""git-rev"": ""v0.4.0"", ""run-date"": ""Tue Mar  7 19:53:53 2023"", ""db"": {""build-date"": ""2023-01-24"", ""seqs"": 3025824, ""Gbp"": 709.264}, ""run-info"": {""agg-cvg"": 0.720364, ""asserted-div"": ""fung:basidiomycetes"", ""inferred-primary-divs"": [""fung:basidiomycetes"", ""fung:fungi""], ""corrected-primary-divs"": [""fung:basidiomycetes"", ""fung:fungi""]}}]"
F1005962	GCF_000187245.1	publisher_verified_report	0	0	0	0	0	{}	c53522652dc5bb03bd1f167762e94694afcb014357a4f4ccfebcb9ef25b3e2d6	results/qc/selected-assembly-fcs-v1/reports/GCF_000187245.1/GCF_000187245.1_Hansenula_2_fcs_report.txt	"[[""FCS genome report"", 2, 1], {""git-rev"": ""v0.4.0"", ""run-date"": ""Mon Mar 20 18:53:19 2023"", ""db"": {""build-date"": ""2023-01-24"", ""seqs"": 3025824, ""Gbp"": 709.264}, ""run-info"": {""agg-cvg"": 0.994378, ""asserted-div"": ""fung:budding yeasts"", ""inferred-primary-divs"": [""fung:budding yeasts"", ""fung:ascomycetes""], ""corrected-primary-divs"": [""fung:budding yeasts"", ""fung:ascomycetes""]}}]"
F1006475	GCA_051942165.1	publisher_verified_report	0	0	0	0	0	{}	0b3df41bc25545647c7d35de1e25f89ac78b305c5dced67b9b4ff0d2a8abb1f6	results/qc/selected-assembly-fcs-v1/reports/GCA_051942165.1/GCA_051942165.1_KEW_Cica_fcs_report.txt	"[[""FCS genome report"", 2, 1], {""git-rev"": ""v0.5.5"", ""run-date"": ""Wed Jul 30 16:33:22 2025"", ""db"": {""build-date"": ""2023-01-24"", ""seqs"": 3025824, ""Gbp"": 709.264}, ""run-info"": {""agg-cvg"": 0.452735, ""asserted-div"": ""fung:ascomycetes"", ""inferred-primary-divs"": [""fung:ascomycetes"", ""fung:fungi""], ""corrected-primary-divs"": [""fung:ascomycetes"", ""fung:fungi""], ""species"": ""Circinaria calcarea"", ""genome-hash"": ""b017e2cf2d2e465d""}}]"
F100910	GCA_051805555.1	publisher_verified_report	0	0	0	0	0	{}	c92fc5c9e658d1a71b5e274e8eb932c7086549c9e0f3317e207508b190019514	results/qc/selected-assembly-fcs-v1/reports/GCA_051805555.1/GCA_051805555.1_RnylJCM10213v2_fcs_report.txt	"[[""FCS genome report"", 2, 1], {""git-rev"": ""v0.5.5"", ""run-date"": ""Tue Aug  5 14:59:15 2025"", ""db"": {""build-date"": ""2023-01-24"", ""seqs"": 3025824, ""Gbp"": 709.264}, ""run-info"": {""agg-cvg"": 0.622008, ""asserted-div"": ""fung:basidiomycetes"", ""inferred-primary-divs"": [""fung:basidiomycetes""], ""corrected-primary-divs"": [""fung:basidiomycetes""], ""species"": ""Rhodosporidiobolus nylandii"", ""genome-hash"": ""8e172b941aedd436""}}]"
F101028	GCF_000303195.2	publisher_verified_report	0	0	0	0	0	{}	2e1eb2705d74b5bed5a0c2ca18cdb38cfd2c5dd13018fb63b56d682eb447af43	results/qc/selected-assembly-fcs-v1/reports/GCF_000303195.2/GCF_000303195.2_FP7_fcs_report.txt	"[[""FCS genome report"", 2, 1], {""git-rev"": ""v0.5.3"", ""run-date"": ""Mon May 13 23:36:28 2024"", ""db"": {""build-date"": ""2023-01-24"", ""seqs"": 3025824, ""Gbp"": 709.264}, ""run-info"": {""agg-cvg"": 0.975325, ""asserted-div"": ""fung:ascomycetes"", ""inferred-primary-divs"": [""fung:ascomycetes"", ""fung:fungi""], ""corrected-primary-divs"": [""fung:ascomycetes"", ""fung:fungi""], ""species"": ""Fusarium pseudograminearum"", ""genome-hash"": ""94e2ca9f6077b05a""}}]"
F101097	GCA_015849335.1	publisher_verified_report	0	0	0	0	0	{}	a5c85ca14f9138b0e312f030d28b3f12e5473298c781731bd2ca9256f55fa24a	results/qc/selected-assembly-fcs-v1/reports/GCA_015849335.1/GCA_015849335.1_UCR_MchalAD033_1.0_fcs_report.txt	"[[""FCS genome report"", 2, 1], {""git-rev"": ""v0.4.0"", ""run-date"": ""Sun Mar  5 08:11:35 2023"", ""db"": {""build-date"": ""2023-01-24"", ""seqs"": 3025824, ""Gbp"": 709.264}, ""run-info"": {""agg-cvg"": 0.522448, ""asserted-div"": ""fung:fungi"", ""inferred-primary-divs"": [""fung:fungi""], ""corrected-primary-divs"": [""fung:fungi""]}}]"
F101098	GCF_025024155.1	publisher_verified_report	0	0	0	0	0	{}	6bed2e30ca767cf0c76d0fdb3fbc3f89b98cccb57dfe475c358949fbf1c0fbe5	results/qc/selected-assembly-fcs-v1/reports/GCF_025024155.1/GCF_025024155.1_Mormul1_fcs_report.txt	"[[""FCS genome report"", 2, 1], {""git-rev"": ""v0.4.0"", ""run-date"": ""Mon Mar 20 18:15:34 2023"", ""db"": {""build-date"": ""2023-01-24"", ""seqs"": 3025824, ""Gbp"": 709.264}, ""run-info"": {""agg-cvg"": 0.972242, ""asserted-div"": ""fung:fungi"", ""inferred-primary-divs"": [""fung:fungi""], ""corrected-primary-divs"": [""fung:fungi""]}}]"
F101201	GCF_020647865.1	publisher_verified_report	0	0	0	0	0	{}	5d03fd53614a2cc911de48e0394810f356ee71adedc57c920be28aebd2b85136	results/qc/selected-assembly-fcs-v1/reports/GCF_020647865.1/GCF_020647865.1_ASM2064786v1_fcs_report.txt	"[[""FCS genome report"", 2, 1], {""git-rev"": ""v0.5.4-27-g6e971e1"", ""run-date"": ""Sat Aug 10 03:29:36 2024"", ""db"": {""build-date"": ""2023-01-24"", ""seqs"": 3025824, ""Gbp"": 709.264}, ""run-info"": {""agg-cvg"": 0.938815, ""asserted-div"": ""fung:ascomycetes"", ""inferred-primary-divs"": [""fung:ascomycetes"", ""fung:fungi""], ""corrected-primary-divs"": [""fung:ascomycetes"", ""fung:fungi""], ""species"": ""Trichoderma asperellum"", ""genome-hash"": ""07c586ad21f1403e""}}]"
F1031713	GCA_052422275.1	repeat_identical_https_report_without_publisher_md5	0	0	0	0	0	{}	9038806b0b365f3459e83c3b39c53ebebbe3cdb2892987b6d7d4996a5787b011	results/qc/selected-assembly-fcs-v1/reports/GCA_052422275.1/GCA_052422275.1_ASM5242227v1_fcs_report.txt	"[[""FCS genome report"", 2, 1], {""git-rev"": ""v0.5.5"", ""run-date"": ""Tue Jul 29 16:24:44 2025"", ""db"": {""build-date"": ""2023-01-24"", ""seqs"": 3025824, ""Gbp"": 709.264}, ""run-info"": {""agg-cvg"": 0.455409, ""asserted-div"": ""fung:basidiomycetes"", ""inferred-primary-divs"": [""fung:basidiomycetes""], ""corrected-primary-divs"": [""fung:basidiomycetes""], ""species"": ""Tilletia maclaganii"", ""genome-hash"": ""a9bfdd86681e7228""}}]"
F103449	GCF_000192795.1	publisher_verified_report	0	0	0	0	0	{}	1fe4ffa91a9dcb14e1d657366b1c9be3f466449f156e97548cd2db7f9c7db21d	results/qc/selected-assembly-fcs-v1/reports/GCF_000192795.1/GCF_000192795.1_Vavr_culi_floridensis_V1_fcs_report.txt	"[[""FCS genome report"", 2, 1], {""git-rev"": ""v0.4.0"", ""run-date"": ""Mon Mar 20 18:56:55 2023"", ""db"": {""build-date"": ""2023-01-24"", ""seqs"": 3025824, ""Gbp"": 709.264}, ""run-info"": {""agg-cvg"": 0.70296, ""asserted-div"": ""fung:microsporidians"", ""inferred-primary-divs"": [""fung:microsporidians""], ""corrected-primary-divs"": [""fung:microsporidians""]}}]"
