marker	taxon_id	protein_id	sequence_sha256	source_fasta_sha256	cds_source_kind	source_status	source_record_ids_json	cds_sequence_sha256	cds_length	gene_ids_json	gene_mapping_status	representative_decision
5006412at2759	F87326	KAF8745614.1	9b523f1381b10387a4ac06e062a5114eff1ede28cca924c8cc67f95005beab28	a0b2ef7a11b97680a85aca81ad3acea790f68eb18fd7ec7bd72fa8778c8b67f7	ncbi_unmodified_cds	unique_source_cds	"[""lcl|JNHV02000004.1_cds_KAF8745614.1_422""]"	c367ec47911064d0bcb447ce4ff295fe62bd6c04617d71139bcdf260532428d5	2310	"[""gene-AX14_006929""]"	unique_gene	alternative_product_retained_in_source
115730at2759	F264483	CDZ96977.1	f678630f46a8b2f4f35b67008318a12f6951011229896f85ab5431f5c27438cf	6086be210dfcf97d37cdaf321ab74ebb8f32cec35e6ba8c474aff85d1258cbe8	ncbi_unmodified_cds	unique_source_cds	"[""lcl|LN483167.1_cds_CDZ96977.1_3756""]"	61883f953a7333817e1a3d3272add317975d4e2557b4c89b489dad752d763ec9	1203	[]	unmapped	retained_unresolved_gene
129234at2759	F264483	CDZ96737.1	61948171697606ac3a7fd1fd60f84694d477c851c539c7ff796a201de5668be3	16753b34c59b98421ef450e50f77d79d0af32778655efb17f53d1317ea7b9b26	ncbi_unmodified_cds	unique_source_cds	"[""lcl|LN483167.1_cds_CDZ96737.1_3516""]"	764105734b193b5b5afd9c82d63218a70a102d1e5ad9e22dfff893c2b248d11b	693	[]	unmapped	retained_unresolved_gene
160487at2759	F264483	CED83561.1	00ea034a85890969e28c2de9bbf2db33ec624122bc4001eb6cc28f193a8e53c7	f1a6cc858df49ee3bb3e5ffc49640cc850f2d38b337ee45e7e1996a71d07001f	ncbi_unmodified_cds	unique_source_cds	"[""lcl|LN483157.1_cds_CED83561.1_2039""]"	512bdecfbeb34354e204bf3cdc08ee744b48286ba43953b0bda5eb1af5adc477	2853	[]	unmapped	retained_unresolved_gene
201273at2759	F264483	CDZ96428.1	8e5ec8d30516ed2eea282c1efe5f544ea288dd1cf130e1ecf62aa223dab7ca45	3cfb31db2440934f27e019428cc2755a814756e61612e0c86f71105e6a19068a	ncbi_unmodified_cds	unique_source_cds	"[""lcl|LN483144.1_cds_CDZ96428.1_1805""]"	c46585bf942bd345e3f4ba6485d929621cd9ddfe023aed4f6872a98404c98c9e	732	[]	unmapped	retained_unresolved_gene
207567at2759	F264483	CED82455.1	4ab3696227f0cd96342fedff4d3e1f8d0119b505b6a1f31adba9165444c2798f	772862c89c272226e333414f9b9f54a4a6d49a96077bb95f52428d45c6234b75	ncbi_unmodified_cds	unique_source_cds	"[""lcl|LN483124.1_cds_CED82455.1_643""]"	d1deabacc94c172841efa5fa8e16de77794f9918f2d4a72648f94f8cc5efceca	546	[]	unmapped	retained_unresolved_gene
260326at2759	F264483	CED82266.1	07cb8a440d8851bae6b77db274972d380b8638611aa197d298686e40d2ede363	eb0e95ebf4e06c8431c70e2a7e66c58653974e0fc61e919cb7e32ed7d48f5ad3	ncbi_unmodified_cds	unique_source_cds	"[""lcl|LN483124.1_cds_CED82266.1_454""]"	6aa5d9501d3212ea36f7d7285249ec071ee2901baec92fc58a5f8bf37bcd8c7f	546	[]	unmapped	retained_unresolved_gene
2852757at2759	F264483	CDZ97848.1	ef17bdd9719e88b972e377e2ad3d0fe834821f8fac3d209aad09fff4f39333fb	baa864d0171e6e69d69b4bc0b8a43448cc617bb07ad152b1a1480f95d86095ef	ncbi_unmodified_cds	unique_source_cds	"[""lcl|LN483249.1_cds_CDZ97848.1_4627""]"	6ac3f139e1242b08aa214315a6bc81f16e31116264d51523a75ea6659be87adc	1596	[]	unmapped	retained_unresolved_gene
288615at2759	F264483	CDZ96576.1	fb9d7c12f23bb8abe159d94731cb7c792a772f8035cdd04453180c456dea3f47	31e3cdb168fc75758c7f0547fa5669db44f8164639ba44e96d4303ddaf38fc31	ncbi_unmodified_cds	unique_source_cds	"[""lcl|LN483144.1_cds_CDZ96576.1_1953""]"	95738296dd6451114756595cc38d2413b3a4b730e8d4bd05837fa535987c0f8d	2136	[]	unmapped	retained_unresolved_gene
319730at2759	F264483	CED83124.1	23b0be9cb625f350840d1e3d7e2af1d407d0fbc7e7be4824a9a605bfac7ff4d1	e1de994da69203c85433488ecec94a199b4e6704e5f1b4911ac1b58707a1fb21	ncbi_unmodified_cds	unique_source_cds	"[""lcl|LN483142.1_cds_CED83124.1_1314""]"	b3d1430c94a379635ff82b0bdfecd1d5c955b177a0472339b8c076d9395df96b	1371	[]	unmapped	retained_unresolved_gene
