entity_id	uniprot_accession	model_id	model_sequence_sha256	entity_sequence_sha256	entity_length	target_length	sequence_class	target_fragment_starts_1based	polymer_type	reported_mutation_count	reported_nonstandard_monomers	reported_artifact_monomers	benchmark_eligibility
10MT_4	P21242	AF-P21242-F1	8283ba552d1a3cf6c49a4d151043a7ef16df99a3d9c30a2b73e7692d36d2c844	8283ba552d1a3cf6c49a4d151043a7ef16df99a3d9c30a2b73e7692d36d2c844	288	288	exact_full_sequence	1	polypeptide(L)	0	0	0	pending_coordinates_quality_context_and_training_overlap
10OG_4	P21242	AF-P21242-F1	8283ba552d1a3cf6c49a4d151043a7ef16df99a3d9c30a2b73e7692d36d2c844	8283ba552d1a3cf6c49a4d151043a7ef16df99a3d9c30a2b73e7692d36d2c844	288	288	exact_full_sequence	1	polypeptide(L)	0	0	0	pending_coordinates_quality_context_and_training_overlap
10QT_6	P21242	AF-P21242-F1	8283ba552d1a3cf6c49a4d151043a7ef16df99a3d9c30a2b73e7692d36d2c844	8283ba552d1a3cf6c49a4d151043a7ef16df99a3d9c30a2b73e7692d36d2c844	288	288	exact_full_sequence	1	polypeptide(L)	0	0	0	pending_coordinates_quality_context_and_training_overlap
10SJ_8	P21242	AF-P21242-F1	8283ba552d1a3cf6c49a4d151043a7ef16df99a3d9c30a2b73e7692d36d2c844	8283ba552d1a3cf6c49a4d151043a7ef16df99a3d9c30a2b73e7692d36d2c844	288	288	exact_full_sequence	1	polypeptide(L)	0	0	0	pending_coordinates_quality_context_and_training_overlap
10ZY_5	Q08235	AF-Q08235-F1	9c6a83a9da179422c01547e108ce6567394cb22d09cd08dfff98fa7fd2cf807e	9c6a83a9da179422c01547e108ce6567394cb22d09cd08dfff98fa7fd2cf807e	291	291	exact_full_sequence	1	polypeptide(L)	0	0	0	pending_coordinates_quality_context_and_training_overlap
10ZY_7	P36049	AF-P36049-F1	69b75365f8a13f44361dc06155facde5c7b69920d4b15224becbad9da053cc21	69b75365f8a13f44361dc06155facde5c7b69920d4b15224becbad9da053cc21	427	427	exact_full_sequence	1	polypeptide(L)	0	0	0	pending_coordinates_quality_context_and_training_overlap
10ZZ_5	Q08235	AF-Q08235-F1	9c6a83a9da179422c01547e108ce6567394cb22d09cd08dfff98fa7fd2cf807e	9c6a83a9da179422c01547e108ce6567394cb22d09cd08dfff98fa7fd2cf807e	291	291	exact_full_sequence	1	polypeptide(L)	0	0	0	pending_coordinates_quality_context_and_training_overlap
10ZZ_7	P36049	AF-P36049-F1	69b75365f8a13f44361dc06155facde5c7b69920d4b15224becbad9da053cc21	69b75365f8a13f44361dc06155facde5c7b69920d4b15224becbad9da053cc21	427	427	exact_full_sequence	1	polypeptide(L)	0	0	0	pending_coordinates_quality_context_and_training_overlap
11AA_10	Q08235	AF-Q08235-F1	9c6a83a9da179422c01547e108ce6567394cb22d09cd08dfff98fa7fd2cf807e	9c6a83a9da179422c01547e108ce6567394cb22d09cd08dfff98fa7fd2cf807e	291	291	exact_full_sequence	1	polypeptide(L)	0	0	0	pending_coordinates_quality_context_and_training_overlap
11AA_12	P36049	AF-P36049-F1	69b75365f8a13f44361dc06155facde5c7b69920d4b15224becbad9da053cc21	69b75365f8a13f44361dc06155facde5c7b69920d4b15224becbad9da053cc21	427	427	exact_full_sequence	1	polypeptide(L)	0	0	0	pending_coordinates_quality_context_and_training_overlap
1A1D_1	P20436	AF-P20436-F1	ce7cd70250d0b569e39e2cf28c28578cac6ef076795fe9e170de624038c4019d	ce7cd70250d0b569e39e2cf28c28578cac6ef076795fe9e170de624038c4019d	146	146	exact_full_sequence	1	polypeptide(L)	0	0	0	pending_coordinates_quality_context_and_training_overlap
1B54_1	P38197	AF-P38197-F1	3ab20e43cb9a9ed62a43edda032c310a5fee86328bb762d1c4f9387bccf0c74b	3ab20e43cb9a9ed62a43edda032c310a5fee86328bb762d1c4f9387bccf0c74b	257	257	exact_full_sequence	1	polypeptide(L)	0	0	0	pending_coordinates_quality_context_and_training_overlap
1CT5_1	P38197	AF-P38197-F1	3ab20e43cb9a9ed62a43edda032c310a5fee86328bb762d1c4f9387bccf0c74b	84a087aacd4d4e040cca91f28914b1ffad610f52481ab4b0f2efbc0344b366f4	256	257	exact_fragment_unique	2	polypeptide(L)	0	1	0	pending_coordinates_quality_context_and_training_overlap
1FNT_7	P21242	AF-P21242-F1	8283ba552d1a3cf6c49a4d151043a7ef16df99a3d9c30a2b73e7692d36d2c844	2fda249cab138323f42cba400b3f394f62a183180fa4ed798bd0113c216e9a6d	287	288	exact_fragment_unique	2	polypeptide(L)	0	0	0	pending_coordinates_quality_context_and_training_overlap
1G0U_6	P21242	AF-P21242-F1	8283ba552d1a3cf6c49a4d151043a7ef16df99a3d9c30a2b73e7692d36d2c844	4598c613a9ad909b6f8fdda023dd04eb071eeab6e65af3c03c7a5fcfa6367d4d	248	288	exact_fragment_unique	1	polypeptide(L)	0	0	0	pending_coordinates_quality_context_and_training_overlap
1G62_1	Q12522	AF-Q12522-F1	a9c859214bc288900788ea22094f6779f5e80a857b1a76ad3d655a47854cced8	1d8c1f413d44731d0f1f98c904b43ded1b7915ffc5e22d00bcdf61e1ecaca966	224	245	exact_fragment_unique	1	polypeptide(L)	0	0	0	pending_coordinates_quality_context_and_training_overlap
1G65_6	P21242	AF-P21242-F1	8283ba552d1a3cf6c49a4d151043a7ef16df99a3d9c30a2b73e7692d36d2c844	420dcc23e2aa9991d78d957d36c97e84335d5a48e33f4303ad34677e990e2bbf	244	288	exact_fragment_unique	5	polypeptide(L)	0	0	0	pending_coordinates_quality_context_and_training_overlap
1I3Q_5	P20435	AF-P20435-F1	b35ac6750b96213d2e2f4608750f185b2daf71c690e6c7ef0382f39de2ec7d1c	b35ac6750b96213d2e2f4608750f185b2daf71c690e6c7ef0382f39de2ec7d1c	155	155	exact_full_sequence	1	polypeptide(L)	0	0	0	pending_coordinates_quality_context_and_training_overlap
1I3Q_6	P20436	AF-P20436-F1	ce7cd70250d0b569e39e2cf28c28578cac6ef076795fe9e170de624038c4019d	ce7cd70250d0b569e39e2cf28c28578cac6ef076795fe9e170de624038c4019d	146	146	exact_full_sequence	1	polypeptide(L)	0	0	0	pending_coordinates_quality_context_and_training_overlap
1I3Q_9	P38902	AF-P38902-F1	e5ca72de84371c102b60be5d242b8952d384447efd42abc54d2fc7b284a64b0b	e5ca72de84371c102b60be5d242b8952d384447efd42abc54d2fc7b284a64b0b	120	120	exact_full_sequence	1	polypeptide(L)	0	0	0	pending_coordinates_quality_context_and_training_overlap
1I50_5	P20435	AF-P20435-F1	b35ac6750b96213d2e2f4608750f185b2daf71c690e6c7ef0382f39de2ec7d1c	b35ac6750b96213d2e2f4608750f185b2daf71c690e6c7ef0382f39de2ec7d1c	155	155	exact_full_sequence	1	polypeptide(L)	0	0	0	pending_coordinates_quality_context_and_training_overlap
