taxon_id	marker	protein_id	annotation_status	translation_table	code_provenance	annotation_issues	initial_phase	genomic_cds_span_bases	cds_parts	five_prime_partial	three_prime_partial	internal_partial_boundary	annotation_flags	translation_status	terminal_stop	indexed_cds_length
F1498855	4970538at2759	KAI3662263.1	consistent_ordered_cds_features	1	ncbi_documented_default		0	2829	2	False	True	False	partial;start_range	exact_translation	False	2829
F1498855	5003972at2759	KAI3657826.1	consistent_ordered_cds_features	1	ncbi_documented_default		0	825	2	False	False	False		translation_mismatch	True	825
F1498855	5005010at2759	KAI3658352.1	consistent_ordered_cds_features	1	ncbi_documented_default		0	363	2	False	True	False	partial;start_range	exact_translation	False	363
F318763	4764044at2759	KAI9870751.1	consistent_ordered_cds_features	1	ncbi_documented_default		0	1746	3	False	True	False	partial;start_range	exact_translation	False	1746
F318763	4810093at2759	KAI9870817.1	consistent_ordered_cds_features	1	ncbi_documented_default		0	2040	1	True	False	False	end_range;partial	exact_translation	True	2040
F318763	4911644at2759	KAI9870250.1	consistent_ordered_cds_features	1	ncbi_documented_default		0	2496	3	False	True	False	partial;start_range	exact_translation	False	2496
F318763	5000152at2759	KAI9873827.1	consistent_ordered_cds_features	1	ncbi_documented_default		0	3603	4	False	True	False	partial;start_range	exact_translation	False	3603
F318763	5000823at2759	KAI9873197.1	consistent_ordered_cds_features	1	ncbi_documented_default		0	3310	4	False	True	False	end_range;partial	non_triplet_length	False	3310
F318763	5003192at2759	KAI9870426.1	consistent_ordered_cds_features	1	ncbi_documented_default		0	1451	1	False	True	False	end_range;partial	non_triplet_length	False	1451
F318763	5013738at2759	KAI9871197.1	consistent_ordered_cds_features	1	ncbi_documented_default		0	720	2	False	True	False	partial;start_range	exact_translation	False	720
F318763	5015647at2759	KAI9869671.1	consistent_ordered_cds_features	1	ncbi_documented_default		1	2056	2	True	True	False	end_range;partial;start_range	exact_translation	False	2055
F318763	530740at2759	KAI9873652.1	consistent_ordered_cds_features	1	ncbi_documented_default		0	1021	1	False	True	False	partial;start_range	non_triplet_length	False	1021
F470096	160487at2759	XP_033597776.1	consistent_ordered_cds_features	1	ncbi_documented_default		0	2697	6	False	True	False	end_range;partial	exact_translation	False	2697
F470096	5004478at2759	XP_033595058.1	consistent_ordered_cds_features	1	ncbi_documented_default		0	1469	1	False	True	False	partial;start_range	non_triplet_length	False	1469
F470096	5005274at2759	XP_033605176.1	consistent_ordered_cds_features	1	ncbi_documented_default		0	951	2	True	True	False	end_range;partial;start_range	exact_translation	False	951
F4918	340246at2759	ODV96075.1	consistent_ordered_cds_features	26	explicit_cds		0	2134	2	False	True	False	end_range;partial	non_triplet_length	False	2134
F4918	4940884at2759	ODV94643.1	consistent_ordered_cds_features	26	explicit_cds		0	1866	1	True	True	False	end_range;partial;start_range	exact_translation	False	1866
F4918	4977163at2759	ODV98531.1	consistent_ordered_cds_features	26	explicit_cds		0	576	2	False	True	False	end_range;partial	exact_translation	False	576
F4918	4986044at2759	ODV97584.1	consistent_ordered_cds_features	26	explicit_cds		0	1313	1	False	True	False	end_range;partial	non_triplet_length	False	1313
F4918	5000371at2759	ODV96264.1	consistent_ordered_cds_features	26	explicit_cds		1	1348	1	True	False	False	partial;start_range	exact_translation	True	1347
F4918	5004327at2759	ODV96287.1	consistent_ordered_cds_features	26	explicit_cds		0	2568	1	True	True	False	end_range;partial;start_range	exact_translation	False	2568
F4918	5005217at2759	ODV94118.1	consistent_ordered_cds_features	26	explicit_cds		0	1482	1	True	True	False	end_range;partial;start_range	exact_translation	False	1482
F4918	5005697at2759	ODV97585.1	consistent_ordered_cds_features	26	explicit_cds		0	1842	1	False	True	False	end_range;partial	exact_translation	False	1842
F4918	5015403at2759	ODV93466.1	consistent_ordered_cds_features	26	explicit_cds		0	986	1	False	True	False	end_range;partial	non_triplet_length	False	986
F4918	538728at2759	ODV98580.1	consistent_ordered_cds_features	26	explicit_cds		0	795	1	True	True	False	end_range;partial;start_range	exact_translation	False	795
F1141098	5003022at2759	XP_040712709.1	consistent_ordered_cds_features	1	ncbi_documented_default		0	2655	3	True	True	False	end_range;partial;start_range	exact_translation	False	2655
F1141098	5004327at2759	XP_040720443.1	consistent_ordered_cds_features	1	ncbi_documented_default		0	2922	1	True	False	False	partial;start_range	exact_translation	True	2922
F2939400	5013067at2759	KAI9716510.1	consistent_ordered_cds_features	1	ncbi_documented_default		2	1121	1	True	False	False	end_range;partial	exact_translation	True	1119
F1542792	4983000at2759	KAL9088564.1	consistent_ordered_cds_features	1	ncbi_documented_default		0	1491	1	False	True	False	end_range;partial	exact_translation	False	1491
F1542792	4987397at2759	KAL9083382.1	consistent_ordered_cds_features	1	ncbi_documented_default		0	2920	2	False	True	False	end_range;partial	non_triplet_length	False	2920
F1542792	5000823at2759	KAL9079256.1	consistent_ordered_cds_features	1	ncbi_documented_default		0	4836	3	True	True	False	end_range;partial;start_range	exact_translation	False	4836
F1542792	5001734at2759	KAL9082393.1	consistent_ordered_cds_features	1	ncbi_documented_default		0	447	1	False	True	False	end_range;partial	exact_translation	False	447
F54195	4813267at2759	XP_020044329.1	consistent_ordered_cds_features	1	ncbi_documented_default		0	2784	2	True	True	False	end_range;partial;start_range	exact_translation	False	2784
F54195	4843824at2759	XP_020046044.1	consistent_ordered_cds_features	1	ncbi_documented_default		0	656	1	False	True	False	partial;start_range	non_triplet_length	False	656
F54195	4896098at2759	XP_020048253.1	consistent_ordered_cds_features	1	ncbi_documented_default		0	597	1	True	True	False	end_range;partial;start_range	exact_translation	False	597
F54195	4970538at2759	XP_020044678.1	consistent_ordered_cds_features	1	ncbi_documented_default		0	2901	2	False	True	False	partial;start_range	exact_translation	False	2901
F54195	4976279at2759	XP_020045136.1	consistent_ordered_cds_features	1	ncbi_documented_default		0	936	1	False	True	False	end_range;partial	exact_translation	False	936
F54195	5002334at2759	XP_020047859.1	consistent_ordered_cds_features	1	ncbi_documented_default		0	1619	1	False	True	False	end_range;partial	non_triplet_length	False	1619
F54195	5003192at2759	XP_020046192.1	consistent_ordered_cds_features	1	ncbi_documented_default		0	1713	2	True	True	False	end_range;partial;start_range	exact_translation	False	1713
F54195	5003972at2759	XP_020046269.1	consistent_ordered_cds_features	1	ncbi_documented_default		0	857	1	False	True	False	end_range;partial	non_triplet_length	False	857
