taxa	columns	constant_columns	parsimony_informative_columns	all_gap_or_ambiguous_columns	unambiguous_residue_fraction	marker	columns_occupancy_0.25	columns_occupancy_0.5	columns_occupancy_0.75
481	241	20	195	1	0.9670551496277637	115730at2759	237	235	235
472	172	4	160	0	0.9311071147024044	129234at2759	172	166	163
487	730	11	702	0	0.9891226688419453	160487at2759	730	730	730
478	254	9	225	0	0.9892432379007018	201273at2759	254	254	254
478	174	3	163	0	0.9889746549319482	207567at2759	174	174	173
488	152	0	150	0	0.9750727998274374	260326at2759	151	151	150
477	266	6	249	0	0.9864440976655475	2852757at2759	264	264	264
504	458	7	438	5	0.8813032855063423	288615at2759	451	383	375
491	409	22	370	0	0.9711381891155717	319730at2759	408	400	400
468	448	44	380	2	0.9808789300976801	340246at2759	442	441	438
482	231	35	176	1	0.9698316897487022	345792at2759	227	226	225
472	246	9	229	0	0.986151302190988	352891at2759	245	245	244
462	554	3	542	2	0.9079383312235297	3643464at2759	521	517	506
478	76	1	75	0	0.9336875137634882	4613677at2759	74	73	72
486	1076	30	1001	3	0.946142548992611	4695236at2759	1065	1059	1051
480	115	1	108	0	0.9492934782608695	4747214at2759	114	114	113
475	394	8	368	0	0.965973817793214	4764044at2759	393	391	391
418	107	3	102	0	0.9792514421142064	4803900at2759	106	106	105
452	674	2	661	1	0.9408038129250808	4810093at2759	668	667	640
486	589	1	582	2	0.9484304149461666	4813267at2759	581	578	561
492	430	1	424	3	0.930090754395916	4823929at2759	422	420	413
489	208	1	206	1	0.9715372817366682	4837017at2759	206	205	205
486	462	5	440	1	0.947196836085725	4838864at2759	460	458	428
476	319	2	314	1	0.930178340928848	4843240at2759	317	315	313
432	201	1	197	1	0.9581951354339414	4843824at2759	200	197	193
476	182	4	176	1	0.9358666543540494	4867008at2759	179	177	173
471	838	4	826	1	0.9404988117497428	4888252at2759	833	830	808
463	157	16	135	0	0.9815520490844809	4896098at2759	157	157	156
496	171	2	169	0	0.9038860592341068	4900375at2759	169	169	166
499	324	7	295	2	0.9202479032138351	4908955at2759	319	318	295
479	776	18	738	0	0.9591825753825625	4911644at2759	754	744	740
460	545	47	467	1	0.8657957718388513	4940884at2759	473	469	466
488	381	54	298	2	0.9699130846349124	4969018at2759	375	374	372
480	296	39	235	1	0.987084740990991	4969636at2759	295	295	295
483	350	10	326	1	0.97949719018042	4969990at2759	348	346	344
444	137	2	134	0	0.9736470046689025	4970387at2759	136	136	134
485	913	2	911	0	0.9662424769368007	4970538at2759	907	900	893
473	377	9	364	0	0.979912629471571	4971272at2759	376	375	375
465	134	2	125	0	0.9586743700850586	4974767at2759	134	134	132
477	867	12	846	1	0.9708481740211191	4975094at2759	856	852	848
464	250	10	222	3	0.8963793103448275	4976279at2759	231	228	227
470	144	1	139	0	0.8805851063829787	4977163at2759	143	141	140
482	299	5	285	0	0.944587074480634	4977863at2759	289	288	287
486	463	1	458	1	0.954399203619266	4983000at2759	456	453	448
492	284	10	258	1	0.9666208633917325	4985971at2759	281	281	279
495	413	3	404	2	0.7651869787463008	4986044at2759	334	313	304
480	689	56	585	2	0.94409167876149	4987397at2759	683	681	645
480	930	50	829	1	0.9528427419354839	4988239at2759	901	893	885
476	2310	100	1995	5	0.9795181709047255	4999134at2759	2300	2295	2294
482	302	0	299	0	0.9778997554340358	5000045at2759	301	301	300
486	1196	4	1178	0	0.9600244986718417	5000152at2759	1192	1184	1180
475	681	3	671	2	0.9777448025349718	5000362at2759	674	672	671
465	452	6	437	1	0.9245789323437054	5000371at2759	436	429	418
462	297	1	295	1	0.9412450624571836	5000452at2759	294	292	280
479	308	7	291	0	0.9913781416912941	5000476at2759	307	306	306
493	172	3	164	0	0.940115099768857	5000743at2759	170	166	164
470	807	1	798	1	0.9792612512852962	5000823at2759	804	802	798
486	738	67	636	4	0.9496860606466146	5000870at2759	726	707	696
472	410	0	404	1	0.9544698222405953	5000986at2759	406	404	399
478	256	6	240	1	0.8148208682008368	5001156at2759	235	229	182
454	232	2	226	1	0.9633051040559015	5001273at2759	230	229	228
496	773	4	762	2	0.9387936610608021	5001280at2759	763	754	733
474	313	4	297	1	0.9136706164651326	5001318at2759	311	310	309
491	251	18	221	0	0.9779050802898386	5001413at2759	251	251	250
495	83	3	70	1	0.9460873798223196	5001473at2759	82	81	79
484	642	42	571	0	0.9756764758888803	5001660at2759	638	636	633
476	179	4	163	1	0.9626191258626355	5001734at2759	177	177	175
451	586	1	576	1	0.939913578471807	5001941at2759	579	568	533
466	236	17	211	0	0.9555357532552556	5002334at2759	230	227	225
480	362	1	357	0	0.9735957642725599	5002573at2759	359	357	356
471	800	15	759	4	0.9467064755838641	5003022at2759	781	776	744
469	404	10	380	1	0.9213092951086154	5003192at2759	402	399	344
499	1133	37	1062	3	0.8896150641972382	5003205at2759	1066	1015	991
490	224	5	213	1	0.9066235422740525	5003856at2759	221	219	186
481	212	8	190	0	0.9326874043855176	5003972at2759	211	205	204
481	172	5	160	0	0.7620267852825993	5004118at2759	142	134	114
489	236	5	215	0	0.915124259124467	5004265at2759	223	219	217
473	736	6	716	3	0.9227985108925453	5004327at2759	708	697	693
478	874	12	777	1	0.9614119663357047	5004391at2759	869	865	850
482	330	3	318	3	0.8825097447504087	5004478at2759	310	299	277
484	382	27	329	0	0.9964086365799836	5004599at2759	382	382	382
476	93	0	91	0	0.9729601518026565	5005010at2759	93	92	91
477	194	2	183	1	0.8904774254900689	5005174at2759	192	169	164
476	373	11	351	0	0.9889438349066167	5005196at2759	372	371	371
494	342	11	319	1	0.812906929942941	5005215at2759	337	243	237
483	363	5	345	0	0.9683395216992055	5005217at2759	362	361	357
482	238	2	230	1	0.9399299138742634	5005274at2759	235	233	225
504	275	10	250	1	0.8698917748917749	5005697at2759	246	243	242
474	110	4	105	1	0.9388377445339471	5005750at2759	107	107	103
480	313	23	271	1	0.9387047390841321	5005892at2759	307	302	291
486	539	13	504	0	0.9786451056292326	5006326at2759	539	539	538
479	176	6	166	0	0.9531932055418485	5006412at2759	170	168	167
502	687	2	673	2	0.8706542099433416	5011777at2759	675	656	575
436	359	3	349	2	0.8911732386087756	5013042at2759	340	333	300
473	325	2	305	1	0.9841405106521386	5013067at2759	324	323	320
500	149	3	135	1	0.9127785234899329	5013259at2759	146	144	142
489	227	7	215	1	0.961631667612587	5013539at2759	225	224	221
475	171	1	161	0	0.9918005540166205	5013726at2759	171	171	171
487	170	9	155	0	0.9880299553086122	5013738at2759	170	170	168
488	798	3	782	2	0.9289848596902092	5013992at2759	791	786	731
474	523	2	514	1	0.9583383756484417	5014007at2759	521	521	518
480	323	20	283	0	0.9573722910216719	5015403at2759	322	314	311
480	590	74	477	2	0.8958474576271186	5015647at2759	530	525	520
472	490	13	474	0	0.9684797647872708	5015712at2759	490	485	476
466	423	6	411	1	0.9587303036759708	5015742at2759	419	419	416
498	332	4	312	2	0.9498657279721295	5015876at2759	327	325	319
480	248	6	234	3	0.6293934811827957	5017019at2759	166	140	131
489	432	6	405	5	0.9205436264485344	5018803at2759	410	408	406
490	235	20	200	0	0.9651758575770734	529759at2759	234	226	225
485	778	7	749	1	0.9825113296053852	530014at2759	777	776	776
466	322	11	305	3	0.8281129208541039	530740at2759	315	304	273
484	329	8	300	3	0.839678213469316	538728at2759	282	279	276
469	311	24	263	1	0.8373429133615341	538952at2759	269	266	246
488	257	9	237	0	0.9914604197231613	539632at2759	257	257	256
478	422	27	380	4	0.9398857800075353	540946at2759	410	403	397
477	225	15	202	1	0.9643605870020965	541070at2759	222	222	219
459	232	7	205	0	0.9855288858838555	554735at2759	231	231	231
480	302	19	269	3	0.9583816225165563	649304at2759	295	293	290
492	240	11	214	0	0.9530149051490515	707076at2759	240	239	236
492	326	2	318	0	0.9804291984637638	707202at2759	326	326	324
473	278	9	245	2	0.8118621381964196	727964at2759	245	241	206
480	558	19	502	2	0.9427755376344086	730114at2759	539	530	524
481	380	2	361	4	0.8711346974504869	760428at2759	356	338	327
502	334	12	301	1	0.7372187895126082	776280at2759	265	261	255
478	154	5	141	0	0.9860892245829485	801816at2759	153	153	153
