marker	taxon_id	protein_id	sequence_sha256	source_fasta_sha256	fcs_overlap_status	fcs_actions	fcs_region_ids	matrix_columns_masked	canonical_residues_removed
129234at2759	F610337	KAJ9108408.1	f7c9e02bbdcbe8396247cfaa81f734782d4041f4f9f6e3d6b0af460bc6a12996	2763367b4b8c0518ab548c60b42df725356d290144aa1680221051039da6871a	cds_overlaps_fcs_region	EXCLUDE	FCS002722	166	136
260326at2759	F610337	KAJ9108417.1	5d91a4192424bd0450eb3d6e37b8c5b4d92e38830d43410bdb6f812f30b9216b	3a56c867042ce597a2ca43a149e12ca14bb558fb879ae2beb0455a32e990c01d	cds_overlaps_fcs_region	EXCLUDE	FCS002722	151	124
340246at2759	F610337	KAJ9106613.1	6e953056e5203034552dbb23d00f92045972bc71e22ac248ede0164549451dec	82aca678c477f3fd803ffc9c4b907292173ff2c12b712e9094aeeb024b315b96	cds_overlaps_fcs_region	EXCLUDE	FCS002723	441	437
345792at2759	F610337	KAJ9101333.1	7213bdd62dd0e0118361ac3916da6dc2a1cff7f789db097c1a748d09a138b6b3	fe84a10edbbc99dd7e9809b90ea3bc5f4813ebaee7b220606385e35024738639	cds_overlaps_fcs_region	EXCLUDE	FCS002734	226	226
4613677at2759	F610337	KAJ9103491.1	a63ac720a48c30cbd5c27af41ef2c844b414f07bf66258640ad94b05754543dd	2b50bdb12ea2669f91e4865266e76d8730105ee438de8c48fd5c11c33477ffe4	cds_overlaps_fcs_region	EXCLUDE	FCS002727	73	71
4747214at2759	F610337	KAJ9113391.1	cf7f91d33e79be3694c9987b39fba9980fdf50c7e6fa6cb18d25c1dd6c00111e	46381fe5f2b6a5c4b4396681c9de2936ebec25a8cf3c0a0f165df9c2b688bf08	cds_overlaps_fcs_region	EXCLUDE	FCS002716	114	89
4764044at2759	F610337	KAJ9100180.1	c22cbb0cb25865e86d513136d0e62dc85eebd81ae25ddf5dda809952e2b57793	f002eb599ad9deca0bb62ed0397b4116626bd7e499163211ed5f61822ad45339	cds_overlaps_fcs_region	EXCLUDE	FCS002738	391	388
4803900at2759	F610337	KAJ9100835.1	4bcf388c577860791f5b7fc66c3deb6c55a80d724ef0831c0ffae36ccda1a05c	25f13aad81da073fd6ebdd0360ba74f6b060889db1d1ba2e0a013e6371affd9a	cds_overlaps_fcs_region	EXCLUDE	FCS002735	106	106
4810093at2759	F610337	KAJ9093640.1	ec29ca64c48ecc61d4696cbab7dbafdfac7c8fd83c4b8932cfee159e38d15132	3e7ce941b0e9e5cf006ba8ea9382397bc9c6333b654f1f2762a8be6aa6b20190	cds_overlaps_fcs_region	EXCLUDE	FCS002762	667	666
4823929at2759	F610337	KAJ9099655.1	1a4dd81152c29042b75efe6d0898cbfbcbf016e3549ae9bc039189c65d7e2fe6	c08362d4a148a46e64953ec01f1b6aea26bd09c35e7afe7d6e92afea8a8cf4a5	cds_overlaps_fcs_region	EXCLUDE	FCS002739	420	416
4838864at2759	F610337	KAJ9103533.1	b12fe46ec5cf9e54076622f042173ce8c8b4a969b3524604e444eb3abc817f7f	62e160dd809f33ead74d06d9e5b2c1a2979a71f518cbe7bdbdb5a33fb8eeb91b	cds_overlaps_fcs_region	EXCLUDE	FCS002727	458	458
4867008at2759	F610337	KAJ9102150.1	83084fc4f18c3ad772ba44982888a3ace4a9bcbe73f7767c42a72554ad725275	77709dbb75baab7e3e9b32837a6e7a1d5684c755c6498b61480686e2f904f1d0	cds_overlaps_fcs_region	EXCLUDE	FCS002731	177	175
4896098at2759	F610337	KAJ9112000.1	b20eb164cdaae8599b4a0b1d672dd5a53f868d9292f60e68b988778e703395c9	105adfde946f363c1c7b1f5fd432a327b0eca013bf7fcaba2bfb101e02680d4c	cds_overlaps_fcs_region	EXCLUDE	FCS002718	157	157
4908955at2759	F610337	KAJ9109651.1	94c06581e190f775c705e030a3bc020701c99059f9c2069f52bbf70a98bb66bd	38a4798443015b194a5564a3da5e48ed3e589aff3a145b23bc0a31c7c24fbdc7	cds_overlaps_fcs_region	EXCLUDE	FCS002720	318	244
4911644at2759	F610337	KAJ9103416.1	e8c607c257bfd813672ef9fd17f55355ea8da50e3031228d1d5e7eab28058439	ad656b1279c5cd8599e8cb49c91dad3e4440e05eb5ad6d19a4af249b5b383aad	cds_overlaps_fcs_region	EXCLUDE	FCS002728	744	742
4970538at2759	F610337	KAJ9101597.1	9b1e19830c7c3ef96f41ec3e1a3364010a9d58087b56fc8bf30cc02bdfd00f2d	040384fc01b691dd00684dc78e9e71f19332d35631a19a28f0e30bb20497a141	cds_overlaps_fcs_region	EXCLUDE	FCS002732	900	837
4976279at2759	F610337	KAJ9101352.1	23e4bb9febe0431ac9e14163ec3a74dc36cc27f871efb65e1b2ce5e888b97553	ada1f31de3df09b8f2388ba1bd394db57e45af97b2527c9ef8bb56d8bae636d0	cds_overlaps_fcs_region	EXCLUDE	FCS002734	228	226
5000371at2759	F610337	KAJ9093989.1	4640390bcfb00093095cc4c22758bc3dbad03524c93136bae1b2aa690d4907f9	af2f05cef4ce1be47cc66500f3c8acd97cbb6faa809416a95ef0e3188ac5a839	cds_overlaps_fcs_region	EXCLUDE	FCS002761	429	419
5000452at2759	F610337	KAJ9103443.1	a7f0801133773e44e57b7da495558615e7ea0b659b3939bb2557468e07b6ce0a	5f1da1ff651d512b880d4195d4ade84d0fdd70f4b6e138e5221ad79fcc7edd4b	cds_overlaps_fcs_region	EXCLUDE	FCS002728	292	283
5000743at2759	F610337	KAJ9101344.1	e2f47fc82e703c9060b6c9b129c9d1789affe05322d7702dbac4ea711b738465	d8dc679478770493fe3f149aa2d27831ca1e29394b46a3cbea97611400621516	cds_overlaps_fcs_region	EXCLUDE	FCS002734	166	166
5000870at2759	F610337	KAJ9097970.1	4acf98fc3b8bc9fe1e60b24b3143410f23e65190e9059ad622543861ad6066c5	6afb62152b514e7583777b6df6277d9c8263b0f3cdda7b02953c3d4305c3d6a5	cds_overlaps_fcs_region	EXCLUDE	FCS002744	707	705
5001318at2759	F610337	KAJ9100793.1	e9f7dadf3647eb5cbe3e2e8ad2076e5ddd35b23f4a414b804faa2a87722fae1a	90d35a4c732c8f4e4e84a587f9974e1b34c428e4f7fcf0aaf378392a9a27ca9f	cds_overlaps_fcs_region	EXCLUDE	FCS002735	310	77
5001413at2759	F610337	KAJ9096669.1	51a4963bcded76ecfe678082928bcdb6087d7345affb9d5491ab633f013b2fe0	58b58d186e177ac4e17c8d0fcfed7e0f4440135813ea2d540300455534da54db	cds_overlaps_fcs_region	EXCLUDE	FCS002750	251	251
5001473at2759	F610337	KAJ9101290.1	2a361b02e7b08b80de3a133f4cd2611ec05ee6edaabd1b916f644355e382b5e7	547ed21dbb2a7874858eef89bf11765b37d1008133329f1821528f7e182b7a22	cds_overlaps_fcs_region	EXCLUDE	FCS002734	81	79
5002573at2759	F610337	KAJ9113374.1	614b2e39e99b3ce81039a6c82d9301aecbf83c42f48f42b23909374094e4d7f1	6be860948826b24d22d83ae7de2b775a021c82e652f174f4e4056c0c4a130839	cds_overlaps_fcs_region	EXCLUDE	FCS002716	357	351
5003856at2759	F610337	KAJ9105684.1	96598d5c465c12ac568ee161ad775756d13265966f1f9f4a68fe7eb207433353	dd12ff9dd0e92a9dfb5de064c2dc4d22e906356c8c1876b77e382c5d9bee5e47	cds_overlaps_fcs_region	EXCLUDE	FCS002725	219	196
5003972at2759	F610337	KAJ9099438.1	9ddc94bbac17c360b296c0f8c8565944a9735594d2664fd6436a4798685f3605	abf9bc128e923023d83856b3d3db9aed804a91575fb6ed052ae428acb97e7f93	cds_overlaps_fcs_region	EXCLUDE	FCS002741	205	205
5004118at2759	F610337	KAJ9095121.1	0bb01bd56ef5475322bc9428a801fed9e45fb1d504cf51bc432f00f2dabdb3bb	618c3dbc1090dd4dadde194ecc3adc78c5ec8a2d91db1d3e2688563c9f7347bb	cds_overlaps_fcs_region	EXCLUDE	FCS002757	134	132
5005010at2759	F610337	KAJ9093008.1	0d8baa38bade08fb2ea25b30d912dec3dff6f30b5fe5bdc755062c614c324391	d59837575c42ed58ebbe55403711b4b5207a415b6ad8872abca523028b4187a0	cds_overlaps_fcs_region	EXCLUDE	FCS002765	92	92
5005196at2759	F610337	KAJ9099659.1	605580110701a799f209679ba5d65b98eacd3f6c0aa422913e9891ea0b3ebb77	f85af3405051f835c1505088a3562871ba76342739efc2957d60bc957a4f6cd2	cds_overlaps_fcs_region	EXCLUDE	FCS002739	371	371
5005215at2759	F610337	KAJ9104903.1	771cc6d012472b78a690efbcf46b9a9d249fe7b5bc7c5993d23da18c2c9ca6d8	6a9c4c8c4aa0df120057d578a02335da0f4e975dcb693f1a168d4de68c76fddd	cds_overlaps_fcs_region	EXCLUDE	FCS002726	243	238
5005274at2759	F610337	KAJ9095890.1	bb835b63c8279003546dfac037e83e2bc91aad589eb217cdd7e1d0447ee9c4ed	af0dd020314e322c13b439af70cb3321940c0663337f0a5bcfe80c242d72278b	cds_overlaps_fcs_region	EXCLUDE	FCS002754	233	227
5005697at2759	F610337	KAJ9101430.1	b558ff5bbe82c869a27f57c6c7cf151fa56ac34ce722cb7790e161fba43afbf8	03625d3799094371cfb1a76aa6db1754916caf0ed7e45c979a2666f82b019bbd	cds_overlaps_fcs_region	EXCLUDE	FCS002733	243	230
5005892at2759	F610337	KAJ9113323.1	104303b7ca336cf4a214a50fec1817b729393d88dcbf67310e4e24e6a6f8b279	7d3573990767e1b1faf2add307160f4a786503df1db453853b09792006de548d	cds_overlaps_fcs_region	EXCLUDE	FCS002716	302	284
5006326at2759	F610337	KAJ9095863.1	214edb1c3b769e81cdaf239c26583dd6030f632722b1eb48a943360626c3d48b	176acd9f7401bb2e1c63399911df79f33e04eb6e8b6756ae1ded822df322bd85	cds_overlaps_fcs_region	EXCLUDE	FCS002754	539	539
5011777at2759	F610337	KAJ9109395.1	42fbe7b5df36969c853f5feafed31bbeefc27710a42c8984e3f9afeb466bc413	819f1251705805192f7a67953c1d9024be644c4c7d617dc8704544e12cde6c23	cds_overlaps_fcs_region	EXCLUDE	FCS002721	656	443
5013259at2759	F610337	KAJ9104885.1	4797907a3aa6487b6a41c95dc0b76875341bc785d2dc425665a852c8a2ef294d	4d84b22765d986eaf72b8f908c3cb7bc8dd85b02461161026c66e6571d79b706	cds_overlaps_fcs_region	EXCLUDE	FCS002726	144	125
5013726at2759	F610337	KAJ9098415.1	23e7316be222644001c58e1421f8aec1549957eaa564fe0b932cff8b44dc4541	883b766db4ba4666840d777a1b3a2b07efaf8bc43d9033cd45b1838ec6c9f0d9	cds_overlaps_fcs_region	EXCLUDE	FCS002743	171	171
5014007at2759	F610337	KAJ9102108.1	316d43ae8b8f9f6cfe5928fdba0b8d1c606d465c9a3644c754431fda8371005c	cf18f47da93e0ac87dde1d4b44d28fb23e0f19f4e3799238a02fef1347a0917c	cds_overlaps_fcs_region	EXCLUDE	FCS002731	521	507
5015876at2759	F610337	KAJ9103434.1	1123b6dea82bd8bc7facdf016e06d83f69d2fc871439dcc3d571eb91f990e786	0954350fa795619a747092799c2af4d2738907ebdfcb71741ba18d7d7e49fa0e	cds_overlaps_fcs_region	EXCLUDE	FCS002728	325	318
540946at2759	F610337	KAJ9095431.1	799bc0b4dfc9db84f512a102e738775cdd1b6c5f928a3a2b813662b43ba5af6c	95e6401fb14050d9c79dc9553288ccd27140cd378ff84c61a31933e4ee788b92	cds_overlaps_fcs_region	EXCLUDE	FCS002756	403	396
727964at2759	F610337	KAJ9093270.1	14d55d11034afe1332f2bae337507fdd2ddfad2f55d069b94029ec44ed7d71cf	5544a44b7df3cc5dca4114a2719091a0dd325968d047b93c1c2653f5b5a6f28f	cds_overlaps_fcs_region	EXCLUDE	FCS002764	241	218
760428at2759	F610337	KAJ9105671.1	bd0aaac8cd6c14c7e4be2352f869ac5ef92c79884de70d9bf832f905c3f20033	e2f1ee79136eef11d0d87230817c651cc61e934c8b24537a416e95f259f6cfd0	cds_overlaps_fcs_region	EXCLUDE	FCS002725	338	329
776280at2759	F610337	KAJ9106482.1	eb6d143abd0b693f89a27887383451dab933ebae16026fa3e24e2a66173b4382	8f6364086a6d557801c3886944d188b1a5538a804c22cd479b23e0788eb42d44	cds_overlaps_fcs_region	EXCLUDE	FCS002724	261	261
207567at2759	F27376	CAG8521453.1	36ce6a6b26091785f11e6b46464949a4cffa8cb50ec75064ee6d402ec23cb2a6	e8aa252da01fe7ec993754d8e312279199ab9426c40fab51681892c639eb6df6	cds_overlaps_fcs_region	EXCLUDE	FCS001845	174	150
345792at2759	F27376	CAG8561170.1	457f7c49664fa718f46c4d16dcdbb821eae8c3909152dba64de2e185af04cf1b	3f0f6bf959450e0710175648d9bfee1b88c998b584d843aec5b286be1fbc014e	cds_overlaps_fcs_region	EXCLUDE	FCS001869	226	217
4813267at2759	F27376	CAG8686416.1	3547d9a73474db5e194a6145d801930581630294d7da67de9121686cfc04e6e0	9f570e043abf0d43b072e01febf04dd084ec28e036fa4aa540356c1495e4ca90	cds_overlaps_fcs_region	EXCLUDE	FCS002078	578	519
4970538at2759	F27376	CAG8598816.1	26ed46c9d169c6a1059c10f76ec28cc63e1a441bdbbe29c7f76c33e511e529a5	a22a64c6e173b99f06be7220b8427f6cad590b8e6e4598d07e7b1def7687d084	cds_overlaps_fcs_region	EXCLUDE	FCS001911	900	674
5001273at2759	F27376	CAG8562009.1	570ae2dc73e59f6f97a6423f9d3ab7507560983caa5f873055514d03dac0da1f	c5409fde4692507aabd3c2ddadade2f0bea1d409eb6609b123869517405207d0	cds_overlaps_fcs_region	EXCLUDE	FCS001871	229	227
5003856at2759	F27376	CAG8523324.1	dcf75d83fceba1388158293e7dc3ca37474b5b7a72c2f053f1fb3595d03fbe82	702acea1ef037085f79579dcf5cd868a26bafd2439b43cda61deb9e7c7c972d2	cds_overlaps_fcs_region	EXCLUDE	FCS001846	219	170
5006326at2759	F27376	CAG8475227.1	d3ec058017dab885ca435b2aba16b264228d484f37ad74e9888faa9a3274dac8	58e88f90a026078af2bfea3944d232e4344edb8c7480aba75d840271fec4f9e6	cds_overlaps_fcs_region	EXCLUDE	FCS001836	539	444
5015742at2759	F27376	CAG8681694.1	833083d82e9d346e2a382833979113084ffc4893796b76680141ab18cb1f6a02	647bc3f1fda5a35469deccc8b181a42c5b86edbb17a0e64634ca60338b973453	cds_overlaps_fcs_region	EXCLUDE	FCS002058	419	272
540946at2759	F27376	CAG8523990.1	9752af1286031246918030e87108948b32e87249fde1de51cc58f59649493a6f	73566d51fd9e59e9b9bb760bbf519da45b346b5fabcb5ce8a8de4ace2e26cf48	cds_overlaps_fcs_region	EXCLUDE	FCS001847	403	265
