marker	taxon_a	taxon_b	tree_taxa	tree_alignment_columns	observed_a	observed_b	geometry_matched_residues	fraction_of_tree_columns	same_model_coordinates	aa_path_distance	3di_af_path_distance	3di_af_empirical_path_distance	3di_llm_path_distance	aa_path_block30_p2_5	aa_path_block30_median	aa_path_block30_p97_5	3di_path_block30_p2_5	3di_path_block30_median	3di_path_block30_p97_5	estimable_block30_draws	ca_superposition_rmsd_angstrom	local_distance_pairs	local_distance_mean_absolute_change_angstrom	local_distance_rms_change_angstrom	uncorrected_aa_difference	uncorrected_3di_difference	pae10_local_pairs	pae10_local_retained_fraction	pae10_local_mean_absolute_change_angstrom
115730at2759	F1220207	F162425	8	230	224	223	223	0.9695652173913043	False	0.054061276500000005	0.0934804526	0.1004983877	0.08817940610000001	0.03467509412250001	0.0572503087	0.08297744215250001	0.051345700665	0.09222217325	0.140132176105	200	0.47680298087003736	3878	0.07268460793187725	0.2085871888278196	0.04932735426008968	0.07623318385650224	3875	0.9992264053635895	0.07247095636277603
115730at2759	F1220207	F1690604	8	230	224	227	224	0.9739130434782609	False	0.32205799690000003	0.14450493360000002	0.1428756733	0.1339720745	0.2593043684675	0.32493356129999995	0.39479392212500003	0.0650406108075	0.13854501840000003	0.1953367039475	200	0.6189343813099836	3935	0.1361745812849948	0.3840773365996953	0.17410714285714285	0.08482142857142858	3932	0.9992376111817026	0.1359290316945157
115730at2759	F1220207	F236234	8	230	224	221	221	0.9608695652173913	False	0.1907615022	0.193913928	0.2030862961	0.1794241208	0.13253555452750002	0.1908087588	0.25055927936500005	0.0957027429725	0.19366993145	0.27153600933	200	0.8438063297966981	3874	0.11001073515829417	0.3061977595548886	0.13574660633484162	0.07692307692307693	3874	1.0	0.11001073515829417
115730at2759	F1220207	F4754	8	230	224	227	221	0.9608695652173913	False	0.4538795576	0.20019832129999998	0.2130278668	0.18831394610000002	0.336741953015	0.4529394347	0.58547274517	0.09663827689750001	0.19307856275	0.32070703919	200	1.1453610872655924	3860	0.15137109560622702	0.37592914589645093	0.2579185520361991	0.09502262443438914	3860	1.0	0.15137109560622702
115730at2759	F1220207	F48691	8	230	224	227	221	0.9608695652173913	False	0.4802274345	0.1641251072	0.18944286359999998	0.1512599676	0.3323104822225	0.4893908803	0.6164746147774999	0.09692600199000001	0.1676722297	0.24712173972749998	200	0.7187199193607772	3864	0.14901000266796866	0.3194847751293989	0.25339366515837103	0.09502262443438914	3864	1.0	0.14901000266796866
115730at2759	F1220207	F4918	8	230	224	220	219	0.9521739130434783	False	0.47578292580000003	0.1980894451	0.21743180909999998	0.18574985030000002	0.3385656709625	0.47901033584999997	0.6209828402475001	0.106972293855	0.19351579325	0.29702178135	200	0.674865853899468	3864	0.17021973387122977	0.42961817030704125	0.2420091324200913	0.0958904109589041	3864	1.0	0.17021973387122977
115730at2759	F1220207	F703497	8	230	224	224	224	0.9739130434782609	False	0.3070495126	0.1171170499	0.1298934893	0.10987794520000001	0.22467961012	0.3039556606	0.38554016403999997	0.0679136015375	0.11529477604999999	0.17421676027250005	200	1.0380522257005442	3928	0.11528187336906334	0.2991251817164332	0.20535714285714285	0.09375	3925	0.9992362525458248	0.11518627358554998
115730at2759	F162425	F1690604	8	230	223	227	223	0.9695652173913043	False	0.26800085260000006	0.0868102866	0.0864362982	0.08133901439999999	0.211676314745	0.2682860006	0.3387899419275	0.045542104327500006	0.08156483485	0.124755903685	200	0.6627621783325044	3908	0.14047698757783003	0.41673439642390275	0.17040358744394618	0.053811659192825115	3906	0.9994882292732856	0.14048948815211687
115730at2759	F162425	F236234	8	230	223	221	221	0.9608695652173913	False	0.13670435790000002	0.136219281	0.146646921	0.1267910607	0.0878629838775	0.13858622495	0.18510859324250004	0.0736220294925	0.13796875515	0.194844548965	200	0.6723483531161398	3872	0.12607240705521744	0.36095131849810597	0.09954751131221719	0.10407239819004525	3872	1.0	0.12607240705521744
115730at2759	F162425	F4754	8	230	223	227	220	0.9565217391304348	False	0.3998224133	0.1425036743	0.1565884917	0.135680886	0.2951036708625	0.40413438415	0.53221217605	0.058331526929999995	0.14047602520000002	0.2511302111	200	1.0831382765426554	3837	0.12345868799619442	0.31655470770341115	0.22727272727272727	0.08636363636363636	3837	1.0	0.12345868799619442
