case_id	translation_table	taxa	codons	branches	reported_log_likelihood	reevaluated_log_likelihood	likelihood_difference	reported_omega	saved_omega	omega_profile_lower	omega_profile_upper	maximum_component_additivity_error	numerical_review_flags	warning_lines	marker_copy_caveat	selection_eligibility
Amanita__115730at2759__code1	1	5	326	7	-3354.381071782141	-3354.381071782141	0.0	0.05004361417270016	0.05004361417270016	0.04194086671965942	0.05917550119314696	3.7470027081099033e-16		0	none_recorded	not_established
Amanita__129234at2759__code1	1	7	191	11	-2495.641960305052	-2495.6419603050517	4.547473508864641e-13	0.04526226513847614	0.04526226513847614	0.03715480607648431	0.05430797945413889	2e-10		0	none_recorded	not_established
Amanita__160487at2759__code1	1	6	878	9	-9593.365482360552	-9593.365482360552	0.0	0.03730221533221378	0.03730221533221378	0.03310592271640868	0.04177082131414039	2.5326962749261384e-16		0	none_recorded	not_established
Amanita__201273at2759__code1	1	6	242	9	-2420.74266911611	-2420.7426691161104	-4.547473508864641e-13	0.02556380894617261	0.02556380894617261	0.01899572194284349	0.0335610068287899	1.1102230246251565e-16		0	none_recorded	not_established
Amanita__207567at2759__code1	1	7	180	11	-2046.811971348688	-2046.8119713486878	2.2737367544323206e-13	0.04124871040849983	0.04124871040849983	0.0317703661803034	0.05227605828344621	2.6020852139652106e-16		0	none_recorded	not_established
Amanita__260326at2759__code1	1	6	170	9	-1648.659452053512	-1648.6594520535125	-4.547473508864641e-13	0.00883887787413003	0.00883887787413003	0.005350821550618226	0.01357841938880547	2e-10		0	none_recorded	not_established
Amanita__2852757at2759__code1	1	5	474	7	-5182.670147004023	-5182.670147004023	0.0	0.06350694167527605	0.06350694167527605	0.05573294706275438	0.07192265956711594	6.591949208711867e-16		0	none_recorded	not_established
Amanita__288615at2759__code1	1	7	635	11	-8547.61829331915	-8547.61829331915	0.0	0.05826734377837156	0.05826734377837156	0.05247363128791386	0.06424325142325948	1.942890293094024e-16		0	none_recorded	not_established
Amanita__319730at2759__code1	1	7	435	11	-5233.820517932671	-5233.820517932671	0.0	0.05488349788894481	0.05488349788894481	0.04762910417421647	0.06265698889177049	1.9081958235744878e-16		0	none_recorded	not_established
Amanita__340246at2759__code1	1	4	626	5	-6195.102077695942	-6195.102077695942	0.0	0.09802131962188383	0.09802131962188383	0.08826658209076636	0.1085473506500314	4.0245584642661925e-16		0	none_recorded	not_established
Amanita__345792at2759__code1	1	6	257	9	-2722.270484662009	-2722.2704846620086	4.547473508864641e-13	0.03947559828848215	0.03947559828848215	0.03128066395764489	0.04899343973294244	2.3245294578089215e-16		0	none_recorded	not_established
Amanita__352891at2759__code1	1	7	247	11	-3117.531511175391	-3117.531511175391	0.0	0.05434025701019848	0.05434025701019848	0.04506808062591483	0.06475748043694327	1.8041124150158794e-16		0	none_recorded	not_established
Amanita__4613677at2759__code1	1	7	105	11	-1550.796507508325	-1550.7965075083248	2.2737367544323206e-13	0.1030943193715717	0.1030943193715717	0.0844528749975865	0.1244225975172593	6.106226635438361e-16		0	none_recorded	not_established
Amanita__4695236at2759__code1	1	7	1071	11	-14350.89130311414	-14350.891303114144	-3.637978807091713e-12	0.07971149016513229	0.07971149016513229	0.07415306456073373	0.08552892508148253	1.249000902703301e-16		0	none_recorded	not_established
Amanita__4747214at2759__code1	1	7	144	11	-1620.756896316702	-1620.756896316702	0.0	0.02852495646723442	0.02852495646723442	0.02077967333029634	0.03795320237030337	1.249000902703301e-16		0	none_recorded	not_established
Amanita__4764044at2759__code1	1	7	488	11	-7039.60839020702	-7039.6083902070195	9.094947017729282e-13	0.1063397976077744	0.1063397976077744	0.09661999574960262	0.1166146985989391	2.706168622523819e-16		0	none_recorded	not_established
Amanita__4803900at2759__code1	1	7	123	11	-1485.85880702583	-1485.8588070258297	2.2737367544323206e-13	0.05133039394668418	0.05133039394668418	0.03924498479522134	0.06565892681377983	1.491862189340054e-16		0	none_recorded	not_established
Amanita__4810093at2759__code1	1	7	771	11	-10866.88282041092	-10866.882820410914	5.4569682106375694e-12	0.0838282324202236	0.0838282324202236	0.07727046044030902	0.09045211016163941	2.498001805406602e-16		0	none_recorded	not_established
Amanita__4813267at2759__code1	1	6	823	9	-9187.818776738166	-9187.818776738166	0.0	0.0430175078320383	0.0430175078320383	0.03854894050720848	0.04791980178339705	3.191891195797325e-16		0	none_recorded	not_established
Amanita__4823929at2759__code1	1	7	435	11	-5779.759757370467	-5779.759757370467	0.0	0.0736887344779505	0.0736887344779505	0.06518683869199283	0.08276476943693423	2.42861286636753e-16		0	none_recorded	not_established
Amanita__4837017at2759__code1	1	7	226	11	-3039.425244336986	-3039.425244336986	0.0	0.09605407678788237	0.09605407678788237	0.08259718055529174	0.1111707292884179	2.5673907444456745e-16		0	none_recorded	not_established
Amanita__4838864at2759__code1	1	6	642	9	-7934.91017764259	-7934.9101776425905	-9.094947017729282e-13	0.07702456388165002	0.07702456388165002	0.069899530796428	0.08466045709001169	1.5612511283791264e-16		0	none_recorded	not_established
Amanita__4843240at2759__code1	1	4	645	5	-6004.001282125585	-6004.001282125585	0.0	0.05666315509168993	0.05666315509168993	0.05006043157022892	0.06388054175486431	3.920475055707584e-16		0	none_recorded	not_established
Amanita__4867008at2759__code1	1	5	179	7	-2204.869329920491	-2204.869329920491	0.0	0.07744252999188762	0.07744252999188762	0.06586347199332525	0.09116611951695136	2e-10		0	none_recorded	not_established
Amanita__4888252at2759__code1	1	5	908	7	-10993.62039240113	-10993.62039240113	0.0	0.07514260921846429	0.07514260921846429	0.06969702523287911	0.08095235772915574	4.440892098500626e-16		0	none_recorded	not_established
Amanita__4896098at2759__code1	1	7	183	11	-2234.451848830628	-2234.451848830628	0.0	0.03625743461124854	0.03625743461124854	0.02847866436819317	0.04522391669533628	1.942890293094024e-16		0	none_recorded	not_established
Amanita__4900375at2759__code1	1	7	191	11	-2762.24695807432	-2762.2469580743204	-4.547473508864641e-13	0.05571460394587364	0.05571460394587364	0.0474815559959368	0.06536835229643126	1.9999999898856665e-10		0	none_recorded	not_established
Amanita__4908955at2759__code1	1	5	325	7	-3232.813494868198	-3232.8134948681977	4.547473508864641e-13	0.04358510334564994	0.04358510334564994	0.03655915221716964	0.05151533380083204	2.42861286636753e-16		0	none_recorded	not_established
Amanita__4911644at2759__code1	1	5	911	7	-9324.503611830496	-9324.503611830496	0.0	0.04472543485752793	0.04472543485752793	0.03994135236221411	0.04973254657613124	2.914335439641036e-16		0	none_recorded	not_established
Amanita__4940884at2759__code1	1	6	910	9	-9614.651350528058	-9614.651350528058	0.0	0.03136235089527808	0.03136235089527808	0.02761114769133645	0.03538774945935184	1.9255430583342559e-16		0	none_recorded	not_established
Amanita__4969018at2759__code1	1	7	458	11	-5847.799433577495	-5847.799433577495	0.0	0.0517628924830504	0.0517628924830504	0.04543316522323589	0.05855311289045809	2.3592239273284576e-16		0	none_recorded	not_established
Amanita__4969636at2759__code1	1	6	381	9	-5047.266963623246	-5047.266963623246	0.0	0.07419717823590698	0.07419717823590698	0.06608841099094653	0.08289375678538137	1.6653345369377348e-16		0	none_recorded	not_established
Amanita__4969990at2759__code1	1	6	352	9	-3909.523893461558	-3909.523893461558	0.0	0.03946561006467782	0.03946561006467782	0.03304889499789282	0.04659806571032078	2.8102520310824275e-16		0	none_recorded	not_established
Amanita__4970387at2759__code1	1	7	148	11	-2035.211161020285	-2035.211161020285	0.0	0.08714218349071202	0.08714218349071202	0.07270591784561123	0.1032823607732258	2e-10		0	none_recorded	not_established
Amanita__4970538at2759__code1	1	6	948	9	-12407.92833093628	-12407.928330936276	3.637978807091713e-12	0.08469488039529022	0.08469488039529022	0.07863152603879922	0.09089990120169827	1.942890293094024e-16		0	none_recorded	not_established
Amanita__4971272at2759__code1	1	7	437	11	-5418.66869868021	-5418.66869868021	0.0	0.05006173136969007	0.05006173136969007	0.04344440421964018	0.05739045301473817	2.0122792321330962e-16		0	none_recorded	not_established
Amanita__4974767at2759__code1	1	7	146	11	-1594.835197254765	-1594.8351972547653	-2.2737367544323206e-13	0.02587545090584276	0.02587545090584276	0.01824436112272542	0.03553346222046541	1.942890293094024e-16		0	none_recorded	not_established
Amanita__4975094at2759__code1	1	6	986	9	-11231.12031784869	-11231.120317848687	3.637978807091713e-12	0.06029745870386256	0.06029745870386256	0.05501762712002409	0.06573321849841032	2.2898349882893854e-16		0	none_recorded	not_established
Amanita__4976279at2759__code1	1	7	376	11	-5909.812838326891	-5909.812838326891	0.0	0.1012139945713159	0.1012139945713159	0.09200393397994952	0.1108061654716141	2.636779683484747e-16		0	none_recorded	not_established
Amanita__4977163at2759__code1	1	6	182	9	-2405.966495370715	-2405.966495370715	0.0	0.09496485899265876	0.09496485899265876	0.08051916467280892	0.1106664877613589	1.5265566588595902e-16		0	none_recorded	not_established
Amanita__4977863at2759__code1	1	6	575	9	-7535.991677168042	-7535.991677168042	0.0	0.1046324407520932	0.1046324407520932	0.09564344535802932	0.114001224612909	2.914335439641036e-16		0	none_recorded	not_established
