marker	single_copy_taxa	taxa_with_exact_sequence_structure
115730at2759	481	1
129234at2759	472	1
160487at2759	487	2
201273at2759	478	2
207567at2759	478	1
260326at2759	488	1
2852757at2759	477	1
288615at2759	504	1
319730at2759	491	1
340246at2759	468	1
345792at2759	482	1
352891at2759	472	1
3643464at2759	462	1
4613677at2759	478	1
4695236at2759	486	1
4747214at2759	480	1
4764044at2759	475	1
4803900at2759	418	1
4810093at2759	452	1
4813267at2759	486	2
4823929at2759	492	2
4837017at2759	489	1
4838864at2759	486	1
4843240at2759	476	1
4843824at2759	432	1
4867008at2759	476	1
4888252at2759	471	2
4896098at2759	463	1
4900375at2759	496	2
4908955at2759	499	1
4911644at2759	479	2
4940884at2759	460	1
4969018at2759	488	2
4969636at2759	480	1
4969990at2759	483	1
4970387at2759	444	1
4970538at2759	485	1
4971272at2759	473	1
4974767at2759	465	1
4975094at2759	477	1
4976279at2759	464	1
4977163at2759	470	1
4977863at2759	482	1
4983000at2759	486	1
4985971at2759	492	1
4986044at2759	495	1
4987397at2759	480	2
4988239at2759	480	2
4999134at2759	476	0
5000045at2759	482	1
5000152at2759	486	1
5000362at2759	475	1
5000371at2759	465	1
5000452at2759	462	1
5000476at2759	479	1
5000743at2759	493	1
5000823at2759	470	2
5000870at2759	486	2
5000986at2759	472	1
5001156at2759	478	2
5001273at2759	454	1
5001280at2759	496	1
5001318at2759	474	0
5001413at2759	491	2
5001473at2759	495	1
5001660at2759	484	1
5001734at2759	476	0
5001941at2759	451	1
5002334at2759	466	1
5002573at2759	480	2
5003022at2759	471	1
5003192at2759	469	1
5003205at2759	499	0
5003856at2759	490	1
5003972at2759	481	2
5004118at2759	481	2
5004265at2759	489	2
5004327at2759	473	1
5004391at2759	478	1
5004478at2759	482	1
5004599at2759	484	1
5005010at2759	476	1
5005174at2759	477	1
5005196at2759	476	1
5005215at2759	494	2
5005217at2759	483	1
5005274at2759	482	1
5005697at2759	504	1
5005750at2759	474	1
5005892at2759	480	2
5006326at2759	486	1
5006412at2759	479	1
5011777at2759	502	1
5013042at2759	436	0
5013067at2759	473	2
5013259at2759	500	1
5013539at2759	489	1
5013726at2759	475	1
5013738at2759	487	1
5013992at2759	488	2
5014007at2759	474	2
5015403at2759	480	1
5015647at2759	480	2
5015712at2759	472	1
5015742at2759	466	1
5015876at2759	498	1
5017019at2759	480	1
5018803at2759	489	1
529759at2759	490	2
530014at2759	485	2
530740at2759	466	1
538728at2759	484	1
538952at2759	469	1
539632at2759	488	2
540946at2759	478	1
541070at2759	477	1
554735at2759	459	1
649304at2759	480	2
707076at2759	492	1
707202at2759	492	1
727964at2759	473	1
730114at2759	480	2
760428at2759	481	2
776280at2759	502	1
801816at2759	478	2
