representative_input_id	member_input_id	approximate_status	exact_status	forward_exact_passes	reverse_exact_passes	any_exact_score_out_of_bounds
M000024	M002395	both_directions_pass	both_directions_pass	True	True	False
M000055	M000289	both_directions_pass	both_directions_pass	True	True	False
M000055	M000451	both_directions_pass	both_directions_pass	True	True	False
M000055	M000581	both_directions_pass	both_directions_pass	True	True	False
M000055	M001005	both_directions_pass	both_directions_pass	True	True	False
M000055	M001215	both_directions_pass	both_directions_pass	True	True	False
M000055	M001411	both_directions_pass	both_directions_pass	True	True	False
M000055	M001503	both_directions_pass	both_directions_pass	True	True	False
M000055	M001724	both_directions_pass	both_directions_pass	True	True	False
M000055	M001773	both_directions_pass	both_directions_pass	True	True	False
M000055	M001908	both_directions_pass	both_directions_pass	True	True	False
M000055	M002041	both_directions_pass	both_directions_pass	True	True	False
M000055	M002142	both_directions_pass	both_directions_pass	True	True	False
M000055	M002236	both_directions_pass	both_directions_pass	True	True	False
M000055	M002459	both_directions_pass	both_directions_pass	True	True	False
M000055	M002671	both_directions_pass	both_directions_pass	True	True	False
M000055	M002769	both_directions_pass	both_directions_pass	True	True	False
M000055	M003211	both_directions_pass	both_directions_pass	True	True	False
M000055	M003324	both_directions_pass	both_directions_pass	True	True	False
M000055	M003416	both_directions_pass	both_directions_pass	True	True	False
M000055	M003635	both_directions_pass	both_directions_pass	True	True	False
M000055	M003721	both_directions_pass	both_directions_pass	True	True	False
M000055	M003874	both_directions_pass	both_directions_pass	True	True	False
M000055	M003987	both_directions_pass	both_directions_pass	True	True	False
M000055	M004215	both_directions_pass	both_directions_pass	True	True	False
M000055	M004358	both_directions_pass	both_directions_pass	True	True	False
M000055	M004412	both_directions_pass	both_directions_pass	True	True	False
M000055	M004620	both_directions_pass	both_directions_pass	True	True	False
M000055	M004649	both_directions_pass	both_directions_pass	True	True	False
M000055	M004858	both_directions_pass	both_directions_pass	True	True	False
M000055	M004978	both_directions_pass	both_directions_pass	True	True	False
M000055	M005046	both_directions_pass	both_directions_pass	True	True	False
M000055	M005195	both_directions_pass	both_directions_pass	True	True	False
M000055	M005286	both_directions_pass	both_directions_pass	True	True	False
M000055	M005409	both_directions_pass	both_directions_pass	True	True	False
M000055	M005621	both_directions_pass	both_directions_pass	True	True	False
M000055	M005792	both_directions_pass	both_directions_pass	True	True	False
M000055	M005850	both_directions_pass	both_directions_pass	True	True	False
M000055	M005879	both_directions_pass	both_directions_pass	True	True	False
M000055	M006100	both_directions_pass	both_directions_pass	True	True	False
M000055	M006111	both_directions_pass	both_directions_pass	True	True	False
M000055	M006248	both_directions_pass	both_directions_pass	True	True	False
M000055	M006541	both_directions_pass	both_directions_pass	True	True	False
M000055	M006553	both_directions_pass	both_directions_pass	True	True	False
M000055	M006590	both_directions_pass	both_directions_pass	True	True	False
M000055	M006650	both_directions_pass	both_directions_pass	True	True	False
M000055	M006908	both_directions_pass	both_directions_pass	True	True	False
