taxon_id	species_name	selected_assembly_accession	selected_biosample	selected_bioproject	selected_wgs_master	selected_infraspecific_name	source_excel_row	source_strain	source_biosample	source_bioproject	source_wgs_master	biosample_equal	wgs_project_equal_ignoring_version	bioproject_equal	status	scope
F89243	Laccaria amethystina	GCA_000827195.2	SAMN00794413	PRJNA196025	JMSL00000000.2	strain=LaAM-08-1									no_unique_published_sample_identifier	Same sample/project identifiers do not prove identical assembly sequence, annotation, taxonomic concept or experimental phenotype validation.
F29883	Laccaria bicolor	GCF_000143565.1	SAMN02769624	PRJNA29019	ABFE00000000.1	strain=S238N-H82									no_unique_published_sample_identifier	Same sample/project identifiers do not prove identical assembly sequence, annotation, taxonomic concept or experimental phenotype validation.
F235537	Amanita thiersii	GCA_002554575.1	SAMN00783882	PRJNA82749	JDWF00000000.1	strain=SKay4041									no_unique_published_sample_identifier	Same sample/project identifiers do not prove identical assembly sequence, annotation, taxonomic concept or experimental phenotype validation.
F71933	Amanita rubescens	GCA_015039365.1	SAMN12811777	PRJNA572471	WION00000000.1	strain=Prilba	7	Přilba	SAMN12811777	PRJNA572471	WION00000000	True	True	True	same_biosample_and_wgs_project	Same sample/project identifiers do not prove identical assembly sequence, annotation, taxonomic concept or experimental phenotype validation.
F41956	Amanita muscaria	GCA_054369615.1	SAMN17674610	PRJNA697207	JBTLHQ000000000.1	strain=2016PMI152									no_unique_published_sample_identifier	Same sample/project identifiers do not prove identical assembly sequence, annotation, taxonomic concept or experimental phenotype validation.
F48565	Suillus brevipes	GCA_011800875.2	SAMN02745872	PRJNA218802	JRHT00000000.2	strain=Sb2									no_unique_published_sample_identifier	Same sample/project identifiers do not prove identical assembly sequence, annotation, taxonomic concept or experimental phenotype validation.
F80663	Piloderma croceum	GCA_000827315.1	SAMN00738176	PRJNA61203	JMDN00000000.1	strain=F 1598									no_unique_published_sample_identifier	Same sample/project identifiers do not prove identical assembly sequence, annotation, taxonomic concept or experimental phenotype validation.
F38799	Neolentinus lepideus	GCA_001632425.1	SAMN02745928	PRJNA196054	LNCL00000000.1	strain=HHB14362 ss-1									no_unique_published_sample_identifier	Same sample/project identifiers do not prove identical assembly sequence, annotation, taxonomic concept or experimental phenotype validation.
F202697	Jaapia argillacea	GCA_000697665.1	SAMN00771373	PRJNA207685	AYUL00000000.1	strain=MUCL 33604									no_unique_published_sample_identifier	Same sample/project identifiers do not prove identical assembly sequence, annotation, taxonomic concept or experimental phenotype validation.
F202698	Punctularia strigosozonata	GCF_000264995.1	SAMN00632096	PRJNA242546	AEGM00000000.1	strain=HHB-11173 SS5									no_unique_published_sample_identifier	Same sample/project identifiers do not prove identical assembly sequence, annotation, taxonomic concept or experimental phenotype validation.
F56493	Thelephora terrestris	GCA_015956445.1	SAMN05920947	PRJNA346452	WIUZ00000000.2	strain=UH-Tt-Lm1	29	UH-Tt-Lm1	SAMN05920947	PRJNA346452	WIUZ00000000	True	True	True	same_biosample_and_wgs_project	Same sample/project identifiers do not prove identical assembly sequence, annotation, taxonomic concept or experimental phenotype validation.
F370292	Thelephora ganbajun	GCA_014904855.1	SAMN05445929	PRJNA332932	WHVG00000000.1	strain=P2	28	P2	SAMN05445929	PRJNA332932	WHVG00000000	True	True	True	same_biosample_and_wgs_project	Same sample/project identifiers do not prove identical assembly sequence, annotation, taxonomic concept or experimental phenotype validation.
F113071	Ramaria rubella	GCA_015039355.1	SAMN02745027	PRJNA196021	WIQE00000000.1	strain=UT-36052-T	24	UT-36052-T	SAMN02745027	PRJNA196021	WIQE00000000	True	True	True	same_biosample_and_wgs_project	Same sample/project identifiers do not prove identical assembly sequence, annotation, taxonomic concept or experimental phenotype validation.
