marker	fit	taxa	columns	log_likelihood	gamma_alpha	total_branch_length	branches	branches_le_1e_minus5	branches_ge_10	warning_count	elapsed_seconds
115730at2759	aa	15	209	-1739.107	0.4862	1.5888875184000002	27	4	0	0	39.50289629702456
115730at2759	3di_af	15	209	-1266.2266	0.2732	1.0822158168000002	27	6	0	2	0.11749247508123517
115730at2759	3di_af_empirical	15	209	-1224.8722	0.2817	1.1988411220000001	27	5	0	2	0.0950950519181788
115730at2759	3di_llm	15	209	-1260.6449	0.2803	0.9769867788	27	6	0	2	0.11538975988514721
129234at2759	aa	154	166	-11033.5142	0.894	19.369207028399984	305	29	0	2	1892.0319066077936
129234at2759	3di_af	154	166	-9609.124	0.731	18.1586159262	305	45	0	2	2.041724269045517
129234at2759	3di_af_empirical	154	166	-9627.3136	0.6815	15.980755257400004	305	47	0	2	2.447003492154181
129234at2759	3di_llm	154	166	-9703.2542	0.7232	12.262952619000004	305	45	0	2	4.236990267178044
201273at2759	aa	71	111	-2308.8015	0.9376	4.830116407500002	139	34	0	1	439.5979687848594
201273at2759	3di_af	71	111	-1185.0172	0.2363	4.149730357599999	139	69	0	2	0.3676919180434197
201273at2759	3di_af_empirical	71	111	-1141.0952	0.2583	4.317009019900001	139	71	0	2	0.5262556450907141
201273at2759	3di_llm	71	111	-1206.8287	0.2278	3.5539077314000016	139	70	0	2	0.3792647370137274
207567at2759	aa	134	171	-9221.2636	0.8604	16.121868953099995	265	23	0	2	1796.7984324221034
207567at2759	3di_af	134	171	-8466.7307	0.6555	13.348869303699999	265	44	0	2	1.6656617431435734
207567at2759	3di_af_empirical	134	171	-8455.8031	0.6225	18.5543576684	265	43	0	2	2.158498083939776
207567at2759	3di_llm	134	171	-8573.8283	0.6408	11.580240494899993	265	44	0	2	2.603477652883157
260326at2759	aa	135	151	-12753.2794	1.0397	23.661873367699997	267	35	0	2	2380.1673953281716
260326at2759	3di_af	135	151	-8950.541	0.5606	17.935088334000003	267	42	0	2	1.7844483158551157
260326at2759	3di_af_empirical	135	151	-9207.6683	0.6313	20.439904065899995	267	44	0	2	1.9748747749254107
260326at2759	3di_llm	135	151	-8917.709	0.5506	15.148717047999988	267	41	0	2	1.9654190998990089
319730at2759	aa	10	400	-4141.7332	0.7686	2.2273697216	17	4	0	1	31.850832047872245
319730at2759	3di_af	10	400	-2345.7517	0.2848	0.6766936013	17	4	0	1	0.08186358190141618
319730at2759	3di_af_empirical	10	400	-2309.8676	0.2808	0.7200081405000001	17	4	0	1	0.06663142703473568
319730at2759	3di_llm	10	400	-2398.3672	0.2898	0.6264025318	17	4	0	1	0.08182072709314525
345792at2759	aa	42	226	-4436.9903	0.3975	6.2768354343	81	3	0	1	214.9965436682105
345792at2759	3di_af	42	226	-3932.7139	0.4463	5.2092573274000005	81	11	0	2	0.46588439610786736
345792at2759	3di_af_empirical	42	226	-3959.2928	0.4321	5.6228299939	81	11	0	2	0.35096242814324796
345792at2759	3di_llm	42	226	-3990.0625	0.4435	5.468869008699999	81	11	0	2	0.4516968170646578
352891at2759	aa	95	240	-13849.4226	0.8305	14.158177116700006	187	8	0	1	1017.5006030511577
352891at2759	3di_af	95	240	-7418.239	0.4808	11.317874661499996	187	32	0	1	1.1122232200577855
352891at2759	3di_af_empirical	95	240	-7438.8286	0.4697	11.723090086599994	187	33	0	1	1.1379484380595386
352891at2759	3di_llm	95	240	-7473.4082	0.4898	9.677148099100002	187	34	0	1	1.0796621600165963
4613677at2759	aa	140	73	-6172.4063	1.0177	21.20869823040002	277	33	0	2	1277.5029918442015
4613677at2759	3di_af	140	73	-1752.3373	0.2744	8.7884334095	277	128	0	2	0.867513881996274
4613677at2759	3di_af_empirical	140	73	-1680.3915	0.2919	12.804943864399997	277	124	0	2	0.4890718620736152
4613677at2759	3di_llm	140	73	-1731.2544	0.2692	8.209774294300002	277	127	0	2	0.7886374171357602
4747214at2759	aa	118	111	-8038.689	0.8256	36.86095900109999	233	16	0	2	1819.7855567811057
4747214at2759	3di_af	118	111	-4019.6947	0.6272	17.429777230499987	233	52	0	3	1.7467386750504375
4747214at2759	3di_af_empirical	118	111	-3995.8165	0.5327	25.79804785839997	233	53	0	3	1.12005185498856
4747214at2759	3di_llm	118	111	-4045.4472	0.6615	15.192731919400003	233	50	0	3	1.8477319472003728
4803900at2759	aa	137	101	-10541.8344	1.0427	30.451698113399992	271	18	0	1	1014.6083322281484
4803900at2759	3di_af	137	101	-3741.1531	0.5182	14.898116330599986	271	83	0	2	1.214190173894167
4803900at2759	3di_af_empirical	137	101	-3678.0115	0.5243	13.050353133799993	271	81	0	2	1.1468147349078208
4803900at2759	3di_llm	137	101	-3762.712	0.5117	13.330349361399994	271	83	0	2	1.2378862160257995
4823929at2759	aa	12	409	-6448.2998	2.3964	6.0747319356	21	0	0	0	53.6959609198384
4823929at2759	3di_af	12	409	-4252.9954	0.8255	2.3199804399	21	0	0	0	0.15061762207187712
4823929at2759	3di_af_empirical	12	409	-4197.1056	0.8532	2.3397876524000005	21	0	0	0	0.1543286789674312
4823929at2759	3di_llm	12	409	-4360.8249	0.8585	2.0918338788	21	0	0	0	0.14716641185805202
4837017at2759	aa	146	196	-26916.7524	1.4789	43.12776793069998	289	7	0	1	1512.8337965770625
4837017at2759	3di_af	146	196	-14503.9835	0.787	29.705811550999993	289	27	0	2	2.5257785790599883
4837017at2759	3di_af_empirical	146	196	-14520.0066	0.8281	33.71981705420001	289	25	0	2	1.6015410390682518
4837017at2759	3di_llm	146	196	-14555.7142	0.7375	19.710197149399995	289	21	0	2	2.811350865988061
4843824at2759	aa	124	196	-21822.8292	1.2132	39.47569627370002	245	6	0	1	1402.1895206971094
4843824at2759	3di_af	124	196	-10242.9624	0.7574	13.472004602300009	245	25	0	1	3.739680123049766
4843824at2759	3di_af_empirical	124	196	-10274.6261	0.7423	19.12654440110001	245	31	0	1	3.0128846811130643
4843824at2759	3di_llm	124	196	-10278.3134	0.7771	13.682105214400009	245	21	0	1	3.536900100996718
4867008at2759	aa	133	177	-16395.188	0.9401	22.826391396199995	263	10	0	2	1269.3957712419797
4867008at2759	3di_af	133	177	-13575.2704	0.7339	15.814777025900009	263	18	0	2	2.5022785619366914
4867008at2759	3di_af_empirical	133	177	-13625.8241	0.8162	23.731619857200023	263	20	0	2	2.052791131194681
4867008at2759	3di_llm	133	177	-13640.4107	0.7406	29.3086430943	263	15	0	2	4.020401244983077
4896098at2759	aa	116	149	-7836.6786	0.6045	17.2713178164	229	19	0	1	1138.0037937010638
4896098at2759	3di_af	116	149	-4307.8267	0.3416	9.526717497499995	229	59	0	1	1.2442791620269418
4896098at2759	3di_af_empirical	116	149	-4225.7055	0.3628	9.2004912281	229	56	0	1	1.1676846828777343
4896098at2759	3di_llm	116	149	-4357.8591	0.3928	11.589404377700005	229	56	0	1	1.030148559017107
4900375at2759	aa	138	169	-21861.5407	1.1109	48.12953008239996	273	11	0	3	1594.7949450730812
4900375at2759	3di_af	138	169	-9773.3429	0.6923	22.988580031700018	273	40	0	3	2.8157559849787503
4900375at2759	3di_af_empirical	138	169	-9799.3434	0.5881	27.245632627100004	273	39	0	3	2.483120245859027
4900375at2759	3di_llm	138	169	-9759.814	0.7012	20.676602442199997	273	38	0	3	3.5251599550247192
4908955at2759	aa	24	275	-4677.8661	0.6466	11.436145390000004	45	0	0	1	152.54941197903827
4908955at2759	3di_af	24	275	-2678.657	0.6709	3.442331054800001	45	5	0	2	0.2570702179800719
4908955at2759	3di_af_empirical	24	275	-2683.6461	0.6917	3.472645101999999	45	7	0	2	0.3314520330168307
4908955at2759	3di_llm	24	275	-2684.8042	0.6781	3.2972482175999995	45	7	0	2	0.3212396879680455
4969018at2759	aa	8	336	-2201.7505	0.4078	1.0251974177	13	0	0	0	18.031493720132858
4969018at2759	3di_af	8	336	-1779.6839	0.2072	0.5319966125	13	1	0	1	0.05049892491661012
4969018at2759	3di_af_empirical	8	336	-1749.6132	0.187	0.5626083855	13	1	0	1	0.051399999065324664
4969018at2759	3di_llm	8	336	-1832.7133	0.2147	0.48591351239999997	13	1	0	1	0.05951020494103432
4969636at2759	aa	13	291	-3221.9593	0.5811	2.6132713132	23	1	0	0	48.58052699896507
4969636at2759	3di_af	13	291	-2780.287	0.605	1.8957851944000004	23	1	0	1	0.12523322412744164
4969636at2759	3di_af_empirical	13	291	-2694.6112	0.5915	2.0955422029	23	0	0	1	0.11889773095026612
4969636at2759	3di_llm	13	291	-2841.3824	0.6457	1.7342993701999998	23	1	0	1	0.12072270410135388
4969990at2759	aa	9	345	-3853.8087	1.0172	3.9306436645999994	15	0	0	0	32.51246806583367
4969990at2759	3di_af	9	345	-2585.0011	0.9342	1.2824258595999998	15	0	0	1	0.09807462617754936
4969990at2759	3di_af_empirical	9	345	-2540.4838	0.8063	1.4668090826000002	15	0	0	1	0.1177827448118478
4969990at2759	3di_llm	9	345	-2622.4434	0.9844	1.1566787721	15	0	0	1	0.08078224584460258
4970387at2759	aa	135	136	-15349.8246	0.8939	41.76336665410002	267	12	0	3	1369.144617994083
4970387at2759	3di_af	135	136	-3332.4422	0.2424	13.074176905500003	267	83	0	3	1.4230715190060437
4970387at2759	3di_af_empirical	135	136	-3506.1839	0.3811	22.406274772299994	267	82	0	3	1.0555277380626649
4970387at2759	3di_llm	135	136	-3341.6303	0.2249	18.1449989088	267	83	0	4	1.561422724975273
4971272at2759	aa	6	375	-3435.4639	1.5768	3.2040902714	9	0	0	0	16.672969684936106
4971272at2759	3di_af	6	375	-1782.6793	0.7755	0.5781755314	9	0	0	1	0.04187007108703256
4971272at2759	3di_af_empirical	6	375	-1566.5428	0.714	0.6462159295	9	0	0	1	0.04610732803121209
4971272at2759	3di_llm	6	375	-1796.1029	0.8337	0.5117787597999999	9	0	0	1	0.05206636502407491
4974767at2759	aa	24	74	-928.0868	1.2344	3.893127933	45	14	0	1	67.05067118513398
4974767at2759	3di_af	24	74	-513.7757	0.2425	2.4555916211000004	45	18	0	2	0.11644791509024799
4974767at2759	3di_af_empirical	24	74	-475.0386	0.2313	2.9424473768999997	45	19	0	2	0.11752230417914689
4974767at2759	3di_llm	24	74	-506.0627	0.2454	2.2836071066	45	18	0	2	0.09907918609678745
4976279at2759	aa	11	228	-3048.7058	0.9213	5.5868753920000005	19	0	0	0	36.771104858024046
4976279at2759	3di_af	11	228	-2243.9717	1.215	2.3866215557	19	0	0	1	0.15097542200237513
4976279at2759	3di_af_empirical	11	228	-2188.3422	1.0698	2.9234885359000002	19	0	0	1	0.12665873812511563
4976279at2759	3di_llm	11	228	-2319.3545	1.2782	2.1477469527000004	19	0	0	1	0.18168105091899633
4977163at2759	aa	144	141	-14225.7282	0.876	39.02199432069998	285	21	0	3	1387.7483734211419
4977163at2759	3di_af	144	141	-7687.3944	0.6234	23.212567317	285	67	0	3	1.5066462059039623
4977163at2759	3di_af_empirical	144	141	-7697.6242	0.5653	28.961260397400014	285	60	0	3	1.5278141319286078
4977163at2759	3di_llm	144	141	-7666.1305	0.6121	21.07314280960001	285	63	0	3	1.80886375089176
4985971at2759	aa	16	281	-4084.3341	0.5254	10.7444496377	29	0	0	0	71.40038799401373
4985971at2759	3di_af	16	281	-2541.0425	0.6229	1.8227243615	29	0	0	1	0.16651557409204543
4985971at2759	3di_af_empirical	16	281	-2409.053	0.5741	2.2091749585999993	29	1	0	1	0.18335705902427435
4985971at2759	3di_llm	16	281	-2571.2001	0.6867	1.6202453288999998	29	0	0	1	0.16317044897004962
