case_id	start_solution	starting_log_likelihood	log_likelihood	gain_over_start	gain_over_previous_unconstrained	gain_over_previous_best_grid_or_unconstrained	target_t	omega	fresh_readback_error	elapsed_seconds
Malassezia__4940884at2759__code1	unconstrained	-10140.584026603941	-10140.584026211547	3.923942131223157e-07	3.923942131223157e-07	-0.8359286842551228	5.942978097987286	0.0449225564587169	0.0	0.4597920610103756
Malassezia__4940884at2759__code1	factor_0p1	-10271.624057496821	-10140.584026564771	131.04003093205029	3.9170117815956473e-08	-0.8359290374792181	5.942703975799159	0.0449244010495855	0.0	11.310741408960894
Malassezia__4940884at2759__code1	factor_0p25	-10187.406887149791	-10140.584026404294	46.822860745496655	1.9964681996498257e-07	-0.835928877002516	5.942823224064549	0.0449234929090916	0.0	12.373037159210071
Malassezia__4940884at2759__code1	factor_0p5	-10151.29404005063	-10140.584026390341	10.710013660289405	2.1360028767958283e-07	-0.8359288630490482	5.942830817432019	0.0449235327273133	0.0	11.034152837935835
Malassezia__4940884at2759__code1	factor_1	-10140.621643728937	-10140.584027249195	0.03761647974170046	-6.452537490986288e-07	-0.835929721903085	5.942296538074898	0.0449264602513622	0.0	8.75537364394404
Malassezia__4940884at2759__code1	factor_2	-10143.86564539258	-10140.58402677465	3.28161861792978	-1.7070851754397154e-07	-0.8359292473578535	5.945645203820323	0.0449052877814713	0.0	14.888420779025182
Malassezia__4940884at2759__code1	factor_4	-10143.298020093049	-10137.495341486396	5.802678606652989	3.0886851175455377	2.2527560408962017	2053.4621725331676	0.0001278890885315	0.0	1519.72230257513
Malassezia__4940884at2759__code1	factor_10	-10139.748097527292	-10137.492206576506	2.2558909507861244	3.0918200274354604	2.2558909507861244	2169.301797245764	0.0001210565627322	7.275957614183426e-12	1792.9506320629735
Malassezia__4976279at2759__code1	unconstrained	-3087.066412180723	-3087.0664114883984	6.923246473888867e-07	6.923246473888867e-07	-0.10508971842637038	14.904475065808901	0.0361830244729897	0.0	0.33987265615724027
Malassezia__4976279at2759__code1	factor_0p1	-3118.8295137114046	-3087.0664114447936	31.763102266610986	7.359294613706879e-07	-0.1050896748215564	14.904534333302003	0.0361828047840653	0.0	11.544645952992141
Malassezia__4976279at2759__code1	factor_0p25	-3097.4768068978487	-3087.0664120102488	10.410394887599978	1.70474322658265e-07	-0.10509024027669511	14.903309990264708	0.0361858616568106	0.0	17.52648527920246
Malassezia__4976279at2759__code1	factor_0p5	-3089.618558276097	-3087.0664116102394	2.5521466658574354	5.704837349185254e-07	-0.10508984026728285	14.904146753925154	0.0361836968434998	0.0	12.273281967034563
Malassezia__4976279at2759__code1	factor_1	-3087.1334640454156	-3087.0664120841416	0.06705196127404633	9.658151611802168e-08	-0.10509031416950165	14.903154803645627	0.0361862575616851	0.0	8.905562042957172
