marker	genus_label	translation_table	policy	taxa	pairs	pairs_at_least_100_codons	minimum_shared_codons	median_codon_difference_fraction	maximum_codon_difference_fraction	median_amino_acid_difference_fraction	maximum_amino_acid_difference_fraction	median_third_position_difference_fraction	maximum_third_position_difference_fraction
115730at2759	Aspergillus	1	all_aligned	10	45	45	330	0.45151515151515154	0.5105740181268882	0.08761329305135952	0.10303030303030303	0.40181268882175225	0.4696969696969697
115730at2759	Aspergillus	1	exclude_recorded_annotation_gene_label_flags	10	45	45	330	0.45151515151515154	0.5105740181268882	0.08761329305135952	0.10303030303030303	0.40181268882175225	0.4696969696969697
115730at2759	Colletotrichum	1	all_aligned	10	45	45	322	0.2608695652173913	0.3416149068322981	0.06521739130434782	0.06521739130434782	0.2204968944099379	0.30745341614906835
115730at2759	Colletotrichum	1	exclude_recorded_annotation_gene_label_flags	10	45	45	322	0.2608695652173913	0.3416149068322981	0.06521739130434782	0.06521739130434782	0.2204968944099379	0.30745341614906835
115730at2759	Fusarium	1	all_aligned	10	45	45	319	0.5297805642633229	0.5830721003134797	0.15987460815047022	0.21630094043887146	0.45141065830721006	0.5172413793103449
115730at2759	Fusarium	1	exclude_recorded_annotation_gene_label_flags	10	45	45	319	0.5297805642633229	0.5830721003134797	0.15987460815047022	0.21630094043887146	0.45141065830721006	0.5172413793103449
115730at2759	Trichoderma	1	all_aligned	10	45	45	320	0.321875	0.365625	0.046875	0.065625	0.2875	0.334375
115730at2759	Trichoderma	1	exclude_recorded_annotation_gene_label_flags	10	45	45	320	0.321875	0.365625	0.046875	0.065625	0.2875	0.334375
115730at2759	Saccharomyces	1	all_aligned	8	28	28	306	0.3611111111111111	0.4117647058823529	0.032679738562091505	0.049019607843137254	0.3137254901960784	0.369281045751634
115730at2759	Saccharomyces	1	exclude_recorded_annotation_gene_label_flags	8	28	28	306	0.3611111111111111	0.4117647058823529	0.032679738562091505	0.049019607843137254	0.3137254901960784	0.369281045751634
115730at2759	Candida	12	all_aligned	4	6	6	231	0.3220064724919094	0.35064935064935066	0.030261001134787545	0.04329004329004329	0.30687597192451566	0.329004329004329
115730at2759	Candida	12	exclude_recorded_annotation_gene_label_flags	4	6	6	231	0.3220064724919094	0.35064935064935066	0.030261001134787545	0.04329004329004329	0.30687597192451566	0.329004329004329
115730at2759	Amanita	1	all_aligned	5	10	10	319	0.5893997445721584	0.6265060240963856	0.13111706083593633	0.14506172839506173	0.5216624491986811	0.5632530120481928
115730at2759	Amanita	1	exclude_recorded_annotation_gene_label_flags	5	10	10	319	0.5893997445721584	0.6265060240963856	0.13111706083593633	0.14506172839506173	0.5216624491986811	0.5632530120481928
115730at2759	Suillus	1	all_aligned	9	36	36	295	0.3150803655846202	0.48598130841121495	0.062111801242236024	0.13707165109034267	0.26527689961691525	0.40809968847352024
115730at2759	Suillus	1	exclude_recorded_annotation_gene_label_flags	9	36	36	295	0.3150803655846202	0.48598130841121495	0.062111801242236024	0.13707165109034267	0.26527689961691525	0.40809968847352024
115730at2759	Naganishia	1	all_aligned	4	6	6	333	0.4611447268163686	0.5508982035928144	0.06716417910447761	0.08408408408408409	0.4251804042848819	0.5299401197604791
115730at2759	Naganishia	1	exclude_recorded_annotation_gene_label_flags	4	6	6	333	0.4611447268163686	0.5508982035928144	0.06716417910447761	0.08408408408408409	0.4251804042848819	0.5299401197604791
115730at2759	Malassezia	1	all_aligned	5	10	10	314	0.5628930817610063	0.6030769230769231	0.11666998407643311	0.153125	0.5222329046989544	0.571875
