marker	fit	sites	branches	site_rate_spearman	median_absolute_site_rate_change	branch_length_spearman	gamma_total_tree_length	freerate_total_tree_length	gamma_log_likelihood	freerate_log_likelihood	freerate_minus_gamma_log_likelihood	freerate_ll_lower_by_more_than_point_one
115730at2759	3di_af	209	27	0.9984124581229884	0.011340000000000017	0.9999999999999999	1.0822158168	1.1094277305	-1266.2266	-1264.9567	1.269900000000007	False
115730at2759	3di_af_empirical	209	27	0.9969753104906355	0.026259999999999728	0.996947496947497	1.198841122	1.2473304496	-1224.8722	-1221.3075	3.56470000000013	False
115730at2759	3di_llm	209	27	0.9987086413089982	0.013579999999999981	0.9993894993894993	0.9769867788	1.0089727733	-1260.6449	-1259.3462	1.2987000000000535	False
115730at2759	aa	209	27	0.9975075037946446	0.03030000000000002	0.9993893129770991	1.5888287321	1.6201214429	-1739.107	-1737.8077	1.2992999999999029	False
129234at2759	3di_af	166	305	0.9986390685237382	0.13837999999999998	0.9996426094165017	18.1586159262	14.2319786411	-9609.124	-9581.9643	27.159700000000157	False
129234at2759	3di_af_empirical	166	305	0.9982683312117945	0.03422499999999973	0.9990348339508365	15.9807552574	15.2402287906	-9627.3136	-9616.0182	11.295399999999063	False
129234at2759	3di_llm	166	305	0.9924170400067698	0.08812	0.9944598115346224	12.262952619	13.2170311545	-9703.2542	-9683.691	19.563199999998687	False
129234at2759	aa	166	305	0.9987104949425785	0.09648000000000001	0.9980396344880528	19.3802532967	18.2131781146	-11033.5143	-11022.6993	10.81500000000051	False
201273at2759	3di_af	111	139	0.9773220687543193	0.035559999999999994	0.9975459025736733	4.1497303576	2.4814565626	-1185.0172	-1175.0173	9.999900000000025	False
201273at2759	3di_af_empirical	111	139	0.9652279320168674	0.05171	0.995395207439199	4.3170090198999995	2.3650111023	-1141.0952	-1132.0746	9.020600000000059	False
201273at2759	3di_llm	111	139	0.979174636481658	0.03361	0.9995528667945469	3.5539077314	2.3693439304	-1206.8287	-1197.7157	9.113000000000056	False
201273at2759	aa	111	139	0.9983406424084391	0.028360000000000052	0.9998255521386638	4.8381834404	5.0018882061	-2308.8016	-2307.5387	1.2628999999997177	False
207567at2759	3di_af	171	265	0.9928425234153154	0.08294000000000001	0.9984781802647066	13.3488693037	12.6942457173	-8466.7307	-8439.4371	27.29360000000088	False
207567at2759	3di_af_empirical	171	265	0.9976767879221706	0.13571	0.9988508971320792	18.5543576684	13.9974383101	-8455.8031	-8433.8713	21.931799999998475	False
207567at2759	3di_llm	171	265	0.9886201155731517	0.10560999999999998	0.9978056133223714	11.5802404949	11.9200207555	-8573.8283	-8546.2465	27.58179999999993	False
207567at2759	aa	171	265	0.9944301744434209	0.11049000000000003	0.9985162209740965	16.1097428411	13.4785842103	-9221.2635	-9204.6651	16.598399999998946	False
260326at2759	3di_af	151	267	0.9977213765449449	0.030180000000000005	0.9994294351565665	17.935088334	17.3902641387	-8950.541	-8941.3602	9.18080000000009	False
260326at2759	3di_af_empirical	151	267	0.9992905933487861	0.12188999999999994	0.9994237610310516	20.4399040659	16.4840591768	-9207.6683	-9181.1368	26.53149999999914	False
260326at2759	3di_llm	151	267	0.979766385564666	0.05822	0.9986615368368955	15.148717048	16.7310318916	-8917.709	-8913.6243	4.0847000000012486	False
260326at2759	aa	151	267	0.9996618461000117	0.021139999999999937	0.9999022778404915	23.6595567164	23.0997428989	-12753.2794	-12750.4106	2.868800000000192	False
319730at2759	3di_af	400	17	0.9997712368892975	0.02866000000000002	1.0	0.6766936013	0.6908014127	-2345.7517	-2344.7788	0.9728999999997541	False
319730at2759	3di_af_empirical	400	17	0.9993765638988029	0.031659999999999966	0.9975186104218362	0.7200081405000001	0.7231806726	-2309.8676	-2309.4877	0.37989999999990687	False
319730at2759	3di_llm	400	17	0.9996434541946227	0.033530000000000004	0.9975186104218362	0.6264025317999999	0.6411049933	-2398.3672	-2397.1578	1.209400000000187	False
319730at2759	aa	400	17	0.9989786952218858	0.046150000000000024	1.0	2.2272899006	2.2813961251	-4141.7332	-4138.2919	3.441299999999501	False
345792at2759	3di_af	226	81	0.9960197409205955	0.07164999999999999	0.9977642276422763	5.2092573274	4.5108942176	-3932.7139	-3918.0463	14.66760000000022	False
345792at2759	3di_af_empirical	226	81	0.9958505296527014	0.07988500000000001	0.9971093044263774	5.6228299939	4.9850193566	-3959.2928	-3944.8883	14.404500000000098	False
345792at2759	3di_llm	226	81	0.995571888196155	0.05022499999999999	0.998148148148148	5.4688690087	4.2179294602	-3990.0625	-3973.526	16.53650000000016	False
345792at2759	aa	226	81	0.9980227173216673	0.03585500000000003	0.9991418247515806	6.2595331722	4.5252021274	-4436.9914	-4422.75	14.241399999999885	False
352891at2759	3di_af	240	187	0.9970976380579597	0.09086999999999995	0.9996384763890215	11.3178746615	7.8234781798	-7418.239	-7391.8881	26.350899999999456	False
352891at2759	3di_af_empirical	240	187	0.996545962412752	0.08737500000000004	0.9975684325657533	11.7230900866	7.7368952923	-7438.8286	-7412.5322	26.296400000000176	False
352891at2759	3di_llm	240	187	0.996238502139406	0.046979999999999994	0.9989631429431325	9.6771480991	7.2879035435	-7473.4082	-7448.1684	25.239800000000287	False
352891at2759	aa	240	187	0.9975345887485673	0.08076	0.999482486195044	14.1662378957	14.9019827031	-13849.4228	-13839.7137	9.709100000000035	False
4613677at2759	3di_af	73	277	0.9817122524438018	0.06684000000000001	0.9996911590175355	8.7884334095	5.744513424	-1752.3373	-1745.5889	6.748399999999947	False
4613677at2759	3di_af_empirical	73	277	0.9414589963739219	0.04135	0.9990475045126378	12.8049438644	7.4782377328	-1680.3915	-1663.1489	17.24260000000004	False
4613677at2759	3di_llm	73	277	0.9494248221810612	0.060480000000000006	0.9997171310197172	8.2097742943	5.5340247043	-1731.2544	-1723.7648	7.4896000000001095	False
