marker	taxon_set_sha256	split_taxa	split_taxon_count	aa_branch_length	3di_af_branch_length	3di_af_empirical_branch_length	3di_llm_branch_length
115730at2759	94b9b03ba85057ac6ed1430324e604d7188c16cbff8e0723853592489f75ec7a	F1220207	1	0.0540592104	0.0755875498	0.0784688814	0.0704062331
115730at2759	94b9b03ba85057ac6ed1430324e604d7188c16cbff8e0723853592489f75ec7a	F1220207,F162425	2	0.0829916187	0.0142261676	0.0150321176	0.0132457448
115730at2759	94b9b03ba85057ac6ed1430324e604d7188c16cbff8e0723853592489f75ec7a	F1220207,F162425,F1690604,F703497	4	0.0081815052	2.8248e-06	0.0098073342	2.2757e-06
115730at2759	94b9b03ba85057ac6ed1430324e604d7188c16cbff8e0723853592489f75ec7a	F162425	1	2.0661e-06	0.0178929028	0.0220295063	0.017773173
115730at2759	94b9b03ba85057ac6ed1430324e604d7188c16cbff8e0723853592489f75ec7a	F1690604	1	0.1337235029	0.0546886512	0.0493721093	0.0503175316
115730at2759	94b9b03ba85057ac6ed1430324e604d7188c16cbff8e0723853592489f75ec7a	F1690604,F703497	2	0.0512836649	2.565e-06	2.565e-06	2.565e-06
115730at2759	94b9b03ba85057ac6ed1430324e604d7188c16cbff8e0723853592489f75ec7a	F236234	1	0.0455291679	0.1040973858	0.0997779629	0.0957698672
115730at2759	94b9b03ba85057ac6ed1430324e604d7188c16cbff8e0723853592489f75ec7a	F4754	1	0.204887486	0.06559361	0.0633620776	0.0631666228
115730at2759	94b9b03ba85057ac6ed1430324e604d7188c16cbff8e0723853592489f75ec7a	F4754,F48691,F4918	3	0.1037597373	0.0447881691	0.046357456	0.0414930697
115730at2759	94b9b03ba85057ac6ed1430324e604d7188c16cbff8e0723853592489f75ec7a	F48691	1	0.1719550527	0.0295175868	0.0361430242	0.0261098352
115730at2759	94b9b03ba85057ac6ed1430324e604d7188c16cbff8e0723853592489f75ec7a	F48691,F4918	2	0.0592803102	2.8091e-06	0.0036340502	2.8091e-06
115730at2759	94b9b03ba85057ac6ed1430324e604d7188c16cbff8e0723853592489f75ec7a	F4918	1	0.167510544	0.0634819247	0.0641319697	0.0605997179
115730at2759	94b9b03ba85057ac6ed1430324e604d7188c16cbff8e0723853592489f75ec7a	F703497	1	0.1187150186	0.0273007675	0.0363899253	0.0262234023
207567at2759	da10eaf9cae187d679b77046ef195d84ff7d89fa4fac5e06cb40649591e37237	F101201	1	1e-06	1e-06	1e-06	1e-06
207567at2759	da10eaf9cae187d679b77046ef195d84ff7d89fa4fac5e06cb40649591e37237	F101201,F398673,F63577	3	1e-06	1e-06	1e-06	1e-06
207567at2759	da10eaf9cae187d679b77046ef195d84ff7d89fa4fac5e06cb40649591e37237	F2486360	1	0.1030966666	0.0240682233	0.0253186397	0.0227872126
207567at2759	da10eaf9cae187d679b77046ef195d84ff7d89fa4fac5e06cb40649591e37237	F2486360,F4918	2	0.2208050562	0.0643576972	0.0686018081	0.0598830799
207567at2759	da10eaf9cae187d679b77046ef195d84ff7d89fa4fac5e06cb40649591e37237	F398673	1	1e-06	1e-06	1e-06	1e-06
207567at2759	da10eaf9cae187d679b77046ef195d84ff7d89fa4fac5e06cb40649591e37237	F398673,F63577	2	1e-06	1e-06	1e-06	1e-06
