marker	pfam_accession	pfam_name	pfam_type	policy	tree_taxa	detected	undetected	unknown	eligible	minimum_detection_changes	edges_with_change_in_some_optimum	edges_with_change_in_every_optimum
115730at2759	PF00013.36	KH_1	Domain	all_GA_hits	481	14	467	0	True	10	12	8
115730at2759	PF00013.36	KH_1	Domain	overlap_partial_unknown	481	0	31	450	False		0	0
115730at2759	PF00106.32	adh_short	Domain	all_GA_hits	481	1	480	0	False		0	0
115730at2759	PF00106.32	adh_short	Domain	overlap_partial_unknown	481	0	31	450	False		0	0
115730at2759	PF00400.39	WD40	Repeat	all_GA_hits	481	1	480	0	False		0	0
115730at2759	PF00400.39	WD40	Repeat	overlap_partial_unknown	481	0	31	450	False		0	0
115730at2759	PF01569.28	PAP2	Family	all_GA_hits	481	1	480	0	False		0	0
115730at2759	PF01569.28	PAP2	Family	overlap_partial_unknown	481	0	31	450	False		0	0
115730at2759	PF02463.26	SMC_N	Domain	all_GA_hits	481	1	480	0	False		0	0
115730at2759	PF02463.26	SMC_N	Domain	overlap_partial_unknown	481	0	31	450	False		0	0
115730at2759	PF06470.19	SMC_hinge	Domain	all_GA_hits	481	1	480	0	False		0	0
115730at2759	PF06470.19	SMC_hinge	Domain	overlap_partial_unknown	481	0	31	450	False		0	0
115730at2759	PF08539.17	HbrB	Domain	all_GA_hits	481	1	480	0	False		0	0
115730at2759	PF08539.17	HbrB	Domain	overlap_partial_unknown	481	0	31	450	False		0	0
115730at2759	PF08659.17	KR	Family	all_GA_hits	481	1	480	0	False		0	0
115730at2759	PF08659.17	KR	Family	overlap_partial_unknown	481	0	31	450	False		0	0
115730at2759	PF12894.14	ANAPC4_WD40	Repeat	all_GA_hits	481	1	480	0	False		0	0
115730at2759	PF12894.14	ANAPC4_WD40	Repeat	overlap_partial_unknown	481	0	31	450	False		0	0
115730at2759	PF13561.13	adh_short_C2	Domain	all_GA_hits	481	1	480	0	False		0	0
115730at2759	PF13561.13	adh_short_C2	Domain	overlap_partial_unknown	481	0	31	450	False		0	0
115730at2759	PF17903.8	KH_KRR1_1st	Domain	all_GA_hits	481	481	0	0	False		0	0
115730at2759	PF17903.8	KH_KRR1_1st	Domain	overlap_partial_unknown	481	31	0	450	False		0	0
115730at2759	PF21800.5	KH_KRR1_2nd	Domain	all_GA_hits	481	481	0	0	False		0	0
115730at2759	PF21800.5	KH_KRR1_2nd	Domain	overlap_partial_unknown	481	30	0	451	False		0	0
115730at2759	PF22891.3	KH_PNO1_2nd	Domain	all_GA_hits	481	450	31	0	True	20	22	18
115730at2759	PF22891.3	KH_PNO1_2nd	Domain	overlap_partial_unknown	481	0	31	450	False		0	0
129234at2759	PF00106.32	adh_short	Domain	all_GA_hits	472	3	469	0	False		0	0
129234at2759	PF00106.32	adh_short	Domain	overlap_partial_unknown	472	0	343	129	False		0	0
129234at2759	PF00149.34	Metallophos	Domain	all_GA_hits	472	127	345	0	True	56	78	39
129234at2759	PF00149.34	Metallophos	Domain	overlap_partial_unknown	472	0	343	129	False		0	0
129234at2759	PF00271.38	Helicase_C	Domain	all_GA_hits	472	1	471	0	False		0	0
129234at2759	PF00271.38	Helicase_C	Domain	overlap_partial_unknown	472	0	342	130	False		0	0
129234at2759	PF00459.31	Inositol_P	Family	all_GA_hits	472	1	471	0	False		0	0
129234at2759	PF00459.31	Inositol_P	Family	overlap_partial_unknown	472	0	343	129	False		0	0
129234at2759	PF03473.24	MOSC	Domain	all_GA_hits	472	1	471	0	False		0	0
129234at2759	PF03473.24	MOSC	Domain	overlap_partial_unknown	472	0	343	129	False		0	0
129234at2759	PF04408.30	WHD_HA2	Domain	all_GA_hits	472	1	471	0	False		0	0
129234at2759	PF04408.30	WHD_HA2	Domain	overlap_partial_unknown	472	1	342	129	False		0	0
129234at2759	PF07717.23	OB_NTP_bind	Domain	all_GA_hits	472	1	471	0	False		0	0
129234at2759	PF07717.23	OB_NTP_bind	Domain	overlap_partial_unknown	472	1	342	129	False		0	0
129234at2759	PF08241.19	Methyltransf_11	Domain	all_GA_hits	472	1	471	0	False		0	0
129234at2759	PF08241.19	Methyltransf_11	Domain	overlap_partial_unknown	472	0	343	129	False		0	0
129234at2759	PF08242.19	Methyltransf_12	Domain	all_GA_hits	472	1	471	0	False		0	0
129234at2759	PF08242.19	Methyltransf_12	Domain	overlap_partial_unknown	472	0	343	129	False		0	0
129234at2759	PF08659.17	KR	Family	all_GA_hits	472	2	470	0	False		0	0
129234at2759	PF08659.17	KR	Family	overlap_partial_unknown	472	0	343	129	False		0	0
129234at2759	PF10996.15	Beta-Casp	Domain	all_GA_hits	472	1	471	0	False		0	0
129234at2759	PF10996.15	Beta-Casp	Domain	overlap_partial_unknown	472	0	343	129	False		0	0
129234at2759	PF11022.14	ATP19	Family	all_GA_hits	472	1	471	0	False		0	0
129234at2759	PF11022.14	ATP19	Family	overlap_partial_unknown	472	1	342	129	False		0	0
129234at2759	PF11718.14	CPSF73-100_C	Domain	all_GA_hits	472	1	471	0	False		0	0
129234at2759	PF11718.14	CPSF73-100_C	Domain	overlap_partial_unknown	472	0	343	129	False		0	0
129234at2759	PF12850.13	Metallophos_2	Domain	all_GA_hits	472	456	16	0	True	10	12	8
129234at2759	PF12850.13	Metallophos_2	Domain	overlap_partial_unknown	472	322	16	134	True	10	15	5
129234at2759	PF13489.13	Methyltransf_23	Domain	all_GA_hits	472	1	471	0	False		0	0
129234at2759	PF13489.13	Methyltransf_23	Domain	overlap_partial_unknown	472	0	343	129	False		0	0
129234at2759	PF13561.13	adh_short_C2	Domain	all_GA_hits	472	2	470	0	False		0	0
129234at2759	PF13561.13	adh_short_C2	Domain	overlap_partial_unknown	472	0	343	129	False		0	0
129234at2759	PF13649.13	Methyltransf_25	Domain	all_GA_hits	472	1	471	0	False		0	0
129234at2759	PF13649.13	Methyltransf_25	Domain	overlap_partial_unknown	472	0	343	129	False		0	0
129234at2759	PF13847.13	Methyltransf_31	Domain	all_GA_hits	472	1	471	0	False		0	0
129234at2759	PF13847.13	Methyltransf_31	Domain	overlap_partial_unknown	472	0	343	129	False		0	0
129234at2759	PF16661.12	Lactamase_B_6	Domain	all_GA_hits	472	1	471	0	False		0	0
129234at2759	PF16661.12	Lactamase_B_6	Domain	overlap_partial_unknown	472	0	343	129	False		0	0
129234at2759	PF21010.3	HA2_C	Domain	all_GA_hits	472	1	471	0	False		0	0
129234at2759	PF21010.3	HA2_C	Domain	overlap_partial_unknown	472	1	342	129	False		0	0
160487at2759	PF00023.37	Ank	Repeat	all_GA_hits	487	1	486	0	False		0	0
160487at2759	PF00023.37	Ank	Repeat	overlap_partial_unknown	487	0	484	3	False		0	0
160487at2759	PF00096.33	zf-C2H2	Domain	all_GA_hits	487	1	486	0	False		0	0
160487at2759	PF00096.33	zf-C2H2	Domain	overlap_partial_unknown	487	1	483	3	False		0	0
160487at2759	PF00176.30	SNF2-rel_dom	Domain	all_GA_hits	487	1	486	0	False		0	0
160487at2759	PF00176.30	SNF2-rel_dom	Domain	overlap_partial_unknown	487	0	484	3	False		0	0
160487at2759	PF00271.38	Helicase_C	Domain	all_GA_hits	487	1	486	0	False		0	0
160487at2759	PF00271.38	Helicase_C	Domain	overlap_partial_unknown	487	0	484	3	False		0	0
160487at2759	PF00293.35	NUDIX	Domain	all_GA_hits	487	1	486	0	False		0	0
160487at2759	PF00293.35	NUDIX	Domain	overlap_partial_unknown	487	0	483	4	False		0	0
160487at2759	PF01554.24	MatE	Family	all_GA_hits	487	2	485	0	False		0	0
160487at2759	PF01554.24	MatE	Family	overlap_partial_unknown	487	2	482	3	False		0	0
160487at2759	PF01851.29	PC_rep	Repeat	all_GA_hits	487	457	30	0	True	14	20	9
160487at2759	PF01851.29	PC_rep	Repeat	overlap_partial_unknown	487	454	30	3	True	14	20	9
160487at2759	PF04851.22	ResIII	Family	all_GA_hits	487	1	486	0	False		0	0
