marker	taxon_id	protein_id	sequence_sha256
4974767at2759	F5570	XP_067507551.1	e4155d7bbea45b1028f39940ddba6bdb598fc52e0f7418b7bbff6505bb6822e3
115730at2759	F574774	OCL12558.1	b4db8dbcdced9741c747f54440390632e1c84bcf00d80703dfe558a663f21a51
129234at2759	F574774	OCL12939.1	820bdf44d2eb1983ea7ae0eeffeac95636711af89ac53bb1174f3d1e1e6ab05c
201273at2759	F574774	OCL01835.1	13ce33008b7060773cee6b2d9dcfec95c0204cd31fe50b7b736379bac86dd609
207567at2759	F574774	OCL13471.1	d63479138573f2af929575f6c584990591e4188bccc14faf1537328737b25810
260326at2759	F574774	OCL11015.1	a169a9fc4dee29cb1c232ffe68dbc36f4a3e210282ba07a6d17ffeeaeb38dd7b
345792at2759	F574774	OCL14779.1	990c04c63bd7f3c2ff774a85d7995a2b61f21fa03569adcabad09efa71a0c563
352891at2759	F574774	OCL11082.1	94404c0a25c58a7085dae5887440633f47433b355435e6935db750d38368d30d
4747214at2759	F574774	OCL15277.1	e46893798d29ec6c33b441788ed4b831f69f42ebc58cd8f64eb5aa01f20c5d84
4803900at2759	F574774	OCL08266.1	491737446b67996ab7744e2b818130d83a47e7ca99dee577a480867235d0a03f
4823929at2759	F574774	OCL12113.1	ed87aa655140478380edabec1088b252fad7d361502d83871b68c6ac83a33fca
4837017at2759	F574774	OCL15096.1	9685d9e940866ae0334dd584e88bb00e954321560e3533e6e6543f188eeec2d2
4843824at2759	F574774	OCL06858.1	2441014ade8efdd81ca8ba8108499ee3998ff50eaaf3782e101a6e96f448b4a9
4867008at2759	F574774	OCL01543.1	67f807177f6be8f7830d14c38b4aaa2cbea7a24c30813caca930af6139fa97cc
4896098at2759	F574774	OCL12839.1	a9a2922308b397caaff54df77f8b044da048e22c4fd285cc81576ac7a16a50c3
4900375at2759	F574774	OCL15420.1	439549ace5a1e05c35fb8a886029b4f918bbd0fde98e4f65169fba4b1749e61f
4908955at2759	F574774	OCL01782.1	3ff18cd5c96bb6f66c3fed60ebc8484263d140959849544f889cadfa33306968
4969018at2759	F574774	OCL03841.1	32dda1b74172ca221bef6b044aa19d24b66d7078252e04007d6901e1c9c01c68
4969636at2759	F574774	OCL11108.1	3b3efe887599de60fc700be9255cdc8fceffb5cb1ed1430cbfb3df1631761900
4969990at2759	F574774	OCL11690.1	b735e08b456802cd6831c667093005df2bcf36af97dfb8e860ffbf833170355f
4970387at2759	F574774	OCL01512.1	1b9aa2b0a9ce323928a70e0c28ada49a7e220de02e51b9091b04d5f0888c02e5
