marker	fit	taxa	columns	log_likelihood	gamma_alpha	total_branch_length	branches	branches_le_1e_minus5	branches_ge_10	warning_count	elapsed_seconds
115730at2759	aa	8	230	-1720.8171	0.5144	1.2018788849	13	1	0	0	3.483845120994374
115730at2759	3di_af	8	230	-1038.6801	0.1913	0.49718291420000005	13	3	0	2	0.04307013796642423
115730at2759	3di_af_empirical	8	230	-1010.2304	0.1888	0.5245089797	13	1	0	2	0.049634492956101894
115730at2759	3di_llm	8	230	-1038.4018	0.1909	0.46511284740000003	13	3	0	2	0.05243750801309943
207567at2759	aa	6	171	-877.8977	2.0122	0.7384121346000001	9	6	0	1	0.9322831560857594
207567at2759	3di_af	6	171	-626.1007	998.4462	0.1627257693	9	6	0	2	0.024322896031662822
207567at2759	3di_af_empirical	6	171	-595.8766	998.4465	0.1719732832	9	6	0	2	0.023984692059457302
207567at2759	3di_llm	6	171	-647.9512	998.4465	0.1518918426	9	6	0	2	0.026609366992488503
319730at2759	aa	4	390	-2299.3421	0.7658	0.9107574585	5	0	0	1	0.5203099090140313
319730at2759	3di_af	4	390	-1591.141	1.7201	0.2652103988	5	0	0	1	0.020316523034125566
319730at2759	3di_af_empirical	4	390	-1545.9289	1.4787	0.27637502010000004	5	0	0	1	0.023989399196580052
319730at2759	3di_llm	4	390	-1637.5132	2.1969	0.2423439184	5	0	0	1	0.025367020163685083
340246at2759	aa	4	394	-2416.2455	1.6879	1.2105403542	5	0	0	1	1.0300753298215568
340246at2759	3di_af	4	394	-1788.348	30.5116	0.40190787280000007	5	0	0	2	0.04281610087491572
340246at2759	3di_af_empirical	4	394	-1636.4134	9.2453	0.4357450805	5	0	0	2	0.04318224685266614
340246at2759	3di_llm	4	394	-1846.7007	42.0739	0.36967808010000003	5	0	0	2	0.03206906607374549
4747214at2759	aa	4	113	-573.6221	998.1601	0.8424824144999999	5	2	0	2	0.26324686803855
4747214at2759	3di_af	4	113	-480.7373	998.4044	0.28084224069999997	5	2	0	2	0.026743550086393952
4747214at2759	3di_af_empirical	4	113	-421.2423	0.6411	0.3240129059	5	2	0	2	0.023276316933333874
4747214at2759	3di_llm	4	113	-498.0533	998.413	0.2579383609	5	2	0	2	0.01823452301323414
4823929at2759	aa	5	418	-4181.4833	1.6773	4.1081195452	7	0	0	0	3.622562461066991
4823929at2759	3di_af	5	418	-2979.6273	1.2561	1.3854547558	7	0	0	0	0.06964450189843774
4823929at2759	3di_af_empirical	5	418	-2923.3835	1.169	1.4696946918	7	0	0	0	0.06038009701296687
4823929at2759	3di_llm	5	418	-3075.1492	1.4577	1.2086445329	7	0	0	0	0.07280407892540097
4843824at2759	aa	8	187	-1799.2276	1.5777	2.8115172683000003	13	4	0	0	3.8605065220035613
4843824at2759	3di_af	8	187	-938.9803	1.5735	0.5202484744999998	13	4	0	1	0.051284017972648144
4843824at2759	3di_af_empirical	8	187	-893.3798	1.2932	0.5159441933999999	13	4	0	1	0.038529142970219254
4843824at2759	3di_llm	8	187	-960.9507	1.6179	0.49840066510000003	13	4	0	1	0.035586246056482196
4867008at2759	aa	4	177	-1091.607	1.1921	1.5962472999	5	2	0	1	0.47089735488407314
4867008at2759	3di_af	4	177	-947.8556	2.3685	0.7099390629	5	2	0	1	0.027584647992625833
4867008at2759	3di_af_empirical	4	177	-914.2229	2.9288	0.7685531061	5	2	0	1	0.027617116924375296
4867008at2759	3di_llm	4	177	-981.9256	3.7207	0.6230541073	5	2	0	1	0.04107641102746129
4900375at2759	aa	4	169	-1312.6768	2.4415	2.9466313452	5	0	0	1	0.6083623799495399
4900375at2759	3di_af	4	169	-714.5647	2.6351	0.5169587494	5	0	0	2	0.02234842791222036
4900375at2759	3di_af_empirical	4	169	-684.1373	1.1484	0.578304288	5	0	0	2	0.022418044041842222
4900375at2759	3di_llm	4	169	-716.2789	3.7213	0.46958845540000005	5	0	0	2	0.02540050190873444
4911644at2759	aa	6	691	-5197.2826	1.124	1.6583024692	9	0	0	0	4.738688922952861
4911644at2759	3di_af	6	691	-3310.9429	0.5204	0.4509744495	9	0	0	1	0.05171757680363953
4911644at2759	3di_af_empirical	6	691	-2950.6436	0.4306	0.5736028955	9	0	0	1	0.06082868902012706
4911644at2759	3di_llm	6	691	-3407.9134	0.516	0.3971353848	9	0	0	1	0.0507231168448925
4976279at2759	aa	5	224	-1739.9119	1.0281	1.9356424521000002	7	0	0	0	1.5567278540693223
4976279at2759	3di_af	5	224	-1356.5465	1.4709	0.7364802056	7	0	0	1	0.0393490691203624
