representative_input_id	models	unique_sequences	taxa	ingroup_taxa	outgroup_taxa	sources	markers	marker_ids_json	major_lineages_json	minimum_length	maximum_length	model_weighted_median_mean_CA_plddt	models_mean_CA_plddt_below70	edges_not_passing_both_approximate_directions	edge_qualification	orthology_status
M000024	2	2	2	2	0	AlphaFold	1	"[""4838864at2759""]"	"[""Glomeromycota"", ""Kickxellomycota""]"	615	645	72.87805520892414	0	0	pending_exact_score_review	not_established_by_structural_clustering
M000029	1	1	1	0	1	AlphaFold	1	"[""530740at2759""]"	"[""Nucleariida""]"	450	450	59.772333333333364	1	0	singleton_no_edge_test	not_established_by_structural_clustering
M000031	1	1	1	0	1	AlphaFold	1	"[""5005010at2759""]"	"[""Nucleariida""]"	103	103	90.89611650485438	0	0	singleton_no_edge_test	not_established_by_structural_clustering
M000055	92	92	94	94	0	AlphaFold	1	"[""5003022at2759""]"	"[""Ascomycota"", ""Basidiomycota""]"	765	954	78.90213672066767	5	0	pending_exact_score_review	not_established_by_structural_clustering
M000074	4	4	4	4	0	AlphaFold	1	"[""5006412at2759""]"	"[""Ascomycota""]"	700	742	67.04355959727512	4	0	pending_exact_score_review	not_established_by_structural_clustering
M000079	7	7	7	7	0	AlphaFold;ESMFold	1	"[""5005010at2759""]"	"[""Ascomycota""]"	116	116	92.04939655172413	0	0	pending_exact_score_review	not_established_by_structural_clustering
M000081	7	7	7	7	0	AlphaFold;ESMFold	1	"[""541070at2759""]"	"[""Ascomycota""]"	239	281	90.73398550724636	0	0	pending_exact_score_review	not_established_by_structural_clustering
M000096	2	2	2	2	0	AlphaFold	1	"[""5018803at2759""]"	"[""Ascomycota""]"	865	881	67.31735332944041	2	0	pending_exact_score_review	not_established_by_structural_clustering
M000106	1	1	1	1	0	AlphaFold	1	"[""345792at2759""]"	"[""Ascomycota""]"	251	251	89.72306772908364	0	0	singleton_no_edge_test	not_established_by_structural_clustering
M000149	1	1	1	1	0	AlphaFold	1	"[""4613677at2759""]"	"[""Ascomycota""]"	130	130	72.31923076923078	0	0	singleton_no_edge_test	not_established_by_structural_clustering
M000164	1	1	1	1	0	AlphaFold	1	"[""5001473at2759""]"	"[""Ascomycota""]"	157	157	73.89299363057327	0	0	singleton_no_edge_test	not_established_by_structural_clustering
M000180	4	4	4	4	0	AlphaFold	1	"[""4843240at2759""]"	"[""Ascomycota""]"	559	645	76.17523789353642	0	0	pending_exact_score_review	not_established_by_structural_clustering
M000185	1	1	1	1	0	AlphaFold	1	"[""3643464at2759""]"	"[""Rozellomycota""]"	674	674	66.20881305637981	1	0	singleton_no_edge_test	not_established_by_structural_clustering
M000186	2	2	2	2	0	AlphaFold	1	"[""4987397at2759""]"	"[""Monoblepharomycota"", ""Rozellomycota""]"	802	837	73.55327412502199	0	0	pending_exact_score_review	not_established_by_structural_clustering
M000188	1	1	1	1	0	AlphaFold	1	"[""5005274at2759""]"	"[""Rozellomycota""]"	570	570	72.24573684210523	0	0	singleton_no_edge_test	not_established_by_structural_clustering
M000189	1	1	1	1	0	AlphaFold	1	"[""5000823at2759""]"	"[""Rozellomycota""]"	857	857	67.933967327888	1	0	singleton_no_edge_test	not_established_by_structural_clustering
M000193	104	104	105	105	0	AlphaFold	1	"[""4988239at2759""]"	"[""Ascomycota"", ""Basidiomycota"", ""Glomeromycota"", ""Monoblepharomycota""]"	989	1258	77.6909059696805	1	0	pending_exact_score_review	not_established_by_structural_clustering
M000227	2	2	2	2	0	AlphaFold	1	"[""5001280at2759""]"	"[""Ascomycota""]"	1101	1170	76.4728084375509	0	0	pending_exact_score_review	not_established_by_structural_clustering
M000238	1	1	1	1	0	AlphaFold	1	"[""5004118at2759""]"	"[""Ascomycota""]"	231	231	85.17199134199133	0	0	singleton_no_edge_test	not_established_by_structural_clustering
M000243	1	1	1	1	0	AlphaFold	1	"[""5001318at2759""]"	"[""Ascomycota""]"	580	580	72.90620689655172	0	0	singleton_no_edge_test	not_established_by_structural_clustering
M000244	1	1	1	1	0	AlphaFold	1	"[""4983000at2759""]"	"[""Ascomycota""]"	630	630	75.91812698412704	0	0	singleton_no_edge_test	not_established_by_structural_clustering
M000249	1	1	1	1	0	AlphaFold	1	"[""4613677at2759""]"	"[""Ascomycota""]"	129	129	69.87387596899225	1	0	singleton_no_edge_test	not_established_by_structural_clustering
M000264	1	1	1	1	0	AlphaFold	1	"[""5005010at2759""]"	"[""Ascomycota""]"	116	116	89.28672413793099	0	0	singleton_no_edge_test	not_established_by_structural_clustering
M000284	3	3	3	3	0	AlphaFold	1	"[""4747214at2759""]"	"[""Ascomycota""]"	147	151	86.42887417218546	0	0	pending_exact_score_review	not_established_by_structural_clustering
M000287	6	6	6	6	0	AlphaFold;ESMFold	1	"[""4867008at2759""]"	"[""Ascomycota""]"	261	307	81.96121543572292	0	0	pending_exact_score_review	not_established_by_structural_clustering
M000309	1	1	1	1	0	AlphaFold	1	"[""5005750at2759""]"	"[""Ascomycota""]"	195	195	67.33010256410262	1	0	singleton_no_edge_test	not_established_by_structural_clustering
M000313	3	3	3	3	0	AlphaFold;ESMFold	1	"[""207567at2759""]"	"[""Ascomycota""]"	164	178	85.65179443359375	0	0	pending_exact_score_review	not_established_by_structural_clustering
M000329	1	1	1	1	0	AlphaFold	1	"[""4900375at2759""]"	"[""Ascomycota""]"	199	199	83.40331658291458	0	0	singleton_no_edge_test	not_established_by_structural_clustering
M000333	1	1	1	1	0	AlphaFold	1	"[""4974767at2759""]"	"[""Ascomycota""]"	199	199	72.7573366834171	0	0	singleton_no_edge_test	not_established_by_structural_clustering
M000371	2	2	2	2	0	AlphaFold	1	"[""5004599at2759""]"	"[""Ascomycota"", ""Basidiomycota""]"	700	721	72.38134341192784	0	0	pending_exact_score_review	not_established_by_structural_clustering
M000372	2	2	2	2	0	AlphaFold	1	"[""5004327at2759""]"	"[""Basidiomycota"", ""Mucoromycota""]"	842	885	85.34418708482634	0	0	pending_exact_score_review	not_established_by_structural_clustering
M000392	1	1	1	1	0	AlphaFold	1	"[""5011777at2759""]"	"[""Ascomycota""]"	620	620	62.30025806451616	1	0	singleton_no_edge_test	not_established_by_structural_clustering
M000395	4	4	4	4	0	AlphaFold;ESMFold	1	"[""4613677at2759""]"	"[""Ascomycota""]"	148	181	67.07428147609383	4	1	pending_exact_score_review	not_established_by_structural_clustering
M000396	3	3	3	3	0	AlphaFold	1	"[""5013259at2759""]"	"[""Ascomycota"", ""Basidiomycota"", ""Kickxellomycota""]"	148	160	81.07952702702703	0	1	pending_exact_score_review	not_established_by_structural_clustering
M000398	4	4	4	4	0	AlphaFold;ESMFold	1	"[""4843824at2759""]"	"[""Ascomycota""]"	197	209	87.3691270978554	0	0	pending_exact_score_review	not_established_by_structural_clustering
M000412	1	1	1	1	0	AlphaFold	1	"[""776280at2759""]"	"[""Ascomycota""]"	558	558	87.3642652329749	0	0	singleton_no_edge_test	not_established_by_structural_clustering
M000419	1	1	1	1	0	AlphaFold	1	"[""5005274at2759""]"	"[""Ascomycota""]"	293	293	71.85597269624573	0	0	singleton_no_edge_test	not_established_by_structural_clustering
M000420	1	1	1	1	0	AlphaFold	1	"[""4888252at2759""]"	"[""Ascomycota""]"	808	808	71.73915841584159	0	0	singleton_no_edge_test	not_established_by_structural_clustering
M000428	1	1	1	1	0	AlphaFold	1	"[""5017019at2759""]"	"[""Ascomycota""]"	740	740	66.29452702702702	1	0	singleton_no_edge_test	not_established_by_structural_clustering
M000433	17	17	17	17	0	AlphaFold;ESMFold	1	"[""5005010at2759""]"	"[""Ascomycota""]"	117	117	91.50102564102566	0	0	pending_exact_score_review	not_established_by_structural_clustering
M000437	1	1	1	1	0	AlphaFold	1	"[""5004118at2759""]"	"[""Ascomycota""]"	259	259	79.50710424710422	0	0	singleton_no_edge_test	not_established_by_structural_clustering
M000438	1	1	1	1	0	AlphaFold	1	"[""4810093at2759""]"	"[""Ascomycota""]"	715	715	80.51272727272722	0	0	singleton_no_edge_test	not_established_by_structural_clustering
M000444	20	20	21	21	0	AlphaFold;ESMFold	1	"[""4837017at2759""]"	"[""Ascomycota""]"	242	252	89.67461029907227	0	0	pending_exact_score_review	not_established_by_structural_clustering
M000459	2	2	2	2	0	AlphaFold	1	"[""345792at2759""]"	"[""Ascomycota""]"	244	246	90.63855907636946	0	0	pending_exact_score_review	not_established_by_structural_clustering
M000461	1	1	1	1	0	AlphaFold	1	"[""4983000at2759""]"	"[""Ascomycota""]"	966	966	81.87908902691517	0	0	singleton_no_edge_test	not_established_by_structural_clustering
M000470	9	9	9	8	1	AlphaFold	1	"[""5005174at2759""]"	"[""Apusomonadida"", ""Basidiomycota""]"	311	380	77.58674556213018	0	0	pending_exact_score_review	not_established_by_structural_clustering
M000484	3	3	3	3	0	AlphaFold	1	"[""4896098at2759""]"	"[""Ascomycota"", ""Basidiomycota""]"	203	234	79.92565610859732	0	0	pending_exact_score_review	not_established_by_structural_clustering
M000488	3	3	3	3	0	AlphaFold	1	"[""4976279at2759""]"	"[""Ascomycota"", ""Basidiomycota""]"	396	487	83.05610451306413	0	0	pending_exact_score_review	not_established_by_structural_clustering
M000493	3	3	3	3	0	AlphaFold;ESMFold	1	"[""4843240at2759""]"	"[""Ascomycota"", ""Basidiomycota""]"	505	597	77.01699009900985	0	0	pending_exact_score_review	not_established_by_structural_clustering
M000494	14	14	14	14	0	AlphaFold;ESMFold	1	"[""760428at2759""]"	"[""Ascomycota"", ""Basidiomycota""]"	393	482	89.75543039008248	0	0	pending_exact_score_review	not_established_by_structural_clustering
M000507	2	2	2	1	1	AlphaFold	1	"[""4940884at2759""]"	"[""Ascomycota"", ""Filasterea""]"	973	1073	65.15605251865608	2	0	pending_exact_score_review	not_established_by_structural_clustering
M000523	37	37	37	37	0	AlphaFold	1	"[""5000986at2759""]"	"[""Ascomycota""]"	547	670	76.25287878787871	1	0	pending_exact_score_review	not_established_by_structural_clustering
M000536	1	1	1	1	0	AlphaFold	1	"[""5000743at2759""]"	"[""Ascomycota""]"	239	239	60.92527196652715	1	0	singleton_no_edge_test	not_established_by_structural_clustering
M000544	1	1	1	1	0	AlphaFold	1	"[""5001473at2759""]"	"[""Ascomycota""]"	149	149	68.40093959731543	1	0	singleton_no_edge_test	not_established_by_structural_clustering
M000550	41	41	43	43	0	AlphaFold	1	"[""5001734at2759""]"	"[""Ascomycota""]"	234	266	79.11523999999996	0	0	pending_exact_score_review	not_established_by_structural_clustering
M000553	1	1	1	1	0	AlphaFold	1	"[""4986044at2759""]"	"[""Ascomycota""]"	650	650	55.956261538461504	1	0	singleton_no_edge_test	not_established_by_structural_clustering
M000557	1	1	1	1	0	AlphaFold	1	"[""5001660at2759""]"	"[""Ascomycota""]"	1049	1049	75.32960915157288	0	0	singleton_no_edge_test	not_established_by_structural_clustering
M000582	6	6	6	6	0	AlphaFold	1	"[""4803900at2759""]"	"[""Ascomycota""]"	162	174	80.7055505050505	0	0	pending_exact_score_review	not_established_by_structural_clustering
M000598	6	6	6	6	0	AlphaFold	1	"[""5004478at2759""]"	"[""Ascomycota""]"	490	539	69.6593639334522	4	0	pending_exact_score_review	not_established_by_structural_clustering
M000612	10	10	10	10	0	AlphaFold;ESMFold	1	"[""5005892at2759""]"	"[""Ascomycota""]"	381	473	73.51965337763014	2	0	pending_exact_score_review	not_established_by_structural_clustering
M000615	1	1	1	1	0	AlphaFold	1	"[""4613677at2759""]"	"[""Ascomycota""]"	147	147	67.99408163265305	1	0	singleton_no_edge_test	not_established_by_structural_clustering
M000620	2	2	2	2	0	AlphaFold	1	"[""5011777at2759""]"	"[""Ascomycota""]"	940	1030	63.42769670522618	2	0	pending_exact_score_review	not_established_by_structural_clustering
M000621	1	1	1	1	0	AlphaFold	1	"[""115730at2759""]"	"[""Ascomycota""]"	761	761	77.70064388961885	0	0	singleton_no_edge_test	not_established_by_structural_clustering
M000624	1	1	1	1	0	AlphaFold	1	"[""776280at2759""]"	"[""Ascomycota""]"	439	439	71.80769931662873	0	0	singleton_no_edge_test	not_established_by_structural_clustering
M000633	1	1	1	1	0	AlphaFold	1	"[""5005274at2759""]"	"[""Basidiomycota""]"	347	347	69.0862824207492	1	0	singleton_no_edge_test	not_established_by_structural_clustering
M000636	10	10	10	10	0	AlphaFold;ESMFold	1	"[""5015403at2759""]"	"[""Ascomycota"", ""Basidiomycota"", ""Glomeromycota"", ""Mortierellomycota""]"	393	452	90.32963553530755	0	0	pending_exact_score_review	not_established_by_structural_clustering
M000652	1	1	1	1	0	AlphaFold	1	"[""5005217at2759""]"	"[""Ascomycota""]"	483	483	89.8499792960663	0	0	singleton_no_edge_test	not_established_by_structural_clustering
M000663	1	1	1	1	0	AlphaFold	1	"[""5005010at2759""]"	"[""Ascomycota""]"	109	109	93.52467889908259	0	0	singleton_no_edge_test	not_established_by_structural_clustering
M000665	3	3	3	3	0	AlphaFold	1	"[""538728at2759""]"	"[""Ascomycota""]"	435	491	70.82719540229884	1	0	pending_exact_score_review	not_established_by_structural_clustering
M000675	2	2	2	2	0	AlphaFold	1	"[""4977163at2759""]"	"[""Ascomycota""]"	167	172	88.49959998607434	0	0	pending_exact_score_review	not_established_by_structural_clustering
M000678	1	1	1	1	0	AlphaFold	1	"[""4810093at2759""]"	"[""Ascomycota""]"	784	784	85.91905612244895	0	0	singleton_no_edge_test	not_established_by_structural_clustering
M000691	1	1	1	0	1	AlphaFold	1	"[""5003192at2759""]"	"[""Ichthyosporea""]"	376	376	82.4431117021277	0	0	singleton_no_edge_test	not_established_by_structural_clustering
M000698	32	32	32	32	0	AlphaFold;ESMFold	1	"[""4970387at2759""]"	"[""Ascomycota"", ""Basidiomycota"", ""Chytridiomycota""]"	151	187	83.88196539306642	1	1	pending_exact_score_review	not_established_by_structural_clustering
M000701	5	5	5	5	0	AlphaFold	1	"[""4803900at2759""]"	"[""Ascomycota"", ""Chytridiomycota"", ""Mortierellomycota"", ""Neocallimastigomycota""]"	122	133	90.70396946564885	0	0	pending_exact_score_review	not_established_by_structural_clustering
M000706	1	1	1	1	0	AlphaFold	1	"[""4843240at2759""]"	"[""Blastocladiomycota""]"	826	826	59.67125907990317	1	0	singleton_no_edge_test	not_established_by_structural_clustering
M000709	1	1	1	1	0	AlphaFold	1	"[""4986044at2759""]"	"[""Blastocladiomycota""]"	863	863	57.45900347624564	1	0	singleton_no_edge_test	not_established_by_structural_clustering
M000712	38	38	39	39	0	AlphaFold;ESMFold	1	"[""541070at2759""]"	"[""Ascomycota"", ""Basidiomycota"", ""Blastocladiomycota""]"	236	301	93.79414207370579	0	0	pending_exact_score_review	not_established_by_structural_clustering
M000719	3	3	3	3	0	AlphaFold	1	"[""4977863at2759""]"	"[""Ascomycota"", ""Basidiomycota""]"	575	652	89.17102773246339	0	0	pending_exact_score_review	not_established_by_structural_clustering
M000724	1	1	1	1	0	AlphaFold	1	"[""5000371at2759""]"	"[""Basidiomycota""]"	1100	1100	70.40901818181818	0	0	singleton_no_edge_test	not_established_by_structural_clustering
M000731	2	2	2	2	0	AlphaFold;ESMFold	1	"[""4867008at2759""]"	"[""Basidiomycota""]"	157	185	85.9914696069666	0	0	pending_exact_score_review	not_established_by_structural_clustering
M000732	3	3	3	3	0	AlphaFold;ESMFold	1	"[""5013738at2759""]"	"[""Ascomycota"", ""Basidiomycota""]"	203	225	87.20152709359603	0	0	pending_exact_score_review	not_established_by_structural_clustering
M000735	18	18	18	18	0	AlphaFold;ESMFold	1	"[""4900375at2759""]"	"[""Ascomycota"", ""Basidiomycota"", ""Glomeromycota"", ""Kickxellomycota""]"	251	350	79.66018037134288	0	3	pending_exact_score_review	not_established_by_structural_clustering
M000748	1	1	1	1	0	AlphaFold	1	"[""5000371at2759""]"	"[""Ascomycota""]"	377	377	83.3897877984085	0	0	singleton_no_edge_test	not_established_by_structural_clustering
M000752	3	3	3	3	0	AlphaFold	1	"[""4896098at2759""]"	"[""Ascomycota""]"	228	241	74.98245614035088	0	0	pending_exact_score_review	not_established_by_structural_clustering
